Name:  Dolomite CaMg(CO3)2
Type:  Mineral
Class:   Carbonates
Subclass:   
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  dolomite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Oberdorf, Styria, Austria via the Smithsonian 
(sample no. NMNH R12596).  
Description:  The sample was a single white crystal, 3 cm x 2 cm x 2 
cm and 29 g, showing good cleavage.  No impurities or alteration 
were visible in hand sample.  Under the microscope it appears very 
pure and unaltered.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: dolomi1a.txt

9.143124645	86.9383
9.127027227	86.8972
9.110986392	86.8469
9.095001842	86.8186
9.079073281	86.9451
9.06320863	87.2996
9.04739114	87.6258
9.031628764	87.8494
9.015921215	88.0569
9.000268208	88.2952
8.984669459	88.4461
8.969124685	88.5388
8.953633608	88.6716
8.93819595	88.7371
8.922811435	88.7659
8.907479789	88.7556
8.89220074	88.7234
8.876974017	88.6507
8.861799353	88.5921
8.846676481	88.6248
8.831605135	88.5628
8.816585054	88.5286
8.801615977	88.572
8.786697643	88.5789
8.771829795	88.6082
8.757012178	88.6272
8.742244536	88.6033
8.727526619	88.5637
8.712858175	88.5818
8.69824652	88.6091
8.683676252	88.5901
8.669154714	88.5789
8.654681663	88.5974
8.640256858	88.6355
8.625880055	88.5847
8.611551018	88.4592
8.597269507	88.4529
8.583035287	88.4041
8.568848124	88.3357
8.554707784	88.3469
8.540614036	88.3894
8.52656665	88.3797
8.512565398	88.3933
8.498610052	88.3811
8.484700388	88.2898
8.470836182	88.2732
8.45701721	88.3115
8.443243252	88.2859
8.429514089	88.2664
8.415829502	88.2725
8.402189274	88.252
8.388593191	88.2312
8.375041038	88.2966
8.361539594	88.3679
8.348074642	88.3748
8.334652987	88.4226
8.32127442	88.499
8.307938734	88.4978
8.294645723	88.447
8.281395183	88.4177
8.268186911	88.3797
8.255020704	88.3008
8.241896361	88.2136
8.228813685	88.1804
8.215772476	88.0606
8.202772537	87.9092
8.189813674	87.7649
8.176895691	87.6004
8.164018395	87.4016
8.151188239	87.2459
8.138391724	87.1201
8.125635323	86.9883
8.11291885	86.8789
8.100242116	86.8137
8.087604937	86.6953
8.075007126	86.6072
8.062448501	86.5027
8.049928879	86.375
