Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt

8.625880055	3.3474
8.611551018	3.2837
8.597269507	3.2451
8.583035287	3.2241
8.568848124	3.2295
8.554707784	3.2549
8.540614036	3.2668
8.52656665	3.2551
8.512565398	3.2353
8.498610052	3.2121
8.484700388	3.2102
8.470836182	3.2226
8.45701721	3.2363
8.443243252	3.2651
8.429514089	3.2886
8.415829502	3.3044
8.402189274	3.3157
8.388593191	3.3396
8.375041038	3.3818
8.361539594	3.4109
8.348074642	3.4333
8.334652987	3.4653
8.32127442	3.4778
8.307938734	3.4714
8.294645723	3.4853
8.281395183	3.5039
8.268186911	3.5137
8.255020704	3.5286
8.241896361	3.5408
8.228813685	3.552
8.215772476	3.5693
8.202772537	3.5732
8.189813674	3.564
8.176895691	3.5522
8.164018395	3.5381
8.151188239	3.5246
8.138391724	3.5159
8.125635323	3.5144
8.11291885	3.5129
8.100242116	3.4924
8.087604937	3.4702
8.075007126	3.457
8.062448501	3.4534
8.049928879	3.467
8.037448078	3.4902
8.025005918	3.5122
8.012602221	3.5278
8.000236807	3.5403
7.9879095	3.5549
7.975620124	3.5591
7.963368505	3.5483
7.951154468	3.5325
7.938977841	3.512
7.926838452	3.4975
7.914736131	3.49
7.902670708	3.4851
7.890642014	3.4978
7.878649883	3.5273
7.866694148	3.5452
7.854780812	3.5557
7.842897355	3.573
7.831049799	3.5698
7.819237984	3.552
7.807461747	3.5403
7.795720929	3.5373
7.784015369	3.5442
7.772344909	3.5559
7.760709391	3.5632
7.749108659	3.5708
7.737542556	3.572
7.726010929	3.5725
7.714513623	3.5759
7.703050485	3.5698
7.691621363	3.5591
7.680226106	3.5527
7.668864563	3.5491
7.657536586	3.5496
7.646242025	3.5452
7.634980733	3.5373
7.623752563	3.5454
7.61255737	3.5539
7.601395008	3.5691
7.590265333	3.5732
7.579173946	3.5886
7.568109199	3.6164
7.557076711	3.635
7.546076342	3.6577
7.535107952	3.6772
7.524171401	3.6953
7.51326655	3.7087
7.502393263	3.7295
7.491551403	3.7593
7.480740833	3.7869
7.469961418	3.8149
7.459213023	3.845
7.448495516	3.8652
7.437808762	3.8857
7.42715263	3.918
7.416526989	3.9507
7.405931707	3.9856
7.395366655	4.029
7.384831703	4.0701
7.374326724	4.1072
7.363851589	4.1487
7.353406171	4.1953
7.342990345	4.25
7.332603984	4.2988
7.322252325	4.343
7.311924506	4.3918
7.30162578	4.439
7.291356025	4.4951
7.281115117	4.562
7.270902937	4.6269
7.260719363	4.6965
7.250564275	4.7834
7.240437554	4.8845
7.230339081	4.9953
7.220268738	5.1125
7.210226408	5.2373
7.200211974	5.3862
7.19022532	5.5613
7.18026633	5.7497
7.17033489	5.9565
7.160436013	6.1504
7.150559317	6.2637
7.140709829	6.3157
7.130887439	6.4426
7.121092034	6.7563
7.111323503	7.2007
7.101581735	7.6269
7.091866622	7.9426
7.082178053	8.1479
7.07251592	8.281
7.062880115	8.3725
7.053270531	8.4416
7.04368706	8.5088
7.034129597	8.5578
7.024598035	8.6098
7.01509227	8.6643
7.005612196	8.7199
6.99615771	8.781
