Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: 0-75 micrometers
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: Powder derived from sample: fine-grained to medium-grained 
leucocratic rock composed of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	see file aplite1a.doc
7.6126	0.9567
7.6014	0.9421
7.5903	0.9283
7.5792	0.9543
7.5681	0.9907
7.5571	1.0202
7.5461	1.0193
7.5351	1.0158
7.5242	1.0610
7.5133	1.1051
7.5024	1.1353
7.4916	1.1604
7.4807	1.1831
7.4700	1.2174
7.4592	1.2543
7.4485	1.3153
7.4378	1.3603
7.4272	1.3917
7.4165	1.4330
7.4059	1.4899
7.3954	1.5501
7.3848	1.5839
7.3743	1.6282
7.3639	1.6668
7.3534	1.7076
7.3430	1.7707
7.3326	1.8314
7.3223	1.8878
7.3119	1.9652
7.3016	2.0213
7.2914	2.0836
7.2811	2.1755
7.2709	2.2575
7.2607	2.3628
7.2506	2.4581
7.2404	2.5265
7.2303	2.6107
7.2203	2.7110
7.2102	2.8067
7.2002	2.8839
7.1902	2.9632
7.1803	3.0429
7.1703	3.1420
7.1604	3.2561
7.1506	3.3468
7.1407	3.4818
7.1309	3.6473
7.1211	3.7507
7.1113	3.8412
7.1016	3.9778
7.0919	4.0847
7.0822	4.1460
7.0725	4.2260
7.0629	4.3335
7.0533	4.3924
7.0437	4.4714
7.0341	4.5576
7.0246	4.6233
7.0151	4.6805
7.0056	4.7416
6.9962	4.8037
6.9867	4.8732
6.9773	4.9629
6.9679	5.0229
6.9586	5.0829
6.9493	5.1740
6.9400	5.2753
6.9307	5.4018
6.9214	5.4841
6.9122	5.5151
6.9030	5.5807
6.8938	5.6501
6.8847	5.7135
6.8755	5.7665
6.8664	5.7921
6.8573	5.8176
6.8483	5.8385
6.8393	5.8613
6.8302	5.9070
6.8213	5.9268
6.8123	5.9236
6.8034	5.9187
6.7944	5.9236
6.7855	5.9254
6.7767	5.9402
6.7678	5.9452
6.7590	5.9498
6.7502	5.9353
6.7414	5.9259
6.7327	5.9538
6.7239	5.9774
6.7152	6.0249
6.7065	6.0675
6.6979	6.1289
6.6892	6.2358
6.6806	6.3555
6.6720	6.4547
6.6634	6.5550
6.6549	6.6445
6.6464	6.7218
6.6378	6.7638
6.6294	6.7943
6.6209	6.8288
6.6124	6.8413
6.6040	6.8672
6.5956	6.8967
6.5872	6.8955
6.5789	6.8920
6.5705	6.9156
6.5622	6.9504
6.5539	6.9579
6.5457	6.9935
6.5374	7.1322
6.5292	7.3242
6.5209	7.5291
6.5128	7.7997
6.5046	8.0836
6.4964	8.3531
6.4883	8.5725
6.4802	8.7644
6.4721	8.9465
6.4640	9.1104
6.4560	9.2316
6.4480	9.3389
6.4399	9.4406
6.4320	9.4903
6.4240	9.5002
6.4160	9.4994
6.4081	9.4725
6.4002	9.3813
6.3923	9.2768
6.3844	9.1542
6.3766	9.0122
6.3687	8.8748
6.3609	8.7311
6.3531	8.5935
6.3454	8.4727
6.3376	8.3179
6.3299	8.1366
6.3221	7.9769
6.3144	7.8117
6.3068	7.6148
6.2991	7.4532
6.2914	7.3244
6.2838	7.1758
6.2762	7.0369
6.2686	6.8930
6.2611	6.7908
6.2535	6.6756
6.2460	6.5573
6.2385	6.4922
6.2310	6.4319
6.2235	6.3928
6.2160	6.3919
6.2086	6.3893
6.2011	6.4327
6.1937	6.5233
6.1863	6.6438
6.1790	6.8029
6.1716	7.0024
6.1643	7.2485
6.1570	7.5223
6.1496	7.7803
6.1424	8.0606
6.1351	8.3125
6.1278	8.5500
6.1206	8.8134
6.1134	9.0241
6.1062	9.2367
6.0990	9.4449
6.0918	9.6077
6.0847	9.7574
6.0776	9.9068
6.0704	10.037
6.0633	10.107
6.0563	10.139
6.0492	10.202
6.0421	10.246
6.0351	10.253
6.0281	10.279
6.0211	10.287
6.0141	10.284
6.0071	10.265
6.0002	10.208
5.9932	10.104
5.9863	9.9616
5.9794	9.8402
5.9725	9.7495
5.9657	9.6257
5.9588	9.4774
5.9520	9.3794
5.9451	9.3398
5.9383	9.3267
5.9315	9.3457
