[6.858, 44.5] -> 2985.6
[6.86, 44.5] -> 3086
[6.862, 44.5] -> 3108.6
[6.864, 44.5] -> 2985.4
[6.866, 44.5] -> 2879.4
[6.868, 44.5] -> 2795.4
[6.87, 44.5] -> 2695
[6.872, 44.5] -> 2680.8
[6.874, 44.5] -> 2688.8
[6.876, 44.5] -> 2707
[6.878, 44.5] -> 2664.6
[6.88, 44.5] -> 2609
[6.882, 44.5] -> 2572
[6.884, 44.5] -> 2591.2
[6.886, 44.5] -> 2627.8
[6.888, 44.5] -> 2717.4
[6.89, 44.5] -> 2833
[6.892, 44.5] -> 2948.4
[6.894, 44.5] -> 2936.4
[6.896, 44.5] -> 2821.8
[6.898, 44.5] -> 2697.8
[6.9, 44.5] -> 2515
[6.902, 44.5] -> 2315
[6.904, 44.5] -> 2104.6
[6.906, 44.5] -> 1945.6
[6.908, 44.5] -> 1970.2
[6.91, 44.5] -> 1946
[6.912, 44.5] -> 1868
[6.914, 44.5] -> 1775.6
[6.916, 44.5] -> 1686.8
[6.918, 44.5] -> 1635.6
[6.92, 44.5] -> 1648
[6.922, 44.5] -> 1722.2
[6.924, 44.5] -> 1747.8
[6.926, 44.5] -> 1759.6
[6.928, 44.5] -> 1817.2
[6.93, 44.5] -> 1943
[6.932, 44.5] -> 2069.6
[6.934, 44.5] -> 2199
[6.936, 44.5] -> 2270
[6.938, 44.5] -> 2344
[6.94, 44.5] -> 2430
[6.942, 44.5] -> 2475
[6.944, 44.5] -> 2585.2
[6.946, 44.5] -> 2681.8
[6.948, 44.5] -> 2750.6
[6.95, 44.5] -> 2800
[6.952, 44.5] -> 2745.4
[6.954, 44.5] -> 2577.4
[6.956, 44.5] -> 2478.4
[6.958, 44.5] -> 2359.2
[6.96, 44.5] -> 2260
[6.962, 44.5] -> 2180
[6.964, 44.5] -> 2116.8
[6.966, 44.5] -> 2103
[6.968, 44.5] -> 2075.4
[6.97, 44.5] -> 2019
[6.972, 44.5] -> 2030.8
[6.974, 44.5] -> 2068.2
[6.976, 44.5] -> 2093.6
[6.978, 44.5] -> 1975.2
[6.98, 44.5] -> 1872
[6.982, 44.5] -> 1790.4
[6.984, 44.5] -> 1744.6
[6.986, 44.5] -> 1811.8
[6.988, 44.5] -> 1899.4
[6.99, 44.5] -> 1967
[6.992, 44.5] -> 2032.6
[6.994, 44.5] -> 2086.4
[6.996, 44.5] -> 2134.2
[6.998, 44.5] -> 2177.4
[7, 44.5] -> 2234
[7.002, 44.5] -> 2278
[7.004, 44.5] -> 2303
[7.006, 44.5] -> 2322.8
[7.008, 44.5] -> 2276.4
[7.01, 44.5] -> 2223
[7.012, 44.5] -> 2156
[7.014, 44.5] -> 2135.6
[7.016, 44.5] -> 2236.2
[7.018, 44.5] -> 2296.4
[7.02, 44.5] -> 2195
[7.022, 44.5] -> 2157.2
[7.024, 44.5] -> 2135.4
[7.026, 44.5] -> 2114.8
[7.028, 44.5] -> 2101.8
[7.03, 44.5] -> 2098
[7.032, 44.5] -> 2116.6
[7.034, 44.5] -> 2152
[7.036, 44.5] -> 2143.6
[7.038, 44.5] -> 2040.6
[7.04, 44.5] -> 2024
[7.042, 44.5] -> 1950.2
[7.044, 44.5] -> 1928
[7.046, 44.5] -> 1899
[7.048, 44.5] -> 1835.8
[7.05, 44.5] -> 1748
[7.052, 44.5] -> 1651.8
[7.054, 44.5] -> 1592.4
[7.056, 44.5] -> 1524.6
[7.058, 44.5] -> 1470.8
[7.06, 44.5] -> 1396
[7.062, 44.5] -> 1278.4
[7.064, 44.5] -> 1265.6
[7.066, 44.5] -> 1340.4
[7.068, 44.5] -> 1379.6
[7.07, 44.5] -> 1413
[7.072, 44.5] -> 1453.4
[7.074, 44.5] -> 1506.2
