Name:  Limestone CaCO3
Type:  Rock
Class: Sedimentary
Subclass: Limestone 
Particle Size:  Whole rock chips
Sample No.:  ro357
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Ronda, Spain

Description:  gray limestone with white calcite veins





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309  
Number of X Values:  2826
Additional Information:  ls357a.txt

1.132	        .331000
1.136	        .331000
1.14	        .331000
1.144	        .330000
1.148	        .330000
1.152	        .332000
1.156	        .331000
1.16	        .331000
1.164	        .333000
1.168	        .332000
1.172	        .331000
1.176	        .331000
1.18	        .331000
1.184	        .328000
1.188	        .328000
1.192	        .330000
1.196	        .330000
1.2	        .331000
1.204	        .330000
1.208	        .331000
1.212	        .330000
1.216	        .327000
1.22	        .327000
1.224	        .328000
1.228	        .328000
1.232	        .330000
1.236	        .327000
1.24	        .327000
1.244	        .327000
1.248	        .327000
1.252	        .326000
1.256	        .326000
1.26	        .325000
1.264	        .325000
1.268	        .326000
1.272	        .327000
1.276	        .327000
1.28	        .326000
1.284	        .327000
1.288	        .327000
1.292	        .324000
1.296	        .325000
1.3	        .325000
1.304	        .325000
1.308	        .326000
1.312	        .324000
1.316	        .325000
1.32	        .324000
1.324	        .326000
1.328	        .322000
1.332	        .325000
1.336	        .325000
1.34	        .326000
1.344	        .324000
1.348	        .322000
1.352	        .325000
1.356	        .324000
1.36	        .321000
1.364	        .321000
1.368	        .322000
1.372	        .322000
1.376	        .320000
1.38	        .320000
1.384	        .319000
1.388	        .320000
1.392	        .317000
1.396	        .317000
1.4	        .316000
1.404	        .315000
1.408	        .315000
1.412	        .316000
1.416	        .315000
1.42	        .316000
1.424	        .314000
1.428	        .315000
1.432	        .315000
1.436	        .316000
1.44	        .315000
1.444	        .315000
1.448	        .315000
1.452	        .315000
1.456	        .315000
1.46	        .314000
1.464	        .314000
1.468	        .314000
1.472	        .314000
1.476	        .314000
1.48	        .314000
1.484	        .314000
1.488	        .315000
1.492	        .315000
1.496	        .315000
1.5	        .319000
1.504	        .317000
1.508	        .316000
1.512	        .316000
1.516	        .316000
1.52	        .316000
1.524	        .315000
1.528	        .314000
1.532	        .315000
1.536	        .315000
1.54	        .315000
1.544	        .316000
1.548	        .314000
1.552	        .313000
1.556	        .314000
1.56	        .314000
1.564	        .314000
1.568	        .314000
1.572	        .315000
1.576	        .315000
1.58	        .315000
1.584	        .315000
1.588	        .316000
1.592	        .315000
1.596	        .315000
1.6	        .315000
1.604	        .316000
1.608	        .316000
1.612	        .316000
1.616	        .315000
1.62	        .315000
1.624	        .315000
1.628	        .314000
1.632	        .313000
1.636	        .314000
1.64	        .314000
1.644	        .313000
1.648	        .311000
1.652	        .314000
1.656	        .314000
1.66	        .314000
1.664	        .315000
1.668	        .314000
1.672	        .314000
1.676	        .313000
1.68	        .311000
1.684	        .313000
1.688	        .311000
1.692	        .313000
1.696	        .313000
1.7	        .314000
1.704	        .314000
1.708	        .311000
1.712	        .313000
1.716	        .311000
1.72	        .310000
1.724	        .311000
1.728	        .313000
1.732	        .313000
1.736	        .311000
1.74	        .310000
1.744	        .308000
1.748	        .309000
1.752	        .309000
1.756	        .309000
1.76	        .309000
1.764	        .309000
1.768	        .310000
1.772	        .310000
1.776	        .310000
1.78	        .310000
1.784	        .310000
1.788	        .309000
1.792	        .309000
1.796	        .310000
1.8	        .310000
1.804	        .310000
1.808	        .308000
1.812	        .308000
1.816	        .310000
1.82	        .309000
1.824	        .308000
1.828	        .308000
1.832	        .305000
1.836	        .306000
1.84	        .304000
1.844	        .306000
1.848	        .306000
1.852	        .306000
1.856	        .304000
1.86	        .302000
1.864	        .299000
1.868	        .298000
1.872	        .298000
1.876	        .300000
1.88	        .299000
1.884	        .298000
1.888	        .294000
1.892	        .293000
1.896	        .292000
1.9	        .289000
1.904	        .288000
1.908	        .288000
1.912	        .287000
1.916	        .286000
1.92	        .286000
1.924	        .283000
1.928	        .283000
1.932	        .283000
1.936	        .284000
1.94	        .284000
1.944	        .284000
1.948	        .282000
1.952	        .282000
1.956	        .283000
1.96	        .283000
1.964	        .283000
1.968	        .286000
1.972	        .283000
1.976	        .283000
1.98	        .286000
1.984	        .284000
1.988	        .284000
1.992	        .283000
1.996	        .287000
2	        .286000
2.004	        .288000
2.008	        .291000
2.012	        .293000
2.016	        .294000
2.02	        .295000
2.024	        .295000
2.028	        .294000
2.032	        .293000
2.036	        .294000
2.04	        .295000
2.044	        .295000
2.048	        .295000
2.052	        .295000
2.056	        .295000
2.06	        .297000
2.064	        .297000
2.068	        .295000
2.072	        .297000
2.076	        .295000
2.08	        .295000
2.084	        .294000
2.088	        .295000
2.092	        .297000
2.096	        .297000
2.1	        .297000
2.10043	        .299900
2.10128	        .296000
2.10213	        .296900
2.10298	        .299000
2.10383	        .298700
2.10469	        .299200
2.10554	        .299900
2.1064	        .297400
2.10725	        .294600
2.10811	        .293400
2.10897	        .298300
2.10983	        .299300
2.11068	        .299500
2.11154	        .294900
2.1124	        .292600
2.11327	        .293800
2.11413	        .296400
2.11499	        .298400
2.11585	        .300900
2.11672	        .299300
2.11758	        .299000
2.11844	        .297400
2.11931	        .298100
2.12018	        .298000
2.12104	        .298200
2.12191	        .296500
2.12278	        .295800
2.12365	        .293600
2.12452	        .293500
2.12539	        .295100
2.12626	        .296600
2.12713	        .293900
2.12801	        .293400
2.12888	        .292900
2.12975	        .295600
2.13063	        .297200
2.1315	        .299300
2.13238	        .297000
2.13326	        .295100
2.13414	        .294600
2.13501	        .291300
2.13589	        .290900
2.13677	        .291600
2.13765	        .293600
2.13854	        .295700
2.13942	        .297300
2.1403	        .297600
2.14118	        .294100
2.14207	        .291200
2.14295	        .290900
2.14384	        .291500
2.14473	        .291000
2.14561	        .289600
2.1465	        .287400
2.14739	        .290100
2.14828	        .292100
2.14917	        .293100
2.15006	        .293500
2.15095	        .295000
2.15185	        .292800
2.15274	        .291000
2.15363	        .289000
2.15453	        .288200
2.15542	        .289300
2.15632	        .291500
2.15722	        .289100
2.15811	        .289600
2.15901	        .294100
2.15991	        .293100
2.16081	        .289600
2.16171	        .290800
2.16261	        .292900
2.16352	        .290700
2.16442	        .287900
2.16532	        .291100
2.16623	        .292100
2.16713	        .290400
2.16804	        .292600
2.16894	        .294700
2.16985	        .292900
2.17076	        .290400
2.17167	        .289900
2.17258	        .291300
2.17349	        .293200
2.1744	        .293200
2.17531	        .292400
2.17623	        .293100
2.17714	        .292500
2.17805	        .294200
2.17897	        .292000
2.17989	        .290400
2.1808	        .290000
2.18172	        .289500
2.18264	        .290400
2.18356	        .293700
2.18448	        .291000
2.1854	        .291900
2.18632	        .294900
2.18724	        .297000
2.18816	        .295800
2.18909	        .293100
2.19001	        .290300
2.19094	        .289600
2.19186	        .289100
2.19279	        .290300
2.19372	        .290700
2.19464	        .292700
2.19557	        .290900
2.1965	        .291000
2.19743	        .292400
2.19837	        .292500
2.1993	        .293200
2.20023	        .295100
2.20116	        .291300
2.2021	        .288900
2.20303	        .286400
2.20397	        .285100
2.20491	        .287100
2.20585	        .291000
2.20678	        .288200
2.20772	        .285700
2.20866	        .284500
2.20961	        .285900
2.21055	        .285900
2.21149	        .286000
2.21243	        .285700
2.21338	        .286700
2.21432	        .285900
2.21527	        .286100
2.21621	        .285800
2.21716	        .287700
2.21811	        .289000
2.21906	        .289200
2.22001	        .286600
2.22096	        .283700
2.22191	        .286100
2.22286	        .289700
2.22382	        .287700
2.22477	        .284800
2.22573	        .283300
2.22668	        .284100
2.22764	        .283900
2.2286	        .286000
2.22955	        .285200
2.23051	        .285400
2.23147	        .286100
2.23243	        .285000
2.23339	        .283000
2.23436	        .282400
2.23532	        .281600
2.23628	        .284000
2.23725	        .284700
2.23821	        .281000
2.23918	        .278000
2.24015	        .280900
2.24112	        .281600
2.24208	        .281300
2.24305	        .281300
2.24402	        .282100
2.245	        .279700
2.24597	        .277100
2.24694	        .278300
2.24791	        .278900
2.24889	        .275600
2.24987	        .273700
2.25084	        .274500
2.25182	        .275100
2.2528	        .275400
2.25378	        .274300
2.25476	        .273800
2.25574	        .275700
2.25672	        .274400
2.2577	        .273300
2.25868	        .272000
2.25967	        .270700
2.26065	        .269300
2.26164	        .269900
2.26263	        .269000
2.26361	        .266400
2.2646	        .265400
2.26559	        .266800
2.26658	        .266600
2.26757	        .264600
2.26856	        .262800
2.26956	        .263700
2.27055	        .263200
