Name:  Pale brown silty loam
Type:  Soils
Class:  Alfisol
Subclass:  Fragiboralf
Particle Size:  see additional information
Sample No.:  86P1994  
Owner:  JHU
Wavelength range:  All
Origin:  Bonner Co., Id. via USDA Soil Conservation service.

Description:  Pale brown silty loam (medial, typic).





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P1994a.txt

4.6122	20.5776
4.6081	20.6442
4.6040	20.6799
4.6000	20.6821
4.5959	20.6957
4.5918	20.7519
4.5877	20.8051
4.5837	20.8139
4.5796	20.8432
4.5756	20.9094
4.5716	20.9409
4.5675	20.9511
4.5635	20.9873
4.5595	21.0107
4.5555	21.0307
4.5515	21.0683
4.5475	21.1188
4.5435	21.1235
4.5395	21.0996
4.5356	21.0952
4.5316	21.1210
4.5276	21.1418
4.5237	21.1330
4.5197	21.1472
4.5158	21.1538
4.5119	21.1530
4.5080	21.1301
4.5040	21.1218
4.5001	21.1376
4.4962	21.1538
4.4923	21.1411
4.4884	21.1359
4.4846	21.1584
4.4807	21.1618
4.4768	21.1962
4.4730	21.2133
4.4691	21.2253
4.4652	21.2775
4.4614	21.3037
4.4576	21.3410
4.4537	21.3779
4.4499	21.4184
4.4461	21.4924
4.4423	21.5432
4.4385	21.5825
4.4347	21.6281
4.4309	21.6516
4.4271	21.6843
4.4233	21.7385
4.4196	21.7719
4.4158	21.8051
4.4120	21.8225
4.4083	21.8657
4.4045	21.9194
4.4008	21.9680
4.3971	22.0136
4.3934	22.0414
4.3896	22.0656
4.3859	22.1005
4.3822	22.1525
4.3785	22.2236
4.3748	22.2563
4.3711	22.2546
4.3674	22.3032
4.3638	22.3503
4.3601	22.3857
4.3564	22.4186
4.3528	22.4462
4.3491	22.4809
4.3455	22.5261
4.3418	22.5624
4.3382	22.6047
4.3346	22.6284
4.3310	22.6047
4.3273	22.6093
4.3237	22.6540
4.3201	22.6674
4.3165	22.6826
4.3129	22.6833
4.3094	22.6826
4.3058	22.6960
4.3022	22.7065
4.2986	22.7079
4.2951	22.7504
4.2915	22.7319
4.2880	22.6899
4.2844	22.7009
4.2809	22.6899
4.2774	22.5910
4.2738	22.5729
4.2703	22.6030
4.2668	22.6259
4.2633	22.6850
4.2598	22.7687
4.2563	22.8217
4.2528	22.8417
4.2493	22.8859
4.2458	22.9455
4.2424	22.9462
4.2389	22.9374
4.2354	22.9931
4.2320	23.0480
4.2285	23.0319
4.2251	23.0561
4.2216	23.0893
4.2182	23.1008
4.2148	23.1186
4.2113	23.1423
4.2079	23.1586
4.2045	23.1845
4.2011	23.1999
4.1977	23.1870
4.1943	23.1789
4.1909	23.2097
4.1875	23.2294
4.1841	23.2448
4.1808	23.2563
4.1774	23.2541
4.1740	23.2431
4.1707	23.2482
4.1673	23.2800
4.1640	23.2932
4.1606	23.2956
4.1573	23.2932
4.1540	23.2883
4.1506	23.3037
4.1473	23.3137
4.1440	23.3185
4.1407	23.3244
4.1374	23.3005
4.1341	23.2834
4.1308	23.2890
4.1275	23.3283
4.1242	23.3652
4.1209	23.3283
4.1177	23.3037
4.1144	23.3259
4.1111	23.3317
4.1079	23.3071
4.1046	23.2973
4.1014	23.3474
4.0981	23.3613
4.0949	23.3359
4.0917	23.3005
4.0884	23.3120
4.0852	23.3185
4.0820	23.3159
4.0788	23.3217
4.0756	23.3317
4.0724	23.3210
4.0692	23.3037
4.0660	23.3151
4.0628	23.3176
4.0596	23.2963
4.0565	23.2482
4.0533	23.2785
4.0501	23.3159
4.0470	23.2719
4.0438	23.2219
4.0406	23.2138
4.0375	23.2514
4.0344	23.2670
4.0312	23.2426
