Name:  Pale brown dry silty clay loam
Type:  Soils
Class:  Inceptisol
Subclass:  Ustocrept
Particle Size:  see additional information
Sample No.:  82P2671
Owner:  JHU
Wavelength range:  All
Origin:  Diar Alla Experiment Station.  Jordon, via USDA Soil Conservation 
service
Description:  Parent material is irrigated cropland.  Pale brown dry silty clay loam 
(fine, illitic calcareous hyperthermic fluventic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2671a.txt

4.7	13.352
4.6958	13.257
4.6915	13.18
4.6873	13.121
4.6831	13.084
4.6788	13.066
4.6746	13.069
4.6704	13.092
4.6662	13.136
4.662	13.202
4.6578	13.285
4.6536	13.385
4.6495	13.495
4.6453	13.613
4.6411	13.733
4.637	13.854
4.6328	13.971
4.6287	14.082
4.6246	14.185
4.6205	14.279
4.6163	14.365
4.6122	14.442
4.6081	14.513
4.604	14.579
4.6	14.639
4.5959	14.696
4.5918	14.75
4.5877	14.802
4.5837	14.852
4.5796	14.9
4.5756	14.943
4.5716	14.981
4.5675	15.015
4.5635	15.043
4.5595	15.067
4.5555	15.087
4.5515	15.104
4.5475	15.117
4.5435	15.125
4.5395	15.129
4.5356	15.131
4.5316	15.133
4.5276	15.135
4.5237	15.136
4.5197	15.133
4.5158	15.122
4.5119	15.102
4.508	15.078
4.504	15.055
4.5001	15.039
4.4962	15.038
4.4923	15.052
4.4884	15.079
4.4846	15.115
4.4807	15.155
4.4768	15.196
4.473	15.238
4.4691	15.281
4.4652	15.327
4.4614	15.376
4.4576	15.427
4.4537	15.478
4.4499	15.529
4.4461	15.581
4.4423	15.634
4.4385	15.691
4.4347	15.754
4.4309	15.822
4.4271	15.894
4.4233	15.969
4.4196	16.043
4.4158	16.116
4.412	16.186
4.4083	16.253
4.4045	16.315
4.4008	16.375
4.3971	16.433
4.3934	16.49
4.3896	16.55
4.3859	16.611
4.3822	16.674
4.3785	16.738
4.3748	16.801
4.3711	16.864
4.3674	16.924
4.3638	16.98
4.3601	17.032
4.3564	17.077
4.3528	17.117
4.3491	17.15
4.3455	17.179
4.3418	17.203
4.3382	17.224
4.3346	17.24
4.331	17.253
4.3273	17.263
4.3237	17.27
4.3201	17.271
4.3165	17.268
4.3129	17.26
4.3094	17.247
4.3058	17.233
4.3022	17.217
4.2986	17.199
4.2951	17.172
4.2915	17.132
4.288	17.075
4.2844	17.005
4.2809	16.933
4.2774	16.879
4.2738	16.865
4.2703	16.904
4.2668	17
4.2633	17.138
4.2598	17.292
4.2563	17.434
4.2528	17.542
4.2493	17.607
4.2458	17.636
4.2424	17.645
4.2389	17.653
4.2354	17.677
4.232	17.723
4.2285	17.795
4.2251	17.888
4.2216	17.997
4.2182	18.114
4.2148	18.234
4.2113	18.35
4.2079	18.456
4.2045	18.55
4.2011	18.629
4.1977	18.694
4.1943	18.746
4.1909	18.787
4.1875	18.821
4.1841	18.848
4.1808	18.87
4.1774	18.887
4.174	18.901
4.1707	18.914
4.1673	18.927
4.164	18.942
4.1606	18.956
4.1573	18.969
4.154	18.979
4.1506	18.986
4.1473	18.99
4.144	18.992
4.1407	18.995
4.1374	18.999
4.1341	19.001
4.1308	19.001
4.1275	18.994
4.1242	18.981
4.1209	18.961
4.1177	18.938
4.1144	18.912
4.1111	18.886
4.1079	18.858
4.1046	18.827
4.1014	18.793
4.0981	18.755
4.0949	18.714
4.0917	18.669
4.0884	18.619
4.0852	18.562
4.082	18.49
4.0788	18.402
4.0756	18.293
4.0724	18.166
4.0692	18.023
4.066	17.867
4.0628	17.7
4.0596	17.517
4.0565	17.312
4.0533	17.075
4.0501	16.797
4.047	16.471
4.0438	16.094
4.0406	15.669
4.0375	15.203
4.0344	14.706
4.0312	14.189
4.0281	13.664
4.025	13.139
4.0218	12.62
4.0187	12.105
4.0156	11.594
4.0125	11.08
4.0094	10.56
4.0063	10.033
4.0032	9.507
4.0001	8.99
3.997	8.497
3.994	8.047
3.9909	7.654
3.9878	7.33
3.9847	7.08
3.9817	6.902
3.9786	6.791
3.9756	6.737
3.9725	6.734
3.9695	6.775
3.9665	6.862
3.9634	6.995
3.9604	7.178
3.9574	7.416
3.9544	7.711
3.9513	8.06
3.9483	8.453
3.9453	8.872
3.9423	9.291
3.9393	9.681
3.9363	10.02
3.9333	10.295
3.9304	10.508
3.9274	10.675
3.9244	10.813
3.9214	10.943
3.9185	11.074
3.9155	11.21
3.9126	11.345
3.9096	11.471
3.9067	11.585
3.9037	11.681
3.9008	11.761
3.8979	11.827
3.8949	11.882
3.892	11.929
3.8891	11.973
3.8862	12.015
3.8833	12.058
3.8804	12.1
3.8775	12.142
3.8746	12.182
3.8717	12.22
3.8688	12.258
3.8659	12.298
3.863	12.342
3.8601	12.393
3.8573	12.45
3.8544	12.516
3.8515	12.59
3.8487	12.673
3.8458	12.769
3.843	12.881
3.8401	13.01
3.8373	13.158
3.8344	13.323
3.8316	13.501
3.8288	13.686
3.8259	13.872
3.8231	14.056
3.8203	14.236
3.8175	14.413
3.8147	14.593
3.8119	14.782
3.8091	14.985
3.8063	15.208
3.8035	15.448
3.8007	15.702
3.7979	15.959
3.7951	16.21
3.7924	16.443
3.7896	16.65
3.7868	16.826
3.7841	16.969
3.7813	17.08
3.7785	17.164
3.7758	17.227
3.773	17.274
3.7703	17.311
3.7676	17.339
3.7648	17.358
3.7621	17.366
3.7594	17.362
3.7566	17.348
3.7539	17.327
3.7512	17.302
3.7485	17.278
3.7458	17.254
3.7431	17.23
3.7404	17.202
3.7377	17.171
3.735	17.138
3.7323	17.103
3.7296	17.068
3.7269	17.032
3.7242	16.994
3.7216	16.951
3.7189	16.899
3.7162	16.84
3.7136	16.776
3.7109	16.712
3.7083	16.651
3.7056	16.597
3.703	16.548
3.7003	16.5
3.6977	16.448
3.695	16.388
3.6924	16.322
3.6898	16.253
3.6872	16.186
3.6845	16.128
3.6819	16.079
3.6793	16.04
3.6767	16.004
3.6741	15.966
3.6715	15.921
3.6689	15.866
3.6663	15.8
3.6637	15.724
3.6611	15.64
3.6585	15.552
3.656	15.464
3.6534	15.379
3.6508	15.299
3.6482	15.225
3.6457	15.157
3.6431	15.092
3.6406	15.028
3.638	14.962
3.6355	14.891
3.6329	14.814
3.6304	14.733
3.6278	14.649
3.6253	14.565
3.6227	14.483
3.6202	14.403
3.6177	14.328
3.6152	14.257
3.6127	14.187
3.6101	14.117
3.6076	14.046
3.6051	13.973
3.6026	13.897
3.6001	13.819
3.5976	13.739
3.5951	13.657
3.5926	13.572
3.5901	13.48
