Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

8.8922	7.1697
8.8770	7.1535
8.8618	7.1306
8.8467	7.0984
8.8316	7.0444
8.8166	7.0107
8.8016	6.9504
8.7867	6.9377
8.7718	6.9306
8.7570	6.8833
8.7422	6.8379
8.7275	6.8115
8.7129	6.7322
8.6982	6.6555
8.6837	6.5063
8.6692	6.2590
8.6547	5.9143
8.6403	5.5698
8.6259	5.4387
8.6116	5.6623
8.5973	6.0600
8.5830	6.4260
8.5688	6.6972
8.5547	6.8772
8.5406	7.0246
8.5266	7.1579
8.5126	7.2090
8.4986	7.2666
8.4847	7.3447
8.4708	7.4001
8.4570	7.4663
8.4432	7.5337
8.4295	7.5893
8.4158	7.6570
8.4022	7.7571
8.3886	7.8437
8.3750	7.9145
8.3615	8.0210
8.3481	8.0998
8.3347	8.2002
8.3213	8.3188
8.3079	8.4006
8.2946	8.5002
8.2814	8.5891
8.2682	8.6545
8.2550	8.7143
8.2419	8.7468
8.2288	8.7800
8.2158	8.7954
8.2028	8.7341
8.1898	8.6330
8.1769	8.4941
8.1640	8.2556
8.1512	7.9814
8.1384	7.6194
8.1256	7.2239
8.1129	6.8679
8.1002	6.5566
8.0876	6.2234
8.0750	5.8630
8.0624	5.5251
8.0499	5.2405
8.0374	4.9892
8.0250	4.7663
8.0126	4.5471
8.0002	4.3501
7.9879	4.1413
7.9756	3.9482
7.9634	3.7578
7.9512	3.5737
7.9390	3.3833
7.9268	3.2065
7.9147	3.0112
7.9027	2.8347
7.8906	2.6987
7.8786	2.6011
7.8667	2.5134
7.8548	2.4121
7.8429	2.3286
7.8310	2.2388
7.8192	2.1655
7.8075	2.1421
7.7957	2.1130
7.7840	2.0903
7.7723	2.0552
7.7607	2.0505
7.7491	2.0674
7.7375	2.0518
7.7260	2.0176
7.7145	2.0029
7.7031	1.9753
7.6916	1.9292
7.6802	1.8813
7.6689	1.8586
7.6575	1.8630
7.6462	1.8599
7.6350	1.8286
7.6238	1.7830
7.6126	1.7581
7.6014	1.7417
7.5903	1.7214
7.5792	1.7139
7.5681	1.7073
7.5571	1.7163
7.5461	1.7180
7.5351	1.6943
7.5242	1.6843
7.5133	1.6899
7.5024	1.6750
7.4916	1.6799
7.4807	1.6948
7.4700	1.6831
7.4592	1.6667
7.4485	1.6782
7.4378	1.6826
7.4272	1.7068
7.4165	1.7202
7.4059	1.7041
7.3954	1.6965
7.3848	1.7117
