Name:  Light yellowish brown interior dry gravelly loam
Type:  Soils
Class:  Aridisol
Subclass:  Calciorthid
Particle Size:  see additional information
Sample No.:  79P1536
Owner:  JHU
Wavelength range:  All
Origin:  8 km north of Deir El zor, Syria via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from mixed material; alluvial fine 
material overlayed on gypsum sandy loam, uncultivated from terracettes in lake 
plains.  Light yellowish brown interior dry gravelly loam.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  79P1536a.txt
	
5.8911	3.4375
5.8844	3.5879
5.8777	3.7537
5.8711	3.9302
5.8644	4.1069
5.8578	4.2712
5.8512	4.4145
5.8446	4.5361
5.8380	4.6426
5.8314	4.7451
5.8249	4.8535
5.8184	4.9714
5.8118	5.0947
5.8053	5.2126
5.7988	5.3130
5.7923	5.3884
5.7859	5.4387
5.7794	5.4719
5.7730	5.5017
5.7666	5.5408
5.7602	5.5981
5.7538	5.6745
5.7474	5.7659
5.7410	5.8633
5.7347	5.9597
5.7283	6.0508
5.7220	6.1367
5.7157	6.2204
5.7094	6.3049
5.7031	6.3909
5.6969	6.4751
5.6906	6.5520
5.6844	6.6138
5.6782	6.6540
5.6719	6.6706
5.6657	6.6658
5.6596	6.6460
5.6534	6.6203
5.6472	6.5974
5.6411	6.5805
5.6349	6.5661
5.6288	6.5400
5.6227	6.4824
5.6166	6.3708
5.6106	6.1870
5.6045	5.9243
5.5984	5.5935
5.5924	5.2222
5.5864	4.8542
5.5804	4.5410
5.5744	4.3325
5.5684	4.2659
5.5624	4.3574
5.5564	4.6008
5.5505	4.9665
5.5445	5.4101
5.5386	5.8823
5.5327	6.3379
5.5268	6.7451
5.5209	7.0879
5.5151	7.3645
5.5092	7.5842
5.5033	7.7612
5.4975	7.9099
5.4917	8.0437
5.4859	8.1726
5.4801	8.3037
5.4743	8.4409
5.4685	8.5840
5.4628	8.7282
5.4570	8.8652
5.4513	8.9856
5.4455	9.0805
5.4398	9.1457
5.4341	9.1828
5.4284	9.1985
5.4228	9.2011
5.4171	9.1992
5.4114	9.1972
5.4058	9.1948
5.4002	9.1885
5.3945	9.1738
5.3889	9.1462
5.3833	9.1057
5.3778	9.0556
5.3722	9.0024
5.3666	8.9553
5.3611	8.9236
5.3555	8.9145
5.3500	8.9324
5.3445	8.9758
5.3390	9.0407
5.3335	9.1181
5.3280	9.1997
5.3225	9.2785
5.3171	9.3498
5.3116	9.4140
5.3062	9.4741
5.3008	9.5346
5.2954	9.6013
5.2900	9.6772
5.2846	9.7644
5.2792	9.8637
5.2738	9.9741
5.2684	10.0950
5.2631	10.2260
5.2578	10.3670
5.2524	10.5180
5.2471	10.6760
5.2418	10.8380
5.2365	11.0000
5.2312	11.1560
5.2260	11.3020
5.2207	11.4380
5.2154	11.5610
5.2102	11.6740
5.2050	11.7770
5.1998	11.8710
5.1945	11.9570
5.1893	12.0310
5.1842	12.0940
5.1790	12.1450
5.1738	12.1840
5.1686	12.2140
5.1635	12.2380
5.1584	12.2600
5.1532	12.2850
5.1481	12.3150
5.1430	12.3510
5.1379	12.3920
5.1328	12.4330
5.1277	12.4710
5.1227	12.5010
5.1176	12.5200
5.1126	12.5290
5.1075	12.5300
5.1025	12.5290
5.0975	12.5330
5.0925	12.5450
5.0875	12.5690
5.0825	12.6020
5.0775	12.6420
5.0726	12.6830
5.0676	12.7200
5.0627	12.7530
5.0577	12.7800
5.0528	12.8030
5.0479	12.8250
5.0430	12.8480
5.0380	12.8720
5.0332	12.8960
5.0283	12.9230
5.0234	12.9510
5.0185	12.9810
5.0137	13.0150
5.0088	13.0560
5.0040	13.1060
4.9992	13.1670
4.9944	13.2410
4.9896	13.3320
4.9848	13.4380
4.9800	13.5580
4.9752	13.6890
4.9704	13.8260
4.9657	13.9620
4.9609	14.0920
4.9562	14.2100
4.9514	14.3160
4.9467	14.4100
4.9420	14.4970
4.9373	14.5830
4.9326	14.6740
4.9279	14.7760
4.9232	14.8920
4.9186	15.0250
4.9139	15.1720
4.9092	15.3340
4.9046	15.5060
4.9000	15.6870
4.8953	15.8720
4.8907	16.0570
4.8861	16.2370
4.8815	16.4100
4.8769	16.5710
4.8723	16.7210
4.8678	16.8590
4.8632	16.9850
4.8586	17.1000
4.8541	17.2050
4.8495	17.2990
4.8450	17.3840
4.8405	17.4610
4.8360	17.5320
4.8315	17.6010
4.8270	17.6710
4.8225	17.7430
4.8180	17.8180
4.8135	17.8930
4.8090	17.9670
4.8046	18.0350
4.8001	18.0980
4.7957	18.1530
4.7913	18.2000
4.7868	18.2430
4.7824	18.2840
4.7780	18.3250
4.7736	18.3690
4.7692	18.4180
4.7648	18.4730
4.7605	18.5320
4.7561	18.5930
4.7517	18.6520
4.7474	18.7060
4.7431	18.7510
4.7387	18.7850
4.7344	18.8060
4.7301	18.8130
4.7258	18.8030
4.7215	18.7750
4.7172	18.7280
4.7129	18.6610
4.7086	18.5760
4.7043	18.4790
4.7000	18.3780
4.6958	18.2840
4.6915	18.2080
4.6873	18.1590
4.6831	18.1410
4.6788	18.1560
