Name:  Light yellowish brown loamy sand
Type:  Soils
Class:  Aridisol
Subclass:  Camborthid
Particle Size:  see additional information
Sample No.:  89P1772
Owner:  JHU
Wavelength range:  All
Origin:  Kern Co., Ca., China Lake. via USDA Soil Conservation service.

Description:  The parent material is alluvium material over eolian.  Light 
yellowish brown loamy sand, (sandy, mixed, thermic typic camborthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1772a.txt

3.5557	27.0091
3.5532	26.8942
3.5508	26.7794
3.5484	26.6638
3.5459	26.5468
3.5435	26.4279
3.5411	26.3069
3.5387	26.1835
3.5363	26.0571
3.5338	25.9261
3.5314	25.7881
3.5290	25.6400
3.5266	25.4781
3.5242	25.2983
3.5218	25.0975
3.5195	24.8751
3.5171	24.6338
3.5147	24.3814
3.5123	24.1299
3.5099	23.8945
3.5075	23.6889
3.5052	23.5222
3.5028	23.3979
3.5004	23.3117
3.4981	23.2534
3.4957	23.2101
3.4934	23.1684
3.4910	23.1187
3.4887	23.0552
3.4863	22.9768
3.4840	22.8871
3.4816	22.7921
3.4793	22.6976
3.4770	22.6083
3.4746	22.5254
3.4723	22.4482
3.4700	22.3734
3.4677	22.2983
3.4653	22.2195
3.4630	22.1349
3.4607	22.0426
3.4584	21.9415
3.4561	21.8302
3.4538	21.7096
3.4515	21.5808
3.4492	21.4458
3.4469	21.3061
3.4446	21.1614
3.4423	21.0103
3.4400	20.8497
3.4378	20.6773
3.4355	20.4921
3.4332	20.2965
3.4309	20.0945
3.4287	19.8925
3.4264	19.6967
3.4241	19.5129
3.4219	19.3460
3.4196	19.1991
3.4174	19.0760
3.4151	18.9782
3.4129	18.9062
3.4106	18.8581
3.4084	18.8304
3.4061	18.8176
3.4039	18.8131
3.4017	18.8096
3.3994	18.8006
3.3972	18.7797
3.3950	18.7418
3.3928	18.6843
3.3906	18.6076
3.3883	18.5157
3.3861	18.4155
3.3839	18.3153
3.3817	18.2227
3.3795	18.1427
3.3773	18.0764
3.3751	18.0212
3.3729	17.9727
3.3707	17.9255
3.3685	17.8770
3.3663	17.8251
3.3641	17.7707
3.3620	17.7148
3.3598	17.6584
3.3576	17.6016
3.3554	17.5438
3.3533	17.4839
3.3511	17.4214
3.3489	17.3562
3.3468	17.2892
3.3446	17.2205
3.3425	17.1502
3.3403	17.0777
3.3382	17.0022
3.3360	16.9221
3.3339	16.8374
3.3317	16.7490
3.3296	16.6579
3.3274	16.5655
3.3253	16.4720
3.3232	16.3777
3.3210	16.2816
3.3189	16.1830
3.3168	16.0819
3.3147	15.9784
3.3126	15.8738
3.3104	15.7679
3.3083	15.6611
3.3062	15.5534
3.3041	15.4451
3.3020	15.3364
3.2999	15.2284
3.2978	15.1219
3.2957	15.0172
3.2936	14.9144
3.2915	14.8126
3.2894	14.7108
3.2874	14.6087
3.2853	14.5059
3.2832	14.4024
3.2811	14.2982
3.2790	14.1931
3.2770	14.0870
3.2749	13.9790
3.2728	13.8703
3.2708	13.7614
3.2687	13.6541
3.2666	13.5497
3.2646	13.4497
3.2625	13.3540
3.2605	13.2622
3.2584	13.1724
3.2564	13.0831
3.2543	12.9931
3.2523	12.9010
3.2503	12.8072
3.2482	12.7127
3.2462	12.6185
3.2442	12.5254
3.2421	12.4340
3.2401	12.3433
3.2381	12.2517
3.2361	12.1581
3.2340	12.0627
3.2320	11.9663
3.2300	11.8716
3.2280	11.7806
3.2260	11.6951
3.2240	11.6134
3.2220	11.5332
3.2200	11.4508
3.2180	11.3634
3.2160	11.2698
3.2140	11.1711
3.2120	11.0695
3.2100	10.9691
3.2080	10.8729
3.2060	10.7829
3.2040	10.6996
3.2021	10.6214
3.2001	10.5464
3.1981	10.4715
3.1961	10.3946
3.1942	10.3143
3.1922	10.2307
3.1902	10.1452
3.1883	10.0588
3.1863	9.9730
3.1844	9.8882
3.1824	9.8035
3.1805	9.7177
3.1785	9.6306
3.1766	9.5423
3.1746	9.4542
3.1727	9.3684
3.1707	9.2874
3.1688	9.2121
3.1669	9.1418
3.1649	9.0743
3.1630	9.0071
3.1611	8.9374
3.1591	8.8633
3.1572	8.7854
3.1553	8.7051
3.1534	8.6248
3.1515	8.5464
3.1495	8.4721
3.1476	8.4020
3.1457	8.3354
3.1438	8.2710
3.1419	8.2076
3.1400	8.1429
3.1381	8.0757
3.1362	8.0058
