Name:  Brown loamy fine sand
Type:  Soils
Class:  Alfisol
Subclass:  Haplustalf
Particle size:  see additional information
Sample No.:  87P3468
Owner:  JHU 
Wavelength range:  All
Origin:  Edwards Co., Ks. via USDA Soil Conservation service.

Description:  The parent material is eolian sand from upland slope in 
level or undulating plains.  Brown loamy fine sand (sandy, mixed, thermic 
psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3468a.txt

6.9122	1.2834
6.9030	1.2913
6.8938	1.2978
6.8847	1.3032
6.8755	1.3066
6.8664	1.3096
6.8573	1.3124
6.8483	1.3164
6.8393	1.3232
6.8302	1.3328
6.8213	1.3455
6.8123	1.3616
6.8034	1.3811
6.7944	1.4036
6.7855	1.4280
6.7767	1.4524
6.7678	1.4744
6.7590	1.4917
6.7502	1.5024
6.7414	1.5073
6.7327	1.5081
6.7239	1.5073
6.7152	1.5071
6.7065	1.5081
6.6979	1.5117
6.6892	1.5159
6.6806	1.5195
6.6720	1.5220
6.6634	1.5220
6.6549	1.5193
6.6464	1.5137
6.6378	1.5054
6.6294	1.4956
6.6209	1.4858
6.6124	1.4778
6.6040	1.4722
6.5956	1.4697
6.5872	1.4695
6.5789	1.4702
6.5705	1.4712
6.5622	1.4714
6.5539	1.4722
6.5456	1.4736
6.5374	1.4773
6.5292	1.4841
6.5209	1.4949
6.5128	1.5071
6.5046	1.5190
6.4964	1.5298
6.4883	1.5381
6.4802	1.5447
6.4721	1.5520
6.4640	1.5603
6.4560	1.5698
6.4480	1.5789
6.4399	1.5850
6.4320	1.5867
6.4240	1.5835
6.4160	1.5781
6.4081	1.5727
6.4002	1.5686
6.3923	1.5654
6.3844	1.5608
6.3766	1.5527
6.3687	1.5391
6.3609	1.5207
6.3531	1.5010
6.3454	1.4827
6.3376	1.4674
6.3299	1.4561
6.3221	1.4482
6.3144	1.4416
6.3068	1.4343
6.2991	1.4250
6.2914	1.4141
6.2838	1.4014
6.2762	1.3870
6.2686	1.3718
6.2611	1.3579
6.2535	1.3462
6.2460	1.3379
6.2385	1.3326
6.2310	1.3296
6.2235	1.3267
6.2160	1.3215
6.2086	1.3140
6.2011	1.3047
6.1937	1.2957
6.1863	1.2886
6.1790	1.2849
6.1716	1.2852
6.1643	1.2883
6.1570	1.2937
6.1496	1.3013
6.1424	1.3101
6.1351	1.3191
6.1278	1.3276
6.1206	1.3347
6.1134	1.3403
6.1062	1.3440
6.0990	1.3457
6.0918	1.3459
6.0847	1.3450
6.0776	1.3428
6.0704	1.3396
6.0633	1.3364
6.0563	1.3347
6.0492	1.3347
6.0421	1.3376
6.0351	1.3440
6.0281	1.3540
6.0211	1.3660
6.0141	1.3784
6.0071	1.3901
6.0002	1.3997
5.9932	1.4062
5.9863	1.4106
5.9794	1.4133
5.9725	1.4160
5.9657	1.4194
5.9588	1.4246
5.9520	1.4341
5.9451	1.4476
5.9383	1.4658
5.9315	1.4880
5.9247	1.5129
5.9180	1.5386
5.9112	1.5632
5.9045	1.5876
5.8978	1.6130
5.8911	1.6416
5.8844	1.6755
5.8777	1.7153
5.8711	1.7588
5.8644	1.8037
5.8578	1.8467
5.8512	1.8865
5.8446	1.9228
5.8380	1.9568
5.8314	1.9910
5.8249	2.0271
5.8184	2.0649
5.8118	2.1033
5.8053	2.1411
5.7988	2.1772
5.7923	2.2114
5.7859	2.2441
5.7794	2.2781
5.7730	2.3147
5.7666	2.3535
5.7602	2.3933
5.7538	2.4338
5.7474	2.4739
5.7410	2.5137
5.7347	2.5547
5.7283	2.5981
5.7220	2.6435
5.7157	2.6892
5.7094	2.7322
5.7031	2.7703
5.6969	2.8018
5.6906	2.8259
5.6844	2.8423
5.6782	2.8503
5.6719	2.8503
5.6657	2.8430
5.6596	2.8293
5.6534	2.8127
5.6472	2.7966
5.6411	2.7844
5.6349	2.7788
5.6288	2.7817
5.6227	2.7932
5.6166	2.8115
5.6106	2.8350
5.6045	2.8599
5.5984	2.8840
5.5924	2.9070
5.5864	2.9297
5.5804	2.9538
5.5744	2.9819
5.5684	3.0163
5.5624	3.0576
5.5564	3.1045
5.5505	3.1553
5.5445	3.2085
5.5386	3.2629
5.5327	3.3176
5.5268	3.3724
5.5209	3.4277
5.5151	3.4831
5.5092	3.5386
5.5033	3.5937
5.4975	3.6482
5.4917	3.7002
5.4859	3.7497
5.4801	3.7974
5.4743	3.8433
5.4685	3.8872
5.4628	3.9270
5.4570	3.9602
5.4513	3.9834
5.4455	3.9929
5.4398	3.9878
5.4341	3.9697
5.4284	3.9412
5.4228	3.9048
5.4171	3.8633
5.4114	3.8183
5.4058	3.7707
5.4002	3.7217
5.3945	3.6726
5.3889	3.6260
5.3833	3.5847
5.3778	3.5493
5.3722	3.5212
5.3666	3.5010
5.3611	3.4874
5.3555	3.4807
5.3500	3.4805
5.3445	3.4871
5.3390	3.5012
5.3335	3.5212
5.3280	3.5456
5.3225	3.5724
5.3171	3.5991
5.3116	3.6233
5.3062	3.6455
5.3008	3.6677
5.2954	3.6921
5.2900	3.7204
5.2846	3.7544
5.2792	3.7930
5.2738	3.8359
5.2684	3.8823
5.2631	3.9333
5.2578	3.9897
5.2524	4.0539
5.2471	4.1265
5.2418	4.2065
5.2365	4.2926
5.2312	4.3813
5.2260	4.4695
5.2207	4.5535
5.2154	4.6304
5.2102	4.6992
5.2050	4.7583
5.1998	4.8076
5.1945	4.8476
5.1893	4.8806
5.1842	4.9094
5.1790	4.9353
5.1738	4.9602
5.1686	4.9844
5.1635	5.0066
5.1584	5.0254
5.1532	5.0408
5.1481	5.0537
5.1430	5.0666
5.1379	5.0830
5.1328	5.1050
5.1277	5.1328
5.1227	5.1653
5.1176	5.1987
5.1126	5.2297
5.1075	5.2544
5.1025	5.2710
5.0975	5.2793
5.0925	5.2815
5.0875	5.2793
5.0825	5.2754
5.0775	5.2717
5.0726	5.2690
5.0676	5.2681
5.0627	5.2693
5.0577	5.2739
5.0528	5.2822
5.0479	5.2949
5.0430	5.3110
5.0380	5.3291
5.0332	5.3479
5.0283	5.3657
5.0234	5.3828
5.0185	5.3994
5.0137	5.4176
5.0088	5.4387
5.0040	5.4653
4.9992	5.4988
4.9944	5.5400
4.9896	5.5901
4.9848	5.6489
4.9800	5.7168
4.9752	5.7920
4.9704	5.8738
4.9657	5.9590
4.9609	6.0449
4.9562	6.1269
4.9514	6.2009
4.9467	6.2656
4.9420	6.3215
4.9373	6.3738
4.9326	6.4294
4.9279	6.4990
4.9232	6.5925
4.9186	6.7182
4.9139	6.8813
4.9092	7.0842
4.9046	7.3244
4.9000	7.5967
4.8953	7.8930
4.8907	8.2031
4.8861	8.5168
4.8815	8.8249
4.8769	9.1208
4.8723	9.4009
4.8678	9.6625
4.8632	9.9062
4.8586	10.1323
4.8541	10.3420
4.8495	10.5361
4.8450	10.7153
4.8405	10.8811
4.8360	11.0356
4.8315	11.1794
4.8270	11.3139
4.8225	11.4384
4.8180	11.5544
4.8135	11.6623
4.8090	11.7639
4.8046	11.8613
4.8001	11.9560
4.7957	12.0488
4.7913	12.1396
4.7868	12.2274
4.7824	12.3142
4.7780	12.4001
4.7736	12.4868
4.7692	12.5754
4.7648	12.6665
4.7605	12.7595
4.7561	12.8524
4.7517	12.9436
4.7474	13.0298
4.7431	13.1074
4.7387	13.1721
4.7344	13.2204
4.7301	13.2495
4.7258	13.2580
4.7215	13.2451
4.7172	13.2104
4.7129	13.1525
4.7086	13.0693
4.7043	12.9597
4.7000	12.8274
4.6958	12.6840
4.6915	12.5486
4.6873	12.4436
4.6831	12.3913
4.6788	12.4057
4.6746	12.4890
4.6704	12.6320
4.6662	12.8178
4.6620	13.0280
4.6578	13.2478
4.6536	13.4673
4.6495	13.6825
4.6453	13.8933
4.6411	14.0993
4.6370	14.2990
4.6328	14.4914
4.6287	14.6735
4.6246	14.8435
4.6205	15.0007
4.6163	15.1462
4.6122	15.2819
4.6081	15.4077
4.6040	15.5256
4.6000	15.6350
4.5959	15.7358
4.5918	15.8278
4.5877	15.9113
4.5837	15.9868
4.5796	16.0537
4.5756	16.1115
4.5716	16.1601
4.5675	16.1984
4.5635	16.2243
4.5595	16.2363
4.5555	16.2329
4.5515	16.2107
4.5475	16.1677
4.5435	16.1013
4.5395	16.0095
4.5356	15.8913
4.5316	15.7463
4.5276	15.5761
4.5237	15.3840
4.5197	15.1743
4.5158	14.9536
4.5119	14.7312
4.5080	14.5174
4.5040	14.3239
4.5001	14.1594
4.4962	14.0280
4.4923	13.9287
4.4884	13.8571
4.4846	13.8066
4.4807	13.7729
4.4768	13.7568
4.4730	13.7624
4.4691	13.7971
4.4652	13.8667
4.4614	13.9724
4.4576	14.1086
4.4537	14.2644
4.4499	14.4265
4.4461	14.5835
4.4423	14.7290
4.4385	14.8623
4.4347	14.9885
4.4309	15.1137
4.4271	15.2436
4.4233	15.3808
4.4196	15.5256
4.4158	15.6782
4.4120	15.8391
4.4083	16.0100
4.4045	16.1931
4.4008	16.3884
4.3971	16.5947
4.3934	16.8103
4.3896	17.0322
4.3859	17.2578
4.3822	17.4851
4.3785	17.7128
4.3748	17.9389
4.3711	18.1611
4.3674	18.3781
4.3638	18.5886
4.3601	18.7915
4.3564	18.9843
4.3528	19.1652
4.3491	19.3325
4.3455	19.4848
4.3418	19.6198
4.3382	19.7387
4.3346	19.8408
4.3310	19.9252
4.3273	19.9909
4.3237	20.0361
4.3201	20.0607
4.3165	20.0668
4.3129	20.0581
4.3094	20.0385
4.3058	20.0141
4.3022	19.9904
4.2986	19.9714
4.2951	19.9587
4.2915	19.9533
4.2880	19.9541
4.2844	19.9604
4.2809	19.9724
4.2774	19.9948
4.2738	20.0371
4.2703	20.1074
4.2668	20.2097
4.2633	20.3405
4.2598	20.4882
4.2563	20.6345
4.2528	20.7602
4.2493	20.8554
4.2458	20.9196
4.2424	20.9619
4.2389	20.9951
4.2354	21.0322
4.2320	21.0817
4.2285	21.1447
4.2251	21.2170
4.2216	21.2917
4.2182	21.3622
4.2148	21.4240
4.2113	21.4743
4.2079	21.5146
4.2045	21.5483
4.2011	21.5820
4.1977	21.6208
4.1943	21.6686
4.1909	21.7268
4.1875	21.7944
4.1841	21.8671
