Name:  Dark yellowish brown silty clay 
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  89P1805
Owner:  JHU
Wavelength range:  All
Origin:  San Bernadino Co., Ca.,China Lake via USDA Soil Conservation 
service.
Description: Parent material: alluvium over lacustrine material.  
Physiography: playa.  Dark yellowish brown silty clay  (Clayey over loamy, 
mixed thermic Typic Salorthid).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1805a.txt

5.0726	9.1321
5.0676	9.1922
5.0627	9.2548
5.0577	9.3187
5.0528	9.3822
5.0479	9.4433
5.0430	9.5001
5.0380	9.5527
5.0332	9.6024
5.0283	9.6521
5.0234	9.7031
5.0185	9.7561
5.0137	9.8108
5.0088	9.8657
5.0040	9.9205
4.9992	9.9742
4.9944	10.0280
4.9896	10.0820
4.9848	10.1370
4.9800	10.1930
4.9752	10.2480
4.9704	10.3020
4.9657	10.3540
4.9609	10.4040
4.9562	10.4500
4.9514	10.4940
4.9467	10.5360
4.9420	10.5750
4.9373	10.6130
4.9326	10.6500
4.9279	10.6880
4.9232	10.7290
4.9186	10.7770
4.9139	10.8310
4.9092	10.8910
4.9046	10.9570
4.9000	11.0240
4.8953	11.0890
4.8907	11.1530
4.8861	11.2140
4.8815	11.2730
4.8769	11.3320
4.8723	11.3910
4.8678	11.4490
4.8632	11.5060
4.8586	11.5580
4.8541	11.6070
4.8495	11.6530
4.8450	11.6980
4.8405	11.7420
4.8360	11.7880
4.8315	11.8340
4.8270	11.8780
4.8225	11.9170
4.8180	11.9500
4.8135	11.9790
4.8090	12.0050
4.8046	12.0320
4.8001	12.0610
4.7957	12.0940
4.7913	12.1280
4.7868	12.1620
4.7824	12.1960
4.7780	12.2290
4.7736	12.2590
4.7692	12.2870
4.7648	12.3140
4.7605	12.3390
4.7561	12.3650
4.7517	12.3920
4.7474	12.4240
4.7431	12.4590
4.7387	12.4960
4.7344	12.5340
4.7301	12.5700
4.7258	12.6020
4.7215	12.6290
4.7172	12.6530
4.7129	12.6760
4.7086	12.6980
4.7043	12.7200
4.7000	12.7430
4.6958	12.7670
4.6915	12.7940
4.6873	12.8240
4.6831	12.8620
4.6788	12.9070
4.6746	12.9600
4.6704	13.0190
4.6662	13.0840
4.6620	13.1530
4.6578	13.2250
4.6536	13.3010
4.6495	13.3820
4.6453	13.4660
4.6411	13.5530
4.6370	13.6410
4.6328	13.7260
4.6287	13.8070
4.6246	13.8840
4.6205	13.9590
4.6163	14.0320
4.6122	14.1050
4.6081	14.1780
4.6040	14.2510
4.6000	14.3240
4.5959	14.3940
4.5918	14.4630
4.5877	14.5290
4.5837	14.5920
4.5796	14.6540
4.5756	14.7140
4.5716	14.7740
4.5675	14.8340
4.5635	14.8940
4.5595	14.9530
4.5555	15.0110
4.5515	15.0660
4.5475	15.1190
4.5435	15.1680
4.5395	15.2150
4.5356	15.2590
4.5316	15.3010
4.5276	15.3390
4.5237	15.3740
4.5197	15.4040
4.5158	15.4300
4.5119	15.4530
4.5080	15.4760
4.5040	15.4990
4.5001	15.5260
4.4962	15.5550
4.4923	15.5870
4.4884	15.6230
4.4846	15.6610
4.4807	15.7000
4.4768	15.7420
4.4730	15.7850
4.4691	15.8300
4.4652	15.8740
4.4614	15.9180
4.4576	15.9620
4.4537	16.0060
4.4499	16.0520
4.4461	16.0990
4.4423	16.1490
4.4385	16.2000
4.4347	16.2500
4.4309	16.2990
4.4271	16.3460
4.4233	16.3910
4.4196	16.4360
4.4158	16.4830
4.4120	16.5330
4.4083	16.5870
4.4045	16.6440
4.4008	16.7030
4.3971	16.7630
4.3934	16.8230
4.3896	16.8830
4.3859	16.9410
