Name:  Brown to dark brown loamy sand
Type:  Soils
Class:  Utisol
Subclass:  Hapludult
Particle Size:  see additional information
Sample No.:  87P707
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  Parent material: alluvium from mixed material.  
Physiography: upland slope in coastal plain, cropland.  Brown to dark 
brown loamy sand (sandy, siliceous, mesic psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P707a.txt

4.5959	19.2231
4.5918	19.3166
4.5877	19.3547
4.5837	19.4157
4.5796	19.4631
4.5756	19.4582
4.5716	19.4365
4.5675	19.3803
4.5635	19.3083
4.5595	19.2014
4.5555	19.0502
4.5515	18.8452
4.5475	18.5463
4.5435	18.2111
4.5395	17.8620
4.5356	17.4704
4.5316	17.0461
4.5276	16.6049
4.5237	16.1482
4.5197	15.6301
4.5158	15.0788
4.5119	14.5351
4.5080	13.9956
4.5040	13.5307
4.5001	13.1416
4.4962	12.7878
4.4923	12.5503
4.4884	12.3950
4.4846	12.2656
4.4807	12.1472
4.4768	12.0114
4.4730	11.8899
4.4691	11.8371
4.4652	11.8640
4.4614	11.9568
4.4576	12.1609
4.4537	12.4135
4.4499	12.6455
4.4461	12.8537
4.4423	13.0188
4.4385	13.1479
4.4347	13.2824
4.4309	13.4648
4.4271	13.6545
4.4233	13.8422
4.4196	14.0688
4.4158	14.3012
4.4120	14.5041
4.4083	14.7170
4.4045	14.9831
4.4008	15.2751
4.3971	15.5649
4.3934	15.8774
4.3896	16.2182
4.3859	16.5507
4.3822	16.8642
4.3785	17.1933
4.3748	17.5542
4.3711	17.9116
4.3674	18.2407
4.3638	18.5373
4.3601	18.8242
4.3564	19.1335
4.3528	19.3818
4.3491	19.5942
4.3455	19.7807
4.3418	19.9448
4.3382	20.0678
4.3346	20.1323
4.3310	20.2106
4.3273	20.2674
4.3237	20.2597
4.3201	20.2697
4.3165	20.2106
4.3129	20.0693
4.3094	19.9519
4.3058	19.8469
4.3022	19.7668
4.2986	19.6706
4.2951	19.5588
4.2915	19.5041
4.2880	19.4799
4.2844	19.5019
4.2809	19.5666
4.2774	19.6347
4.2738	19.7128
4.2703	19.8356
4.2668	19.9968
4.2633	20.1694
4.2598	20.3475
4.2563	20.5326
4.2528	20.6088
4.2493	20.5749
4.2458	20.5148
4.2424	20.4340
4.2389	20.3624
4.2354	20.3632
4.2320	20.4062
4.2285	20.4816
4.2251	20.5610
4.2216	20.6538
4.2182	20.7692
4.2148	20.8732
4.2113	20.9628
4.2079	21.0036
4.2045	21.0234
4.2011	21.0322
4.1977	21.0683
4.1943	21.1664
4.1909	21.2490
4.1875	21.3142
4.1841	21.3879
4.1808	21.4956
4.1774	21.6210
4.1740	21.7141
4.1707	21.7880
4.1673	21.8535
4.1640	21.9265
4.1606	22.0175
4.1573	22.1059
4.1540	22.1518
4.1506	22.2125
4.1473	22.2978
4.1440	22.3693
4.1407	22.4211
4.1374	22.4992
4.1341	22.5886
4.1308	22.6762
4.1275	22.7600
4.1242	22.8425
4.1209	22.9164
4.1177	23.0125
4.1144	23.1203
4.1111	23.2402
4.1079	23.3571
4.1046	23.4360
4.1014	23.5012
4.0981	23.6245
4.0949	23.7194
4.0917	23.7929
4.0884	23.8757
4.0852	23.9245
4.0820	23.9892
4.0788	24.0500
4.0756	24.1124
4.0724	24.1769
4.0692	24.2153
4.0660	24.2307
4.0628	24.2372
4.0596	24.2194
4.0565	24.1948
4.0533	24.1794
4.0501	24.1889
4.0470	24.1738
4.0438	24.1175
4.0406	24.0847
4.0375	24.0566
4.0344	24.0019
4.0312	23.9699
4.0281	23.9621
4.0250	23.9128
4.0218	23.8705
4.0187	23.8447
4.0156	23.8588
4.0125	23.8381
4.0094	23.8061
4.0063	23.7978
4.0032	23.7525
4.0001	23.7570
3.9970	23.7851
3.9940	23.8237
3.9909	23.8615
3.9878	23.9033
3.9847	23.9294
3.9817	23.9672
3.9786	24.0143
3.9756	24.0170
3.9725	24.0380
3.9695	24.0600
3.9665	24.1303
3.9634	24.2231
3.9604	24.2817
3.9574	24.2971
3.9544	24.3493
3.9513	24.4374
3.9483	24.5029
3.9453	24.5174
3.9423	24.5090
3.9393	24.5107
3.9363	24.5702
3.9333	24.6226
3.9304	24.6340
3.9274	24.6271
3.9244	24.6218
3.9214	24.6323
3.9185	24.5934
3.9155	24.5666
3.9126	24.5744
3.9096	24.5595
3.9067	24.5090
3.9037	24.4684
3.9008	24.4470
3.8979	24.3818
3.8949	24.2690
3.8920	24.2280
3.8891	24.1889
3.8862	24.1293
3.8833	24.0446
3.8804	23.9665
3.8775	23.8991
3.8746	23.8454
3.8717	23.7961
3.8688	23.7325
3.8659	23.6857
3.8630	23.6618
3.8601	23.6162
3.8573	23.5732
3.8544	23.5143
3.8515	23.4540
3.8487	23.4672
3.8458	23.4648
3.8430	23.4276
3.8401	23.4081
3.8373	23.4089
3.8344	23.4318
3.8316	23.4269
3.8288	23.3669
3.8259	23.3915
3.8231	23.4252
3.8203	23.4089
3.8175	23.3957
3.8147	23.3825
3.8119	23.3801
3.8091	23.3544
3.8063	23.3359
3.8035	23.3422
3.8007	23.3290
3.7979	23.2524
3.7951	23.1957
3.7924	23.1642
3.7896	23.0998
3.7868	23.0204
3.7841	22.9711
3.7813	22.9228
3.7785	22.8691
3.7758	22.7993
3.7730	22.6889
3.7703	22.6022
3.7676	22.5642
3.7648	22.4976
3.7621	22.4030
3.7594	22.3117
3.7566	22.2514
3.7539	22.1789
3.7512	22.1313
3.7485	22.0632
3.7458	21.9958
3.7431	21.9633
3.7404	21.9350
3.7377	21.8896
3.7350	21.8420
3.7323	21.7912
3.7296	21.7758
3.7269	21.7578
3.7242	21.7348
3.7216	21.7453
3.7189	21.7612
3.7162	21.7751
3.7136	21.8120
3.7109	21.8026
3.7083	21.7973
3.7056	21.8364
3.7030	21.8649
3.7003	21.8510
3.6977	21.8426
3.6950	21.8526
3.6924	21.8496
3.6898	21.9003
3.6872	21.9340
3.6845	21.9062
3.6819	21.9072
3.6793	21.9479
3.6767	21.9409
3.6741	21.8896
3.6715	21.8710
3.6689	21.8679
3.6663	21.8456
3.6637	21.8126
3.6611	21.7980
3.6585	21.8059
3.6560	21.7629
3.6534	21.7001
3.6508	21.6760
3.6482	21.6249
3.6457	21.5651
3.6431	21.5507
3.6406	21.5068
3.6380	21.4750
3.6355	21.4252
3.6329	21.3373
3.6304	21.3149
3.6278	21.2729
3.6253	21.1606
3.6227	21.1101
3.6202	21.0690
3.6177	21.0092
3.6152	20.9299
3.6127	20.8740
3.6101	20.8373
3.6076	20.7729
3.6051	20.7023
3.6026	20.6528
3.6001	20.6013
3.5976	20.5502
3.5951	20.4960
3.5926	20.4348
3.5901	20.3835
3.5876	20.3488
3.5852	20.2719
3.5827	20.1850
3.5802	20.1208
3.5777	20.0480
3.5753	19.9876
3.5728	19.9707
3.5704	19.9124
3.5679	19.8303
3.5654	19.7919
3.5630	19.7441
3.5605	19.6416
3.5581	19.5617
3.5557	19.5246
3.5532	19.4631
3.5508	19.3981
3.5484	19.3674
3.5459	19.3015
3.5435	19.2089
3.5411	19.0979
3.5387	18.9995
3.5363	18.8991
3.5338	18.8181
3.5314	18.7697
3.5290	18.6950
3.5266	18.5475
3.5242	18.4340
3.5218	18.3073
3.5195	18.0952
3.5171	17.8791
3.5147	17.6586
3.5123	17.3767
3.5099	17.0700
3.5075	16.8671
3.5052	16.8175
3.5028	16.8002
3.5004	16.7910
3.4981	16.8164
3.4957	16.8708
3.4934	16.8757
3.4910	16.8620
3.4887	16.8513
3.4863	16.8046
3.4840	16.7463
3.4816	16.6933
3.4793	16.6208
3.4770	16.5810
3.4746	16.5666
3.4723	16.5300
3.4700	16.4599
3.4677	16.3732
3.4653	16.2890
3.4630	16.1975
3.4607	16.1369
3.4584	16.0705
3.4561	15.9636
3.4538	15.8960
3.4515	15.8469
3.4492	15.7375
3.4469	15.5979
3.4446	15.5092
3.4423	15.4170
3.4400	15.2680
3.4378	15.1275
3.4355	14.9895
3.4332	14.7978
3.4309	14.5822
3.4287	14.3469
3.4264	14.1587
3.4241	14.0571
3.4219	13.9992
3.4196	13.9375
3.4174	13.8813
3.4151	13.8803
3.4129	13.8794
3.4106	13.8896
3.4084	13.9150
3.4061	13.9209
3.4039	13.9558
3.4017	13.9738
3.3994	13.9978
3.3972	14.0156
3.3950	14.0339
3.3928	14.0354
3.3906	14.0630
3.3883	14.0783
3.3861	14.0605
3.3839	14.0363
3.3817	14.0014
3.3795	13.9670
3.3773	13.9582
3.3751	13.9592
3.3729	13.9587
3.3707	13.9694
3.3685	13.9829
3.3663	13.9563
3.3641	13.9543
3.3620	13.9492
3.3598	13.9521
3.3576	13.9577
3.3554	13.9358
3.3533	13.9528
3.3511	13.9968
3.3489	13.9699
3.3468	13.9052
3.3446	13.8332
3.3425	13.8432
3.3403	13.8598
3.3382	13.8191
3.3360	13.7287
3.3339	13.6709
3.3317	13.6640
3.3296	13.6450
3.3274	13.5752
3.3253	13.5183
3.3232	13.4904
3.3210	13.4692
3.3189	13.3864
3.3168	13.3466
3.3147	13.3222
3.3126	13.2304
3.3104	13.1496
3.3083	13.1003
3.3062	13.0393
3.3041	12.9983
3.3020	12.9338
3.2999	12.8862
3.2978	12.8134
3.2957	12.7370
3.2936	12.6762
3.2915	12.6272
3.2894	12.5593
3.2874	12.5036
3.2853	12.4448
3.2832	12.3720
3.2811	12.3134
3.2790	12.2580
3.2770	12.1999
3.2749	12.1323
3.2728	12.0705
3.2708	12.0078
3.2687	11.9529
3.2666	11.9341
3.2646	11.8554
3.2625	11.7712
3.2605	11.7351
3.2584	11.6911
3.2564	11.6457
3.2543	11.5967
3.2523	11.5266
3.2503	11.4389
3.2482	11.3896
3.2462	11.3659
3.2442	11.3071
3.2421	11.2807
3.2401	11.2177
3.2381	11.1037
3.2361	11.0464
3.2340	11.0146
3.2320	10.9848
3.2300	10.9780
3.2280	10.8945
3.2260	10.8020
3.2240	10.7895
3.2220	10.7915
3.2200	10.7302
3.2180	10.6438
3.2160	10.5991
3.2140	10.5488
3.2120	10.5107
3.2100	10.4822
3.2080	10.4157
3.2060	10.3388
3.2040	10.2749
3.2021	10.2510
3.2001	10.2644
3.1981	10.2273
3.1961	10.1323
3.1942	10.0835
3.1922	10.0444
3.1902	10.0110
3.1883	9.9555
3.1863	9.8869
3.1844	9.8701
3.1824	9.8469
3.1805	9.7854
3.1785	9.7099
3.1766	9.6784
3.1746	9.6548
3.1727	9.5754
3.1707	9.5371
3.1688	9.5307
3.1669	9.4914
3.1649	9.4419
3.1630	9.3562
3.1611	9.3093
3.1591	9.3095
3.1572	9.2544
3.1553	9.1931
3.1534	9.1525
3.1515	9.1098
3.1495	9.0486
3.1476	8.9963
3.1457	8.9328
3.1438	8.8952
3.1419	8.8598
3.1400	8.8415
3.1381	8.8020
3.1362	8.7358
3.1343	8.7009
3.1324	8.6638
3.1305	8.6367
3.1286	8.6501
3.1268	8.6006
3.1249	8.5488
3.1230	8.5005
3.1211	8.4414
3.1192	8.3994
3.1174	8.4392
3.1155	8.4377
3.1136	8.3818
3.1117	8.3208
3.1099	8.2998
3.1080	8.2529
3.1061	8.2549
3.1043	8.2768
3.1024	8.2629
3.1006	8.2248
3.0987	8.1743
