Name:  Dark reddish brown, organic-rich, silty loam 
Type:  Soils
Class:  Spodosol
Subclass:  Cryohumod
Particle Size:  see additional information
Sample No.:  87P4264
Owner:  JHU
Wavelength range:  All
Origin:  Kenai-Cook Inlet Division, Ak. 

Description: Parent material: volcanic ash from acidic-ash material over 
glacial till from mixed-igneous and metamorphic matter.  
Physiography: hillside with 18¡ east-facing slope.  Dark reddish brown, 
organic-rich, silty loam (A0 horizon); (medial over loamy, mixed typic).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4264a.txt

4.6495	18.5649
4.6453	18.5864
4.6411	18.6048
4.6370	18.6215
4.6328	18.6350
4.6287	18.6527
4.6246	18.6723
4.6205	18.6895
4.6163	18.7108
4.6122	18.7319
4.6081	18.7503
4.6040	18.7711
4.6000	18.7910
4.5959	18.8094
4.5918	18.8244
4.5877	18.8411
4.5837	18.8613
4.5796	18.8802
4.5756	18.8952
4.5716	18.9072
4.5675	18.9139
4.5635	18.9173
4.5595	18.9185
4.5555	18.9204
4.5515	18.9273
4.5475	18.9378
4.5435	18.9500
4.5395	18.9639
4.5356	18.9752
4.5316	18.9829
4.5276	18.9888
4.5237	18.9919
4.5197	18.9971
4.5158	18.9989
4.5119	18.9946
4.5080	18.9929
4.5040	18.9903
4.5001	18.9824
4.4962	18.9727
4.4923	18.9610
4.4884	18.9520
4.4846	18.9422
4.4807	18.9373
4.4768	18.9428
4.4730	18.9500
4.4691	18.9565
4.4652	18.9606
4.4614	18.9602
4.4576	18.9532
4.4537	18.9438
4.4499	18.9378
4.4461	18.9263
4.4423	18.9116
4.4385	18.8986
4.4347	18.8872
4.4309	18.8740
4.4271	18.8610
4.4233	18.8510
4.4196	18.8375
4.4158	18.8175
4.4120	18.8000
4.4083	18.7897
4.4045	18.7828
4.4008	18.7735
4.3971	18.7624
4.3934	18.7475
4.3896	18.7282
4.3859	18.7087
4.3822	18.6903
4.3785	18.6744
4.3748	18.6544
4.3711	18.6245
4.3674	18.5902
4.3638	18.5612
4.3601	18.5385
4.3564	18.5180
4.3528	18.4984
4.3491	18.4774
4.3455	18.4483
4.3418	18.4115
4.3382	18.3745
4.3346	18.3428
4.3310	18.3144
4.3273	18.2830
4.3237	18.2479
4.3201	18.2058
4.3165	18.1584
4.3129	18.1110
4.3094	18.0634
4.3058	18.0211
4.3022	17.9830
4.2986	17.9392
4.2951	17.8874
4.2915	17.8349
4.2880	17.7816
4.2844	17.7293
4.2809	17.6820
4.2774	17.6466
4.2738	17.6224
4.2703	17.6099
4.2668	17.6052
4.2633	17.6024
4.2598	17.5865
4.2563	17.5535
4.2528	17.5057
4.2493	17.4420
4.2458	17.3696
4.2424	17.3049
4.2389	17.2470
4.2354	17.1912
4.2320	17.1401
4.2285	17.0990
4.2251	17.0705
4.2216	17.0529
4.2182	17.0429
4.2148	17.0387
4.2113	17.0339
4.2079	17.0185
4.2045	16.9888
4.2011	16.9532
4.1977	16.9156
4.1943	16.8757
4.1909	16.8313
4.1875	16.7847
4.1841	16.7408
4.1808	16.6989
4.1774	16.6566
4.1740	16.6154
4.1707	16.5744
4.1673	16.5255
4.1640	16.4702
4.1606	16.4118
4.1573	16.3498
4.1540	16.2907
4.1506	16.2375
4.1473	16.1883
4.1440	16.1442
4.1407	16.1025
4.1374	16.0603
4.1341	16.0153
4.1308	15.9593
4.1275	15.8967
4.1242	15.8330
4.1209	15.7694
4.1177	15.7103
4.1144	15.6535
4.1111	15.5997
4.1079	15.5540
4.1046	15.5084
4.1014	15.4583
4.0981	15.4105
4.0949	15.3671
4.0917	15.3227
4.0884	15.2669
4.0852	15.2059
4.0820	15.1475
4.0788	15.0870
4.0756	15.0272
4.0724	14.9758
4.0692	14.9310
4.0660	14.8824
4.0628	14.8221
4.0596	14.7563
4.0565	14.6949
4.0533	14.6446
4.0501	14.6104
4.0470	14.5803
4.0438	14.5461
4.0406	14.5053
4.0375	14.4557
4.0344	14.4028
4.0312	14.3515
4.0281	14.3106
4.0250	14.2765
4.0218	14.2314
4.0187	14.1775
4.0156	14.1250
4.0125	14.0709
4.0094	14.0218
4.0063	13.9817
4.0032	13.9495
4.0001	13.9187
3.9970	13.8855
3.9940	13.8479
3.9909	13.8060
3.9878	13.7574
3.9847	13.7127
3.9817	13.6739
3.9786	13.6330
3.9756	13.5869
3.9725	13.5438
3.9695	13.5067
3.9665	13.4723
3.9634	13.4399
3.9604	13.4100
3.9574	13.3840
3.9544	13.3538
3.9513	13.3177
3.9483	13.2885
3.9453	13.2672
3.9423	13.2475
3.9393	13.2256
3.9363	13.1978
3.9333	13.1627
3.9304	13.1175
3.9274	13.0758
3.9244	13.0443
3.9214	13.0132
3.9185	12.9823
3.9155	12.9581
3.9126	12.9366
3.9096	12.9112
3.9067	12.8835
3.9037	12.8557
3.9008	12.8237
3.8979	12.7866
3.8949	12.7459
3.8920	12.7102
3.8891	12.6839
3.8862	12.6628
3.8833	12.6386
3.8804	12.6057
3.8775	12.5736
3.8746	12.5461
3.8717	12.5122
3.8688	12.4768
3.8659	12.4464
3.8630	12.4183
3.8601	12.3834
3.8573	12.3468
3.8544	12.3205
3.8515	12.2974
3.8487	12.2652
3.8458	12.2257
3.8430	12.1837
3.8401	12.1479
3.8373	12.1157
3.8344	12.0888
3.8316	12.0678
3.8288	12.0412
3.8259	12.0040
3.8231	11.9625
3.8203	11.9290
3.8175	11.9016
3.8147	11.8709
3.8119	11.8438
3.8091	11.8181
3.8063	11.7907
3.8035	11.7583
3.8007	11.7254
3.7979	11.6996
3.7951	11.6743
3.7924	11.6436
3.7896	11.6120
3.7868	11.5781
3.7841	11.5440
3.7813	11.5171
3.7785	11.5003
3.7758	11.4864
3.7730	11.4699
3.7703	11.4513
3.7676	11.4269
3.7648	11.3955
3.7621	11.3635
3.7594	11.3431
3.7566	11.3319
3.7539	11.3165
3.7512	11.2893
3.7485	11.2606
3.7458	11.2325
3.7431	11.2065
3.7404	11.1864
3.7377	11.1716
3.7350	11.1596
3.7323	11.1422
3.7296	11.1131
3.7269	11.0792
3.7242	11.0421
3.7216	11.0044
3.7189	10.9710
3.7162	10.9474
3.7136	10.9266
3.7109	10.9084
3.7083	10.8910
3.7056	10.8713
3.7030	10.8459
3.7003	10.8117
3.6977	10.7716
3.6950	10.7292
3.6924	10.6811
3.6898	10.6368
3.6872	10.6014
3.6845	10.5724
3.6819	10.5459
3.6793	10.5150
3.6767	10.4748
3.6741	10.4317
3.6715	10.3908
3.6689	10.3487
3.6663	10.3078
3.6637	10.2729
3.6611	10.2418
3.6585	10.2129
3.6560	10.1827
3.6534	10.1518
3.6508	10.1249
3.6482	10.0923
3.6457	10.0504
3.6431	10.0100
3.6406	9.9751
3.6380	9.9477
3.6355	9.9303
3.6329	9.9107
3.6304	9.8822
3.6278	9.8449
3.6253	9.8011
3.6227	9.7580
3.6202	9.7179
3.6177	9.6812
3.6152	9.6489
3.6127	9.6135
3.6101	9.5698
3.6076	9.5274
3.6051	9.4908
3.6026	9.4574
3.6001	9.4205
3.5976	9.3779
3.5951	9.3351
3.5926	9.2879
3.5901	9.2396
3.5876	9.1941
3.5852	9.1501
3.5827	9.1080
3.5802	9.0632
3.5777	9.0223
3.5753	8.9867
3.5728	8.9375
3.5704	8.8828
3.5679	8.8264
3.5654	8.7639
3.5630	8.7020
3.5605	8.6472
3.5581	8.5951
3.5557	8.5343
3.5532	8.4636
3.5508	8.3915
3.5484	8.3208
3.5459	8.2469
3.5435	8.1710
3.5411	8.0949
3.5387	8.0089
3.5363	7.9125
3.5338	7.8119
3.5314	7.7004
3.5290	7.5813
3.5266	7.4487
3.5242	7.2915
3.5218	7.1033
3.5195	6.8722
3.5171	6.5891
3.5147	6.2659
3.5123	5.9424
3.5099	5.6826
3.5075	5.5232
3.5052	5.4674
3.5028	5.5067
3.5004	5.6069
3.4981	5.7180
3.4957	5.8041
3.4934	5.8559
3.4910	5.8818
3.4887	5.8883
3.4863	5.8785
3.4840	5.8611
3.4816	5.8479
3.4793	5.8440
3.4770	5.8385
3.4746	5.8244
3.4723	5.7988
3.4700	5.7672
3.4677	5.7270
3.4653	5.6737
3.4630	5.6184
3.4607	5.5670
3.4584	5.5141
3.4561	5.4554
3.4538	5.3948
3.4515	5.3349
3.4492	5.2684
3.4469	5.2014
3.4446	5.1389
3.4423	5.0726
3.4400	4.9906
3.4378	4.8762
3.4355	4.7296
3.4332	4.5676
3.4309	4.4051
3.4287	4.2606
3.4264	4.1544
3.4241	4.1063
3.4219	4.1085
3.4196	4.1348
3.4174	4.1676
3.4151	4.2074
3.4129	4.2446
3.4106	4.2714
3.4084	4.3076
3.4061	4.3673
3.4039	4.4326
3.4017	4.4958
3.3994	4.5564
3.3972	4.6116
3.3950	4.6588
3.3928	4.7002
3.3906	4.7474
3.3883	4.7966
3.3861	4.8353
3.3839	4.8772
3.3817	4.9285
3.3795	4.9758
3.3773	5.0167
3.3751	5.0593
3.3729	5.1092
3.3707	5.1583
3.3685	5.2024
3.3663	5.2557
3.3641	5.3232
3.3620	5.3926
3.3598	5.4624
3.3576	5.5284
3.3554	5.5862
3.3533	5.6326
3.3511	5.6734
3.3489	5.7126
3.3468	5.7545
3.3446	5.8048
3.3425	5.8546
3.3403	5.8878
3.3382	5.9074
3.3360	5.9274
3.3339	5.9469
3.3317	5.9560
3.3296	5.9586
3.3274	5.9663
3.3253	5.9685
3.3232	5.9653
3.3210	5.9668
3.3189	5.9802
3.3168	5.9962
3.3147	6.0029
3.3126	5.9982
3.3104	5.9842
3.3083	5.9665
3.3062	5.9491
3.3041	5.9339
3.3020	5.9204
3.2999	5.9070
3.2978	5.8926
3.2957	5.8746
3.2936	5.8459
3.2915	5.8155
3.2894	5.7898
3.2874	5.7605
3.2853	5.7248
3.2832	5.6962
3.2811	5.6754
3.2790	5.6557
3.2770	5.6318
3.2749	5.6009
3.2728	5.5730
3.2708	5.5443
3.2687	5.5174
3.2666	5.4955
3.2646	5.4728
3.2625	5.4459
3.2605	5.4145
3.2584	5.3779
3.2564	5.3426
3.2543	5.3113
3.2523	5.2859
3.2503	5.2650
3.2482	5.2533
3.2462	5.2445
3.2442	5.2316
3.2421	5.2191
3.2401	5.2036
3.2381	5.1858
3.2361	5.1648
3.2340	5.1451
3.2320	5.1308
3.2300	5.1157
