Name:  Grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Haplustall
Particle Size:  see additional information
Sample No.:  85P4569
Owner:  JHU
Wavelength range:  All
Origin:  Cheyenne Co., Nb. via USDA Soil Conservation service.

Description:  Parent material is residuum from mixed-calcareous material.  
Grayish brown loam (loamy-skeletal, mixed, mesic lithic).  
Physiography: upland slope in level or undulating uplands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4569a.txt

8.1384	4.1526
8.1256	4.0441
8.1129	3.9300
8.1002	3.8185
8.0876	3.7168
8.0750	3.6316
8.0624	3.5619
8.0499	3.5041
8.0374	3.4548
8.0250	3.4116
8.0126	3.3733
8.0002	3.3387
7.9879	3.3076
7.9756	3.2814
7.9634	3.2574
7.9512	3.2362
7.9390	3.2170
7.9268	3.1985
7.9147	3.1781
7.9027	3.1562
7.8906	3.1349
7.8786	3.1171
7.8667	3.1053
7.8548	3.1024
7.8429	3.1051
7.8310	3.1099
7.8192	3.1136
7.8075	3.1175
7.7957	3.1233
7.7840	3.1316
7.7723	3.1440
7.7607	3.1609
7.7491	3.1766
7.7375	3.1868
7.7260	3.1903
7.7145	3.1882
7.7031	3.1798
7.6916	3.1655
7.6802	3.1493
7.6689	3.1341
7.6575	3.1180
7.6462	3.1005
7.6350	3.0832
7.6238	3.0665
7.6126	3.0480
7.6014	3.0301
7.5903	3.0166
7.5792	3.0088
7.5681	3.0068
7.5571	3.0127
7.5461	3.0253
7.5351	3.0411
7.5242	3.0560
7.5133	3.0688
7.5024	3.0774
7.4916	3.0799
7.4807	3.0787
7.4700	3.0763
7.4592	3.0720
7.4485	3.0657
7.4378	3.0583
7.4272	3.0517
7.4165	3.0458
7.4059	3.0397
7.3954	3.0321
7.3848	3.0204
7.3743	3.0019
7.3639	2.9755
7.3534	2.9409
7.3430	2.9014
7.3326	2.8592
7.3223	2.8149
7.3119	2.7673
7.3016	2.7184
7.2914	2.6713
7.2811	2.6276
7.2709	2.5902
7.2607	2.5608
7.2506	2.5338
7.2404	2.5038
7.2303	2.4669
7.2203	2.4244
7.2102	2.3793
7.2002	2.3368
7.1902	2.3032
7.1803	2.2781
7.1703	2.2561
7.1604	2.2391
7.1506	2.2318
7.1407	2.2389
7.1309	2.2622
7.1211	2.3005
7.1113	2.3466
7.1016	2.3857
7.0919	2.4050
7.0822	2.4009
7.0725	2.3768
7.0629	2.3409
7.0533	2.3010
7.0437	2.2657
7.0341	2.2410
7.0246	2.2268
7.0151	2.2185
7.0056	2.2112
6.9962	2.2017
6.9867	2.1888
6.9773	2.1725
6.9679	2.1555
6.9586	2.1423
6.9493	2.1351
6.9400	2.1307
6.9307	2.1288
6.9214	2.1287
6.9122	2.1267
6.9030	2.1207
6.8938	2.1122
6.8847	2.1014
6.8755	2.0881
6.8664	2.0734
6.8573	2.0659
6.8483	2.0676
6.8393	2.0740
6.8302	2.0834
6.8213	2.0972
6.8123	2.1119
6.8034	2.1244
6.7944	2.1362
6.7855	2.1532
6.7767	2.1744
6.7678	2.1969
6.7590	2.2194
6.7502	2.2404
6.7414	2.2581
6.7327	2.2695
6.7239	2.2743
6.7152	2.2764
6.7065	2.2788
6.6979	2.2841
6.6892	2.2903
6.6806	2.2952
6.6720	2.2977
6.6634	2.2955
6.6549	2.2895
6.6464	2.2854
6.6378	2.2903
6.6294	2.3091
6.6209	2.3348
6.6124	2.3613
6.6040	2.3835
6.5956	2.3971
6.5872	2.4010
6.5789	2.4004
6.5705	2.4044
6.5622	2.4178
6.5539	2.4368
6.5456	2.4579
6.5374	2.4745
6.5292	2.4790
6.5209	2.4674
6.5128	2.4445
6.5046	2.4191
6.4964	2.3997
6.4883	2.3932
6.4802	2.4012
6.4721	2.4187
6.4640	2.4375
6.4560	2.4438
6.4480	2.4299
6.4399	2.3961
6.4320	2.3486
6.4240	2.2976
6.4160	2.2515
6.4081	2.2195
6.4002	2.2032
6.3923	2.1896
6.3844	2.1676
6.3766	2.1349
6.3687	2.0925
6.3609	2.0431
6.3531	1.9922
6.3454	1.9479
6.3376	1.9139
6.3299	1.8842
6.3221	1.8545
6.3144	1.8253
6.3068	1.7954
6.2991	1.7631
6.2914	1.7305
6.2838	1.7002
6.2762	1.6727
6.2686	1.6476
6.2611	1.6240
6.2535	1.6016
6.2460	1.5782
6.2385	1.5525
6.2310	1.5256
6.2235	1.4974
6.2160	1.4678
6.2086	1.4392
6.2011	1.4130
6.1937	1.3898
6.1863	1.3700
6.1790	1.3546
6.1716	1.3422
6.1643	1.3296
6.1570	1.3165
6.1496	1.3019
6.1424	1.2838
6.1351	1.2638
6.1278	1.2476
6.1206	1.2399
6.1134	1.2388
6.1062	1.2424
6.0990	1.2505
6.0918	1.2561
6.0847	1.2529
6.0776	1.2422
6.0704	1.2321
6.0633	1.2279
6.0563	1.2295
6.0492	1.2393
6.0421	1.2601
6.0351	1.2850
6.0281	1.3060
6.0211	1.3219
6.0141	1.3354
6.0071	1.3467
6.0002	1.3560
5.9932	1.3683
5.9863	1.3895
5.9794	1.4172
5.9725	1.4470
5.9657	1.4783
5.9588	1.5107
5.9520	1.5430
