Name:  Black loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  85P4663
Owner:  JHU
Wavelength range:  All
Origin:  Gunnison Co., Co. via USDA Soil Conservation service.

Description: Parent material is local colluvium from igneous andesitic 
material.  Black loam, (fine-loamy, mixed pachic).  
Physiography: hillside or mountainside in mountains or deeply dissected plateaus.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4663a.txt
	
7.6350	1.7045
7.6238	1.6905
7.6126	1.6726
7.6014	1.6754
7.5903	1.6766
7.5792	1.6736
7.5681	1.6738
7.5571	1.6597
7.5461	1.6539
7.5351	1.6738
7.5242	1.6833
7.5133	1.6829
7.5024	1.6871
7.4916	1.6786
7.4807	1.6711
7.4700	1.6721
7.4592	1.6774
7.4485	1.6858
7.4378	1.6934
7.4272	1.7040
7.4165	1.7053
7.4059	1.7185
7.3954	1.7180
7.3848	1.7023
7.3743	1.6973
7.3639	1.6829
7.3534	1.6726
7.3430	1.6791
7.3326	1.6788
7.3223	1.6757
7.3119	1.6532
7.3016	1.6298
7.2914	1.6348
7.2811	1.6462
7.2709	1.6295
7.2607	1.6108
7.2506	1.6283
7.2404	1.6448
7.2303	1.6260
7.2203	1.6197
7.2102	1.6166
7.2002	1.6208
7.1902	1.6290
7.1803	1.6407
7.1703	1.6572
7.1604	1.6587
7.1506	1.6616
7.1407	1.6711
7.1309	1.6757
7.1211	1.6805
7.1113	1.6826
7.1016	1.6807
7.0919	1.6836
7.0822	1.6848
7.0725	1.6788
7.0629	1.6874
7.0533	1.6918
7.0437	1.6796
7.0341	1.6589
7.0246	1.6644
7.0151	1.6884
7.0056	1.7035
6.9962	1.7137
6.9867	1.7197
6.9773	1.7269
6.9679	1.7386
6.9586	1.7529
6.9493	1.7718
6.9400	1.8114
6.9307	1.8451
6.9214	1.8411
6.9122	1.8353
6.9030	1.8473
6.8938	1.8429
6.8847	1.8374
6.8755	1.8362
6.8664	1.8401
6.8573	1.8643
6.8483	1.8915
6.8393	1.9131
6.8302	1.9612
6.8213	1.9954
6.8123	2.0171
6.8034	2.0413
6.7944	2.0817
6.7855	2.1406
6.7767	2.1999
6.7678	2.2611
6.7590	2.3154
6.7502	2.3413
6.7414	2.3635
6.7327	2.3796
6.7239	2.3865
6.7152	2.3889
6.7065	2.3784
6.6979	2.3655
6.6892	2.3568
6.6806	2.3530
6.6720	2.3492
6.6634	2.3341
6.6549	2.3104
6.6464	2.2777
6.6378	2.2429
6.6294	2.2080
6.6209	2.1999
6.6124	2.2059
6.6040	2.1975
6.5956	2.1654
6.5872	2.1372
6.5789	2.1143
6.5705	2.0948
6.5622	2.0963
6.5539	2.1116
6.5457	2.1295
6.5374	2.1357
6.5292	2.1384
6.5209	2.1195
6.5128	2.0731
6.5046	2.0176
6.4964	1.9786
6.4883	1.9829
6.4802	1.9919
6.4721	2.0049
6.4640	2.0312
6.4560	2.0403
6.4480	2.0288
6.4399	1.9954
6.4320	1.9487
6.4240	1.9094
6.4160	1.8874
6.4081	1.8917
6.4002	1.9080
6.3923	1.9186
6.3844	1.9403
6.3766	1.9329
6.3687	1.8956
6.3609	1.8723
6.3531	1.8640
6.3454	1.8441
6.3376	1.8298
6.3299	1.8289
6.3221	1.8422
6.3144	1.8420
6.3068	1.8187
6.2991	1.7870
6.2914	1.7621
6.2838	1.7285
6.2762	1.7065
6.2686	1.6953
6.2611	1.6807
6.2535	1.6687
6.2460	1.6614
6.2385	1.6453
6.2310	1.6271
6.2235	1.6128
6.2160	1.5826
6.2086	1.5590
6.2011	1.5427
6.1937	1.5266
6.1863	1.5094
6.1790	1.4955
6.1716	1.4895
6.1643	1.4772
6.1570	1.4773
6.1496	1.4797
6.1424	1.4650
6.1351	1.4548
6.1278	1.4429
6.1206	1.4281
6.1134	1.4187
6.1062	1.4316
6.0990	1.4474
6.0918	1.4396
6.0847	1.4386
6.0776	1.4398
6.0704	1.4244
6.0633	1.4027
6.0563	1.3943
6.0492	1.4097
6.0421	1.4331
6.0351	1.4601
6.0281	1.4987
6.0211	1.5286
6.0141	1.5371
6.0071	1.5360
6.0002	1.5383
5.9932	1.5475
5.9863	1.5542
5.9794	1.5707
5.9725	1.6149
5.9657	1.6699
5.9588	1.7095
5.9520	1.7217
5.9451	1.7312
5.9383	1.7581
5.9315	1.8040
5.9247	1.8707
5.9180	1.9274
