Name:  Very dark grayish brown loamy sand
Type:  Soils
Class:  Aridisol
Subclass:  Torripsamment
Particle Size:  see additional information
Sample No.:  90P0142
Owner:  JHU
Wavelength range:  All
Origin:  Kit Carson Co., Co. via USDA Soil Conservation service.

Description:  The parent material is eolian from sandstone material from a 
sandhill ridge.  Very dark grayish brown loamy sand, (sandy, mixed, mesic,
ustic).  



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  90P0142a.txt

5.7347	2.0432
5.7283	2.0672
5.7220	2.0866
5.7157	2.1048
5.7094	2.1252
5.7031	2.1479
5.6969	2.1718
5.6906	2.1941
5.6844	2.2111
5.6782	2.2197
5.6719	2.2183
5.6657	2.2074
5.6596	2.1903
5.6534	2.1728
5.6472	2.1609
5.6411	2.1600
5.6349	2.1718
5.6288	2.1936
5.6227	2.2197
5.6166	2.2426
5.6106	2.2566
5.6045	2.2590
5.5984	2.2521
5.5924	2.2408
5.5864	2.2313
5.5804	2.2284
5.5744	2.2360
5.5684	2.2542
5.5624	2.2808
5.5564	2.3127
5.5505	2.3466
5.5445	2.3793
5.5386	2.4089
5.5327	2.4357
5.5268	2.4600
5.5209	2.4833
5.5151	2.5057
5.5092	2.5264
5.5033	2.5441
5.4975	2.5571
5.4917	2.5647
5.4859	2.5685
5.4801	2.5723
5.4743	2.5796
5.4685	2.5936
5.4628	2.6140
5.4570	2.6362
5.4513	2.6542
5.4455	2.6616
5.4398	2.6564
5.4341	2.6407
5.4284	2.6199
5.4228	2.6009
5.4171	2.5891
5.4114	2.5853
5.4058	2.5867
5.4002	2.5886
5.3945	2.5867
5.3889	2.5780
5.3833	2.5609
5.3778	2.5370
5.3722	2.5088
5.3666	2.4804
5.3611	2.4565
5.3555	2.4411
5.3500	2.4373
5.3445	2.4458
5.3390	2.4636
5.3335	2.4861
5.3280	2.5086
5.3225	2.5273
5.3171	2.5415
5.3116	2.5519
5.3062	2.5609
5.3008	2.5716
5.2954	2.5851
5.2900	2.6026
5.2846	2.6237
5.2792	2.6474
5.2738	2.6727
5.2684	2.6988
5.2631	2.7255
5.2578	2.7530
5.2524	2.7819
5.2471	2.8127
5.2418	2.8442
5.2365	2.8761
5.2312	2.9074
5.2260	2.9379
5.2207	2.9678
5.2154	2.9976
5.2102	3.0277
5.2050	3.0575
5.1998	3.0859
5.1945	3.1113
5.1893	3.1324
5.1842	3.1480
5.1790	3.1579
5.1738	3.1631
5.1686	3.1653
5.1635	3.1669
5.1584	3.1707
5.1532	3.1793
5.1481	3.1939
5.1430	3.2143
5.1379	3.2382
5.1328	3.2636
5.1277	3.2872
5.1227	3.3076
5.1176	3.3239
5.1126	3.3367
5.1075	3.3462
5.1025	3.3533
5.0975	3.3588
5.0925	3.3633
5.0875	3.3680
5.0825	3.3732
5.0775	3.3801
5.0726	3.3884
5.0676	3.3978
5.0627	3.4078
5.0577	3.4180
5.0528	3.4279
5.0479	3.4381
5.0430	3.4478
5.0380	3.4570
5.0332	3.4658
5.0283	3.4746
5.0234	3.4836
5.0185	3.4942
5.0137	3.5077
5.0088	3.5241
5.0040	3.5439
4.9992	3.5664
4.9944	3.5911
4.9896	3.6167
4.9848	3.6425
4.9800	3.6676
4.9752	3.6912
4.9704	3.7137
4.9657	3.7353
4.9609	3.7564
4.9562	3.7779
4.9514	3.8011
4.9467	3.8255
4.9420	3.8509
4.9373	3.8769
4.9326	3.9037
4.9279	3.9316
4.9232	3.9631
4.9186	4.0015
4.9139	4.0505
4.9092	4.1133
4.9046	4.1926
4.9000	4.2887
4.8953	4.4012
4.8907	4.5274
4.8861	4.6639
4.8815	4.8062
4.8769	4.9504
4.8723	5.0930
4.8678	5.2313
4.8632	5.3648
4.8586	5.4939
4.8541	5.6192
4.8495	5.7416
4.8450	5.8619
4.8405	5.9798
4.8360	6.0945
4.8315	6.2048
4.8270	6.3100
4.8225	6.4101
4.8180	6.5056
4.8135	6.5977
4.8090	6.6886
4.8046	6.7796
4.8001	6.8717
4.7957	6.9648
4.7913	7.0578
4.7868	7.1495
4.7824	7.2383
4.7780	7.3240
4.7736	7.4071
4.7692	7.4884
4.7648	7.5682
4.7605	7.6465
4.7561	7.7233
4.7517	7.7964
4.7474	7.8649
4.7431	7.9267
4.7387	7.9797
4.7344	8.0219
4.7301	8.0496
4.7258	8.0596
4.7215	8.0468
4.7172	8.0067
4.7129	7.9362
4.7086	7.8339
4.7043	7.7039
4.7000	7.5563
4.6958	7.4071
4.6915	7.2757
4.6873	7.1819
4.6831	7.1412
4.6788	7.1604
4.6746	7.2383
4.6704	7.3650
4.6662	7.5270
4.6620	7.7110
4.6578	7.9061
4.6536	8.1067
4.6495	8.3103
4.6453	8.5159
4.6411	8.7226
4.6370	8.9275
4.6328	9.1269
4.6287	9.3159
4.6246	9.4911
4.6205	9.6502
4.6163	9.7926
4.6122	9.9188
4.6081	10.0301
4.6040	10.1286
4.6000	10.2158
4.5959	10.2932
4.5918	10.3628
4.5877	10.4256
4.5837	10.4815
4.5796	10.5295
4.5756	10.5672
4.5716	10.5906
4.5675	10.5951
4.5635	10.5774
4.5595	10.5343
4.5555	10.4644
4.5515	10.3687
4.5475	10.2494
4.5435	10.1094
4.5395	9.9522
4.5356	9.7793
4.5316	9.5918
4.5276	9.3895
4.5237	9.1733
4.5197	8.9464
4.5158	8.7151
4.5119	8.4896
4.5080	8.2814
4.5040	8.1008
4.5001	7.9544
4.4962	7.8433
4.4923	7.7635
4.4884	7.7084
4.4846	7.6705
4.4807	7.6456
4.4768	7.6333
4.4730	7.6366
4.4691	7.6605
4.4652	7.7091
4.4614	7.7827
4.4576	7.8782
4.4537	7.9876
4.4499	8.1031
4.4461	8.2170
4.4423	8.3253
4.4385	8.4280
4.4347	8.5282
4.4309	8.6300
4.4271	8.7376
4.4233	8.8519
4.4196	8.9737
4.4158	9.1020
4.4120	9.2368
4.4083	9.3786
4.4045	9.5302
4.4008	9.6938
4.3971	9.8719
4.3934	10.0649
4.3896	10.2721
4.3859	10.4909
4.3822	10.7188
4.3785	10.9513
4.3748	11.1860
4.3711	11.4195
4.3674	11.6490
4.3638	11.8716
4.3601	12.0845
4.3564	12.2851
4.3528	12.4717
4.3491	12.6424
4.3455	12.7966
4.3418	12.9330
4.3382	13.0509
4.3346	13.1485
4.3310	13.2240
4.3273	13.2754
4.3237	13.3019
4.3201	13.3036
4.3165	13.2832
4.3129	13.2453
4.3094	13.1966
4.3058	13.1435
4.3022	13.0938
4.2986	13.0519
4.2951	13.0206
4.2915	13.0002
4.2880	12.9896
4.2844	12.9886
4.2809	12.9995
4.2774	13.0279
4.2738	13.0812
4.2703	13.1660
4.2668	13.2844
4.2633	13.4315
4.2598	13.5954
4.2563	13.7607
4.2528	13.9117
4.2493	14.0384
4.2458	14.1393
4.2424	14.2206
4.2389	14.2933
4.2354	14.3688
4.2320	14.4557
4.2285	14.5564
4.2251	14.6677
4.2216	14.7832
4.2182	14.8957
4.2148	14.9987
4.2113	15.0892
4.2079	15.1671
4.2045	15.2358
4.2011	15.3009
4.1977	15.3686
4.1943	15.4444
4.1909	15.5313
4.1875	15.6298
4.1841	15.7381
4.1808	15.8515
4.1774	15.9668
4.1740	16.0810
4.1707	16.1920
4.1673	16.2984
4.1640	16.3995
4.1606	16.4949
4.1573	16.5847
4.1540	16.6692
4.1506	16.7502
4.1473	16.8298
4.1440	16.9101
4.1407	16.9932
4.1374	17.0806
4.1341	17.1729
4.1308	17.2705
4.1275	17.3733
4.1242	17.4801
4.1209	17.5897
4.1177	17.7006
4.1144	17.8116
4.1111	17.9220
4.1079	18.0312
4.1046	18.1391
4.1014	18.2464
4.0981	18.3520
4.0949	18.4558
4.0917	18.5562
4.0884	18.6523
4.0852	18.7430
4.0820	18.8273
4.0788	18.9038
4.0756	18.9718
4.0724	19.0298
4.0692	19.0776
4.0660	19.1153
4.0628	19.1437
4.0596	19.1627
4.0565	19.1728
4.0533	19.1747
4.0501	19.1688
4.0470	19.1558
4.0438	19.1378
4.0406	19.1162
4.0375	19.0930
4.0344	19.0689
4.0312	19.0445
4.0281	19.0203
4.0250	18.9976
4.0218	18.9775
4.0187	18.9618
4.0156	18.9521
4.0125	18.9493
4.0094	18.9526
4.0063	18.9611
4.0032	18.9734
4.0001	18.9893
3.9970	19.0085
3.9940	19.0322
3.9909	19.0611
3.9878	19.0961
3.9847	19.1368
3.9817	19.1821
3.9786	19.2309
3.9756	19.2823
3.9725	19.3360
3.9695	19.3926
3.9665	19.4525
3.9634	19.5160
3.9604	19.5828
3.9574	19.6512
3.9544	19.7194
3.9513	19.7857
3.9483	19.8485
3.9453	19.9065
3.9423	19.9593
3.9393	20.0074
3.9363	20.0498
3.9333	20.0855
3.9304	20.1135
3.9274	20.1317
3.9244	20.1395
3.9214	20.1362
3.9185	20.1227
3.9155	20.1009
3.9126	20.0723
3.9096	20.0384
3.9067	20.0003
3.9037	19.9581
3.9008	19.9115
3.8979	19.8603
3.8949	19.8044
3.8920	19.7440
3.8891	19.6794
3.8862	19.6110
3.8833	19.5397
3.8804	19.4663
3.8775	19.3926
3.8746	19.3213
3.8717	19.2550
3.8688	19.1961
3.8659	19.1458
3.8630	19.1049
3.8601	19.0720
3.8573	19.0452
3.8544	19.0225
3.8515	19.0026
3.8487	18.9846
3.8458	18.9689
3.8430	18.9569
3.8401	18.9498
3.8373	18.9486
3.8344	18.9528
3.8316	18.9616
3.8288	18.9727
3.8259	18.9836
3.8231	18.9924
3.8203	18.9967
3.8175	18.9959
3.8147	18.9900
3.8119	18.9794
3.8091	18.9640
3.8063	18.9438
3.8035	18.9180
3.8007	18.8861
3.7979	18.8477
3.7951	18.8029
3.7924	18.7527
3.7896	18.6980
3.7868	18.6398
3.7841	18.5775
3.7813	18.5112
3.7785	18.4404
3.7758	18.3653
3.7730	18.2864
3.7703	18.2052
3.7676	18.1237
3.7648	18.0430
3.7621	17.9646
3.7594	17.8891
3.7566	17.8173
3.7539	17.7503
3.7512	17.6880
3.7485	17.6305
3.7458	17.5779
3.7431	17.5303
3.7404	17.4881
3.7377	17.4519
3.7350	17.4232
3.7323	17.4024
3.7296	17.3887
3.7269	17.3811
3.7242	17.3783
3.7216	17.3792
3.7189	17.3835
3.7162	17.3920
3.7136	17.4050
3.7109	17.4218
3.7083	17.4412
3.7056	17.4611
3.7030	17.4803
3.7003	17.4976
3.6977	17.5135
3.6950	17.5289
3.6924	17.5447
3.6898	17.5613
3.6872	17.5777
3.6845	17.5928
3.6819	17.6058
3.6793	17.6153
3.6767	17.6210
3.6741	17.6222
3.6715	17.6179
3.6689	17.6080
3.6663	17.5921
3.6637	17.5708
3.6611	17.5450
3.6585	17.5158
3.6560	17.4843
3.6534	17.4510
3.6508	17.4154
3.6482	17.3768
3.6457	17.3347
3.6431	17.2887
3.6406	17.2392
3.6380	17.1869
3.6355	17.1331
3.6329	17.0787
3.6304	17.0245
3.6278	16.9702
3.6253	16.9158
3.6227	16.8601
3.6202	16.8026
3.6177	16.7431
3.6152	16.6823
3.6127	16.6212
3.6101	16.5608
3.6076	16.5016
3.6051	16.4435
3.6026	16.3860
3.6001	16.3275
3.5976	16.2678
3.5951	16.2065
3.5926	16.1437
3.5901	16.0803
3.5876	16.0161
3.5852	15.9514
3.5827	15.8863
3.5802	15.8205
3.5777	15.7539
3.5753	15.6864
3.5728	15.6180
3.5704	15.5486
3.5679	15.4788
3.5654	15.4091
3.5630	15.3412
3.5605	15.2756
3.5581	15.2121
3.5557	15.1503
3.5532	15.0875
3.5508	15.0215
3.5484	14.9504
3.5459	14.8732
3.5435	14.7910
3.5411	14.7048
3.5387	14.6160
3.5363	14.5251
3.5338	14.4316
3.5314	14.3321
3.5290	14.2220
3.5266	14.0939
3.5242	13.9387
3.5218	13.7491
3.5195	13.5222
3.5171	13.2643
3.5147	12.9917
3.5123	12.7293
3.5099	12.5039
3.5075	12.3374
3.5052	12.2394
3.5028	12.2048
3.5004	12.2164
3.4981	12.2514
3.4957	12.2881
3.4934	12.3109
3.4910	12.3121
3.4887	12.2907
3.4863	12.2505
3.4840	12.1974
3.4816	12.1387
3.4793	12.0797
3.4770	12.0243
3.4746	11.9732
3.4723	11.9241
3.4700	11.8728
3.4677	11.8140
3.4653	11.7454
3.4630	11.6670
3.4607	11.5817
3.4584	11.4934
3.4561	11.4058
3.4538	11.3203
3.4515	11.2357
3.4492	11.1491
3.4469	11.0562
3.4446	10.9527
3.4423	10.8341
3.4400	10.6965
3.4378	10.5385
3.4355	10.3623
3.4332	10.1743
3.4309	9.9853
3.4287	9.8094
3.4264	9.6585
3.4241	9.5415
3.4219	9.4603
3.4196	9.4120
3.4174	9.3888
3.4151	9.3826
3.4129	9.3862
3.4106	9.3954
3.4084	9.4082
3.4061	9.4243
3.4039	9.4447
3.4017	9.4688
3.3994	9.4949
3.3972	9.5193
3.3950	9.5380
3.3928	9.5472
3.3906	9.5439
3.3883	9.5271
3.3861	9.4984
3.3839	9.4620
3.3817	9.4229
3.3795	9.3867
3.3773	9.3587
3.3751	9.3419
3.3729	9.3376
3.3707	9.3443
3.3685	9.3585
3.3663	9.3753
3.3641	9.3907
3.3620	9.4002
3.3598	9.4021
3.3576	9.3964
3.3554	9.3845
3.3533	9.3689
3.3511	9.3509
3.3489	9.3310
3.3468	9.3088
3.3446	9.2837
3.3425	9.2550
3.3403	9.2223
3.3382	9.1863
3.3360	9.1472
3.3339	9.1053
3.3317	9.0610
3.3296	9.0149
3.3274	8.9675
3.3253	8.9199
3.3232	8.8723
3.3210	8.8242
3.3189	8.7750
3.3168	8.7231
3.3147	8.6677
3.3126	8.6087
3.3104	8.5469
3.3083	8.4832
3.3062	8.4188
3.3041	8.3544
3.3020	8.2895
3.2999	8.2246
3.2978	8.1590
3.2957	8.0929
3.2936	8.0271
3.2915	7.9620
3.2894	7.8983
3.2874	7.8369
3.2853	7.7787
3.2832	7.7230
3.2811	7.6702
3.2790	7.6191
3.2770	7.5684
3.2749	7.5168
3.2728	7.4630
3.2708	7.4067
3.2687	7.3482
3.2666	7.2887
3.2646	7.2290
3.2625	7.1708
3.2605	7.1142
3.2584	7.0597
3.2564	7.0069
3.2543	6.9555
3.2523	6.9053
3.2503	6.8561
3.2482	6.8082
3.2462	6.7613
3.2442	6.7156
3.2421	6.6702
3.2401	6.6240
3.2381	6.5766
3.2361	6.5276
3.2340	6.4779
3.2320	6.4288
3.2300	6.3822
3.2280	6.3388
3.2260	6.2988
3.2240	6.2609
3.2220	6.2226
3.2200	6.1826
3.2180	6.1392
3.2160	6.0926
3.2140	6.0428
3.2120	5.9914
3.2100	5.9398
3.2080	5.8901
3.2060	5.8434
3.2040	5.8010
3.2021	5.7622
3.2001	5.7257
3.1981	5.6897
3.1961	5.6526
3.1942	5.6142
3.1922	5.5746
3.1902	5.5356
3.1883	5.4982
3.1863	5.4631
3.1844	5.4292
3.1824	5.3951
3.1805	5.3594
3.1785	5.3205
3.1766	5.2786
3.1746	5.2348
3.1727	5.1903
3.1707	5.1467
3.1688	5.1048
3.1669	5.0643
3.1649	5.0248
3.1630	4.9854
3.1611	4.9459
3.1591	4.9066
3.1572	4.8682
3.1553	4.8318
3.1534	4.7984
3.1515	4.7676
3.1495	4.7387
3.1476	4.7098
3.1457	4.6792
3.1438	4.6459
3.1419	4.6094
