Name:  Brown to dark brown silt loam
Type:  Soils
Class:  Entisol
Subclass:  Ustifluvent
Particle Size:  see additional information
Sample No.:  82P2230
Owner:  JHU
Wavelength range:  All
Origin:  Near Bait Radam, Yemen via USDA Soil Conservation service.

Description:  Parent material: alluvium.  Brown to dark brown silt 
loam (fine-loamy, mixed-calcareous, isothermic typic ustifluvent).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2230a.txt
	
4.2668	13.973
4.2633	14.032
4.2598	14.095
4.2563	14.154
4.2528	14.206
4.2493	14.246
4.2458	14.276
4.2424	14.299
4.2389	14.321
4.2354	14.348
4.232	14.385
4.2285	14.435
4.2251	14.496
4.2216	14.566
4.2182	14.636
4.2148	14.703
4.2113	14.762
4.2079	14.811
4.2045	14.851
4.2011	14.884
4.1977	14.915
4.1943	14.945
4.1909	14.978
4.1875	15.013
4.1841	15.05
4.1808	15.089
4.1774	15.127
4.174	15.165
4.1707	15.2
4.1673	15.235
4.164	15.271
4.1606	15.309
4.1573	15.351
4.154	15.397
4.1506	15.445
4.1473	15.495
4.144	15.542
4.1407	15.586
4.1374	15.624
4.1341	15.657
4.1308	15.686
4.1275	15.712
4.1242	15.738
4.1209	15.764
4.1177	15.791
4.1144	15.82
4.1111	15.851
4.1079	15.883
4.1046	15.916
4.1014	15.948
4.0981	15.979
4.0949	16.008
4.0917	16.035
4.0884	16.062
4.0852	16.09
4.082	16.118
4.0788	16.148
4.0756	16.181
4.0724	16.216
4.0692	16.252
4.066	16.286
4.0628	16.319
4.0596	16.348
4.0565	16.373
4.0533	16.394
4.0501	16.412
4.047	16.427
4.0438	16.439
4.0406	16.45
4.0375	16.459
4.0344	16.464
4.0312	16.467
4.0281	16.467
4.025	16.466
4.0218	16.465
4.0187	16.467
4.0156	16.471
4.0125	16.476
4.0094	16.481
4.0063	16.481
4.0032	16.475
4.0001	16.461
3.997	16.441
3.994	16.418
3.9909	16.396
3.9878	16.379
3.9847	16.37
3.9817	16.371
3.9786	16.379
3.9756	16.392
3.9725	16.408
3.9695	16.426
3.9665	16.444
3.9634	16.464
3.9604	16.486
3.9574	16.51
3.9544	16.536
3.9513	16.561
3.9483	16.583
3.9453	16.599
3.9423	16.608
3.9393	16.612
3.9363	16.611
3.9333	16.608
3.9304	16.607
3.9274	16.608
3.9244	16.61
3.9214	16.613
3.9185	16.614
3.9155	16.612
3.9126	16.605
3.9096	16.595
3.9067	16.581
3.9037	16.566
3.9008	16.549
3.8979	16.532
3.8949	16.515
3.892	16.498
3.8891	16.481
3.8862	16.464
3.8833	16.448
3.8804	16.431
3.8775	16.414
3.8746	16.396
3.8717	16.374
3.8688	16.349
3.8659	16.323
3.863	16.296
3.8601	16.27
3.8573	16.246
3.8544	16.226
3.8515	16.209
3.8487	16.195
3.8458	16.182
3.843	16.17
3.8401	16.156
3.8373	16.14
3.8344	16.119
3.8316	16.094
3.8288	16.065
3.8259	16.032
3.8231	15.996
3.8203	15.96
3.8175	15.924
3.8147	15.889
3.8119	15.857
3.8091	15.826
3.8063	15.797
3.8035	15.769
3.8007	15.74
3.7979	15.709
3.7951	15.676
3.7924	15.64
3.7896	15.603
3.7868	15.564
3.7841	15.525
3.7813	15.485
3.7785	15.445
3.7758	15.403
3.773	15.359
3.7703	15.312
3.7676	15.264
3.7648	15.214
3.7621	15.165
3.7594	15.118
3.7566	15.073
3.7539	15.029
3.7512	14.985
3.7485	14.938
3.7458	14.89
3.7431	14.839
3.7404	14.786
3.7377	14.731
3.735	14.677
3.7323	14.625
3.7296	14.574
3.7269	14.526
3.7242	14.481
3.7216	14.436
3.7189	14.391
3.7162	14.344
3.7136	14.293
3.7109	14.238
3.7083	14.181
3.7056	14.123
3.703	14.067
3.7003	14.014
3.6977	13.965
3.695	13.918
3.6924	13.873
3.6898	13.827
3.6872	13.779
3.6845	13.729
3.6819	13.677
3.6793	13.626
3.6767	13.575
3.6741	13.524
3.6715	13.474
3.6689	13.423
3.6663	13.371
3.6637	13.318
3.6611	13.263
3.6585	13.207
3.656	13.149
3.6534	13.09
3.6508	13.031
3.6482	12.971
3.6457	12.91
3.6431	12.85
3.6406	12.791
3.638	12.735
3.6355	12.682
3.6329	12.632
3.6304	12.583
3.6278	12.535
3.6253	12.484
3.6227	12.43
3.6202	12.372
3.6177	12.309
3.6152	12.245
3.6127	12.179
3.6101	12.113
3.6076	12.05
3.6051	11.988
3.6026	11.929
3.6001	11.873
3.5976	11.821
3.5951	11.773
3.5926	11.728
3.5901	11.683
3.5876	11.637
3.5852	11.587
3.5827	11.532
3.5802	11.471
3.5777	11.405
3.5753	11.334
3.5728	11.261
3.5704	11.186
3.5679	11.111
3.5654	11.036
3.563	10.962
3.5605	10.888
3.5581	10.815
3.5557	10.742
3.5532	10.669
3.5508	10.597
3.5484	10.528
3.5459	10.464
3.5435	10.405
3.5411	10.354
3.5387	10.307
3.5363	10.263
3.5338	10.216
3.5314	10.164
3.529	10.103
3.5266	10.033
3.5242	9.955
3.5218	9.873
3.5195	9.789
3.5171	9.706
3.5147	9.625
3.5123	9.547
3.5099	9.471
3.5075	9.396
