Name:  White gypsum dune sand.
Type:  Soils
Class:  Entisol
Subclass:  Torripsamment 
Particle Size:  see additional information
Sample No.:  0015
Owner:  JHU
Wavelength range:  All
Origin:  Dona Ana Co., NM.

Description:  The parent material is eolian from evaporites.  
White gypsum dune sand.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  0015a.txt

5.0775	2.7395
5.0726	2.7168
5.0676	2.7051
5.0627	2.7114
5.0577	2.7268
5.0528	2.7197
5.0479	2.7173
5.0430	2.7095
5.0380	2.7046
5.0332	2.7031
5.0283	2.7082
5.0234	2.7170
5.0185	2.7292
5.0137	2.7214
5.0088	2.6997
5.0040	2.6838
4.9992	2.6787
4.9944	2.6655
4.9896	2.6352
4.9848	2.5869
4.9800	2.5351
4.9752	2.5115
4.9704	2.5364
4.9657	2.5615
4.9609	2.5872
4.9562	2.6160
4.9514	2.6316
4.9467	2.6296
4.9420	2.6186
4.9373	2.6106
4.9326	2.6050
4.9279	2.5911
4.9232	2.5789
4.9186	2.5526
4.9139	2.5203
4.9092	2.4988
4.9046	2.4846
4.9000	2.4592
4.8953	2.4250
4.8907	2.3977
4.8861	2.3889
4.8815	2.3733
4.8769	2.3393
4.8723	2.3230
4.8678	2.2949
4.8632	2.2749
4.8586	2.2620
4.8541	2.2383
4.8495	2.2139
4.8450	2.1797
4.8405	2.1372
4.8360	2.1138
4.8315	2.1055
4.8270	2.0781
4.8225	2.0383
4.8180	1.9976
4.8135	1.9900
4.8090	1.9534
4.8046	1.9045
4.8001	1.8816
4.7957	1.8528
4.7913	1.8003
4.7868	1.7588
4.7824	1.7231
4.7780	1.6758
4.7736	1.6462
4.7692	1.6267
4.7648	1.5991
4.7605	1.5615
4.7561	1.5424
4.7517	1.5310
4.7474	1.5083
4.7431	1.5049
4.7387	1.5107
4.7344	1.4927
4.7301	1.4819
4.7258	1.4902
4.7215	1.4890
4.7172	1.4846
4.7129	1.4861
4.7086	1.4897
4.7043	1.4924
4.7000	1.5027
4.6958	1.5059
4.6915	1.5002
4.6873	1.5044
4.6831	1.5007
4.6788	1.5034
4.6746	1.5005
4.6704	1.5112
4.6662	1.5195
4.6620	1.5156
4.6578	1.5124
4.6536	1.5181
4.6495	1.5303
4.6453	1.5403
4.6411	1.5537
4.6370	1.5526
4.6328	1.5435
4.6287	1.5334
4.6246	1.5171
4.6205	1.5288
4.6163	1.5422
4.6122	1.5278
4.6081	1.5381
4.6040	1.5561
4.6000	1.5449
4.5959	1.5454
4.5918	1.5627
4.5877	1.5549
4.5837	1.5339
4.5796	1.5176
4.5756	1.5107
4.5716	1.5115
4.5675	1.4927
4.5635	1.4990
4.5595	1.5105
4.5555	1.4971
4.5515	1.4751
4.5475	1.4619
4.5435	1.4778
4.5395	1.4866
4.5356	1.4822
4.5316	1.4868
4.5276	1.4927
4.5237	1.4976
4.5197	1.5122
4.5158	1.5073
4.5119	1.5017
4.5080	1.4939
4.5040	1.4780
4.5001	1.4761
4.4962	1.4680
4.4923	1.4656
4.4884	1.4685
4.4846	1.4761
4.4807	1.4778
4.4768	1.4795
4.4730	1.4780
4.4691	1.4805
4.4652	1.4773
4.4614	1.4644
4.4576	1.4709
4.4537	1.4744
4.4499	1.4626
4.4461	1.4592
4.4423	1.4580
4.4385	1.4519
4.4347	1.4674
4.4309	1.4883
4.4271	1.4646
4.4233	1.4592
4.4196	1.4712
4.4158	1.4861
4.4120	1.4824
4.4083	1.4812
4.4045	1.4871
4.4008	1.4858
4.3971	1.4976
4.3934	1.5093
4.3896	1.5122
4.3859	1.5090
4.3822	1.4963
4.3785	1.4949
4.3748	1.5261
4.3711	1.5193
4.3674	1.5127
4.3638	1.5251
4.3601	1.5310
4.3564	1.5388
4.3528	1.5420
4.3491	1.5457
4.3455	1.5527
4.3418	1.5537
4.3382	1.5615
4.3346	1.5826
4.3310	1.5896
4.3273	1.5869
4.3237	1.5869
4.3201	1.5942
4.3165	1.6123
4.3129	1.6382
4.3094	1.6526
4.3058	1.6606
4.3022	1.6819
4.2986	1.6936
4.2951	1.6924
4.2915	1.7158
4.2880	1.7646
4.2844	1.8059
4.2809	1.8132
4.2774	1.8166
4.2738	1.8533
4.2703	1.8957
4.2668	1.9336
4.2633	1.9641
4.2598	1.9907
4.2563	2.0234
4.2528	2.0513
4.2493	2.0688
4.2458	2.0906
4.2424	2.1267
4.2389	2.1589
4.2354	2.1807
4.2320	2.2300
4.2285	2.2595
4.2251	2.2930
4.2216	2.3577
4.2182	2.4160
4.2148	2.4348
4.2113	2.4714
4.2079	2.5315
4.2045	2.5710
4.2011	2.6118
4.1977	2.6489
4.1943	2.6797
4.1909	2.7129
4.1875	2.7681
4.1841	2.8267
4.1808	2.8845
4.1774	2.9370
4.1740	2.9783
4.1707	3.0061
4.1673	3.0554
4.1640	3.1204
4.1606	3.1643
