Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

5.99324202	93.2305
5.986321256	93.5186
5.979416457	93.7197
5.972527568	93.988
5.965654534	94.2393
5.9587973	94.4258
5.951955813	94.6458
5.945130017	94.8943
5.938319859	95.1592
5.931525286	95.3435
5.924746243	95.4563
5.917982678	95.6169
5.911234538	95.7312
5.904501769	95.8516
5.89778432	96.0828
5.891082139	96.1819
5.884395172	96.2996
5.87772337	96.4109
5.871066679	96.4348
5.864428488	96.5232
5.85780186	96.6123
5.851190191	96.6758
5.84459343	96.7393
5.838011527	96.8562
5.831444431	97.0107
5.824892094	97.1628
5.818354465	97.2615
5.811831494	97.3057
5.805323133	97.3906
5.798829332	97.4902
5.792350043	97.5749
5.785885217	97.6384
5.779434806	97.7136
5.772998761	97.821
5.766577035	97.9324
5.760169579	97.9402
5.753776347	97.96
5.747397291	98.0256
5.741032364	98.0576
5.734681519	98.0808
5.728344709	98.1152
5.722021888	98.1658
5.715713009	98.2148
5.709421287	98.2705
5.703140149	98.2869
5.696872816	98.2956
5.690619242	98.3176
5.684379382	98.3455
5.678153192	98.3816
5.671940626	98.4031
5.66574164	98.427
5.659556189	98.4324
5.653384229	98.4785
5.647225716	98.5195
5.641080605	98.5703
5.634948854	98.5583
5.628830419	98.5762
5.622725256	98.5886
5.616633323	98.6133
5.610557723	98.6318
5.604492113	98.6545
5.598439603	98.6413
5.592400152	98.6182
5.586373717	98.6536
5.580360257	98.6572
5.574359729	98.6289
5.568372092	98.6084
5.562397304	98.5996
5.556435324	98.5781
5.550486112	98.5896
5.544549625	98.6247
5.538625823	98.6377
5.532714665	98.6435
5.526816112	98.6885
5.520930122	98.7205
5.515056656	98.7302
5.509195674	98.7236
5.503347136	98.7803
5.497511002	98.7693
5.491687233	98.7861
5.48587579	98.8035
5.480076633	98.8093
5.474289725	98.8166
5.468518015	98.8591
5.462755479	98.9143
5.457005076	98.8867
5.451266765	98.8918
5.445540511	98.9111
5.439826274	98.9109
5.434124016	98.9248
5.428433701	98.9382
5.422755291	98.9717
5.417088748	98.9597
5.411434035	98.9451
5.405791116	98.9377
5.400159953	98.9326
5.394540509	98.9521
5.388932749	98.9443
5.383336635	98.9333
5.377752132	98.9531
5.372179203	98.9773
5.366617813	98.9597
5.361067925	98.948
5.355529504	98.9922
5.350002515	99.0085
5.344486921	98.9763
5.338982689	98.989
5.333492627	99.0312
5.328011006	99.0369
5.32254064	99.0312
5.317081497	99.0525
5.31163354	99.0234
5.306196736	99.0183
5.30077105	99.0439
5.295356449	99.0574
5.289952898	99.0515
5.284560364	99.0603
5.279178813	99.0935
5.273808212	99.0947
5.268448526	99.0896
5.263099724	99.0957
5.257761771	99.0986
5.252434635	99.0906
5.247118283	99.1016
5.241812682	99.1081
5.236517799	99.085
