Name:  Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Coarse  (74-250 Micrometers)
Sample No.:  augite.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rozier, near Gorges du Tarn, Tarn, France via 
the Smithsonian (sample no. NMNH 120049). 
Description:  The sample was a single 22.31 g portion of a single 
black crystal, displaying some veining with dolomite, which was 
completely removed by a warm acid bath.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  augite2a.txt

9.781424293	7.0212
9.7630031	7.0752
9.744651161	7.1372
9.726368087	7.1916
9.70815349	7.2693
9.690006986	7.3552
9.671928196	7.415
9.653916739	7.4844
9.635972241	7.5942
9.618094328	7.6797
9.600282632	7.7507
9.582536785	7.8474
9.564856422	7.9433
9.547241181	8.0122
9.529690704	8.0949
9.512204634	8.1838
9.494782617	8.2617
9.477424301	8.3396
9.460138288	8.4324
9.4429063	8.5146
9.425736975	8.5884
9.408629972	8.6684
9.391584952	8.7368
9.374601579	8.791
9.35767952	8.8581
9.340818443	8.946
9.324018018	8.9966
9.307277919	9.021
9.290597822	9.0566
9.273977405	9.0854
9.257416348	9.0998
9.240914333	9.1238
9.224471046	9.1201
9.208086173	9.093
9.191759404	9.1006
9.17549043	9.115
9.159278945	9.1001
9.143124645	9.0827
9.127027227	9.0776
9.110986392	9.0588
9.095001842	9.0356
9.079073281	9.0324
9.06320863	9.0322
9.04739114	9.019
9.031628764	8.9939
9.015921215	8.9731
9.000268208	8.9463
8.984669459	8.9109
8.969124685	8.8847
8.953633608	8.8408
8.93819595	8.7827
8.922811435	8.74
8.907479789	8.6811
8.89220074	8.5808
8.876974017	8.49
8.861799353	8.3816
8.846676481	8.2241
8.831605135	8.071
8.816585054	7.9221
8.801615977	7.7424
8.786697643	7.54
8.771829795	7.3647
8.757012178	7.1714
8.742244536	6.9375
8.727526619	6.7121
8.712858175	6.4687
8.69824652	6.1597
8.683676252	5.8152
8.669154714	5.4521
8.654681663	5.0273
8.640256858	4.5517
8.625880055	4.0696
8.611551018	3.6038
8.597269507	3.1247
8.583035287	2.6516
8.568848124	2.2339
8.554707784	1.8625
8.540614036	1.5063
8.52656665	1.208
8.512565398	0.9661
8.498610052	0.7795
8.484700388	0.6523
8.470836182	0.5808
8.45701721	0.5566
8.443243252	0.5645
8.429514089	0.5869
8.415829502	0.6211
8.402189274	0.6645
8.388593191	0.7092
8.375041038	0.759
8.361539594	0.7981
8.348074642	0.8289
8.334652987	0.8662
8.32127442	0.9158
8.307938734	0.9609
8.294645723	0.9944
8.281395183	1.0337
8.268186911	1.0728
8.255020704	1.1057
8.241896361	1.1374
8.228813685	1.1741
8.215772476	1.2146
8.202772537	1.2544
8.189813674	1.2903
8.176895691	1.3286
8.164018395	1.3603
8.151188239	1.3936
8.138391724	1.4253
8.125635323	1.4578
8.11291885	1.4868
8.100242116	1.52
8.087604937	1.5615
8.075007126	1.5964
8.062448501	1.6125
8.049928879	1.637
8.037448078	1.6663
8.025005918	1.6951
8.012602221	1.7302
8.000236807	1.7602
7.9879095	1.7756
7.975620124	1.7983
7.963368505	1.8362
7.951154468	1.863
7.938977841	1.8823
7.926838452	1.9141
7.914736131	1.9429
7.902670708	1.9692
7.890642014	2.0007
7.878649883	2.0278
7.866694148	2.0513
7.854780812	2.0706
7.842897355	2.0974
7.831049799	2.1291
7.819237984	2.1526
7.807461747	2.1758
7.795720929	2.1965
7.784015369	2.2163
7.772344909	2.2356
7.760709391	2.2595
7.749108659	2.2852
7.737542556	2.3069
7.726010929	2.3325
7.714513623	2.3533
7.703050485	2.3721
7.691621363	2.396
7.680226106	2.4221
7.668864563	2.4446
7.657536586	2.468
7.646242025	2.4873
7.634980733	2.5039
7.623752563	2.5264
7.61255737	2.5508
7.601395008	2.5732
7.590265333	2.5991
7.579173946	2.6267
7.568109199	2.6428
7.557076711	2.6538
7.546076342	2.6814
7.535107952	2.7141
7.524171401	2.729
7.51326655	2.738
7.502393263	2.7634
7.491551403	2.7905
7.480740833	2.8125
7.469961418	2.8325
7.459213023	2.8552
7.448495516	2.8723
7.437808762	2.8935
7.42715263	2.916
7.416526989	2.9348
7.405931707	2.9575
7.395366655	2.9819
7.384831703	3.0032
7.374326724	3.0115
7.363851589	3.0334
7.353406171	3.0596
7.342990345	3.071
7.332603984	3.0893
7.322252325	3.1138
7.311924506	3.1272
7.30162578	3.1394
7.291356025	3.1675
7.281115117	3.1829
7.270902937	3.1916
7.260719363	3.2121
7.250564275	3.2307
7.240437554	3.2441
7.230339081	3.2598
7.220268738	3.2771
7.210226408	3.2883
7.200211974	3.3027
7.19022532	3.3242
7.18026633	3.3398
7.17033489	3.3503
7.160436013	3.3696
7.150559317	3.394
7.140709829	3.4087
7.130887439	3.4214
7.121092034	3.4409
7.111323503	3.4568
7.101581735	3.4665
7.091866622	3.4844
7.082178053	3.5078
7.07251592	3.5203
7.062880115	3.5295
7.053270531	3.5496
7.04368706	3.5688
7.034129597	3.5869
7.024598035	3.6101
7.01509227	3.6208
7.005612196	3.6338
6.99615771	3.6579
6.986728709	3.6785
6.977325089	3.6855
6.967946748	3.6992
6.958593585	3.7241
6.949265497	3.7497
6.939962385	3.7673
6.930688952	3.7834
6.921435478	3.7974
6.912206681	3.8115
6.903002461	3.8323
6.893822721	3.8479
