Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (0-74  micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

7.1309	7.1963
7.1211	7.2297
7.1113	7.2632
7.1016	7.2932
7.0919	7.3203
7.0822	7.3420
7.0725	7.3579
7.0629	7.3882
7.0533	7.4150
7.0437	7.4328
7.0341	7.4580
7.0246	7.4870
7.0151	7.5090
7.0056	7.5242
6.9962	7.5513
6.9867	7.5737
6.9773	7.5896
6.9679	7.6155
6.9586	7.6426
6.9493	7.6623
6.9400	7.6848
6.9307	7.7055
6.9214	7.7263
6.9122	7.7495
6.9030	7.7722
6.8938	7.7932
6.8847	7.8096
6.8755	7.8303
6.8664	7.8542
6.8573	7.8694
6.8483	7.8872
6.8393	7.9038
6.8302	7.9189
6.8213	7.9421
6.8123	7.9599
6.8034	7.9768
6.7944	7.9929
6.7855	8.0083
6.7767	8.0202
6.7678	8.0185
6.7590	8.0232
6.7502	8.0364
6.7414	8.0386
6.7327	8.0307
6.7239	8.0327
6.7152	8.0322
6.7065	8.0237
6.6979	8.0202
6.6892	8.0266
6.6806	8.0244
6.6720	8.0097
6.6634	8.0085
6.6549	8.0046
6.6464	7.9975
6.6378	8.0024
6.6294	8.0063
6.6209	7.9956
6.6124	7.9880
6.6040	7.9863
6.5956	7.9734
6.5872	7.9616
6.5789	7.9524
6.5705	7.9336
6.5622	7.9143
6.5539	7.8989
6.5456	7.8713
6.5374	7.8410
6.5292	7.8249
6.5209	7.8125
6.5128	7.7881
6.5046	7.7612
6.4964	7.7427
6.4883	7.7278
6.4802	7.7080
6.4721	7.6909
6.4640	7.6633
6.4560	7.6372
6.4480	7.6221
6.4399	7.6072
6.4320	7.5879
6.4240	7.5730
6.4160	7.5600
6.4081	7.5359
6.4002	7.5224
6.3923	7.5166
6.3844	7.5005
6.3766	7.4797
6.3687	7.4682
6.3609	7.4570
6.3531	7.4380
6.3454	7.4258
6.3376	7.4204
6.3299	7.4072
6.3221	7.3882
