Name:  Diopside CaMgSi2O6
Type:  Mineral
Class:   Silicates 
Subclass:   Inosilicates (Chain Silicates) (Pyroxene Group)
Particle Size:  Fine (less than 2   Micrometers)
Sample No.:  diopside.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from DeKalb, New York via the Smithsonian (sample 
no. NMNH R18685). 
Description:  Most of the 13 mm x 10 mm x 6 mm sample was clean, 
fresh and green.  One area was eroded and weathered and probably 
impure.  The crushed sample was hand-picked to avoid impurities.  
A moderate amount of weathering and alteration can be seen under 
the microscope.  The alteration is brown in color (limonite?).

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: diopsi2a.txt

6.8847	97.057
6.8755	97.051
6.8664	96.971
6.8573	97.009
6.8483	97.146
6.8393	97.228
6.8302	97.225
6.8213	97.236
6.8123	97.264
6.8034	97.297
6.7944	97.245
6.7855	97.209
6.7767	97.288
6.7678	97.336
6.7590	97.350
6.7502	97.360
6.7414	97.373
6.7327	97.341
6.7239	97.335
6.7152	97.255
6.7065	97.250
6.6979	97.308
6.6892	97.277
6.6806	97.223
6.6720	97.268
6.6634	97.313
6.6549	97.355
6.6464	97.300
6.6378	97.188
6.6294	97.227
6.6209	97.344
6.6124	97.406
6.6040	97.429
6.5956	97.405
6.5872	97.372
6.5789	97.325
6.5705	97.221
6.5622	97.292
6.5539	97.332
6.5456	97.375
6.5374	97.425
6.5292	97.394
6.5209	97.277
6.5128	97.291
6.5046	97.277
6.4964	97.094
6.4883	97.019
6.4802	97.099
6.4721	97.220
6.4640	97.342
6.4560	97.376
6.4480	97.332
6.4399	97.322
6.4320	97.334
6.4240	97.320
6.4160	97.166
6.4081	97.175
6.4002	97.363
6.3923	97.446
6.3844	97.485
6.3766	97.504
6.3687	97.495
6.3609	97.592
6.3531	97.601
6.3454	97.500
6.3376	97.519
6.3299	97.633
6.3221	97.686
6.3144	97.740
6.3068	97.782
6.2991	97.789
6.2914	97.799
6.2838	97.807
6.2762	97.823
6.2686	97.828
6.2611	97.833
6.2535	97.842
6.2460	97.846
6.2385	97.840
6.2310	97.907
6.2235	98.008
6.2160	98.066
6.2086	98.151
6.2011	98.229
6.1937	98.235
6.1863	98.212
6.1790	98.323
6.1716	98.446
6.1643	98.483
6.1570	98.555
6.1496	98.631
6.1424	98.616
6.1351	98.550
6.1278	98.491
6.1206	98.375
6.1134	98.293
6.1062	98.350
6.0990	98.382
6.0918	98.372
6.0847	98.354
6.0776	98.256
