Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Course  (74-250 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

6.070436489	2.9993
6.063336399	3.0059
6.056252899	3.0144
6.049185931	3.0217
6.042135436	3.0276
6.035101357	3.0334
6.02808727	3.0405
6.021085843	3.0478
6.01410066	3.0539
6.007131667	3.0618
6.000178805	3.0703
5.99324202	3.0784
5.986321256	3.0881
5.979416457	3.0981
5.972527568	3.1084
5.965654534	3.1194
5.9587973	3.1304
5.951955813	3.1421
5.945130017	3.1538
5.938319859	3.1663
5.931525286	3.1799
5.924746243	3.1921
5.917982678	3.2034
5.911234538	3.2165
5.904501769	3.2285
5.89778432	3.2392
5.891082139	3.2502
5.884395172	3.2617
5.87772337	3.2734
5.871066679	3.2827
5.864428488	3.2913
5.85780186	3.2996
5.851190191	3.3052
5.84459343	3.3098
5.838011527	3.3152
5.831444431	3.3208
5.824892094	3.3281
5.818354465	3.3352
5.811831494	3.343
5.805323133	3.3506
5.798829332	3.3581
5.792350043	3.3667
5.785885217	3.3765
5.779434806	3.3884
5.772998761	3.4026
5.766577035	3.4175
5.760169579	3.4331
5.753776347	3.4487
5.747397291	3.4636
5.741032364	3.4773
5.734681519	3.4922
5.728344709	3.5083
5.722021888	3.5254
5.715713009	3.5434
5.709421287	3.5635
5.703140149	3.5854
5.696872816	3.6074
5.690619242	3.6299
5.684379382	3.6543
5.678153192	3.6792
5.671940626	3.706
5.66574164	3.7349
5.659556189	3.7663
5.653384229	3.7998
5.647225716	3.8332
5.641080605	3.8684
5.634948854	3.905
5.628830419	3.9416
5.622725256	3.978
5.616633323	4.0129
5.610557723	4.0444
5.604492113	4.0708
5.598439603	4.0908
5.592400152	4.1067
5.586373717	4.1208
5.580360257	4.136
5.574359729	4.1533
5.568372092	4.1767
5.562397304	4.2058
5.556435324	4.2388
5.550486112	4.2734
5.544549625	4.3093
5.538625823	4.343
5.532714665	4.3723
5.526816112	4.3955
5.520930122	4.4141
5.515056656	4.4282
5.509195674	4.4402
5.503347136	4.4521
5.497511002	4.4643
5.491687233	4.4746
5.48587579	4.4849
5.480076633	4.4956
5.474289725	4.5063
5.468518015	4.5183
5.462755479	4.5308
5.457005076	4.543
5.451266765	4.553
5.445540511	4.5618
5.439826274	4.5693
5.434124016	4.5757
5.428433701	4.5828
5.422755291	4.5906
5.417088748	4.5959
5.411434035	4.5994
5.405791116	4.6018
5.400159953	4.6028
5.394540509	4.6016
5.388932749	4.5998
5.383336635	4.5994
5.377752132	4.5979
5.372179203	4.5947
5.366617813	4.5911
5.361067925	4.5886
5.355529504	4.5879
5.350002515	4.5881
5.344486921	4.5896
5.338982689	4.5906
5.333492627	4.592
5.328011006	4.5925
5.32254064	4.592
5.317081497	4.5937
5.31163354	4.5976
5.306196736	4.6003
5.30077105	4.6023
5.295356449	4.6052
5.289952898	4.6094
5.284560364	4.6133
5.279178813	4.6177
5.273808212	4.625
5.268448526	4.6321
5.263099724	4.6379
5.257761771	4.645
5.252434635	4.6509
5.247118283	4.6545
5.241812682	4.6594
5.236517799	4.6653
5.231233603	4.6704
5.225960061	4.6745
5.220697141	4.6794
5.21544481	4.6831
5.210203036	4.6833
5.204974498	4.6819
5.19975374	4.6816
5.194543444	4.6828
5.189343579	4.6841
5.184154115	4.6868
5.178975019	4.6897
5.173806261	4.6914
5.168647809	4.6919
5.163499634	4.6919
5.158361704	4.6938
5.153233989	4.6982
5.148116459	4.7036
5.143009082	4.709
5.137911829	4.7129
5.13282467	4.7163
5.127747575	4.72
5.122680514	4.7248
5.117623458	4.73
5.112576376	4.7356
5.107539239	4.7424
5.102512018	4.7502
5.097494683	4.7576
5.092487206	4.7639
5.087489558	4.7717
5.082504292	4.7812
5.077526209	4.7898
5.072557868	4.8
5.06759924	4.8132
5.062650297	4.8291
5.057711011	4.845
5.052781354	4.8611
5.047861297	4.8782
5.042950812	4.8945
5.038049872	4.9111
5.033158448	4.9285
5.028276513	4.9443
5.023404039	4.9599
5.018541	4.9748
5.013687367	4.9905
5.008843113	5.0088
5.004010715	5.0271
4.999185133	5.0456
4.994368849	5.064
4.989561837	5.0825
4.984764069	5.102
4.979975518	5.1206
4.97519616	5.1411
4.970425966	5.165
4.96566491	5.1899
4.960912967	5.2148
4.95617011	5.2402
4.951436313	5.2683
4.94671155	5.2976
4.941995795	5.3259
4.937289023	5.3555
4.932591209	5.3855
4.927902325	5.417
4.923222347	5.4521
4.918551251	5.489
4.913889009	5.5276
4.909235598	5.5661
4.904590991	5.603
4.899955165	5.6389
4.895328095	5.6731
4.890712146	5.7073
4.886102507	5.7429
4.88150155	5.78
4.876909249	5.8183
4.87232558	5.8574
4.86775052	5.8962
4.863184043	5.9343
4.858626126	5.9714
4.854076745	6.009
4.849535875	6.0473
4.845003493	6.0859
4.840479575	6.1245
4.835964098	6.1628
4.831457037	6.1999
4.826958369	6.2346
4.822468072	6.2698
4.81798612	6.3074
4.813512492	6.3452
4.809047164	6.3818
4.804590113	6.4189
4.800141316	6.4548
4.79570075	6.489
4.791268392	6.5256
4.78684422	6.5639
4.782430498	6.6013
4.778022625	6.6374
4.773622869	6.6728
4.769231209	6.7075
4.764847623	6.7407
4.760472086	6.7746
4.756104579	6.8115
4.751745078	6.8496
4.747393562	6.8867
4.743050009	6.9241
4.738714396	6.9636
4.734386703	7.0051
4.730066907	7.0478
4.725754987	7.0898
4.721450921	7.1311
4.717154688	7.1716
4.712866266	7.2104
4.708585635	7.2466
4.704312773	7.2832
4.700047658	7.3225
4.695790271	7.3625
4.691540589	7.4048
4.687298593	7.4477
4.68306426	7.4878
4.67883976	7.5249
4.67462069	7.561
4.670409221	7.5967
4.666205334	7.6328
4.662009009	7.6706
4.657820224	7.7119
4.65363896	7.7529
4.649465195	7.7898
4.645298911	7.824
4.641140087	7.8591
4.636988702	7.8952
4.632844738	7.9314
4.628708174	7.9685
4.62457899	8.0058
4.620457167	8.0425
4.616342684	8.0769
4.612235523	8.1081
4.608135664	8.1394
4.604043086	8.1714
4.599957772	8.2029
4.595879702	8.2341
4.591808856	8.2646
4.587745215	8.2942
4.58368876	8.323
4.57964157	8.3508
4.575599426	8.3784
4.571564412	8.4045
4.567536508	8.4306
4.563515696	8.4565
4.559501956	8.4824
4.555495271	8.508
4.551495621	8.5346
4.547502989	8.5605
4.543517355	8.5859
4.539538701	8.6089
4.535567009	8.6294
4.531602261	8.6474
4.527644439	8.666
4.523693523	8.6858
4.519749497	8.7046
4.515814382	8.7231
4.511884077	8.7422
4.507960608	8.7593
4.504043956	8.7739
4.500134104	8.7871
4.496231034	8.802
4.492334729	8.8164
4.488445171	8.8313
4.484562343	8.8493
4.480686226	8.8667
4.476816804	8.8833
4.47295406	8.8989
4.469097975	8.9126
4.465248534	8.926
4.461405718	8.9387
4.45756951	8.9521
4.453739894	8.9665
4.449916853	8.9795
4.44610037	8.9946
4.442290427	9.0083
4.438487009	9.0202
4.434690097	9.0322
4.430899676	9.0432
4.42711573	9.0559
4.423340197	9.0686
4.419569145	9.0823
4.415804518	9.0979
4.412046298	9.1108
4.408294471	9.1216
4.404549018	9.1306
4.400809925	9.1379
4.397077175	9.1462
4.393350752	9.1543
4.389630639	9.1631
4.385916821	9.1743
4.382209282	9.185
4.378508006	9.1933
4.374812977	9.2009
4.371124179	9.2077
4.367441596	9.2126
4.363765214	9.2165
4.360095015	9.2224
4.356430985	9.2307
4.352773108	9.2383
4.349121369	9.2424
4.345475751	9.2468
4.341836241	9.2512
4.338202821	9.2544
4.334577357	9.2578
4.330956072	9.2622
4.327340832	9.2688
4.323731623	9.2761
4.320128429	9.2834
4.316531235	9.292
4.312940028	9.3005
4.30935479	9.3071
4.305775509	9.3117
4.302202168	9.3159
4.298634754	9.3203
4.29507325	9.3249
4.291517644	9.3286
4.287967919	9.3335
4.284424062	9.3398
4.280886058	9.3452
4.277353892	9.3515
4.27382755	9.3601
4.270307018	9.3677
4.266792281	9.3728
4.263283325	9.3774
4.259780136	9.3835
4.256282699	9.3899
4.252791	9.3955
4.249306832	9.4011
4.245826565	9.4084
4.242351994	9.4136
4.238883105	9.417
4.235419885	9.4219
4.231962319	9.4299
4.228510393	9.4355
4.225064094	9.4394
4.221623408	9.4455
4.218188322	9.4538
4.214758821	9.4619
4.211334892	9.4675
4.207916522	9.4729
