Name: Gray Quartzite
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  0-75 Micrometer
Sample No.:   qrtzit5.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 382, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a sample much like the previous one in composition.  It is a 
fine-grained slightly metamorphosed well-compacted sandstone with some 
secondary quartz deposition, and much more silica/chalcedony deposition.  The 
quartz grains, unlike the previous rock, show evidence of only weak strain and 
fewer fluid inclusions.  In addition there are scattered detrital green and brown 
tourmaline and zircon.   
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  qrtzit5a.txt

5.3390	4.7889
5.3335	4.8230
5.3280	4.8746
5.3225	4.9378
5.3171	5.0091
5.3116	5.0894
5.3062	5.1844
5.3008	5.3023
5.2954	5.4515
5.2900	5.6379
5.2846	5.8664
5.2792	6.1409
5.2738	6.4632
5.2684	6.8366
5.2631	7.2669
5.2578	7.7619
5.2524	8.3288
5.2471	8.9708
5.2418	9.6843
5.2365	10.456
5.2312	11.258
5.2260	12.056
5.2207	12.810
5.2154	13.481
5.2102	14.038
5.2050	14.459
5.1998	14.743
5.1945	14.900
5.1893	14.955
5.1842	14.935
5.1790	14.869
5.1738	14.780
5.1686	14.681
5.1635	14.575
5.1584	14.466
5.1532	14.353
5.1481	14.242
5.1430	14.142
5.1379	14.063
5.1328	14.011
5.1277	13.983
5.1227	13.967
5.1176	13.942
5.1126	13.884
5.1075	13.774
5.1025	13.599
5.0975	13.364
5.0925	13.082
5.0875	12.778
5.0825	12.480
5.0775	12.213
5.0726	11.993
5.0676	11.828
5.0627	11.714
5.0577	11.640
5.0528	11.595
5.0479	11.564
5.0430	11.535
5.0380	11.502
5.0332	11.462
5.0283	11.420
5.0234	11.382
5.0185	11.360
5.0137	11.365
5.0088	11.405
5.0040	11.489
4.9992	11.625
4.9944	11.825
4.9896	12.108
4.9848	12.488
4.9800	12.978
4.9752	13.573
4.9704	14.253
4.9657	14.979
4.9609	15.702
4.9562	16.374
4.9514	16.964
4.9467	17.463
4.9420	17.888
4.9373	18.281
4.9326	18.702
4.9279	19.219
4.9232	19.894
4.9186	20.776
4.9139	21.889
4.9092	23.230
4.9046	24.766
4.9000	26.438
4.8953	28.178
4.8907	29.913
4.8861	31.581
4.8815	33.139
4.8769	34.563
4.8723	35.849
4.8678	37.003
4.8632	38.040
4.8586	38.976
4.8541	39.828
4.8495	40.608
4.8450	41.326
4.8405	41.991
4.8360	42.608
4.8315	43.183
4.8270	43.720
4.8225	44.226
4.8180	44.705
4.8135	45.161
4.8090	45.599
4.8046	46.021
4.8001	46.428
4.7957	46.819
4.7913	47.193
4.7868	47.548
4.7824	47.883
4.7780	48.198
4.7736	48.493
4.7692	48.771
4.7648	49.030
4.7605	49.273
4.7561	49.496
4.7517	49.698
4.7474	49.877
4.7431	50.032
4.7387	50.161
4.7344	50.264
4.7301	50.335
4.7258	50.363
4.7215	50.331
4.7172	50.216
4.7129	49.994
4.7086	49.650
4.7043	49.189
4.7000	48.640
4.6958	48.066
4.6915	47.546
4.6873	47.166
4.6831	46.994
4.6788	47.062
4.6746	47.360
4.6704	47.840
4.6662	48.437
4.6620	49.083
4.6578	49.730
4.6536	50.348
4.6495	50.931
4.6453	51.482
4.6411	52.005
4.6370	52.501
4.6328	52.964
4.6287	53.387
4.6246	53.763
4.6205	54.087
4.6163	54.361
4.6122	54.589
4.6081	54.778
4.6040	54.935
4.6000	55.065
4.5959	55.174
4.5918	55.263
4.5877	55.332
4.5837	55.376
4.5796	55.393
4.5756	55.377
4.5716	55.323
4.5675	55.226
4.5635	55.083
4.5595	54.889
4.5555	54.638
4.5515	54.330
4.5475	53.962
4.5435	53.538
4.5395	53.060
4.5356	52.530
4.5316	51.946
4.5276	51.306
4.5237	50.605
4.5197	49.847
4.5158	49.044
4.5119	48.221
4.5080	47.415
4.5040	46.664
4.5001	46.002
4.4962	45.446
4.4923	44.996
4.4884	44.636
4.4846	44.341
4.4807	44.096
4.4768	43.899
4.4730	43.765
4.4691	43.721
4.4652	43.786
4.4614	43.968
4.4576	44.248
4.4537	44.591
4.4499	44.954
4.4461	45.302
4.4423	45.621
4.4385	45.911
4.4347	46.188
4.4309	46.468
4.4271	46.765
4.4233	47.083
4.4196	47.421
4.4158	47.775
4.4120	48.143
4.4083	48.525
4.4045	48.924
4.4008	49.342
4.3971	49.783
4.3934	50.244
4.3896	50.721
4.3859	51.209
4.3822	51.701
4.3785	52.190
4.3748	52.670
4.3711	53.137
4.3674	53.587
4.3638	54.015
4.3601	54.418
4.3564	54.791
4.3528	55.134
4.3491	55.442
4.3455	55.717
4.3418	55.959
4.3382	56.169
4.3346	56.346
4.3310	56.490
4.3273	56.597
4.3237	56.667
4.3201	56.699
4.3165	56.699
4.3129	56.673
4.3094	56.634
4.3058	56.590
4.3022	56.551
4.2986	56.524
4.2951	56.516
4.2915	56.532
4.2880	56.578
4.2844	56.657
4.2809	56.773
4.2774	56.923
4.2738	57.102
4.2703	57.297
4.2668	57.495
4.2633	57.682
4.2598	57.842
4.2563	57.967
4.2528	58.054
4.2493	58.104
4.2458	58.124
4.2424	58.125
4.2389	58.123
4.2354	58.127
4.2320	58.146
4.2285	58.183
4.2251	58.235
4.2216	58.293
4.2182	58.349
4.2148	58.394
4.2113	58.427
4.2079	58.450
4.2045	58.471
4.2011	58.498
4.1977	58.540
4.1943	58.605
4.1909	58.697
4.1875	58.814
4.1841	58.954
4.1808	59.110
4.1774	59.273
4.1740	59.435
4.1707	59.591
4.1673	59.736
4.1640	59.871
4.1606	60.000
4.1573	60.125
4.1540	60.248
4.1506	60.373
4.1473	60.499
4.1440	60.628
4.1407	60.759
4.1374	60.893
4.1341	61.030
4.1308	61.170
4.1275	61.313
4.1242	61.461
4.1209	61.613
4.1177	61.769
4.1144	61.929
4.1111	62.089
4.1079	62.246
4.1046	62.399
4.1014	62.546
4.0981	62.688
4.0949	62.825
4.0917	62.959
4.0884	63.090
4.0852	63.217
4.0820	63.338
4.0788	63.449
4.0756	63.547
4.0724	63.630
4.0692	63.696
4.0660	63.745
4.0628	63.782
4.0596	63.807
4.0565	63.824
4.0533	63.833
4.0501	63.835
4.0470	63.828
4.0438	63.810
4.0406	63.784
4.0375	63.751
4.0344	63.714
4.0312	63.676
4.0281	63.639
4.0250	63.600
4.0218	63.561
4.0187	63.519
4.0156	63.479
4.0125	63.443
4.0094	63.412
4.0063	63.388
4.0032	63.372
4.0001	63.363
3.9970	63.358
3.9940	63.359
3.9909	63.368
3.9878	63.389
3.9847	63.422
3.9817	63.468
3.9786	63.525
3.9756	63.589
3.9725	63.657
3.9695	63.730
3.9665	63.810
3.9634	63.898
3.9604	63.995
3.9574	64.098
3.9544	64.203
3.9513	64.306
3.9483	64.402
3.9453	64.491
3.9423	64.572
3.9393	64.643
3.9363	64.703
3.9333	64.751
3.9304	64.785
3.9274	64.804
3.9244	64.810
3.9214	64.803
3.9185	64.788
3.9155	64.766
3.9126	64.737
3.9096	64.704
3.9067	64.665
3.9037	64.620
3.9008	64.566
3.8979	64.502
3.8949	64.426
3.8920	64.340
3.8891	64.249
3.8862	64.157
3.8833	64.068
3.8804	63.983
3.8775	63.902
3.8746	63.824
3.8717	63.748
3.8688	63.672
3.8659	63.600
3.8630	63.533
3.8601	63.472
3.8573	63.421
3.8544	63.379
