Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt

11.57177043	2.6196
11.54599752	2.6553
11.52033916	2.6870
11.49479458	2.7117
11.46936304	2.7468
11.44404378	2.7937
11.41883606	2.8342
11.39373914	2.8621
11.3687523	2.9004
11.34387482	2.9595
11.31910597	3.0203
11.29444505	3.0754
11.26990406	3.1289
11.24545684	3.1863
11.22111545	3.2461
11.19687921	3.3061
11.17274743	3.3642
11.14871946	3.4226
11.12479461	3.4519
11.10097222	3.4763
11.07725165	3.5193
11.05363222	3.5705
11.03011331	3.6038
11.00669427	3.6370
10.98337447	3.6721
10.96015327	3.7026
10.93703005	3.7424
10.9140042	3.7991
10.89107509	3.8491
10.86824213	3.8874
10.8455047	3.9304
10.82286221	3.9819
10.80031407	4.0290
10.77785969	4.0830
10.75549848	4.1291
10.73322986	4.1597
10.71106474	4.1848
10.68897956	4.2092
10.66698525	4.2195
10.64508128	4.2266
10.62326708	4.2478
10.6015421	4.2759
10.5799058	4.3071
10.55835763	4.3328
10.53689705	4.3320
10.51552354	4.3286
10.49423657	4.3337
10.4730356	4.3213
10.45192012	4.2998
10.43088962	4.2742
10.40994358	4.2197
10.38908149	4.1433
10.36830285	4.0662
10.34760717	4.0027
10.32699394	3.9363
10.30646267	3.8401
10.28601287	3.7126
10.26564407	3.5891
10.24535578	3.4717
10.22514752	3.3513
10.20502924	3.2685
