Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

5.838011527	6.8447
5.831444431	6.833
5.824892094	6.8003
5.818354465	6.7788
5.811831494	6.7468
5.805323133	6.6868
5.798829332	6.6299
5.792350043	6.5896
5.785885217	6.5439
5.779434806	6.4956
5.772998761	6.4504
5.766577035	6.4018
5.760169579	6.3764
5.753776347	6.354
5.747397291	6.3081
5.741032364	6.2639
5.734681519	6.2314
5.728344709	6.208
5.722021888	6.197
5.715713009	6.1882
5.709421287	6.1831
5.703140149	6.1926
5.696872816	6.1975
5.690619242	6.2141
5.684379382	6.2436
5.678153192	6.26
5.671940626	6.2856
5.66574164	6.3232
5.659556189	6.3496
5.653384229	6.3877
5.647225716	6.4377
5.641080605	6.4907
5.634948854	6.5459
5.628830419	6.5915
5.622725256	6.6186
5.616633323	6.6318
5.610557723	6.6196
5.604492113	6.5771
5.598439603	6.5149
5.592400152	6.4519
5.586373717	6.3921
5.580360257	6.3518
5.574359729	6.3393
5.568372092	6.3557
5.562397304	6.394
5.556435324	6.4553
5.550486112	6.5403
5.544549625	6.6455
5.538625823	6.76
5.532714665	6.8865
5.526816112	7.0176
5.520930122	7.1367
5.515056656	7.2453
5.509195674	7.352
5.503347136	7.4465
5.497511002	7.5378
5.491687233	7.6284
5.48587579	7.7043
5.480076633	7.7561
5.474289725	7.8108
5.468518015	7.865
5.462755479	7.9123
5.457005076	7.9704
5.451266765	8.0434
5.445540511	8.1216
5.439826274	8.1955
5.434124016	8.2783
5.428433701	8.3584
5.422755291	8.4316
5.417088748	8.5373
5.411434035	8.6623
5.405791116	8.7822
5.400159953	8.9043
5.394540509	9.0381
5.388932749	9.1582
5.383336635	9.2566
5.377752132	9.3557
5.372179203	9.4533
5.366617813	9.5237
5.361067925	9.5786
5.355529504	9.6211
5.350002515	9.6416
5.344486921	9.6526
5.338982689	9.6611
5.333492627	9.6528
5.328011006	9.623
5.32254064	9.6003
5.317081497	9.5796
5.31163354	9.5373
5.306196736	9.498
5.30077105	9.4709
5.295356449	9.4392
5.289952898	9.4165
5.284560364	9.4055
5.279178813	9.3913
5.273808212	9.3733
5.268448526	9.3523
5.263099724	9.321
5.257761771	9.2744
5.252434635	9.2292
5.247118283	9.1855
5.241812682	9.1426
5.236517799	9.1115
5.231233603	9.1108
5.225960061	9.1267
5.220697141	9.1513
5.21544481	9.1921
5.210203036	9.2436
5.204974498	9.2849
5.19975374	9.3227
5.194543444	9.3628
5.189343579	9.3991
5.184154115	9.4333
5.178975019	9.4897
5.173806261	9.5605
5.168647809	9.6262
5.163499634	9.6819
5.158361704	9.7331
5.153233989	9.7807
5.148116459	9.8332
5.143009082	9.8821
5.137911829	9.9258
5.13282467	9.9746
5.127747575	10.0298
5.122680514	10.0801
5.117623458	10.1316
5.112576376	10.2002
5.107539239	10.2861
5.102512018	10.3752
5.097494683	10.4787
5.092487206	10.5918
5.087489558	10.6948
5.082504292	10.7961
5.077526209	10.8899
5.072557868	10.9609
5.06759924	11.0132
5.062650297	11.0534
5.057711011	11.0847
5.052781354	11.0962
5.047861297	11.1013
5.042950812	11.1218
5.038049872	11.1494
5.033158448	11.1731
5.028276513	11.1972
5.023404039	11.2177
5.018541	11.2263
5.013687367	11.226
5.008843113	11.219
5.004010715	11.2134
4.999185133	11.226
4.994368849	11.2671
4.989561837	11.3274
4.984764069	11.4258
4.979975518	11.5693
4.97519616	11.7341
4.970425966	11.9006
4.96566491	12.0786
4.960912967	12.2527
4.95617011	12.3911
4.951436313	12.511
4.94671155	12.6101
4.941995795	12.657
4.937289023	12.6582
4.932591209	12.6279
4.927902325	12.5478
4.923222347	12.426
4.918551251	12.3015
4.913889009	12.188
4.909235598	12.0842
4.904590991	12.0193
4.899955165	12.0171
4.895328095	12.0454
4.890712146	12.0979
4.886102507	12.1709
4.88150155	12.2341
4.876909249	12.2907
4.87232558	12.362
4.86775052	12.4365
4.863184043	12.5029
4.858626126	12.5786
4.854076745	12.6799
4.849535875	12.7805
4.845003493	12.8725
4.840479575	12.9543
4.835964098	13.0229
4.831457037	13.0561
4.826958369	13.0593
4.822468072	13.0493
4.81798612	13.018
4.813512492	12.9541
4.809047164	12.8798
4.804590113	12.7834
4.800141316	12.6684
4.79570075	12.5586
4.791268392	12.4502
4.78684422	12.3586
4.782430498	12.2915
4.778022625	12.2656
4.773622869	12.2834
4.769231209	12.3357
4.764847623	12.414
4.760472086	12.5
4.756104579	12.58
4.751745078	12.6579
4.747393562	12.7295
4.743050009	12.7993
4.738714396	12.8674
4.734386703	12.9292
4.730066907	12.9846
4.725754987	13.0434
4.721450921	13.1157
4.717154688	13.1799
4.712866266	13.238
4.708585635	13.2981
4.704312773	13.3532
4.700047658	13.3896
4.695790271	13.4348
4.691540589	13.4853
4.687298593	13.5193
4.68306426	13.5505
4.67883976	13.5837
4.67462069	13.6076
4.670409221	13.6323
4.666205334	13.6618
4.662009009	13.686
4.657820224	13.6941
4.65363896	13.7063
4.649465195	13.7358
4.645298911	13.7807
4.641140087	13.8371
4.636988702	13.9209
4.632844738	14.0088
4.628708174	14.1013
4.62457899	14.1938
4.620457167	14.2697
4.616342684	14.3435
4.612235523	14.4226
4.608135664	14.4968
4.604043086	14.5566
4.599957772	14.6049
4.595879702	14.654
4.591808856	14.6938
4.587745215	14.7292
4.58368876	14.7771
4.57964157	14.822
4.575599426	14.8501
4.571564412	14.9028
4.567536508	14.947
4.563515696	14.9809
4.559501956	15.021
4.555495271	15.0713
4.551495621	15.1091
4.547502989	15.1479
4.543517355	15.1975
4.539538701	15.2334
4.535567009	15.2639
4.531602261	15.3154
4.527644439	15.3637
