Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color Ñ a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

9.512204634	8.8701
9.494782617	8.0976
9.477424301	7.4792
9.460138288	7.1452
9.4429063	7.0278
9.425736975	7.0163
9.408629972	7.0329
9.391584952	7.0078
9.374601579	6.9001
9.35767952	6.7068
9.340818443	6.438
9.324018018	6.1409
9.307277919	5.8904
9.290597822	5.7285
9.273977405	5.6431
9.257416348	5.6548
9.240914333	5.7449
9.224471046	5.8655
9.208086173	5.9958
9.191759404	6.1572
9.17549043	6.301
9.159278945	6.3955
9.143124645	6.4416
9.127027227	6.4162
9.110986392	6.2888
9.095001842	6.112
9.079073281	5.9773
9.06320863	5.8901
9.04739114	5.8218
9.031628764	5.7522
9.015921215	5.6704
9.000268208	5.5769
8.984669459	5.4785
8.969124685	5.4202
8.953633608	5.3786
8.93819595	5.3611
8.922811435	5.4114
8.907479789	5.5166
8.89220074	5.6389
8.876974017	5.7805
8.861799353	5.9624
8.846676481	6.1423
8.831605135	6.3318
8.816585054	6.5276
8.801615977	6.7126
8.786697643	6.8906
8.771829795	7.105
8.757012178	7.3396
8.742244536	7.5686
8.727526619	7.7988
8.712858175	8.0266
8.69824652	8.2275
8.683676252	8.3991
8.669154714	8.5686
8.654681663	8.6946
8.640256858	8.7751
8.625880055	8.8486
8.611551018	8.8657
8.597269507	8.8364
8.583035287	8.8103
8.568848124	8.7907
8.554707784	8.7422
8.540614036	8.6897
8.52656665	8.6499
8.512565398	8.5959
8.498610052	8.5469
8.484700388	8.53
8.470836182	8.519
8.45701721	8.499
8.443243252	8.501
8.429514089	8.5151
8.415829502	8.5107
8.402189274	8.5141
8.388593191	8.5178
8.375041038	8.5029
8.361539594	8.4719
8.348074642	8.4599
8.334652987	8.4375
8.32127442	8.3799
8.307938734	8.3464
8.294645723	8.3352
8.281395183	8.2846
8.268186911	8.2287
8.255020704	8.1987
8.241896361	8.1518
8.228813685	8.0737
8.215772476	8
8.202772537	7.9028
8.189813674	7.7436
8.176895691	7.5786
8.164018395	7.4028
8.151188239	7.1816
8.138391724	6.9512
8.125635323	6.7388
8.11291885	6.5088
8.100242116	6.2595
8.087604937	6.0332
8.075007126	5.8083
8.062448501	5.5622
8.049928879	5.3225
8.037448078	5.0952
8.025005918	4.8523
8.012602221	4.6164
8.000236807	4.4038
7.9879095	4.1775
7.975620124	3.9458
7.963368505	3.73
7.951154468	3.5178
7.938977841	3.2981
7.926838452	3.0955
7.914736131	2.9045
7.902670708	2.6985
7.890642014	2.49
7.878649883	2.2969
7.866694148	2.1089
7.854780812	1.9197
7.842897355	1.7305
7.831049799	1.5583
7.819237984	1.3931
