Name:  Natrolite Na2Al2Si3O10.2H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (ZeoliteGroup)
Particle Size:  Solid
Sample No.: natrol.1
Owner:  JHU
Wavelength Range:  IR
Origin: Poonah, India via Hunt and Salisbury Collection #169B

Description: The sample appeared to be pure natrolite, although most 
grains were permeated with what appeared to be fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  natrol1a.txt

8.470836182	10.8762
8.45701721	9.7544
8.443243252	8.688
8.429514089	7.6875
8.415829502	6.7578
8.402189274	5.904
8.388593191	5.1308
8.375041038	4.4375
8.361539594	3.8247
8.348074642	3.2908
8.334652987	2.8354
8.32127442	2.4531
8.307938734	2.1335
8.294645723	1.8684
8.281395183	1.6509
8.268186911	1.4748
8.255020704	1.3447
8.241896361	1.2578
8.228813685	1.2095
8.215772476	1.199
8.202772537	1.2175
8.189813674	1.2583
8.176895691	1.3157
8.164018395	1.3823
8.151188239	1.4587
8.138391724	1.5422
8.125635323	1.6284
8.11291885	1.7173
8.100242116	1.8093
8.087604937	1.9028
8.075007126	1.9976
8.062448501	2.0901
8.049928879	2.1816
8.037448078	2.272
8.025005918	2.3616
8.012602221	2.4468
8.000236807	2.5305
7.9879095	2.6116
7.975620124	2.6887
7.963368505	2.7666
7.951154468	2.8435
7.938977841	2.918
7.926838452	2.9907
7.914736131	3.0613
7.902670708	3.1299
7.890642014	3.1948
7.878649883	3.258
7.866694148	3.3205
7.854780812	3.3806
7.842897355	3.4377
7.831049799	3.4949
7.819237984	3.5513
7.807461747	3.6059
7.795720929	3.6589
7.784015369	3.7119
7.772344909	3.762
7.760709391	3.81
7.749108659	3.8564
7.737542556	3.9026
7.726010929	3.9473
7.714513623	3.9912
7.703050485	4.0356
7.691621363	4.0798
7.680226106	4.123
7.668864563	4.167
7.657536586	4.21
7.646242025	4.2534
7.634980733	4.2954
7.623752563	4.3411
7.61255737	4.3852
7.601395008	4.4282
7.590265333	4.4709
7.579173946	4.5146
7.568109199	4.5554
7.557076711	4.5959
7.546076342	4.637
7.535107952	4.6789
7.524171401	4.72
7.51326655	4.7576
7.502393263	4.7944
7.491551403	4.8291
7.480740833	4.8628
7.469961418	4.8972
7.459213023	4.9328
7.448495516	4.9687
7.437808762	5.0036
7.42715263	5.039
7.416526989	5.0764
7.405931707	5.1133
7.395366655	5.1499
7.384831703	5.1846
7.374326724	5.2168
7.363851589	5.2493
7.353406171	5.2795
7.342990345	5.3078
7.332603984	5.3359
7.322252325	5.3655
7.311924506	5.3955
7.30162578	5.4258
7.291356025	5.4543
7.281115117	5.4814
7.270902937	5.5105
7.260719363	5.5388
7.250564275	5.5649
7.240437554	5.5891
7.230339081	5.6135
7.220268738	5.6365
7.210226408	5.6582
7.200211974	5.6833
7.19022532	5.7085
7.18026633	5.7307
7.17033489	5.7519
7.160436013	5.7773
7.150559317	5.801
7.140709829	5.8257
7.130887439	5.8484
7.121092034	5.8686
7.111323503	5.8911
7.101581735	5.9138
7.091866622	5.937
7.082178053	5.959
7.07251592	5.9809
7.062880115	6.0027
7.053270531	6.0183
