Name:  Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size:  Solid (cleavage face)
Sample No.: heulan.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Gobel, Oregon via Joe Taggart, USGS, Denver, Colorado.

Description: The sample is composed of 1 cm diameter, pearly, 
translucent crystals in a white, fine-grained groundmass. Crystals 
were separated by hand and appear to be pure heulandite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  heulan2a.txt

4.845003493	13.5456
4.840479575	13.5517
4.835964098	13.5581
4.831457037	13.5647
4.826958369	13.5717
4.822468072	13.5788
4.81798612	13.5859
4.813512492	13.5927
4.809047164	13.5998
4.804590113	13.6067
4.800141316	13.6135
4.79570075	13.6203
4.791268392	13.6272
4.78684422	13.6338
4.782430498	13.6403
4.778022625	13.6467
4.773622869	13.6528
4.769231209	13.6587
4.764847623	13.6643
4.760472086	13.6694
4.756104579	13.674
4.751745078	13.6787
4.747393562	13.6833
4.743050009	13.6877
4.738714396	13.6919
4.734386703	13.6958
4.730066907	13.6992
4.725754987	13.7021
4.721450921	13.7048
4.717154688	13.707
4.712866266	13.7089
4.708585635	13.7107
4.704312773	13.7121
4.700047658	13.7131
4.695790271	13.7138
4.691540589	13.7141
4.687298593	13.7138
4.68306426	13.7133
4.67883976	13.7129
4.67462069	13.7121
4.670409221	13.7119
4.666205334	13.7119
4.662009009	13.7121
4.657820224	13.7129
4.65363896	13.7138
4.649465195	13.7151
4.645298911	13.716
4.641140087	13.7173
4.636988702	13.7187
4.632844738	13.7202
4.628708174	13.7221
4.62457899	13.7243
4.620457167	13.7268
4.616342684	13.7295
4.612235523	13.7324
4.608135664	13.7353
4.604043086	13.7382
4.599957772	13.7417
4.595879702	13.7456
4.591808856	13.7497
4.587745215	13.7541
4.58368876	13.7588
4.57964157	13.7636
4.575599426	13.7685
4.571564412	13.7741
4.567536508	13.78
4.563515696	13.7866
4.559501956	13.7942
4.555495271	13.8025
4.551495621	13.8115
4.547502989	13.821
4.543517355	13.831
4.539538701	13.8415
4.535567009	13.8525
4.531602261	13.8637
4.527644439	13.8755
4.523693523	13.8874
4.519749497	13.8999
4.515814382	13.9123
4.511884077	13.9255
4.507960608	13.9394
4.504043956	13.9538
4.500134104	13.9692
4.496231034	13.9853
4.492334729	14.0022
4.488445171	14.0197
4.484562343	14.038
4.480686226	14.0571
4.476816804	14.0766
4.47295406	14.0969
4.469097975	14.1179
4.465248534	14.1401
4.461405718	14.1633
4.45756951	14.1877
4.453739894	14.2133
4.449916853	14.24
4.44610037	14.2678
4.442290427	14.2966
4.438487009	14.3261
4.434690097	14.3564
4.430899676	14.3874
4.42711573	14.4189
4.423340197	14.4511
4.419569145	14.4836
4.415804518	14.5168
4.412046298	14.5503
4.408294471	14.5837
4.404549018	14.6172
4.400809925	14.6511
4.397077175	14.685
4.393350752	14.7194
4.389630639	14.7544
4.385916821	14.79
4.382209282	14.8259
4.378508006	14.8625
4.374812977	14.8991
4.371124179	14.9362
4.367441596	14.9736
4.363765214	15.0112
4.360095015	15.0485
4.356430985	15.0861
4.352773108	15.1237
4.349121369	15.1616
4.345475751	15.1994
4.341836241	15.2378
4.338202821	15.2761
4.334577357	15.3149
4.330956072	15.354
4.327340832	15.3933
4.323731623	15.4326
4.320128429	15.4724
4.316531235	15.5127
4.312940028	15.5534
4.30935479	15.5944
4.305775509	15.6362
4.302202168	15.6779
4.298634754	15.7194
4.29507325	15.7607
4.291517644	15.8015
4.287967919	15.8413
4.284424062	15.8796
4.280886058	15.916
4.277353892	15.9497
4.27382755	15.9799
4.270307018	16.0068
4.266792281	16.0317
4.263283325	16.0568
4.259780136	16.0852
4.256282699	16.1196
4.252791	16.1608
4.249306832	16.2085
4.245826565	16.2595
4.242351994	16.3107
4.238883105	16.3584
4.235419885	16.4001
4.231962319	16.4355
4.228510393	16.4648
4.225064094	16.4892
4.221623408	16.5102
4.218188322	16.5295
4.214758821	16.5481
4.211334892	16.5673
4.207916522	16.5878
4.204503696	16.6106
4.201096402	16.6355
4.197694626	16.6621
4.194300114	16.6904
4.190909331	16.7199
4.187524026	16.75
4.184144186	16.7802
4.180769797	16.8105
4.177400846	16.8405
4.174037321	16.8706
4.170679208	16.9001
4.167326493	16.9292
4.163979165	16.9577
4.16063721	16.9858
4.157300615	17.0131
4.153969367	17.0398
4.150643454	17.0661
4.147322862	17.0922
4.144007579	17.1181
4.140697592	17.1442
4.137392888	17.1704
4.134093455	17.197
4.130799281	17.2241
4.127510352	17.2514
4.124226656	17.2793
4.120948181	17.3076
4.117674914	17.3359
4.114408535	17.3642
4.111145645	17.392
4.107887925	17.4199
4.104635365	17.447
4.101387951	17.4741
4.098145671	17.5004
4.094908514	17.5268
4.091676466	17.5522
4.088449517	17.5771
4.085227653	17.6013
4.082010864	17.6245
4.078799136	17.6472
4.075592459	17.6689
4.072390819	17.6899
4.069194206	17.7106
4.066002607	17.7307
4.062816011	17.75
4.059634406	17.7688
4.056457779	17.7871
4.053286121	17.8046
4.050119418	17.822
4.046957659	17.8391
4.043800833	17.8559
4.040648928	17.8725
4.037503563	17.8891
4.034361463	17.9055
4.031224251	17.9216
4.028091913	17.9375
4.024964439	17.9533
4.021841819	17.9689
4.018724039	17.9843
4.01561109	17.9992
4.012502959	18.0141
4.009399637	18.029
4.00630111	18.0434
4.00320737	18.0578
4.000118404	18.072
3.997034201	18.0861
3.99395475	18.1001
3.990880041	18.114
3.987810062	18.1279
3.984744803	18.142
3.981684252	18.1562
3.9786284	18.1706
3.975577234	18.1855
3.972530744	18.2004
3.96948892	18.2155
3.966451751	18.2309
3.963420797	18.2463
3.960392903	18.2617
3.957369631	18.2771
3.954350972	18.2922
3.951336915	18.3073
3.948327449	18.3222
3.945322564	18.3364
3.942322249	18.3501
3.939326493	18.363
3.936335288	18.3747
3.933348621	18.3857
3.930366483	18.3957
3.927388864	18.4052
3.924415753	18.414
3.921447139	18.4223
3.918483014	18.4301
3.915523366	18.4377
3.912568186	18.4445
3.909617463	18.4506
3.906671188	18.4565
3.90372935	18.4619
3.900791939	18.467
3.897858945	18.4716
3.894930359	18.4758
3.892007684	18.4794
3.889087881	18.4829
3.886172454	18.4855
3.883261396	18.4877
3.880354695	18.4895
3.877452343	18.4902
3.874554329	18.4902
3.871660644	18.4895
3.868771278	18.4882
3.865886222	18.4863
3.863005465	18.4838
3.860128998	18.4814
3.857256812	18.4787
3.854388896	18.4758
3.851525243	18.4729
3.848665841	18.4699
3.845812161	18.4665
3.842961232	18.4628
3.840114528	18.4589
3.837272037	18.455
3.834433752	18.4506
3.831599662	18.4462
3.828769759	18.4414
3.825944033	18.4362
3.823122474	18.4309
3.820305074	18.425
3.817491824	18.4189
3.814682714	18.4126
3.811877735	18.4057
3.809076878	18.3981
3.806280134	18.3896
3.803487494	18.3806
3.800698949	18.371
3.797914489	18.361
3.795134107	18.351
3.792357792	18.3413
3.789585537	18.3313
3.786817332	18.3215
3.784053167	18.3112
3.781293036	18.3005
3.778538356	18.2895
3.77578626	18.278
3.773038171	18.2661
3.770294079	18.2539
3.767553976	18.2412
3.764817852	18.2282
3.7620857	18.215
3.759357511	18.2019
3.756633275	18.1882
3.753912985	18.1745
3.751196632	18.1606
3.748484207	18.1464
3.745775701	18.132
3.743071107	18.1171
3.740370416	18.1022
3.73767362	18.0869
3.734980709	18.0715
3.732291676	18.0559
3.729606512	18.0397
3.726925208	18.0236
3.724247758	18.0073
