Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Solid (Fractured Surface)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt

11.31910597	13.2812
11.29444505	13.5327
11.26990406	13.7917
11.24545684	14.07
11.22111545	14.3623
11.19687921	14.6445
11.17274743	14.9345
11.14871946	15.2319
11.12479461	15.5134
11.10097222	15.8264
11.07725165	16.155
11.05363222	16.4328
11.03011331	16.6877
11.00669427	16.9865
10.98337447	17.2705
10.96015327	17.5239
10.93703005	17.8066
10.9140042	18.0944
10.89107509	18.3134
10.86824213	18.5029
10.8455047	18.7351
10.82286221	18.9091
10.80031407	19.0124
10.77785969	19.1108
10.75549848	19.2011
10.73322986	19.2358
10.71106474	19.2717
10.68897956	19.3332
10.66698525	19.3762
10.64508128	19.3991
10.62326708	19.4394
10.6015421	19.4855
10.5799058	19.4958
10.55835763	19.4848
10.53689705	19.479
10.51552354	19.4541
10.49423657	19.3781
10.4730356	19.2758
10.45192012	19.1459
10.43088962	18.9689
10.40994358	18.7785
10.38908149	18.5834
10.36830285	18.3803
10.34760717	18.1794
10.32699394	17.9953
10.30646267	17.8522
10.28601287	17.7241
10.26564407	17.6203
10.24535578	17.5559
10.22514752	17.5346
10.20502924	17.5295
10.1849796	17.5388
10.16500858	17.5737
10.14511574	17.6389
10.12530059	17.7036
10.10556271	17.7563
10.08590162	17.8247
10.0663169	17.8876
10.04680808	17.9167
10.02737473	17.9138
10.00801642	17.8964
9.98873271	17.8747
9.969523168	17.8034
9.950387369	17.7099
9.931324888	17.6062
9.912335307	17.4533
9.893427994	17.2912
9.874582922	17.1311
9.855809507	16.9377
9.83710734	16.7265
9.818476015	16.5405
9.799915133	16.3464
9.781424293	16.1269
9.7630031	15.9377
9.744651161	15.7649
9.726368087	15.5671
9.70815349	15.3637
9.690006986	15.1818
9.671928196	14.9943
9.653916739	14.809
9.635972241	14.634
9.618094328	14.4748
9.600282632	14.3122
9.582536785	14.1738
9.564856422	14.0534
9.547241181	13.9301
9.529690704	13.8235
9.512204634	13.7475
9.494782617	13.6677
9.477424301	13.592
9.460138288	13.549
9.4429063	13.5149
9.425736975	13.4712
9.408629972	13.4572
9.391584952	13.4475
9.374601579	13.4167
9.35767952	13.4089
9.340818443	13.4201
9.324018018	13.3984
9.307277919	13.4011
9.290597822	13.427
9.273977405	13.4448
9.257416348	13.4777
9.240914333	13.5556
9.224471046	13.6457
9.208086173	13.736
9.191759404	13.8662
9.17549043	14.0346
9.159278945	14.2055
9.143124645	14.3862
9.127027227	14.5993
9.110986392	14.8281
9.095001842	15.0373
9.079073281	15.2417
9.06320863	15.4487
9.04739114	15.634
9.031628764	15.7941
9.015921215	15.9509
9.000268208	16.092
8.984669459	16.2028
8.969124685	16.3293
8.953633608	16.4428
8.93819595	16.4987
8.922811435	16.5358
8.907479789	16.5566
8.89220074	16.5388
8.876974017	16.5002
8.861799353	16.437
8.846676481	16.3679
8.831605135	16.2924
8.816585054	16.2282
8.801615977	16.1726
8.786697643	16.1081
8.771829795	16.0505
8.757012178	16.0095
8.742244536	15.9536
8.727526619	15.8886
8.712858175	15.8388
8.69824652	15.7751
8.683676252	15.7038
8.669154714	15.6386
8.654681663	15.5503
8.640256858	15.4279
8.625880055	15.3129
8.611551018	15.1926
8.597269507	15.0463
8.583035287	14.9111
8.568848124	14.7841
8.554707784	14.6396
8.540614036	14.5012
8.52656665	14.3806
8.512565398	14.2378
8.498610052	14.115
8.484700388	14.0258
8.470836182	13.9372
8.45701721	13.8474
8.443243252	13.7807
8.429514089	13.7336
8.415829502	13.6831
8.402189274	13.6447
8.388593191	13.6462
8.375041038	13.6518
8.361539594	13.6652
8.348074642	13.7129
8.334652987	13.7561
8.32127442	13.7705
8.307938734	13.7575
8.294645723	13.6811
8.281395183	13.5195
8.268186911	13.2717
8.255020704	12.935
8.241896361	12.5031
8.228813685	11.9946
8.215772476	11.4389
8.202772537	10.8559
8.189813674	10.2368
8.176895691	9.6164
8.164018395	9.0124
8.151188239	8.4114
8.138391724	7.8232
8.125635323	7.2571
8.11291885	6.7014
8.100242116	6.1611
8.087604937	5.6387
