Name:  Spessartine Mn3Al2 (SiO4)3
Type:  Mineral
Class:  Silicates 
Subclass:   Nesosilicates (Framework silicates); GarnetGroup
Particle Size:  Solid (dodecahedral crystal face)
Sample No.:  spessart.2
Owner:  JHU
Wavelength Range:  IR
Origin: Rutherford #2 mine, Amelia, Amelia Co., Virginia, USA via the 
Smithsonian (sample no. NMNH 114143)
Description: The sample consisted of a group of 3 mm and smaller 
diameter reddish crystals.  A few clear crystals adhering to the 
grains were picked off and microscopic examination showed the 
remaining sample to be quite pure.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  spessa2a.txt

5.122680514	15.8774
5.117623458	15.8706
5.112576376	15.8818
5.107539239	15.8864
5.102512018	15.8855
5.097494683	15.8886
5.092487206	15.8952
5.087489558	15.8845
5.082504292	15.8816
5.077526209	15.9067
5.072557868	15.9084
5.06759924	15.8964
5.062650297	15.9062
5.057711011	15.9108
5.052781354	15.8977
5.047861297	15.9001
5.042950812	15.9111
5.038049872	15.9116
5.033158448	15.915
5.028276513	15.9204
5.023404039	15.9106
5.018541	15.9072
5.013687367	15.9394
5.008843113	15.9416
5.004010715	15.9379
4.999185133	15.9477
4.994368849	15.9516
4.989561837	15.9438
4.984764069	15.9458
4.979975518	15.955
4.97519616	15.9604
4.970425966	15.9597
4.96566491	15.9699
4.960912967	15.9541
4.95617011	15.9614
4.951436313	15.9748
4.94671155	15.978
4.941995795	15.9814
4.937289023	15.986
4.932591209	15.9936
4.927902325	15.9948
4.923222347	15.9936
4.918551251	16.0034
4.913889009	16.0048
4.909235598	16.0078
4.904590991	16.0166
4.899955165	16.028
4.895328095	16.0297
4.890712146	16.0307
4.886102507	16.0337
4.88150155	16.0412
4.876909249	16.0415
4.87232558	16.0454
4.86775052	16.0478
4.863184043	16.0473
4.858626126	16.04
4.854076745	16.0537
4.849535875	16.0622
4.845003493	16.0669
4.840479575	16.0808
4.835964098	16.0888
4.831457037	16.0803
4.826958369	16.0761
4.822468072	16.0795
4.81798612	16.093
4.813512492	16.102
4.809047164	16.1147
4.804590113	16.1062
4.800141316	16.1084
4.79570075	16.1201
4.791268392	16.1186
4.78684422	16.1098
4.782430498	16.1137
4.778022625	16.1301
4.773622869	16.1438
4.769231209	16.145
4.764847623	16.1572
4.760472086	16.1665
4.756104579	16.164
4.751745078	16.1645
4.747393562	16.1679
4.743050009	16.1674
4.738714396	16.1865
4.734386703	16.1919
4.730066907	16.1748
4.725754987	16.1701
4.721450921	16.1882
4.717154688	16.1962
4.712866266	16.2104
4.708585635	16.2231
4.704312773	16.2319
4.700047658	16.2233
4.695790271	16.2307
4.691540589	16.2451
4.687298593	16.2336
4.68306426	16.2304
4.67883976	16.2392
4.67462069	16.2451
4.670409221	16.2482
4.666205334	16.2553
4.662009009	16.2673
4.657820224	16.2663
4.65363896	16.2824
4.649465195	16.299
4.645298911	16.2978
4.641140087	16.2939
4.636988702	16.3059
4.632844738	16.3071
4.628708174	16.3086
4.62457899	16.3129
4.620457167	16.3247
4.616342684	16.3247
4.612235523	16.3237
4.608135664	16.3252
4.604043086	16.3281
4.599957772	16.3305
4.595879702	16.3374
4.591808856	16.3369
4.587745215	16.3476
4.58368876	16.351
4.57964157	16.3486
4.575599426	16.3505
4.571564412	16.3662
4.567536508	16.3757
4.563515696	16.3798
4.559501956	16.375
4.555495271	16.3715
4.551495621	16.3657
4.547502989	16.3789
4.543517355	16.392
4.539538701	16.3925
4.535567009	16.3916
4.531602261	16.3974
4.527644439	16.4018
