Name:  Olivine (Fo41) (Fe+2,Mg)2SiO4
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated tetrahedra); (Olivine Group)
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.:  olivine.4
Owner:  JHU
Wavelength Range:  IR
Origin: Kiglapait Intrusion, Labrador via Trude King #KI4143 
(obtained from S.A. Morse, Univ. of Mass.)
Description: Initially, the specimen was contaminated with pyroxene, 
spinel (?) and ilmenite.  Heavy liquid separation, followed by 
magnetic separation and hand picking, allowed olivines of different 
iron content to be solated.  The sample was ground to <60 
micrometers and wet sieved.  Fine particles are missing from the 
sample; average particle size is close to 60 micrometers.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  olivin4a.txt

5.112576376	91.5498
5.107539239	91.5281
5.102512018	91.5271
5.097494683	91.4981
5.092487206	91.4922
5.087489558	91.4812
5.082504292	91.489
5.077526209	91.4783
5.072557868	91.4314
5.06759924	91.4026
5.062650297	91.4043
5.057711011	91.4063
5.052781354	91.3757
5.047861297	91.3806
5.042950812	91.3643
5.038049872	91.3308
5.033158448	91.3191
5.028276513	91.3152
5.023404039	91.2852
5.018541	91.2859
5.013687367	91.2898
5.008843113	91.25
5.004010715	91.2517
4.999185133	91.242
4.994368849	91.2322
4.989561837	91.1992
4.984764069	91.168
4.979975518	91.1453
4.97519616	91.1279
4.970425966	91.1052
4.96566491	91.084
4.960912967	91.1084
4.95617011	91.0918
4.951436313	91.075
4.94671155	91.0437
4.941995795	91.0335
4.937289023	91.0361
4.932591209	91.0349
4.927902325	91.0017
4.923222347	90.9695
4.918551251	90.9646
4.913889009	90.9353
4.909235598	90.9202
4.904590991	90.9031
4.899955165	90.8718
4.895328095	90.8347
4.890712146	90.825
4.886102507	90.803
4.88150155	90.7688
4.876909249	90.7683
4.87232558	90.7576
4.86775052	90.7415
4.863184043	90.7205
4.858626126	90.7078
4.854076745	90.6672
4.849535875	90.6516
4.845003493	90.6321
4.840479575	90.6043
4.835964098	90.5862
4.831457037	90.5691
4.826958369	90.551
4.822468072	90.5169
4.81798612	90.5032
4.813512492	90.4602
4.809047164	90.4485
4.804590113	90.4412
4.800141316	90.4212
4.79570075	90.3948
4.791268392	90.3718
4.78684422	90.3464
4.782430498	90.3303
4.778022625	90.3049
4.773622869	90.2742
4.769231209	90.2673
4.764847623	90.2263
4.760472086	90.2117
4.756104579	90.1961
4.751745078	90.1546
4.747393562	90.1282
4.743050009	90.1194
4.738714396	90.1043
4.734386703	90.0628
4.730066907	90.0515
4.725754987	90.0296
4.721450921	89.9915
4.717154688	89.9588
4.712866266	89.9329
4.708585635	89.9041
4.704312773	89.8762
4.700047658	89.8684
4.695790271	89.8582
4.691540589	89.8274
4.687298593	89.8015
4.68306426	89.7947
4.67883976	89.7752
4.67462069	89.7542
4.670409221	89.7381
4.666205334	89.7024
4.662009009	89.6707
4.657820224	89.6531
4.65363896	89.6365
4.649465195	89.617
4.645298911	89.6018
4.641140087	89.5584
4.636988702	89.5452
4.632844738	89.5427
4.628708174	89.5037
4.62457899	89.5061
4.620457167	89.4666
4.616342684	89.4671
4.612235523	89.4133
4.608135664	89.3884
4.604043086	89.3699
4.599957772	89.3499
4.595879702	89.3064
4.591808856	89.2781
4.587745215	89.263
4.58368876	89.2376
4.57964157	89.2449
4.575599426	89.2171
4.571564412	89.2034
4.567536508	89.1629
4.563515696	89.1716
4.559501956	89.1482
4.555495271	89.1145
4.551495621	89.0842
4.547502989	89.0569
4.543517355	89.033
4.539538701	88.9949
4.535567009	88.9754
4.531602261	88.968
4.527644439	88.9382
4.523693523	88.8826
4.519749497	88.8728
4.515814382	88.8689
4.511884077	88.8382
4.507960608	88.8006
4.504043956	88.7703
4.500134104	88.783
4.496231034	88.7761
4.492334729	88.7786
4.488445171	88.7224
4.484562343	88.7083
4.480686226	88.7034
4.476816804	88.6824
4.47295406	88.6458
4.469097975	88.5886
4.465248534	88.5525
4.461405718	88.551
4.45756951	88.5437
4.453739894	88.5095
4.449916853	88.4851
4.44610037	88.4846
4.442290427	88.4744
4.438487009	88.4378
4.434690097	88.4104
4.430899676	88.3714
4.42711573	88.3362
4.423340197	88.3621
4.419569145	88.3377
4.415804518	88.3074
4.412046298	88.2991
4.408294471	88.2903
4.404549018	88.2561
4.400809925	88.2278
4.397077175	88.1902
4.393350752	88.1858
4.389630639	88.157
4.385916821	88.1258
4.382209282	88.1189
4.378508006	88.0764
4.374812977	88.0623
4.371124179	88.0584
4.367441596	88.0276
4.363765214	88.0051
4.360095015	87.9881
4.356430985	87.9636
4.352773108	87.9319
4.349121369	87.9221
4.345475751	87.9124
4.341836241	87.9129
4.338202821	87.8826
4.334577357	87.8269
4.330956072	87.8133
4.327340832	87.8357
4.323731623	87.7879
4.320128429	87.7371
4.316531235	87.7385
4.312940028	87.7146
4.30935479	87.6956
4.305775509	87.637
4.302202168	87.6077
4.298634754	87.6004
4.29507325	87.575
4.291517644	87.5613
4.287967919	87.5335
