Name:  Copper Metal
Type:  Manmade materials
Class:  Roofing Materials
Subclass:  Metal
Particle Size: Solid
Sample No.: 0681UUUCOP
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center. 
Description:  Slightly weathered bare copper metal from government 
building roof flashing.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value: 12.5
Number of X Values: 536
Additional Information:  None

8.3	3.5131
8.4	3.1299
8.5	2.8261
8.6	2.6675
8.7	2.4698
8.8	2.5693
8.9	2.7419
9	3.0222
9.1	3.4446
9.2	3.7161
9.3	3.9661
9.4	3.8434
9.5	4.1506
9.6	4.5806
9.7	4.6466
9.8	4.6829
9.9	4.6959
10	4.7042
10.1	4.5546
10.2	4.3481
10.3	4.2875
10.4	4.3722
10.5	4.3479
10.6	4.322
10.7	4.2665
10.8	4.0893
10.9	3.9681
11	3.9013
11.1	3.8536
11.2	3.7588
11.3	3.5628
11.4	3.4593
11.5	3.5122
11.6	3.179
11.7	3.2982
11.8	2.9526
11.9	2.8149
12	2.9865
12.1	2.6371
12.2	2.8814
12.3	2.4775
12.4	3.5866
12.5	3.0334
