Name:  Bholghati
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Howardite
Particle Size:  0-75 micrometers
Sample No.:  Bholghati
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in India in 1905.  Smithsonian sample No. USNM 
1250(?).
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

7.2303	3.2981
7.2203	3.3059
7.2102	3.3125
7.2002	3.3176
7.1902	3.3218
7.1803	3.3252
7.1703	3.3281
7.1604	3.3313
7.1506	3.3352
7.1407	3.3398
7.1309	3.3450
7.1211	3.3501
7.1113	3.3552
7.1016	3.3596
7.0919	3.3640
7.0822	3.3684
7.0725	3.3723
7.0629	3.3767
7.0533	3.3821
7.0437	3.3887
7.0341	3.3972
7.0246	3.4072
7.0151	3.4184
7.0056	3.4299
6.9962	3.4407
6.9867	3.4517
6.9773	3.4629
6.9679	3.4753
6.9586	3.4888
6.9493	3.5034
6.9400	3.5181
6.9307	3.5327
6.9214	3.5471
6.9122	3.5613
6.9030	3.5757
6.8938	3.5901
6.8847	3.6042
6.8755	3.6186
6.8664	3.6338
6.8573	3.6501
6.8483	3.6682
6.8393	3.6875
6.8302	3.7080
6.8213	3.7290
6.8123	3.7505
6.8034	3.7720
6.7944	3.7934
6.7855	3.8149
6.7767	3.8359
6.7678	3.8552
6.7590	3.8711
6.7502	3.8838
6.7414	3.8935
6.7327	3.8999
6.7239	3.9038
6.7152	3.9058
6.7065	3.9067
6.6979	3.9070
6.6892	3.9067
6.6806	3.9058
6.6720	3.9040
6.6634	3.9006
6.6549	3.8955
6.6464	3.8882
6.6378	3.8801
6.6294	3.8735
6.6209	3.8686
6.6124	3.8647
6.6040	3.8611
6.5956	3.8564
6.5872	3.8508
6.5789	3.8445
6.5705	3.8391
6.5622	3.8359
6.5539	3.8347
6.5456	3.8340
6.5374	3.8313
6.5292	3.8252
6.5209	3.8159
6.5128	3.8035
6.5046	3.7893
6.4964	3.7751
6.4883	3.7622
6.4802	3.7502
6.4721	3.7380
6.4640	3.7246
6.4560	3.7085
6.4480	3.6894
6.4399	3.6675
6.4320	3.6435
6.4240	3.6194
6.4160	3.5959
6.4081	3.5737
6.4002	3.5525
6.3923	3.5310
6.3844	3.5080
6.3766	3.4829
6.3687	3.4563
6.3609	3.4292
6.3531	3.4033
6.3454	3.3804
6.3376	3.3618
6.3299	3.3469
6.3221	3.3352
6.3144	3.3257
6.3068	3.3181
6.2991	3.3113
6.2914	3.3054
6.2838	3.3008
6.2762	3.2981
6.2686	3.2966
6.2611	3.2964
6.2535	3.2971
6.2460	3.2978
6.2385	3.2993
6.2310	3.3015
6.2235	3.3042
6.2160	3.3079
6.2086	3.3130
6.2011	3.3203
6.1937	3.3293
6.1863	3.3403
6.1790	3.3545
6.1716	3.3711
6.1643	3.3896
6.1570	3.4099
6.1496	3.4311
6.1424	3.4531
6.1351	3.4748
6.1278	3.4968
6.1206	3.5193
6.1134	3.5425
