Name:  Winona
Type:  Stony Meteorites
Class:  Anomalous
Subclass:  
Particle Size:  0-75 micrometers
Sample No.:  Winona
Owner:  JHU
Wavelength range:  IR
Origin:  A prehistoric meteorite find.  Smithsonian sample No. 
USNM 854.
Description:  Weathered.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.5622	2.1377
6.5539	2.1479
6.5456	2.1587
6.5374	2.1685
6.5292	2.1768
6.5209	2.1831
6.5128	2.1877
6.5046	2.1909
6.4964	2.1941
6.4883	2.1977
6.4802	2.2026
6.4721	2.2080
6.4640	2.2134
6.4560	2.2180
6.4480	2.2209
6.4399	2.2224
6.4320	2.2219
6.4240	2.2205
6.4160	2.2180
6.4081	2.2153
6.4002	2.2122
6.3923	2.2087
6.3844	2.2046
6.3766	2.2004
6.3687	2.1965
6.3609	2.1936
6.3531	2.1916
6.3454	2.1912
6.3376	2.1921
6.3299	2.1946
6.3221	2.1975
6.3144	2.2007
6.3068	2.2036
6.2991	2.2058
6.2914	2.2078
6.2838	2.2097
6.2762	2.2124
6.2686	2.2158
6.2611	2.2205
6.2535	2.2258
6.2460	2.2314
6.2385	2.2371
6.2310	2.2419
6.2235	2.2461
6.2160	2.2490
6.2086	2.2517
6.2011	2.2541
6.1937	2.2576
6.1863	2.2624
6.1790	2.2688
6.1716	2.2766
6.1643	2.2852
6.1570	2.2937
6.1496	2.3015
6.1424	2.3081
6.1351	2.3132
6.1278	2.3171
6.1206	2.3206
6.1134	2.3232
6.1062	2.3252
6.0990	2.3257
6.0918	2.3242
6.0847	2.3210
6.0776	2.3159
6.0704	2.3098
6.0633	2.3037
6.0563	2.2988
6.0492	2.2959
6.0421	2.2947
6.0351	2.2956
6.0281	2.2981
6.0211	2.3015
6.0141	2.3064
6.0071	2.3132
6.0002	2.3223
5.9932	2.3342
5.9863	2.3491
5.9794	2.3669
5.9725	2.3870
5.9657	2.4080
5.9588	2.4297
5.9520	2.4512
5.9451	2.4724
5.9383	2.4927
5.9315	2.5115
5.9247	2.5286
5.9180	2.5430
5.9112	2.5549
5.9045	2.5647
5.8978	2.5730
5.8911	2.5808
5.8844	2.5889
5.8777	2.5974
5.8711	2.6067
5.8644	2.6157
5.8578	2.6240
5.8512	2.6313
5.8446	2.6372
5.8380	2.6426
5.8314	2.6482
5.8249	2.6543
5.8184	2.6611
5.8118	2.6689
5.8053	2.6765
5.7988	2.6833
5.7923	2.6887
5.7859	2.6926
5.7794	2.6953
5.7730	2.6968
5.7666	2.6980
5.7602	2.6990
5.7538	2.6999
5.7474	2.7009
5.7410	2.7017
5.7347	2.7021
5.7283	2.7019
5.7220	2.7017
5.7157	2.7007
5.7094	2.6999
5.7031	2.6987
5.6969	2.6977
5.6906	2.6963
5.6844	2.6943
5.6782	2.6916
5.6719	2.6885
5.6657	2.6848
5.6596	2.6811
5.6534	2.6775
5.6472	2.6746
5.6411	2.6724
5.6349	2.6711
5.6288	2.6711
5.6227	2.6724
5.6166	2.6750
5.6106	2.6794
5.6045	2.6863
5.5984	2.6955
5.5924	2.7075
5.5864	2.7226
5.5804	2.7400
5.5744	2.7588
5.5684	2.7781
5.5624	2.7969
5.5564	2.8140
5.5505	2.8286
5.5445	2.8406
5.5386	2.8496
