Name:  Lance2
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  Lance2
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1872.  Museum National d'Histoire 
Naturelle sample No. 1481 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.7913	3.0200
4.7868	3.0215
4.7824	3.0225
4.7780	3.0232
4.7736	3.0237
4.7692	3.0247
4.7648	3.0259
4.7605	3.0278
4.7561	3.0300
4.7517	3.0322
4.7474	3.0344
4.7431	3.0364
4.7387	3.0378
4.7344	3.0393
4.7301	3.0413
4.7258	3.0432
4.7215	3.0454
4.7172	3.0476
4.7129	3.0498
4.7086	3.0513
4.7043	3.0522
4.7000	3.0525
4.6958	3.0527
4.6915	3.0530
4.6873	3.0532
4.6831	3.0539
4.6788	3.0549
4.6746	3.0564
4.6704	3.0576
4.6662	3.0591
4.6620	3.0605
4.6578	3.0620
4.6536	3.0630
4.6495	3.0640
4.6453	3.0647
4.6411	3.0654
4.6370	3.0662
4.6328	3.0671
4.6287	3.0688
4.6246	3.0713
4.6205	3.0742
4.6163	3.0769
4.6122	3.0791
4.6081	3.0806
4.6040	3.0813
4.6000	3.0820
4.5959	3.0828
4.5918	3.0840
4.5877	3.0854
4.5837	3.0872
4.5796	3.0886
4.5756	3.0898
4.5716	3.0906
4.5675	3.0911
4.5635	3.0918
4.5595	3.0925
4.5555	3.0937
4.5515	3.0950
4.5475	3.0964
4.5435	3.0974
4.5395	3.0976
4.5356	3.0976
4.5316	3.0974
4.5276	3.0976
4.5237	3.0981
4.5197	3.0994
4.5158	3.1008
4.5119	3.1023
4.5080	3.1038
4.5040	3.1047
4.5001	3.1057
4.4962	3.1059
4.4923	3.1062
4.4884	3.1064
4.4846	3.1064
4.4807	3.1064
4.4768	3.1067
4.4730	3.1072
4.4691	3.1077
4.4652	3.1081
4.4614	3.1084
4.4576	3.1081
4.4537	3.1081
4.4499	3.1079
4.4461	3.1084
4.4423	3.1091
4.4385	3.1103
4.4347	3.1116
4.4309	3.1128
4.4271	3.1135
4.4233	3.1138
4.4196	3.1138
4.4158	3.1135
4.4120	3.1130
4.4083	3.1128
4.4045	3.1125
4.4008	3.1123
4.3971	3.1121
4.3934	3.1118
4.3896	3.1111
4.3859	3.1103
4.3822	3.1094
4.3785	3.1086
4.3748	3.1081
4.3711	3.1081
4.3674	3.1084
4.3638	3.1089
4.3601	3.1091
4.3564	3.1094
4.3528	3.1096
4.3491	3.1096
4.3455	3.1096
4.3418	3.1096
4.3382	3.1096
4.3346	3.1091
4.3310	3.1089
4.3273	3.1084
4.3237	3.1079
4.3201	3.1077
4.3165	3.1072
4.3129	3.1069
4.3094	3.1067
4.3058	3.1064
4.3022	3.1064
4.2986	3.1064
4.2951	3.1067
4.2915	3.1069
4.2880	3.1069
4.2844	3.1069
4.2809	3.1069
4.2774	3.1067
4.2738	3.1064
4.2703	3.1062
4.2668	3.1062
4.2633	3.1057
4.2598	3.1055
4.2563	3.1052
4.2528	3.1050
4.2493	3.1047
4.2458	3.1047
4.2424	3.1052
4.2389	3.1057
4.2354	3.1062
4.2320	3.1062
4.2285	3.1062
4.2251	3.1057
4.2216	3.1052
4.2182	3.1047
4.2148	3.1050
4.2113	3.1055
4.2079	3.1059
4.2045	3.1067
4.2011	3.1069
4.1977	3.1064
4.1943	3.1057
4.1909	3.1047
4.1875	3.1035
4.1841	3.1025
4.1808	3.1023
4.1774	3.1023
4.1740	3.1025
4.1707	3.1028
4.1673	3.1028
4.1640	3.1025
4.1606	3.1020
4.1573	3.1013
4.1540	3.1008
4.1506	3.1003
4.1473	3.0996
4.1440	3.0991
4.1407	3.0984
4.1374	3.0979
4.1341	3.0972
4.1308	3.0967
4.1275	3.0964
4.1242	3.0959
4.1209	3.0957
4.1177	3.0957
4.1144	3.0957
4.1111	3.0957
4.1079	3.0955
4.1046	3.0950
4.1014	3.0945
4.0981	3.0937
4.0949	3.0933
4.0917	3.0925
4.0884	3.0918
4.0852	3.0913
4.0820	3.0906
4.0788	3.0903
4.0756	3.0908
4.0724	3.0915
4.0692	3.0928
4.0660	3.0940
4.0628	3.0942
4.0596	3.0935
4.0565	3.0920
4.0533	3.0903
4.0501	3.0889
4.0470	3.0879
4.0438	3.0876
4.0406	3.0876
4.0375	3.0881
4.0344	3.0884
4.0312	3.0889
4.0281	3.0893
4.0250	3.0893
4.0218	3.0893
4.0187	3.0889
4.0156	3.0879
4.0125	3.0869
4.0094	3.0857
4.0063	3.0847
4.0032	3.0840
4.0001	3.0837
3.9970	3.0837
3.9940	3.0835
3.9909	3.0832
3.9878	3.0825
3.9847	3.0818
3.9817	3.0810
3.9786	3.0803
3.9756	3.0796
3.9725	3.0788
3.9695	3.0776
3.9665	3.0762
3.9634	3.0742
3.9604	3.0723
3.9574	3.0708
3.9544	3.0703
3.9513	3.0701
3.9483	3.0705
3.9453	3.0708
3.9423	3.0703
3.9393	3.0693
3.9363	3.0676
3.9333	3.0659
3.9304	3.0640
3.9274	3.0622
3.9244	3.0613
3.9214	3.0605
3.9185	3.0603
3.9155	3.0603
3.9126	3.0603
3.9096	3.0601
3.9067	3.0598
3.9037	3.0591
3.9008	3.0579
3.8979	3.0566
3.8949	3.0554
3.8920	3.0544
3.8891	3.0535
3.8862	3.0530
3.8833	3.0522
3.8804	3.0515
3.8775	3.0508
3.8746	3.0498
3.8717	3.0483
3.8688	3.0466
3.8659	3.0444
3.8630	3.0422
3.8601	3.0400
3.8573	3.0383
3.8544	3.0371
3.8515	3.0364
3.8487	3.0351
3.8458	3.0337
3.8430	3.0320
3.8401	3.0298
3.8373	3.0283
3.8344	3.0271
3.8316	3.0266
3.8288	3.0264
3.8259	3.0261
3.8231	3.0256
3.8203	3.0249
3.8175	3.0237
3.8147	3.0222
3.8119	3.0205
3.8091	3.0190
3.8063	3.0173
3.8035	3.0159
3.8007	3.0146
3.7979	3.0139
3.7951	3.0134
3.7924	3.0129
3.7896	3.0124
3.7868	3.0115
3.7841	3.0102
3.7813	3.0088
3.7785	3.0068
3.7758	3.0049
3.7730	3.0029
3.7703	3.0012
3.7676	2.9995
3.7648	2.9980
3.7621	2.9968
3.7594	2.9958
3.7566	2.9951
3.7539	2.9944
3.7512	2.9934
3.7485	2.9922
3.7458	2.9907
3.7431	2.9890
3.7404	2.9871
3.7377	2.9851
3.7350	2.9829
3.7323	2.9802
3.7296	2.9775
3.7269	2.9748
3.7242	2.9722
3.7216	2.9705
3.7189	2.9695
3.7162	2.9692
