Name:  Allende1
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CV3
Particle Size:  0-75 micrometers
Sample No.:  Allende1
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Mexico in 1969.  Smithsonian sample No. USNM 
3529.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.2460	1.6199
6.2385	1.6227
6.2310	1.6254
6.2235	1.6279
6.2160	1.6301
6.2086	1.6321
6.2011	1.6337
6.1937	1.6348
6.1863	1.6354
6.1790	1.6356
6.1716	1.6355
6.1643	1.6349
6.1570	1.6339
6.1496	1.6327
6.1424	1.6311
6.1351	1.6293
6.1278	1.6272
6.1206	1.6250
6.1134	1.6224
6.1062	1.6194
6.0990	1.6161
6.0918	1.6121
6.0847	1.6077
6.0776	1.6030
6.0704	1.5983
6.0633	1.5936
6.0563	1.5896
6.0492	1.5863
6.0421	1.5840
6.0351	1.5825
6.0281	1.5819
6.0211	1.5821
6.0141	1.5828
6.0071	1.5837
6.0002	1.5851
5.9932	1.5865
5.9863	1.5881
5.9794	1.5898
5.9725	1.5917
5.9657	1.5934
5.9588	1.5950
5.9520	1.5966
5.9451	1.5980
5.9383	1.5995
5.9315	1.6011
5.9247	1.6025
5.9180	1.6040
5.9112	1.6052
5.9045	1.6063
5.8978	1.6072
5.8911	1.6080
5.8844	1.6090
5.8777	1.6103
5.8711	1.6119
5.8644	1.6141
5.8578	1.6166
5.8512	1.6191
5.8446	1.6218
5.8380	1.6243
5.8314	1.6263
5.8249	1.6279
5.8184	1.6289
5.8118	1.6293
5.8053	1.6291
5.7988	1.6283
5.7923	1.6269
5.7859	1.6250
5.7794	1.6227
5.7730	1.6199
5.7666	1.6168
5.7602	1.6136
5.7538	1.6102
5.7474	1.6068
5.7410	1.6033
5.7347	1.5996
5.7283	1.5959
5.7220	1.5922
5.7157	1.5883
5.7094	1.5843
5.7031	1.5807
5.6969	1.5771
5.6906	1.5738
5.6844	1.5710
5.6782	1.5686
5.6719	1.5670
5.6657	1.5660
5.6596	1.5660
5.6534	1.5670
5.6472	1.5690
5.6411	1.5718
5.6349	1.5751
5.6288	1.5790
5.6227	1.5830
5.6166	1.5872
5.6106	1.5912
5.6045	1.5951
5.5984	1.5986
5.5924	1.6019
5.5864	1.6049
5.5804	1.6075
5.5744	1.6099
5.5684	1.6119
5.5624	1.6139
5.5564	1.6155
5.5505	1.6169
5.5445	1.6182
5.5386	1.6194
5.5327	1.6206
5.5268	1.6218
5.5209	1.6232
5.5151	1.6245
5.5092	1.6259
5.5033	1.6271
5.4975	1.6280
5.4917	1.6289
5.4859	1.6296
5.4801	1.6305
5.4743	1.6315
5.4685	1.6328
5.4628	1.6344
5.4570	1.6361
5.4513	1.6378
5.4455	1.6395
5.4398	1.6411
5.4341	1.6426
5.4284	1.6439
5.4228	1.6454
5.4171	1.6471
5.4114	1.6490
5.4058	1.6512
5.4002	1.6536
5.3945	1.6559
5.3889	1.6581
5.3833	1.6602
5.3778	1.6621
5.3722	1.6637
5.3666	1.6653
5.3611	1.6665
5.3555	1.6676
5.3500	1.6686
5.3445	1.6693
5.3390	1.6700
5.3335	1.6709
5.3280	1.6719
5.3225	1.6730
5.3171	1.6742
5.3116	1.6755
5.3062	1.6770
5.3008	1.6785
5.2954	1.6799
5.2900	1.6814
5.2846	1.6830
5.2792	1.6844
5.2738	1.6859
5.2684	1.6871
5.2631	1.6882
5.2578	1.6890
5.2524	1.6896
5.2471	1.6899
5.2418	1.6902
5.2365	1.6905
5.2312	1.6909
5.2260	1.6916
5.2207	1.6926
5.2154	1.6938
5.2102	1.6952
5.2050	1.6967
5.1998	1.6982
5.1945	1.6998
5.1893	1.7015
5.1842	1.7030
5.1790	1.7045
5.1738	1.7058
5.1686	1.7068
5.1635	1.7076
5.1584	1.7081
5.1532	1.7086
5.1481	1.7090
5.1430	1.7093
5.1379	1.7098
5.1328	1.7106
5.1277	1.7114
5.1227	1.7124
5.1176	1.7133
5.1126	1.7140
5.1075	1.7145
5.1025	1.7146
5.0975	1.7144
5.0925	1.7140
5.0875	1.7136
5.0825	1.7134
5.0775	1.7135
5.0726	1.7140
5.0676	1.7148
5.0627	1.7162
5.0577	1.7175
5.0528	1.7190
5.0479	1.7203
5.0430	1.7214
5.0380	1.7224
5.0332	1.7230
5.0283	1.7235
5.0234	1.7239
5.0185	1.7240
5.0137	1.7241
5.0088	1.7242
5.0040	1.7245
4.9992	1.7247
4.9944	1.7252
4.9896	1.7259
4.9848	1.7269
4.9800	1.7280
4.9752	1.7292
4.9704	1.7303
4.9657	1.7314
4.9609	1.7325
4.9562	1.7336
4.9514	1.7347
4.9467	1.7358
4.9420	1.7368
4.9373	1.7375
4.9326	1.7382
4.9279	1.7386
4.9232	1.7391
4.9186	1.7397
4.9139	1.7405
4.9092	1.7416
4.9046	1.7429
4.9000	1.7444
4.8953	1.7460
4.8907	1.7474
4.8861	1.7488
4.8815	1.7500
4.8769	1.7512
4.8723	1.7524
4.8678	1.7535
4.8632	1.7546
4.8586	1.7556
4.8541	1.7563
4.8495	1.7568
4.8450	1.7571
4.8405	1.7571
4.8360	1.7570
4.8315	1.7567
4.8270	1.7567
4.8225	1.7571
4.8180	1.7577
4.8135	1.7587
4.8090	1.7599
4.8046	1.7611
4.8001	1.7623
4.7957	1.7634
