Name:  Happy Canyon
Type:  Stony Meteorites
Class:  Enstatite Chondrite
Subclass:  E6
Particle Size:  0-75 micrometers
Sample No.:  Happy Canyon
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1971.  Smithsonian sample No. USNM 5820.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

8.4570	0.84370
8.4432	0.86060
8.4295	0.87890
8.4158	0.89970
8.4022	0.92210
8.3886	0.94580
8.3750	0.97070
8.3615	0.99760
8.3481	1.0264
8.3347	1.0561
8.3213	1.0876
8.3079	1.1208
8.2946	1.1548
8.2814	1.1892
8.2682	1.2234
8.2550	1.2578
8.2419	1.2920
8.2288	1.3249
8.2158	1.3577
8.2028	1.3896
8.1898	1.4204
8.1769	1.4507
8.1640	1.4805
8.1512	1.5105
8.1384	1.5405
8.1256	1.5701
8.1129	1.5991
8.1002	1.6274
8.0876	1.6553
8.0750	1.6824
8.0624	1.7090
8.0499	1.7358
8.0374	1.7629
8.0250	1.7905
8.0126	1.8181
8.0002	1.8457
7.9879	1.8728
7.9756	1.8984
7.9634	1.9233
7.9512	1.9475
7.9390	1.9714
7.9268	1.9958
7.9147	2.0205
7.9027	2.0454
7.8906	2.0701
7.8786	2.0942
7.8667	2.1182
7.8548	2.1416
7.8429	2.1650
7.8310	2.1885
7.8192	2.2109
7.8075	2.2329
7.7957	2.2537
7.7840	2.2722
7.7723	2.2883
7.7607	2.3022
7.7491	2.3147
7.7375	2.3262
7.7260	2.3367
7.7145	2.3459
7.7031	2.3547
7.6916	2.3625
7.6802	2.3699
7.6689	2.3774
7.6575	2.3860
7.6462	2.3953
7.6350	2.4053
7.6238	2.4155
7.6126	2.4260
7.6014	2.4370
7.5903	2.4485
7.5792	2.4612
7.5681	2.4753
7.5571	2.4914
7.5461	2.5090
7.5351	2.5268
7.5242	2.5435
7.5133	2.5576
7.5024	2.5688
7.4916	2.5779
7.4807	2.5854
7.4700	2.5930
7.4592	2.6018
7.4485	2.6111
7.4378	2.6208
7.4272	2.6306
7.4165	2.6411
7.4059	2.6526
7.3954	2.6650
7.3848	2.6777
7.3743	2.6904
7.3639	2.7026
7.3534	2.7143
7.3430	2.7248
7.3326	2.7346
7.3223	2.7439
7.3119	2.7522
7.3016	2.7590
7.2914	2.7654
7.2811	2.7727
7.2709	2.7817
7.2607	2.7927
7.2506	2.8057
7.2404	2.8198
7.2303	2.8345
7.2203	2.8491
7.2102	2.8638
7.2002	2.8782
7.1902	2.8918
7.1803	2.9048
7.1703	2.9167
7.1604	2.9277
7.1506	2.9377
7.1407	2.9480
7.1309	2.9582
7.1211	2.9687
7.1113	2.9785
7.1016	2.9871
7.0919	2.9934
7.0822	2.9978
7.0725	3.0005
7.0629	3.0029
7.0533	3.0054
7.0437	3.0083
7.0341	3.0124
7.0246	3.0173
7.0151	3.0225
7.0056	3.0278
6.9962	3.0339
6.9867	3.0413
6.9773	3.0488
6.9679	3.0566
6.9586	3.0649
6.9493	3.0732
6.9400	3.0801
6.9307	3.0859
6.9214	3.0915
6.9122	3.0964
6.9030	3.1008
6.8938	3.1055
6.8847	3.1103
6.8755	3.1155
6.8664	3.1204
6.8573	3.1257
6.8483	3.1309
6.8393	3.1355
6.8302	3.1389
6.8213	3.1413
6.8123	3.1438
6.8034	3.1462
6.7944	3.1499
6.7855	3.1558
6.7767	3.1638
6.7678	3.1724
6.7590	3.1799
6.7502	3.1848
6.7414	3.1860
6.7327	3.1824
6.7239	3.1750
6.7152	3.1650
6.7065	3.1545
6.6979	3.1443
6.6892	3.1357
6.6806	3.1287
6.6720	3.1228
6.6634	3.1179
6.6549	3.1140
6.6464	3.1118
6.6378	3.1125
6.6294	3.1174
6.6209	3.1262
6.6124	3.1382
6.6040	3.1518
6.5956	3.1650
6.5872	3.1772
6.5789	3.1882
6.5705	3.1975
6.5622	3.2058
6.5539	3.2126
6.5456	3.2183
6.5374	3.2214
6.5292	3.2219
6.5209	3.2200
6.5128	3.2165
6.5046	3.2121
