Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.2991	5.3203
6.2914	5.3196
6.2838	5.3183
6.2762	5.3152
6.2686	5.3118
6.2611	5.3093
6.2535	5.3057
6.2460	5.3013
6.2385	5.2976
6.2310	5.2932
6.2235	5.2883
6.2160	5.2847
6.2086	5.2795
6.2011	5.2729
6.1937	5.2654
6.1863	5.2573
6.1790	5.2495
6.1716	5.2432
6.1643	5.2410
6.1570	5.2410
6.1496	5.2380
6.1424	5.2331
6.1351	5.2241
6.1278	5.2104
6.1206	5.1926
6.1134	5.1709
6.1062	5.1453
6.0990	5.1147
6.0918	5.0801
6.0847	5.0422
6.0776	5.0000
6.0704	4.9541
6.0633	4.9094
6.0563	4.8689
6.0492	4.8345
6.0421	4.8083
6.0351	4.7910
6.0281	4.7820
6.0211	4.7790
6.0141	4.7795
6.0071	4.7856
6.0002	4.7991
5.9932	4.8169
5.9863	4.8352
5.9794	4.8545
5.9725	4.8750
5.9657	4.8950
5.9588	4.9136
5.9520	4.9326
5.9451	4.9531
5.9383	4.9731
5.9315	4.9919
5.9247	5.0107
5.9180	5.0273
5.9112	5.0427
5.9045	5.0566
5.8978	5.0691
5.8911	5.0825
5.8844	5.0981
5.8777	5.1145
5.8711	5.1296
5.8644	5.1423
5.8578	5.1562
5.8512	5.1702
5.8446	5.1814
5.8380	5.1919
5.8314	5.2031
5.8249	5.2131
5.8184	5.2219
5.8118	5.2312
5.8053	5.2405
5.7988	5.2475
5.7923	5.2488
5.7859	5.2456
5.7794	5.2410
5.7730	5.2319
5.7666	5.2175
5.7602	5.2002
5.7538	5.1811
5.7474	5.1601
5.7410	5.1350
5.7347	5.1084
5.7283	5.0820
5.7220	5.0532
5.7157	5.0234
5.7094	4.9939
5.7031	4.9651
5.6969	4.9375
5.6906	4.9111
5.6844	4.8884
5.6782	4.8708
5.6719	4.8596
5.6657	4.8547
5.6596	4.8550
5.6534	4.8616
5.6472	4.8747
5.6411	4.8931
5.6349	4.9158
5.6288	4.9429
5.6227	4.9729
5.6166	5.0044
5.6106	5.0393
5.6045	5.0769
5.5984	5.1138
5.5924	5.1494
5.5864	5.1833
5.5804	5.2131
5.5744	5.2395
5.5684	5.2632
5.5624	5.2839
5.5564	5.3017
5.5505	5.3169
5.5445	5.3296
5.5386	5.3406
5.5327	5.3501
5.5268	5.3591
5.5209	5.3664
5.5151	5.3713
5.5092	5.3762
5.5033	5.3791
5.4975	5.3818
5.4917	5.3874
5.4859	5.3950
5.4801	5.4038
5.4743	5.4150
5.4685	5.4280
5.4628	5.4414
5.4570	5.4565
5.4513	5.4731
5.4455	5.4902
5.4398	5.5068
5.4341	5.5246
5.4284	5.5437
5.4228	5.5625
5.4171	5.5813
5.4114	5.5996
5.4058	5.6169
5.4002	5.6335
5.3945	5.6499
5.3889	5.6658
5.3833	5.6789
5.3778	5.6916
5.3722	5.7031
5.3666	5.7119
5.3611	5.7212
5.3555	5.7309
5.3500	5.7380
5.3445	5.7424
5.3390	5.7466
5.3335	5.7517
5.3280	5.7544
5.3225	5.7551
5.3171	5.7571
5.3116	5.7585
5.3062	5.7576
5.3008	5.7554
5.2954	5.7544
5.2900	5.7519
5.2846	5.7480
5.2792	5.7453
5.2738	5.7446
5.2684	5.7458
5.2631	5.7488
5.2578	5.7529
5.2524	5.7593
5.2471	5.7659
5.2418	5.7720
5.2365	5.7778
5.2312	5.7847
5.2260	5.7917
5.2207	5.7988
5.2154	5.8056
5.2102	5.8130
5.2050	5.8193
5.1998	5.8244
5.1945	5.8284
5.1893	5.8337
5.1842	5.8393
5.1790	5.8450
5.1738	5.8533
5.1686	5.8638
5.1635	5.8735
5.1584	5.8843
5.1532	5.8938
5.1481	5.9023
5.1430	5.9116
5.1379	5.9223
5.1328	5.9355
5.1277	5.9487
