Name:  Millen2
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  H4
Particle Size:  0-75 micrometers
Sample No.:  Millen 5823
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1975.  Smithsonian sample No USNM 5823.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.4917	3.4556
5.4859	3.4548
5.4801	3.4548
5.4743	3.4556
5.4685	3.4570
5.4628	3.4590
5.4570	3.4612
5.4513	3.4626
5.4455	3.4634
5.4398	3.4636
5.4341	3.4646
5.4284	3.4668
5.4228	3.4705
5.4171	3.4763
5.4114	3.4839
5.4058	3.4919
5.4002	3.4997
5.3945	3.5073
5.3889	3.5146
5.3833	3.5207
5.3778	3.5259
5.3722	3.5305
5.3666	3.5334
5.3611	3.5349
5.3555	3.5351
5.3500	3.5356
5.3445	3.5369
5.3390	3.5391
5.3335	3.5415
5.3280	3.5444
5.3225	3.5459
5.3171	3.5452
5.3116	3.5425
5.3062	3.5395
5.3008	3.5371
5.2954	3.5351
5.2900	3.5339
5.2846	3.5332
5.2792	3.5322
5.2738	3.5308
5.2684	3.5288
5.2631	3.5271
5.2578	3.5246
5.2524	3.5220
5.2471	3.5198
5.2418	3.5183
5.2365	3.5176
5.2312	3.5178
5.2260	3.5183
5.2207	3.5181
5.2154	3.5168
5.2102	3.5142
5.2050	3.5117
5.1998	3.5088
5.1945	3.5061
5.1893	3.5037
5.1842	3.5019
5.1790	3.5005
5.1738	3.4993
5.1686	3.4988
5.1635	3.4993
5.1584	3.5002
5.1532	3.5012
5.1481	3.5029
5.1430	3.5049
5.1379	3.5071
5.1328	3.5098
5.1277	3.5129
5.1227	3.5171
5.1176	3.5210
5.1126	3.5246
5.1075	3.5281
5.1025	3.5310
5.0975	3.5334
5.0925	3.5356
5.0875	3.5383
5.0825	3.5413
5.0775	3.5439
5.0726	3.5466
5.0676	3.5493
5.0627	3.5525
5.0577	3.5559
5.0528	3.5593
5.0479	3.5622
5.0430	3.5647
5.0380	3.5669
5.0332	3.5686
5.0283	3.5705
5.0234	3.5723
5.0185	3.5737
5.0137	3.5742
5.0088	3.5745
5.0040	3.5742
4.9992	3.5737
4.9944	3.5737
4.9896	3.5740
4.9848	3.5737
4.9800	3.5730
4.9752	3.5723
4.9704	3.5723
4.9657	3.5725
4.9609	3.5732
4.9562	3.5752
4.9514	3.5784
4.9467	3.5823
4.9420	3.5871
4.9373	3.5918
4.9326	3.5964
4.9279	3.5998
4.9232	3.6020
4.9186	3.6040
4.9139	3.6062
4.9092	3.6089
4.9046	3.6121
4.9000	3.6162
4.8953	3.6208
4.8907	3.6252
4.8861	3.6299
4.8815	3.6345
4.8769	3.6379
4.8723	3.6404
4.8678	3.6421
4.8632	3.6433
4.8586	3.6448
4.8541	3.6470
4.8495	3.6504
4.8450	3.6540
4.8405	3.6577
4.8360	3.6611
4.8315	3.6643
4.8270	3.6670
4.8225	3.6697
4.8180	3.6721
4.8135	3.6733
4.8090	3.6738
4.8046	3.6746
4.8001	3.6758
4.7957	3.6772
4.7913	3.6799
4.7868	3.6836
4.7824	3.6872
4.7780	3.6907
4.7736	3.6946
4.7692	3.6987
4.7648	3.7021
4.7605	3.7051
4.7561	3.7070
4.7517	3.7080
4.7474	3.7087
4.7431	3.7097
4.7387	3.7114
4.7344	3.7136
4.7301	3.7161
4.7258	3.7185
4.7215	3.7202
4.7172	3.7219
4.7129	3.7234
4.7086	3.7246
4.7043	3.7253
4.7000	3.7256
4.6958	3.7253
4.6915	3.7253
4.6873	3.7258
4.6831	3.7270
4.6788	3.7285
4.6746	3.7305
4.6704	3.7317
4.6662	3.7324
4.6620	3.7324
4.6578	3.7327
4.6536	3.7329
4.6495	3.7341
4.6453	3.7361
4.6411	3.7388
4.6370	3.7414
4.6328	3.7444
4.6287	3.7468
4.6246	3.7488
4.6205	3.7500
4.6163	3.7505
4.6122	3.7497
4.6081	3.7485
4.6040	3.7475
4.6000	3.7475
4.5959	3.7485
4.5918	3.7502
4.5877	3.7519
4.5837	3.7534
4.5796	3.7549
4.5756	3.7563
4.5716	3.7583
4.5675	3.7600
4.5635	3.7617
4.5595	3.7624
4.5555	3.7622
4.5515	3.7615
4.5475	3.7610
4.5435	3.7610
4.5395	3.7607
4.5356	3.7605
4.5316	3.7595
4.5276	3.7583
4.5237	3.7566
4.5197	3.7556
4.5158	3.7558
4.5119	3.7568
4.5080	3.7576
4.5040	3.7578
4.5001	3.7576
4.4962	3.7563
4.4923	3.7539
4.4884	3.7519
4.4846	3.7505
4.4807	3.7493
4.4768	3.7485
4.4730	3.7483
4.4691	3.7485
4.4652	3.7485
4.4614	3.7478
4.4576	3.7475
4.4537	3.7473
