Name:  ALHA 77216
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L3
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77216
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM 
 ALHA 77216.00.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

15.854	0.63180
15.805	0.62500
15.757	0.61500
15.710	0.59670
15.662	0.57710
15.615	0.57960
15.568	0.58690
15.521	0.56690
15.475	0.53340
15.429	0.52950
15.383	0.55420
15.338	0.55880
15.292	0.58500
15.248	0.61670
15.203	0.63110
15.158	0.67110
15.114	0.71440
15.070	0.73560
15.027	0.74540
14.983	0.77470
14.940	0.80440
14.897	0.76730
14.854	0.76370
14.812	0.82520
14.770	0.83180
14.728	0.81960
14.686	0.83640
14.645	0.84840
14.603	0.86790
14.562	0.89260
14.521	0.92190
14.481	0.96510
14.441	1.0229
14.400	1.0669
14.361	1.0730
14.321	1.1008
14.281	1.1289
14.242	1.1343
14.203	1.1775
14.164	1.2058
14.126	1.1963
14.087	1.1797
14.049	1.1836
14.011	1.1965
13.973	1.1973
13.936	1.1985
13.899	1.1819
13.861	1.1475
13.824	1.1182
13.788	1.1321
13.751	1.1343
13.715	1.1460
13.679	1.1953
13.643	1.2297
13.607	1.2568
13.571	1.2825
13.536	1.2827
13.500	1.3076
13.465	1.3306
13.430	1.3630
13.396	1.3894
13.361	1.4446
13.327	1.4956
13.293	1.5193
13.259	1.5476
13.225	1.5754
13.191	1.5989
13.158	1.6233
13.124	1.6094
13.091	1.6155
13.058	1.6772
13.026	1.7021
12.993	1.6880
12.960	1.7012
12.928	1.6921
12.896	1.6855
12.864	1.6899
12.832	1.6931
12.800	1.6855
12.769	1.6890
12.737	1.7058
12.706	1.6948
12.675	1.6772
12.644	1.6709
12.614	1.6602
12.583	1.6653
12.552	1.6782
12.522	1.6670
12.492	1.6562
12.462	1.6592
12.432	1.6570
12.402	1.6352
