Name:  Karoonda3
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  C4 (CV/CO)
Particle Size:  0-75 micrometers
Sample No.:  Karoonda3
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Australia in 1930.  Smithsonian sample No. 
USNM 5936 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.9045	1.7983
5.8978	1.7966
5.8911	1.7983
5.8844	1.8013
5.8777	1.8066
5.8711	1.8115
5.8644	1.8123
5.8578	1.8125
5.8512	1.8144
5.8446	1.8169
5.8380	1.8188
5.8314	1.8196
5.8249	1.8227
5.8184	1.8279
5.8118	1.8286
5.8053	1.8264
5.7988	1.8271
5.7923	1.8284
5.7859	1.8286
5.7794	1.8264
5.7730	1.8232
5.7666	1.8198
5.7602	1.8184
5.7538	1.8140
5.7474	1.8054
5.7410	1.7981
5.7347	1.7935
5.7283	1.7869
5.7220	1.7781
5.7157	1.7705
5.7094	1.7654
5.7031	1.7573
5.6969	1.7471
5.6906	1.7422
5.6844	1.7363
5.6782	1.7305
5.6719	1.7300
5.6657	1.7305
5.6596	1.7268
5.6534	1.7268
5.6472	1.7297
5.6411	1.7346
5.6349	1.7419
5.6288	1.7473
5.6227	1.7517
5.6166	1.7576
5.6106	1.7624
5.6045	1.7686
5.5984	1.7771
5.5924	1.7832
5.5864	1.7849
5.5804	1.7881
5.5744	1.7925
5.5684	1.7956
5.5624	1.7969
5.5564	1.7959
5.5505	1.7966
5.5445	1.7983
5.5386	1.7976
5.5327	1.7983
5.5268	1.7998
5.5209	1.7978
5.5151	1.7983
5.5092	1.8005
5.5033	1.7998
5.4975	1.7983
5.4917	1.7993
5.4859	1.8003
5.4801	1.8008
5.4743	1.8027
5.4685	1.8052
5.4628	1.8076
5.4570	1.8088
5.4513	1.8125
5.4455	1.8169
5.4398	1.8176
5.4341	1.8188
5.4284	1.8213
5.4228	1.8242
5.4171	1.8291
5.4114	1.8325
5.4058	1.8345
5.4002	1.8359
5.3945	1.8384
5.3889	1.8411
5.3833	1.8420
5.3778	1.8425
5.3722	1.8447
5.3666	1.8467
5.3611	1.8491
5.3555	1.8491
5.3500	1.8484
5.3445	1.8494
5.3390	1.8498
5.3335	1.8498
5.3280	1.8498
5.3225	1.8498
5.3171	1.8506
5.3116	1.8503
5.3062	1.8513
5.3008	1.8520
5.2954	1.8547
5.2900	1.8555
5.2846	1.8555
5.2792	1.8577
5.2738	1.8599
5.2684	1.8613
5.2631	1.8608
5.2578	1.8608
5.2524	1.8623
5.2471	1.8667
5.2418	1.8704
5.2365	1.8728
5.2312	1.8757
5.2260	1.8789
5.2207	1.8791
5.2154	1.8791
5.2102	1.8821
5.2050	1.8828
5.1998	1.8848
5.1945	1.8884
5.1893	1.8892
5.1842	1.8901
5.1790	1.8921
5.1738	1.8928
5.1686	1.8948
5.1635	1.8994
5.1584	1.9011
5.1532	1.9004
5.1481	1.9031
5.1430	1.9040
5.1379	1.9048
5.1328	1.9072
5.1277	1.9067
5.1227	1.9075
5.1176	1.9089
5.1126	1.9072
5.1075	1.9065
5.1025	1.9075
5.0975	1.9092
5.0925	1.9089
5.0875	1.9087
5.0825	1.9099
5.0775	1.9104
5.0726	1.9102
5.0676	1.9102
5.0627	1.9106
5.0577	1.9102
5.0528	1.9102
5.0479	1.9106
5.0430	1.9111
5.0380	1.9116
5.0332	1.9128
5.0283	1.9138
5.0234	1.9141
5.0185	1.9150
5.0137	1.9160
5.0088	1.9177
5.0040	1.9192
4.9992	1.9187
4.9944	1.9197
4.9896	1.9214
4.9848	1.9233
4.9800	1.9265
4.9752	1.9297
4.9704	1.9309
4.9657	1.9326
4.9609	1.9365
4.9562	1.9390
4.9514	1.9421
4.9467	1.9451
4.9420	1.9473
4.9373	1.9517
4.9326	1.9553
4.9279	1.9556
4.9232	1.9558
4.9186	1.9565
4.9139	1.9595
4.9092	1.9648
4.9046	1.9665
4.9000	1.9670
4.8953	1.9692
4.8907	1.9707
4.8861	1.9717
4.8815	1.9714
4.8769	1.9727
4.8723	1.9748
4.8678	1.9744
4.8632	1.9763
4.8586	1.9788
4.8541	1.9783
4.8495	1.9780
4.8450	1.9800
4.8405	1.9792
4.8360	1.9785
4.8315	1.9814
4.8270	1.9831
4.8225	1.9827
4.8180	1.9817
4.8135	1.9824
4.8090	1.9841
4.8046	1.9822
4.8001	1.9822
4.7957	1.9856
4.7913	1.9849
4.7868	1.9844
4.7824	1.9853
4.7780	1.9866
4.7736	1.9866
4.7692	1.9873
4.7648	1.9866
4.7605	1.9836
4.7561	1.9824
4.7517	1.9853
4.7474	1.9853
4.7431	1.9829
4.7387	1.9846
4.7344	1.9858
4.7301	1.9861
4.7258	1.9858
4.7215	1.9858
4.7172	1.9846
4.7129	1.9866
4.7086	1.9873
4.7043	1.9861
4.7000	1.9856
4.6958	1.9866
