Name:  Olivenza
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  Olivenza
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1924.  Smithsonian sample No. USNM 5955.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.0380	5.2790
5.0332	5.2856
5.0283	5.2912
5.0234	5.2961
5.0185	5.3008
5.0137	5.3052
5.0088	5.3096
5.0040	5.3147
4.9992	5.3210
4.9944	5.3288
4.9896	5.3386
4.9848	5.3508
4.9800	5.3652
4.9752	5.3816
4.9704	5.3994
4.9657	5.4180
4.9609	5.4372
4.9562	5.4570
4.9514	5.4770
4.9467	5.4975
4.9420	5.5185
4.9373	5.5400
4.9326	5.5618
4.9279	5.5830
4.9232	5.6040
4.9186	5.6240
4.9139	5.6433
4.9092	5.6616
4.9046	5.6792
4.9000	5.6960
4.8953	5.7119
4.8907	5.7268
4.8861	5.7402
4.8815	5.7524
4.8769	5.7639
4.8723	5.7744
4.8678	5.7847
4.8632	5.7949
4.8586	5.8056
4.8541	5.8164
4.8495	5.8271
4.8450	5.8376
4.8405	5.8479
4.8360	5.8577
4.8315	5.8669
4.8270	5.8764
4.8225	5.8862
4.8180	5.8962
4.8135	5.9065
4.8090	5.9172
4.8046	5.9277
4.8001	5.9382
4.7957	5.9480
4.7913	5.9575
4.7868	5.9668
4.7824	5.9758
4.7780	5.9848
4.7736	5.9934
4.7692	6.0019
4.7648	6.0098
4.7605	6.0171
4.7561	6.0239
4.7517	6.0300
4.7474	6.0356
4.7431	6.0410
4.7387	6.0461
4.7344	6.0510
4.7301	6.0564
4.7258	6.0618
4.7215	6.0676
4.7172	6.0742
4.7129	6.0808
4.7086	6.0879
4.7043	6.0950
4.7000	6.1020
4.6958	6.1089
4.6915	6.1160
4.6873	6.1233
4.6831	6.1308
4.6788	6.1387
4.6746	6.1470
4.6704	6.1550
4.6662	6.1633
4.6620	6.1716
4.6578	6.1799
4.6536	6.1885
4.6495	6.1972
4.6453	6.2068
4.6411	6.2165
4.6370	6.2265
4.6328	6.2368
4.6287	6.2468
4.6246	6.2563
4.6205	6.2654
4.6163	6.2742
4.6122	6.2825
4.6081	6.2905
4.6040	6.2983
4.6000	6.3056
4.5959	6.3127
4.5918	6.3196
4.5877	6.3257
4.5837	6.3315
4.5796	6.3374
4.5756	6.3430
4.5716	6.3486
4.5675	6.3545
4.5635	6.3603
4.5595	6.3662
4.5555	6.3721
4.5515	6.3779
4.5475	6.3838
4.5435	6.3896
4.5395	6.3957
4.5356	6.4018
4.5316	6.4077
4.5276	6.4131
4.5237	6.4177
4.5197	6.4219
4.5158	6.4255
4.5119	6.4292
4.5080	6.4333
4.5040	6.4377
4.5001	6.4431
4.4962	6.4487
4.4923	6.4543
4.4884	6.4602
4.4846	6.4658
4.4807	6.4712
4.4768	6.4763
4.4730	6.4814
4.4691	6.4866
4.4652	6.4914
4.4614	6.4966
4.4576	6.5012
4.4537	6.5058
4.4499	6.5107
4.4461	6.5154
4.4423	6.5205
4.4385	6.5259
4.4347	6.5312
4.4309	6.5368
4.4271	6.5422
4.4233	6.5471
4.4196	6.5517
4.4158	6.5559
4.4120	6.5596
4.4083	6.5630
4.4045	6.5664
4.4008	6.5698
4.3971	6.5732
4.3934	6.5769
4.3896	6.5810
4.3859	6.5849
4.3822	6.5891
4.3785	6.5932
4.3748	6.5974
4.3711	6.6013
4.3674	6.6050
4.3638	6.6086
4.3601	6.6125
4.3564	6.6162
4.3528	6.6199
4.3491	6.6235
4.3455	6.6269
4.3418	6.6304
4.3382	6.6333
4.3346	6.6360
4.3310	6.6382
4.3273	6.6401
4.3237	6.6418
4.3201	6.6430
4.3165	6.6445
4.3129	6.6460
4.3094	6.6479
4.3058	6.6506
4.3022	6.6540
4.2986	6.6582
4.2951	6.6623
4.2915	6.6667
4.2880	6.6709
4.2844	6.6748
4.2809	6.6780
4.2774	6.6811
4.2738	6.6841
4.2703	6.6868
4.2668	6.6897
4.2633	6.6926
4.2598	6.6953
4.2563	6.6982
4.2528	6.7012
4.2493	6.7041
4.2458	6.7073
4.2424	6.7104
4.2389	6.7139
4.2354	6.7175
4.2320	6.7212
4.2285	6.7246
4.2251	6.7280
4.2216	6.7307
4.2182	6.7331
4.2148	6.7351
4.2113	6.7370
4.2079	6.7390
4.2045	6.7412
4.2011	6.7436
4.1977	6.7461
4.1943	6.7485
4.1909	6.7507
4.1875	6.7527
4.1841	6.7544
4.1808	6.7561
4.1774	6.7576
4.1740	6.7590
4.1707	6.7605
4.1673	6.7619
4.1640	6.7632
4.1606	6.7641
4.1573	6.7651
4.1540	6.7656
4.1506	6.7663
4.1473	6.7668
4.1440	6.7673
4.1407	6.7678
4.1374	6.7680
4.1341	6.7685
4.1308	6.7688
4.1275	6.7690
4.1242	6.7698
4.1209	6.7707
4.1177	6.7724
4.1144	6.7744
4.1111	6.7766
4.1079	6.7788
4.1046	6.7805
4.1014	6.7820
4.0981	6.7827
4.0949	6.7832
4.0917	6.7837
4.0884	6.7842
4.0852	6.7847
4.0820	6.7856
4.0788	6.7866
4.0756	6.7878
4.0724	6.7888
4.0692	6.7895
4.0660	6.7903
4.0628	6.7910
4.0596	6.7920
4.0565	6.7934
4.0533	6.7949
4.0501	6.7964
4.0470	6.7978
4.0438	6.7988
4.0406	6.7995
4.0375	6.7998
4.0344	6.8003
4.0312	6.8008
4.0281	6.8017
4.0250	6.8025
4.0218	6.8034
4.0187	6.8039
4.0156	6.8042
4.0125	6.8039
4.0094	6.8032
4.0063	6.8030
4.0032	6.8027
4.0001	6.8032
3.9970	6.8042
3.9940	6.8056
3.9909	6.8069
3.9878	6.8081
3.9847	6.8088
3.9817	6.8096
3.9786	6.8098
3.9756	6.8100
3.9725	6.8100
3.9695	6.8105
3.9665	6.8110
3.9634	6.8120
3.9604	6.8135
3.9574	6.8152
3.9544	6.8169
3.9513	6.8186
3.9483	6.8201
3.9453	6.8208
3.9423	6.8213
3.9393	6.8218
3.9363	6.8222
3.9333	6.8230
3.9304	6.8244
3.9274	6.8264
3.9244	6.8286
3.9214	6.8308
3.9185	6.8327
