Name:  ALH 83108
Type:  Stony Meteorites
Class:  Carbonaceous chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  ALH 83108
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1983..  Sample supplied by Tom Jones.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.5046	2.3130
6.4964	2.3122
6.4883	2.3130
6.4802	2.3147
6.4721	2.3171
6.4640	2.3196
6.4560	2.3215
6.4480	2.3220
6.4399	2.3213
6.4320	2.3198
6.4240	2.3179
6.4160	2.3159
6.4081	2.3149
6.4002	2.3144
6.3923	2.3144
6.3844	2.3144
6.3766	2.3140
6.3687	2.3130
6.3609	2.3115
6.3531	2.3098
6.3454	2.3081
6.3376	2.3069
6.3299	2.3061
6.3221	2.3057
6.3144	2.3054
6.3068	2.3052
6.2991	2.3047
6.2914	2.3037
6.2838	2.3025
6.2762	2.3010
6.2686	2.2993
6.2611	2.2978
6.2535	2.2964
6.2460	2.2947
6.2385	2.2927
6.2310	2.2895
6.2235	2.2854
6.2160	2.2800
6.2086	2.2734
6.2011	2.2659
6.1937	2.2581
6.1863	2.2502
6.1790	2.2427
6.1716	2.2356
6.1643	2.2292
6.1570	2.2231
6.1496	2.2173
6.1424	2.2114
6.1351	2.2053
6.1278	2.1987
6.1206	2.1912
6.1134	2.1829
6.1062	2.1731
6.0990	2.1621
6.0918	2.1499
6.0847	2.1367
6.0776	2.1235
6.0704	2.1111
6.0633	2.1003
6.0563	2.0920
6.0492	2.0872
6.0421	2.0854
6.0351	2.0872
6.0281	2.0918
6.0211	2.0986
6.0141	2.1072
6.0071	2.1167
6.0002	2.1269
5.9932	2.1374
5.9863	2.1479
5.9794	2.1584
5.9725	2.1687
5.9657	2.1787
5.9588	2.1882
5.9520	2.1975
5.9451	2.2063
5.9383	2.2146
5.9315	2.2229
5.9247	2.2305
5.9180	2.2380
5.9112	2.2454
5.9045	2.2527
5.8978	2.2600
5.8911	2.2678
5.8844	2.2759
5.8777	2.2844
5.8711	2.2927
5.8644	2.3010
5.8578	2.3086
5.8512	2.3154
5.8446	2.3215
5.8380	2.3274
5.8314	2.3332
5.8249	2.3391
5.8184	2.3447
5.8118	2.3501
5.8053	2.3542
5.7988	2.3567
5.7923	2.3572
5.7859	2.3555
5.7794	2.3516
5.7730	2.3467
5.7666	2.3411
5.7602	2.3350
5.7538	2.3286
5.7474	2.3220
5.7410	2.3144
5.7347	2.3061
5.7283	2.2966
5.7220	2.2866
5.7157	2.2764
5.7094	2.2664
5.7031	2.2576
5.6969	2.2502
5.6906	2.2441
5.6844	2.2397
5.6782	2.2368
5.6719	2.2351
5.6657	2.2349
5.6596	2.2363
5.6534	2.2397
5.6472	2.2451
5.6411	2.2527
5.6349	2.2617
5.6288	2.2722
5.6227	2.2832
5.6166	2.2944
5.6106	2.3049
5.6045	2.3147
5.5984	2.3235
5.5924	2.3313
5.5864	2.3386
5.5804	2.3452
5.5744	2.3516
5.5684	2.3574
5.5624	2.3628
5.5564	2.3677
5.5505	2.3718
5.5445	2.3750
5.5386	2.3777
5.5327	2.3794
5.5268	2.3811
5.5209	2.3823
5.5151	2.3833
5.5092	2.3843
5.5033	2.3852
5.4975	2.3862
5.4917	2.3872
5.4859	2.3887
5.4801	2.3909
5.4743	2.3938
5.4685	2.3975
5.4628	2.4021
5.4570	2.4070
5.4513	2.4121
5.4455	2.4167
5.4398	2.4211
5.4341	2.4250
5.4284	2.4292
5.4228	2.4336
5.4171	2.4385
5.4114	2.4438
5.4058	2.4499
5.4002	2.4558
5.3945	2.4617
5.3889	2.4665
5.3833	2.4707
5.3778	2.4739
5.3722	2.4763
5.3666	2.4785
5.3611	2.4805
5.3555	2.4827
5.3500	2.4851
5.3445	2.4875
5.3390	2.4900
5.3335	2.4924
5.3280	2.4946
5.3225	2.4963
5.3171	2.4976
5.3116	2.4985
5.3062	2.4990
5.3008	2.4995
5.2954	2.5002
5.2900	2.5012
5.2846	2.5024
5.2792	2.5041
5.2738	2.5063
5.2684	2.5090
5.2631	2.5120
5.2578	2.5149
5.2524	2.5181
5.2471	2.5215
5.2418	2.5247
5.2365	2.5278
5.2312	2.5310
5.2260	2.5337
5.2207	2.5361
5.2154	2.5383
5.2102	2.5405
5.2050	2.5422
5.1998	2.5442
5.1945	2.5459
5.1893	2.5478
5.1842	2.5498
5.1790	2.5515
5.1738	2.5532
5.1686	2.5544
5.1635	2.5554
5.1584	2.5561
5.1532	2.5564
5.1481	2.5569
5.1430	2.5574
5.1379	2.5583
5.1328	2.5596
5.1277	2.5610
5.1227	2.5627
5.1176	2.5647
5.1126	2.5669
5.1075	2.5691
5.1025	2.5715
5.0975	2.5737
5.0925	2.5759
5.0875	2.5779
5.0825	2.5798
5.0775	2.5818
5.0726	2.5835
5.0676	2.5854
5.0627	2.5874
5.0577	2.5893
5.0528	2.5913
5.0479	2.5933
5.0430	2.5952
5.0380	2.5974
5.0332	2.5994
5.0283	2.6018
5.0234	2.6047
5.0185	2.6079
5.0137	2.6118
5.0088	2.6160
5.0040	2.6206
4.9992	2.6252
4.9944	2.6301
4.9896	2.6352
4.9848	2.6399
4.9800	2.6445
4.9752	2.6492
4.9704	2.6536
4.9657	2.6580
4.9609	2.6623
4.9562	2.6667
4.9514	2.6711
4.9467	2.6755
4.9420	2.6802
4.9373	2.6843
4.9326	2.6887
4.9279	2.6926
4.9232	2.6965
4.9186	2.7004
4.9139	2.7041
4.9092	2.7078
4.9046	2.7114
4.9000	2.7153
4.8953	2.7190
4.8907	2.7229
4.8861	2.7266
4.8815	2.7297
4.8769	2.7324
4.8723	2.7346
4.8678	2.7363
4.8632	2.7378
4.8586	2.7390
4.8541	2.7400
4.8495	2.7414
4.8450	2.7429
4.8405	2.7449
4.8360	2.7471
4.8315	2.7495
4.8270	2.7522
4.8225	2.7551
4.8180	2.7580
4.8135	2.7610
4.8090	2.7642
4.8046	2.7671
4.8001	2.7703
4.7957	2.7729
4.7913	2.7756
4.7868	2.7778
4.7824	2.7800
4.7780	2.7817
4.7736	2.7834
4.7692	2.7849
4.7648	2.7864
4.7605	2.7881
4.7561	2.7900
4.7517	2.7922
4.7474	2.7944
4.7431	2.7966
4.7387	2.7988
4.7344	2.8008
4.7301	2.8025
4.7258	2.8042
4.7215	2.8061
4.7172	2.8081
4.7129	2.8105
4.7086	2.8130
4.7043	2.8157
4.7000	2.8186
4.6958	2.8210
4.6915	2.8232
4.6873	2.8249
4.6831	2.8264
4.6788	2.8276
4.6746	2.8289
4.6704	2.8298
4.6662	2.8313
4.6620	2.8328
4.6578	2.8345
4.6536	2.8362
4.6495	2.8381
4.6453	2.8401
4.6411	2.8420
4.6370	2.8440
4.6328	2.8462
4.6287	2.8479
4.6246	2.8496
4.6205	2.8511
4.6163	2.8523
4.6122	2.8533
4.6081	2.8540
4.6040	2.8547
4.6000	2.8559
4.5959	2.8574
4.5918	2.8596
4.5877	2.8621
4.5837	2.8647
4.5796	2.8674
4.5756	2.8699
4.5716	2.8721
4.5675	2.8738
4.5635	2.8750
4.5595	2.8762
4.5555	2.8772
4.5515	2.8782
4.5475	2.8794
4.5435	2.8806
4.5395	2.8821
4.5356	2.8830
4.5316	2.8840
4.5276	2.8848
4.5237	2.8852
4.5197	2.8855
4.5158	2.8855
4.5119	2.8860
4.5080	2.8865
4.5040	2.8874
4.5001	2.8884
4.4962	2.8899
4.4923	2.8914
4.4884	2.8926
4.4846	2.8938
4.4807	2.8950
4.4768	2.8962
4.4730	2.8972
4.4691	2.8984
4.4652	2.8997
4.4614	2.9011
4.4576	2.9026
4.4537	2.9043
4.4499	2.9058
4.4461	2.9072
4.4423	2.9082
4.4385	2.9089
4.4347	2.9094
4.4309	2.9094
4.4271	2.9094
4.4233	2.9092
4.4196	2.9094
4.4158	2.9097
4.4120	2.9101
4.4083	2.9111
4.4045	2.9123
4.4008	2.9138
4.3971	2.9153
4.3934	2.9170
4.3896	2.9187
4.3859	2.9199
4.3822	2.9214
4.3785	2.9224
4.3748	2.9231
4.3711	2.9238
4.3674	2.9246
4.3638	2.9250
4.3601	2.9260
4.3564	2.9270
4.3528	2.9280
4.3491	2.9292
4.3455	2.9304
4.3418	2.9314
4.3382	2.9321
4.3346	2.9326
4.3310	2.9326
4.3273	2.9321
4.3237	2.9319
4.3201	2.9314
4.3165	2.9311
4.3129	2.9311
4.3094	2.9311
4.3058	2.9314
4.3022	2.9319
4.2986	2.9324
4.2951	2.9331
4.2915	2.9338
4.2880	2.9353
4.2844	2.9368
4.2809	2.9387
4.2774	2.9404
4.2738	2.9424
4.2703	2.9438
4.2668	2.9448
4.2633	2.9453
4.2598	2.9453
4.2563	2.9448
4.2528	2.9446
4.2493	2.9441
4.2458	2.9441
4.2424	2.9443
4.2389	2.9446
4.2354	2.9448
4.2320	2.9448
4.2285	2.9446
4.2251	2.9441
4.2216	2.9436
4.2182	2.9434
4.2148	2.9431
4.2113	2.9434
4.2079	2.9441
4.2045	2.9451
4.2011	2.9460
4.1977	2.9470
4.1943	2.9475
4.1909	2.9477
4.1875	2.9475
4.1841	2.9470
4.1808	2.9465
4.1774	2.9460
4.1740	2.9458
4.1707	2.9458
4.1673	2.9460
4.1640	2.9463
4.1606	2.9470
4.1573	2.9477
4.1540	2.9485
4.1506	2.9492
4.1473	2.9502
4.1440	2.9507
4.1407	2.9509
4.1374	2.9509
4.1341	2.9507
4.1308	2.9499
4.1275	2.9492
4.1242	2.9485
4.1209	2.9480
4.1177	2.9475
4.1144	2.9473
4.1111	2.9473
4.1079	2.9475
4.1046	2.9480
4.1014	2.9485
4.0981	2.9492
4.0949	2.9499
4.0917	2.9509
4.0884	2.9519
4.0852	2.9526
4.0820	2.9531
4.0788	2.9534
4.0756	2.9534
4.0724	2.9531
4.0692	2.9526
4.0660	2.9521
4.0628	2.9521
4.0596	2.9524
4.0565	2.9531
4.0533	2.9538
4.0501	2.9551
4.0470	2.9560
4.0438	2.9570
4.0406	2.9580
4.0375	2.9585
4.0344	2.9587
4.0312	2.9587
4.0281	2.9585
4.0250	2.9580
4.0218	2.9573
4.0187	2.9563
4.0156	2.9551
4.0125	2.9538
4.0094	2.9526
4.0063	2.9517
4.0032	2.9507
4.0001	2.9497
3.9970	2.9492
3.9940	2.9492
3.9909	2.9492
3.9878	2.9497
3.9847	2.9504
3.9817	2.9514
3.9786	2.9526
3.9756	2.9536
3.9725	2.9546
3.9695	2.9551
3.9665	2.9548
3.9634	2.9541
3.9604	2.9529
3.9574	2.9512
3.9544	2.9497
3.9513	2.9482
3.9483	2.9473
3.9453	2.9468
3.9423	2.9468
3.9393	2.9473
3.9363	2.9482
3.9333	2.9497
3.9304	2.9512
3.9274	2.9524
3.9244	2.9536
3.9214	2.9543
3.9185	2.9546
3.9155	2.9543
3.9126	2.9536
3.9096	2.9524
3.9067	2.9512
3.9037	2.9499
3.9008	2.9490
3.8979	2.9482
3.8949	2.9477
3.8920	2.9477
3.8891	2.9477
3.8862	2.9475
3.8833	2.9473
3.8804	2.9468
3.8775	2.9463
3.8746	2.9455
3.8717	2.9446
3.8688	2.9441
3.8659	2.9436
3.8630	2.9434
3.8601	2.9436
3.8573	2.9438
3.8544	2.9443
3.8515	2.9446
3.8487	2.9446
3.8458	2.9441
3.8430	2.9429
3.8401	2.9414
3.8373	2.9399
3.8344	2.9382
3.8316	2.9368
3.8288	2.9355
3.8259	2.9348
3.8231	2.9343
3.8203	2.9338
3.8175	2.9338
3.8147	2.9341
3.8119	2.9343
3.8091	2.9343
3.8063	2.9346
3.8035	2.9343
3.8007	2.9341
3.7979	2.9333
3.7951	2.9321
3.7924	2.9309
3.7896	2.9297
3.7868	2.9282
3.7841	2.9272
3.7813	2.9263
3.7785	2.9255
3.7758	2.9250
3.7730	2.9248
3.7703	2.9243
3.7676	2.9241
3.7648	2.9238
3.7621	2.9233
3.7594	2.9231
3.7566	2.9228
3.7539	2.9224
3.7512	2.9219
3.7485	2.9211
3.7458	2.9202
3.7431	2.9184
3.7404	2.9165
3.7377	2.9143
3.7350	2.9119
3.7323	2.9099
3.7296	2.9080
3.7269	2.9067
3.7242	2.9058
3.7216	2.9050
3.7189	2.9045
3.7162	2.9043
3.7136	2.9038
3.7109	2.9036
3.7083	2.9033
3.7056	2.9031
3.7030	2.9026
3.7003	2.9023
3.6977	2.9018
3.6950	2.9009
3.6924	2.8999
3.6898	2.8987
3.6872	2.8972
3.6845	2.8957
3.6819	2.8943
3.6793	2.8928
3.6767	2.8914
3.6741	2.8896
3.6715	2.8882
3.6689	2.8865
3.6663	2.8848
3.6637	2.8830
3.6611	2.8816
3.6585	2.8804
3.6560	2.8794
3.6534	2.8787
3.6508	2.8777
3.6482	2.8767
3.6457	2.8752
3.6431	2.8738
3.6406	2.8721
3.6380	2.8704
3.6355	2.8689
3.6329	2.8677
3.6304	2.8667
3.6278	2.8660
3.6253	2.8655
3.6227	2.8647
3.6202	2.8638
3.6177	2.8628
3.6152	2.8618
3.6127	2.8603
3.6101	2.8591
3.6076	2.8577
3.6051	2.8564
3.6026	2.8547
3.6001	2.8533
3.5976	2.8513
3.5951	2.8494
3.5926	2.8472
3.5901	2.8445
3.5876	2.8418
3.5852	2.8391
3.5827	2.8367
3.5802	2.8345
3.5777	2.8328
3.5753	2.8315
3.5728	2.8306
3.5704	2.8301
3.5679	2.8296
3.5654	2.8289
3.5630	2.8279
3.5605	2.8267
3.5581	2.8252
3.5557	2.8232
3.5532	2.8210
3.5508	2.8188
3.5484	2.8169
3.5459	2.8149
3.5435	2.8130
3.5411	2.8113
3.5387	2.8096
3.5363	2.8079
3.5338	2.8061
3.5314	2.8044
3.5290	2.8030
3.5266	2.8015
3.5242	2.8000
3.5218	2.7986
3.5195	2.7969
3.5171	2.7947
3.5147	2.7917
3.5123	2.7886
3.5099	2.7849
3.5075	2.7810
3.5052	2.7771
3.5028	2.7739
3.5004	2.7712
3.4981	2.7693
3.4957	2.7681
3.4934	2.7668
3.4910	2.7661
3.4887	2.7654
3.4863	2.7644
3.4840	2.7634
3.4816	2.7624
3.4793	2.7615
3.4770	2.7602
3.4746	2.7590
3.4723	2.7578
3.4700	2.7561
3.4677	2.7541
3.4653	2.7519
3.4630	2.7495
3.4607	2.7471
3.4584	2.7441
3.4561	2.7414
3.4538	2.7390
3.4515	2.7363
3.4492	2.7336
3.4469	2.7307
3.4446	2.7278
3.4423	2.7246
3.4400	2.7212
3.4378	2.7178
3.4355	2.7143
3.4332	2.7112
3.4309	2.7080
3.4287	2.7051
3.4264	2.7021
3.4241	2.6992
3.4219	2.6963
3.4196	2.6934
3.4174	2.6904
3.4151	2.6875
3.4129	2.6851
3.4106	2.6829
3.4084	2.6811
3.4061	2.6799
3.4039	2.6787
3.4017	2.6780
3.3994	2.6770
3.3972	2.6760
3.3950	2.6746
3.3928	2.6726
3.3906	2.6704
3.3883	2.6675
3.3861	2.6643
3.3839	2.6611
3.3817	2.6582
3.3795	2.6555
3.3773	2.6536
3.3751	2.6523
3.3729	2.6516
3.3707	2.6509
3.3685	2.6504
3.3663	2.6494
3.3641	2.6482
3.3620	2.6467
3.3598	2.6450
3.3576	2.6435
3.3554	2.6421
3.3533	2.6411
3.3511	2.6401
3.3489	2.6396
3.3468	2.6389
3.3446	2.6377
3.3425	2.6362
3.3403	2.6340
3.3382	2.6313
3.3360	2.6279
3.3339	2.6240
3.3317	2.6201
3.3296	2.6162
3.3274	2.6128
3.3253	2.6099
3.3232	2.6077
3.3210	2.6057
