Name:  New Concord
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1960.  Smithsonian sample without a catalog 
number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

8.3481	1.5679
8.3347	1.6064
8.3213	1.6472
8.3079	1.6894
8.2946	1.7324
8.2814	1.7749
8.2682	1.8157
8.2550	1.8550
8.2419	1.8933
8.2288	1.9309
8.2158	1.9680
8.2028	2.0049
8.1898	2.0417
8.1769	2.0779
8.1640	2.1133
8.1512	2.1487
8.1384	2.1851
8.1256	2.2222
8.1129	2.2600
8.1002	2.2978
8.0876	2.3347
8.0750	2.3696
8.0624	2.4018
8.0499	2.4329
8.0374	2.4631
8.0250	2.4934
8.0126	2.5237
8.0002	2.5542
7.9879	2.5842
7.9756	2.6130
7.9634	2.6406
7.9512	2.6677
7.9390	2.6934
7.9268	2.7180
7.9147	2.7419
7.9027	2.7656
7.8906	2.7883
7.8786	2.8110
7.8667	2.8342
7.8548	2.8581
7.8429	2.8821
7.8310	2.9053
7.8192	2.9282
7.8075	2.9507
7.7957	2.9729
7.7840	2.9951
7.7723	3.0176
7.7607	3.0403
7.7491	3.0620
7.7375	3.0823
7.7260	3.1018
7.7145	3.1199
7.7031	3.1365
7.6916	3.1516
7.6802	3.1660
7.6689	3.1794
7.6575	3.1916
7.6462	3.2036
7.6350	3.2153
7.6238	3.2266
7.6126	3.2373
7.6014	3.2490
7.5903	3.2615
7.5792	3.2751
7.5681	3.2913
7.5571	3.3101
7.5461	3.3308
7.5351	3.3530
7.5242	3.3767
7.5133	3.4009
7.5024	3.4241
7.4916	3.4460
7.4807	3.4668
7.4700	3.4858
7.4592	3.5037
7.4485	3.5207
7.4378	3.5378
7.4272	3.5544
7.4165	3.5708
7.4059	3.5869
7.3954	3.6025
7.3848	3.6172
7.3743	3.6309
7.3639	3.6435
7.3534	3.6558
7.3430	3.6680
7.3326	3.6804
7.3223	3.6929
7.3119	3.7043
7.3016	3.7139
7.2914	3.7214
7.2811	3.7278
7.2709	3.7351
7.2607	3.7454
7.2506	3.7595
7.2404	3.7768
7.2303	3.7964
7.2203	3.8162
7.2102	3.8345
7.2002	3.8503
7.1902	3.8642
7.1803	3.8755
7.1703	3.8843
7.1604	3.8906
7.1506	3.8953
7.1407	3.8992
7.1309	3.9028
7.1211	3.9075
7.1113	3.9141
7.1016	3.9224
7.0919	3.9321
7.0822	3.9433
7.0725	3.9556
7.0629	3.9690
7.0533	3.9844
7.0437	4.0022
7.0341	4.0222
7.0246	4.0444
7.0151	4.0676
7.0056	4.0893
6.9962	4.1091
6.9867	4.1272
6.9773	4.1438
6.9679	4.1594
6.9586	4.1745
6.9493	4.1890
6.9400	4.2016
6.9307	4.2126
6.9214	4.2224
6.9122	4.2307
6.9030	4.2380
6.8938	4.2449
6.8847	4.2519
6.8755	4.2588
6.8664	4.2663
6.8573	4.2768
6.8483	4.2920
6.8393	4.3110
6.8302	4.3345
6.8213	4.3635
6.8123	4.3979
6.8034	4.4368
6.7944	4.4773
6.7855	4.5183
6.7767	4.5574
6.7678	4.5915
6.7590	4.6191
6.7502	4.6411
6.7414	4.6589
6.7327	4.6728
6.7239	4.6833
6.7152	4.6907
6.7065	4.6960
6.6979	4.6997
6.6892	4.7012
6.6806	4.7002
6.6720	4.6975
6.6634	4.6921
6.6549	4.6841
6.6464	4.6738
6.6378	4.6641
6.6294	4.6570
6.6209	4.6516
6.6124	4.6472
6.6040	4.6433
6.5956	4.6387
6.5872	4.6328
6.5789	4.6265
6.5705	4.6213
6.5622	4.6179
6.5539	4.6152
6.5456	4.6123
6.5374	4.6077
6.5292	4.5998
6.5209	4.5886
6.5128	4.5749
6.5046	4.5598
6.4964	4.5447
6.4883	4.5312
6.4802	4.5200
6.4721	4.5098
6.4640	4.4990
6.4560	4.4856
6.4480	4.4685
6.4399	4.4475
6.4320	4.4243
6.4240	4.4016
6.4160	4.3816
6.4081	4.3652
6.4002	4.3520
6.3923	4.3389
6.3844	4.3235
6.3766	4.3049
6.3687	4.2834
6.3609	4.2607
6.3531	4.2388
6.3454	4.2195
6.3376	4.2036
6.3299	4.1902
6.3221	4.1782
6.3144	4.1672
6.3068	4.1570
6.2991	4.1482
6.2914	4.1409
6.2838	4.1365
6.2762	4.1345
6.2686	4.1345
6.2611	4.1357
6.2535	4.1377
6.2460	4.1391
6.2385	4.1411
6.2310	4.1435
6.2235	4.1467
6.2160	4.1509
6.2086	4.1570
6.2011	4.1653
6.1937	4.1758
6.1863	4.1885
6.1790	4.2031
6.1716	4.2187
6.1643	4.2341
6.1570	4.2493
6.1496	4.2629
6.1424	4.2742
6.1351	4.2825
6.1278	4.2873
6.1206	4.2893
6.1134	4.2878
6.1062	4.2832
6.0990	4.2749
6.0918	4.2620
6.0847	4.2436
6.0776	4.2195
6.0704	4.1914
6.0633	4.1614
6.0563	4.1316
6.0492	4.1052
6.0421	4.0850
6.0351	4.0705
6.0281	4.0620
6.0211	4.0591
6.0141	4.0615
6.0071	4.0683
6.0002	4.0786
5.9932	4.0928
5.9863	4.1116
5.9794	4.1333
5.9725	4.1570
5.9657	4.1819
5.9588	4.2070
5.9520	4.2312
5.9451	4.2546
