Name:  TIL 82402
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  TIL 82402
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1982.  Smithsonian sample No. TIL 
82402.05.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

7.7491	3.2600
7.7375	3.2761
7.7260	3.2898
7.7145	3.3022
7.7031	3.3140
7.6916	3.3252
7.6802	3.3364
7.6689	3.3476
7.6575	3.3586
7.6462	3.3691
7.6350	3.3796
7.6238	3.3909
7.6126	3.4023
7.6014	3.4153
7.5903	3.4299
7.5792	3.4463
7.5681	3.4639
7.5571	3.4822
7.5461	3.5015
7.5351	3.5212
7.5242	3.5413
7.5133	3.5618
7.5024	3.5830
7.4916	3.6042
7.4807	3.6247
7.4700	3.6445
7.4592	3.6638
7.4485	3.6826
7.4378	3.7014
7.4272	3.7207
7.4165	3.7407
7.4059	3.7607
7.3954	3.7805
7.3848	3.8000
7.3743	3.8198
7.3639	3.8396
7.3534	3.8599
7.3430	3.8794
7.3326	3.8972
7.3223	3.9128
7.3119	3.9267
7.3016	3.9394
7.2914	3.9519
7.2811	3.9646
7.2709	3.9785
7.2607	3.9929
7.2506	4.0071
7.2404	4.0205
7.2303	4.0332
7.2203	4.0459
7.2102	4.0579
7.2002	4.0701
7.1902	4.0820
7.1803	4.0935
7.1703	4.1045
7.1604	4.1140
7.1506	4.1218
7.1407	4.1299
7.1309	4.1384
7.1211	4.1482
7.1113	4.1599
7.1016	4.1733
7.0919	4.1880
7.0822	4.2026
7.0725	4.2168
7.0629	4.2312
7.0533	4.2466
7.0437	4.2627
7.0341	4.2795
7.0246	4.2961
7.0151	4.3118
7.0056	4.3257
6.9962	4.3374
6.9867	4.3481
6.9773	4.3584
6.9679	4.3684
6.9586	4.3787
6.9493	4.3899
6.9400	4.4011
6.9307	4.4119
6.9214	4.4226
6.9122	4.4321
6.9030	4.4392
6.8938	4.4441
6.8847	4.4487
6.8755	4.4541
6.8664	4.4614
6.8573	4.4709
6.8483	4.4829
6.8393	4.4949
6.8302	4.5056
6.8213	4.5146
6.8123	4.5229
6.8034	4.5315
6.7944	4.5405
6.7855	4.5505
6.7767	4.5615
6.7678	4.5725
6.7590	4.5820
6.7502	4.5898
6.7414	4.5957
6.7327	4.5994
6.7239	4.6011
6.7152	4.6016
6.7065	4.6018
6.6979	4.6018
6.6892	4.6016
6.6806	4.6006
6.6720	4.5984
6.6634	4.5947
6.6549	4.5901
6.6464	4.5859
6.6378	4.5825
6.6294	4.5808
6.6209	4.5806
6.6124	4.5810
6.6040	4.5810
6.5956	4.5806
6.5872	4.5803
6.5789	4.5815
6.5705	4.5847
6.5622	4.5908
6.5539	4.5994
6.5456	4.6089
6.5374	4.6167
6.5292	4.6221
6.5209	4.6250
6.5128	4.6265
6.5046	4.6269
6.4964	4.6277
6.4883	4.6299
6.4802	4.6335
6.4721	4.6370
6.4640	4.6399
6.4560	4.6418
6.4480	4.6426
