Name:  Murray
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CM2
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Kentucky in 1950.  Arizona State University 
sample No. 635.2 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.9122	1.1733
6.9030	1.1772
6.8938	1.1819
6.8847	1.1873
6.8755	1.1926
6.8664	1.1975
6.8573	1.2019
6.8483	1.2058
6.8393	1.2097
6.8302	1.2144
6.8213	1.2197
6.8123	1.2263
6.8034	1.2336
6.7944	1.2417
6.7855	1.2498
6.7767	1.2578
6.7678	1.2651
6.7590	1.2720
6.7502	1.2783
6.7414	1.2844
6.7327	1.2903
6.7239	1.2959
6.7152	1.3010
6.7065	1.3059
6.6979	1.3105
6.6892	1.3147
6.6806	1.3188
6.6720	1.3230
6.6634	1.3271
6.6549	1.3308
6.6464	1.3340
6.6378	1.3367
6.6294	1.3384
6.6209	1.3394
6.6124	1.3401
6.6040	1.3411
6.5956	1.3423
6.5872	1.3435
6.5789	1.3442
6.5705	1.3445
6.5622	1.3437
6.5539	1.3423
6.5456	1.3403
6.5374	1.3386
6.5292	1.3376
6.5209	1.3374
6.5128	1.3374
6.5046	1.3374
6.4964	1.3364
6.4883	1.3340
6.4802	1.3298
6.4721	1.3245
6.4640	1.3191
6.4560	1.3142
6.4480	1.3105
6.4399	1.3081
6.4320	1.3061
6.4240	1.3040
6.4160	1.3005
6.4081	1.2957
6.4002	1.2895
6.3923	1.2822
6.3844	1.2749
6.3766	1.2678
6.3687	1.2615
6.3609	1.2556
6.3531	1.2502
6.3454	1.2446
6.3376	1.2390
6.3299	1.2332
6.3221	1.2275
6.3144	1.2224
6.3068	1.2180
6.2991	1.2146
6.2914	1.2119
6.2838	1.2100
6.2762	1.2085
6.2686	1.2075
6.2611	1.2070
6.2535	1.2063
6.2460	1.2058
6.2385	1.2053
6.2310	1.2048
6.2235	1.2046
6.2160	1.2043
6.2086	1.2043
6.2011	1.2046
6.1937	1.2046
6.1863	1.2048
6.1790	1.2043
6.1716	1.2039
6.1643	1.2034
6.1570	1.2029
6.1496	1.2029
6.1424	1.2036
6.1351	1.2051
6.1278	1.2073
6.1206	1.2100
6.1134	1.2129
6.1062	1.2161
6.0990	1.2200
6.0918	1.2244
6.0847	1.2297
6.0776	1.2361
6.0704	1.2432
6.0633	1.2505
6.0563	1.2573
6.0492	1.2629
6.0421	1.2676
6.0351	1.2712
6.0281	1.2744
6.0211	1.2778
6.0141	1.2820
6.0071	1.2874
6.0002	1.2939
5.9932	1.3010
5.9863	1.3086
5.9794	1.3164
5.9725	1.3247
5.9657	1.3335
5.9588	1.3433
5.9520	1.3538
5.9451	1.3650
5.9383	1.3767
5.9315	1.3884
5.9247	1.4004
5.9180	1.4123
5.9112	1.4243
5.9045	1.4360
5.8978	1.4473
5.8911	1.4578
5.8844	1.4668
5.8777	1.4744
5.8711	1.4807
5.8644	1.4861
5.8578	1.4915
5.8512	1.4973
5.8446	1.5039
5.8380	1.5110
5.8314	1.5183
5.8249	1.5254
5.8184	1.5320
5.8118	1.5381
5.8053	1.5437
5.7988	1.5496
5.7923	1.5557
5.7859	1.5623
5.7794	1.5688
5.7730	1.5749
5.7666	1.5806
5.7602	1.5847
5.7538	1.5879
5.7474	1.5901
5.7410	1.5920
5.7347	1.5937
5.7283	1.5959
5.7220	1.5981
5.7157	1.6006
5.7094	1.6030
5.7031	1.6050
5.6969	1.6069
5.6906	1.6086
5.6844	1.6106
5.6782	1.6128
5.6719	1.6150
5.6657	1.6174
5.6596	1.6196
5.6534	1.6216
5.6472	1.6230
5.6411	1.6238
5.6349	1.6240
5.6288	1.6238
5.6227	1.6238
5.6166	1.6240
5.6106	1.6248
5.6045	1.6257
5.5984	1.6267
5.5924	1.6279
5.5864	1.6289
5.5804	1.6301
5.5744	1.6316
5.5684	1.6335
5.5624	1.6360
5.5564	1.6394
5.5505	1.6436
5.5445	1.6482
5.5386	1.6528
5.5327	1.6570
5.5268	1.6602
5.5209	1.6626
5.5151	1.6638
5.5092	1.6645
5.5033	1.6650
5.4975	1.6658
5.4917	1.6665
5.4859	1.6677
5.4801	1.6692
5.4743	1.6704
5.4685	1.6711
5.4628	1.6719
5.4570	1.6721
5.4513	1.6726
5.4455	1.6733
5.4398	1.6748
5.4341	1.6768
5.4284	1.6792
5.4228	1.6814
5.4171	1.6831
5.4114	1.6846
5.4058	1.6853
5.4002	1.6855
5.3945	1.6858
5.3889	1.6860
5.3833	1.6870
5.3778	1.6882
5.3722	1.6902
5.3666	1.6921
5.3611	1.6943
5.3555	1.6963
5.3500	1.6977
5.3445	1.6990
5.3390	1.6995
5.3335	1.6997
5.3280	1.6997
5.3225	1.6999
5.3171	1.7004
5.3116	1.7009
5.3062	1.7017
5.3008	1.7026
5.2954	1.7036
5.2900	1.7043
5.2846	1.7053
5.2792	1.7058
5.2738	1.7063
5.2684	1.7063
5.2631	1.7065
5.2578	1.7065
5.2524	1.7065
5.2471	1.7065
5.2418	1.7070
5.2365	1.7075
5.2312	1.7080
5.2260	1.7085
5.2207	1.7087
5.2154	1.7087
5.2102	1.7085
5.2050	1.7082
5.1998	1.7078
5.1945	1.7075
5.1893	1.7075
5.1842	1.7078
5.1790	1.7082
5.1738	1.7090
5.1686	1.7097
5.1635	1.7102
5.1584	1.7104
5.1532	1.7104
5.1481	1.7104
5.1430	1.7102
5.1379	1.7100
5.1328	1.7100
5.1277	1.7104
5.1227	1.7114
5.1176	1.7126
5.1126	1.7141
5.1075	1.7161
5.1025	1.7175
5.0975	1.7192
5.0925	1.7205
5.0875	1.7214
5.0825	1.7224
5.0775	1.7229
5.0726	1.7236
5.0676	1.7246
5.0627	1.7258
5.0577	1.7273
5.0528	1.7292
5.0479	1.7310
5.0430	1.7329
5.0380	1.7344
5.0332	1.7356
5.0283	1.7366
5.0234	1.7373
5.0185	1.7378
5.0137	1.7383
5.0088	1.7385
5.0040	1.7390
4.9992	1.7395
4.9944	1.7405
4.9896	1.7415
4.9848	1.7427
4.9800	1.7436
4.9752	1.7449
4.9704	1.7456
4.9657	1.7458
4.9609	1.7458
4.9562	1.7458
4.9514	1.7456
4.9467	1.7454
4.9420	1.7454
4.9373	1.7456
4.9326	1.7458
4.9279	1.7463
4.9232	1.7468
4.9186	1.7473
4.9139	1.7476
4.9092	1.7478
4.9046	1.7480
4.9000	1.7483
4.8953	1.7488
4.8907	1.7490
4.8861	1.7495
4.8815	1.7502
4.8769	1.7510
4.8723	1.7515
4.8678	1.7524
4.8632	1.7532
4.8586	1.7539
4.8541	1.7544
4.8495	1.7551
4.8450	1.7554
4.8405	1.7556
4.8360	1.7554
4.8315	1.7554
4.8270	1.7551
4.8225	1.7554
4.8180	1.7559
4.8135	1.7568
4.8090	1.7578
4.8046	1.7590
4.8001	1.7602
4.7957	1.7610
4.7913	1.7615
4.7868	1.7615
4.7824	1.7610
4.7780	1.7605
4.7736	1.7600
4.7692	1.7595
4.7648	1.7595
4.7605	1.7598
4.7561	1.7602
4.7517	1.7607
4.7474	1.7610
4.7431	1.7610
4.7387	1.7605
4.7344	1.7600
4.7301	1.7590
4.7258	1.7583
4.7215	1.7578
4.7172	1.7576
4.7129	1.7578
4.7086	1.7583
4.7043	1.7590
4.7000	1.7598
4.6958	1.7605
4.6915	1.7610
4.6873	1.7612
4.6831	1.7612
4.6788	1.7612
4.6746	1.7612
4.6704	1.7612
4.6662	1.7612
4.6620	1.7615
4.6578	1.7620
4.6536	1.7622
4.6495	1.7624
4.6453	1.7629
4.6411	1.7632
4.6370	1.7632
4.6328	1.7632
4.6287	1.7629
4.6246	1.7629
4.6205	1.7629
4.6163	1.7632
4.6122	1.7639
4.6081	1.7651
4.6040	1.7661
4.6000	1.7671
4.5959	1.7676
4.5918	1.7678
4.5877	1.7676
4.5837	1.7668
4.5796	1.7661
4.5756	1.7654
4.5716	1.7646
4.5675	1.7639
4.5635	1.7634
4.5595	1.7634
4.5555	1.7634
4.5515	1.7637
4.5475	1.7644
4.5435	1.7651
4.5395	1.7659
4.5356	1.7666
4.5316	1.7671
4.5276	1.7673
4.5237	1.7671
4.5197	1.7664
4.5158	1.7656
4.5119	1.7646
4.5080	1.7639
4.5040	1.7634
4.5001	1.7634
4.4962	1.7637
4.4923	1.7642
4.4884	1.7649
4.4846	1.7651
4.4807	1.7654
4.4768	1.7654
4.4730	1.7649
4.4691	1.7646
4.4652	1.7639
4.4614	1.7634
4.4576	1.7627
4.4537	1.7622
4.4499	1.7617
4.4461	1.7617
4.4423	1.7617
4.4385	1.7617
4.4347	1.7622
4.4309	1.7627
4.4271	1.7632
4.4233	1.7637
4.4196	1.7642
4.4158	1.7642
4.4120	1.7642
4.4083	1.7642
4.4045	1.7639
4.4008	1.7637
4.3971	1.7637
4.3934	1.7637
4.3896	1.7637
4.3859	1.7639
4.3822	1.7642
4.3785	1.7644
4.3748	1.7646
4.3711	1.7646
4.3674	1.7642
4.3638	1.7637
4.3601	1.7629
4.3564	1.7622
4.3528	1.7612
4.3491	1.7607
4.3455	1.7605
4.3418	1.7602
4.3382	1.7602
4.3346	1.7602
4.3310	1.7605
4.3273	1.7605
4.3237	1.7602
4.3201	1.7600
4.3165	1.7600
4.3129	1.7598
4.3094	1.7595
4.3058	1.7593
4.3022	1.7590
4.2986	1.7590
4.2951	1.7590
4.2915	1.7590
4.2880	1.7590
4.2844	1.7588
4.2809	1.7585
4.2774	1.7581
4.2738	1.7573
4.2703	1.7566
4.2668	1.7559
4.2633	1.7554
4.2598	1.7551
4.2563	1.7551
4.2528	1.7554
4.2493	1.7556
4.2458	1.7559
4.2424	1.7559
4.2389	1.7556
4.2354	1.7551
4.2320	1.7544
4.2285	1.7532
4.2251	1.7522
4.2216	1.7512
4.2182	1.7505
4.2148	1.7500
4.2113	1.7495
4.2079	1.7490
4.2045	1.7488
4.2011	1.7480
4.1977	1.7476
4.1943	1.7466
4.1909	1.7456
4.1875	1.7449
4.1841	1.7439
4.1808	1.7429
4.1774	1.7422
4.1740	1.7417
4.1707	1.7410
4.1673	1.7407
4.1640	1.7402
4.1606	1.7397
4.1573	1.7395
4.1540	1.7388
4.1506	1.7380
4.1473	1.7375
4.1440	1.7368
4.1407	1.7363
4.1374	1.7356
4.1341	1.7351
4.1308	1.7346
4.1275	1.7339
4.1242	1.7329
4.1209	1.7319
4.1177	1.7310
4.1144	1.7300
4.1111	1.7292
4.1079	1.7285
4.1046	1.7283
4.1014	1.7280
4.0981	1.7280
4.0949	1.7280
4.0917	1.7280
4.0884	1.7275
4.0852	1.7268
4.0820	1.7258
4.0788	1.7251
4.0756	1.7241
4.0724	1.7236
4.0692	1.7234
4.0660	1.7231
4.0628	1.7231
4.0596	1.7231
4.0565	1.7227
4.0533	1.7219
4.0501	1.7209
4.0470	1.7197
4.0438	1.7183
4.0406	1.7170
4.0375	1.7156
4.0344	1.7144
4.0312	1.7134
4.0281	1.7124
4.0250	1.7119
4.0218	1.7114
4.0187	1.7107
4.0156	1.7102
4.0125	1.7095
4.0094	1.7082
4.0063	1.7070
4.0032	1.7056
4.0001	1.7039
3.9970	1.7021
3.9940	1.7002
3.9909	1.6985
3.9878	1.6970
3.9847	1.6956
3.9817	1.6943
3.9786	1.6934
3.9756	1.6926
3.9725	1.6919
3.9695	1.6914
3.9665	1.6912
3.9634	1.6912
3.9604	1.6914
3.9574	1.6916
3.9544	1.6919
3.9513	1.6921
3.9483	1.6924
3.9453	1.6924
3.9423	1.6924
3.9393	1.6924
3.9363	1.6924
3.9333	1.6921
