Name:  Dingo Pup Donga
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Urelite
Particle Size:  0-75 micrometers
Sample No.:  Dingo Pup Donga
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Australia in 1965.  Smithsonian sample No. USNM 
3447.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

14.481	0.71460
14.441	0.73390
14.400	0.74930
14.361	0.76240
14.321	0.77710
14.281	0.79440
14.242	0.81320
14.203	0.83200
14.164	0.85080
14.126	0.86820
14.087	0.88130
14.049	0.89040
14.011	0.89550
13.973	0.89840
13.936	0.89990
13.899	0.90060
13.861	0.90310
13.824	0.90890
13.788	0.91800
13.751	0.92680
13.715	0.93380
13.679	0.94120
13.643	0.94820
13.607	0.95430
13.571	0.96340
13.536	0.97970
13.500	1.0041
13.465	1.0327
13.430	1.0623
13.396	1.0903
13.361	1.1133
13.327	1.1287
13.293	1.1394
13.259	1.1499
13.225	1.1619
13.191	1.1760
13.158	1.1926
13.124	1.2090
13.091	1.2231
13.058	1.2329
13.026	1.2397
12.993	1.2446
12.960	1.2473
12.928	1.2490
12.896	1.2505
12.864	1.2515
12.832	1.2510
12.800	1.2471
12.769	1.2400
12.737	1.2310
12.706	1.2214
12.675	1.2124
12.644	1.2070
12.614	1.2068
12.583	1.2104
12.552	1.2141
12.522	1.2158
12.492	1.2144
12.462	1.2080
12.432	1.1970
12.402	1.1829
12.373	1.1667
12.343	1.1516
12.314	1.1374
12.285	1.1260
12.256	1.1169
12.227	1.1094
12.198	1.1035
12.169	1.0979
12.141	1.0908
12.113	1.0815
12.084	1.0679
12.056	1.0500
12.028	1.0276
12.000	1.0015
11.973	0.97490
11.945	0.94920
11.918	0.92800
11.890	0.91380
11.863	0.90770
11.836	0.91090
11.809	0.92310
11.782	0.94160
11.755	0.96360
11.729	0.98490
11.702	1.0046
11.676	1.0220
11.650	1.0354
11.624	1.0469
11.598	1.0603
11.572	1.0786
11.546	1.1013
11.520	1.1274
11.495	1.1558
11.469	1.1819
11.444	1.2004
11.419	1.2104
11.394	1.2146
11.369	1.2144
11.344	1.2107
11.319	1.2063
11.294	1.2026
11.270	1.1978
11.245	1.1909
11.221	1.1831
11.197	1.1750
11.173	1.1663
11.149	1.1580
11.125	1.1514
11.101	1.1453
11.077	1.1404
11.054	1.1374
11.030	1.1370
11.007	1.1392
10.983	1.1443
10.960	1.1531
10.937	1.1628
10.914	1.1731
10.891	1.1838
10.868	1.1948
10.846	1.2051
10.823	1.2144
10.800	1.2234
10.778	1.2322
10.755	1.2402
10.733	1.2476
10.711	1.2551
10.689	1.2610
10.667	1.2637
10.645	1.2632
10.623	1.2607
10.602	1.2573
10.580	1.2527
10.558	1.2468
10.537	1.2385
10.516	1.2258
10.494	1.2063
10.473	1.1816
10.452	1.1558
10.431	1.1318
10.410	1.1111
10.389	1.0955
