Name:  Fluorite CaF2
Type:  Mineral
Class:   Halides
Subclass:    
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  flourite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Donated by Norma Vergo; sample from Bingham, New Mexico.

Description: The sample was a large piece of a transparent single 
crystal and appeared to be pure fluorite.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: flouri1a.txt

5.924746243	7.6811
5.917982678	7.6985
5.911234538	7.7063
5.904501769	7.7119
5.89778432	7.7136
5.891082139	7.7241
5.884395172	7.73
5.87772337	7.7375
5.871066679	7.7593
5.864428488	7.7656
5.85780186	7.772
5.851190191	7.7825
5.84459343	7.7866
5.838011527	7.79
5.831444431	7.7895
5.824892094	7.7807
5.818354465	7.7798
5.811831494	7.7925
5.805323133	7.7947
5.798829332	7.7915
5.792350043	7.7903
5.785885217	7.7861
5.779434806	7.7822
5.772998761	7.7776
5.766577035	7.7722
5.760169579	7.7846
5.753776347	7.7937
5.747397291	7.7915
5.741032364	7.7978
5.734681519	7.8032
5.728344709	7.8091
5.722021888	7.8161
5.715713009	7.821
5.709421287	7.8252
5.703140149	7.8398
5.696872816	7.8489
5.690619242	7.8508
5.684379382	7.8601
5.678153192	7.863
5.671940626	7.8723
5.66574164	7.8804
5.659556189	7.8816
5.653384229	7.8791
5.647225716	7.883
5.641080605	7.8862
5.634948854	7.893
5.628830419	7.9004
5.622725256	7.904
5.616633323	7.9075
5.610557723	7.9118
5.604492113	7.9126
5.598439603	7.9133
5.592400152	7.9194
5.586373717	7.9175
5.580360257	7.9123
5.574359729	7.9177
5.568372092	7.9255
5.562397304	7.9324
5.556435324	7.9304
5.550486112	7.9248
5.544549625	7.9316
5.538625823	7.9324
5.532714665	7.9284
5.526816112	7.9277
5.520930122	7.9314
5.515056656	7.9277
5.509195674	7.9258
5.503347136	7.926
5.497511002	7.9265
5.491687233	7.9262
5.48587579	7.9282
5.480076633	7.9299
5.474289725	7.9292
5.468518015	7.9311
