Name:  Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  beryl.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Maine via Hunt and Salisbury Collection sample 
#180B (purchased from Ward's Natural Science Establishment).
Description: The hand sample was cut and polished along an 
unknown axis.  It was pale green and appeared pure.  Microscopic 
examination showed a small amount (2% or less) of very fine, low 
birefringent material in the sample.  The contaminating grains 
occasionally have rhombic or cubic shape.  These grains were 
unidentifiable.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: beryl1a.txt

7.405931707	88.0957
7.395366655	88.166
7.384831703	88.2461
7.374326724	88.3115
7.363851589	88.4004
7.353406171	88.469
7.342990345	88.4622
7.332603984	88.5315
7.322252325	88.5645
7.311924506	88.5872
7.30162578	88.6553
7.291356025	88.6778
7.281115117	88.7051
7.270902937	88.7009
7.260719363	88.749
7.250564275	88.7449
7.240437554	88.783
7.230339081	88.8128
7.220268738	88.8233
7.210226408	88.76
7.200211974	88.7
7.19022532	88.7207
7.18026633	88.6687
7.17033489	88.6101
7.160436013	88.5559
7.150559317	88.5362
7.140709829	88.5525
7.130887439	88.5193
7.121092034	88.5154
7.111323503	88.5117
7.101581735	88.5322
7.091866622	88.4715
7.082178053	88.4964
7.07251592	88.4893
7.062880115	88.4675
7.053270531	88.4207
7.04368706	88.365
7.034129597	88.4588
7.024598035	88.5252
7.01509227	88.5615
7.005612196	88.6133
6.99615771	88.6702
6.986728709	88.7405
6.977325089	88.8252
6.967946748	88.8926
6.958593585	88.9509
6.949265497	89.0801
6.939962385	89.1699
6.930688952	89.2705
6.921435478	89.3543
6.912206681	89.419
6.903002461	89.4734
6.893822721	89.5781
6.884667364	89.6758
6.875536292	89.7332
6.866429409	89.7322
6.857346618	89.8125
6.848287825	90.043
6.839252935	90.1638
6.830241852	90.2449
6.821254483	90.3311
6.812290735	90.4522
6.803350514	90.552
6.794433728	90.5818
6.785540285	90.6365
6.776670093	90.7688
