Name:  Very pale brown to brownish yellow interior dry gravelly silt loam 
Type:  Soils
Class:  Aridisol
Subclass:  Gypsiorthid
Particle Size:  see additional information
Sample No.:  82P2695
Owner:  JHU
Wavelength range:  All
Origin:  Schuamri wildlife reserve on highway Azraq to Saudi Arabia via USDA 
Soil Conservation service.
Description:  from grazed rangeland.  Very pale brown interior dry gravelly silt 
loam to brownish yellow interior moist gravelly silt loam (typic gypsiorthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2695a.txt

6.3766	5.3894
6.3687	5.2947
6.3609	5.1687
6.3531	5.0293
6.3454	4.8933
6.3376	4.7707
6.3299	4.6616
6.3221	4.5605
6.3144	4.4602
6.3068	4.3550
6.2991	4.2463
6.2914	4.1365
6.2838	4.0288
6.2762	3.9238
6.2686	3.8208
6.2611	3.7153
6.2535	3.6040
6.2460	3.4851
6.2385	3.3599
6.2310	3.2302
6.2235	3.1001
6.2160	2.9726
6.2086	2.8511
6.2011	2.7385
6.1937	2.6372
6.1863	2.5486
6.1790	2.4729
6.1716	2.4077
6.1643	2.3501
6.1570	2.2974
6.1496	2.2480
6.1424	2.2029
6.1351	2.1655
6.1278	2.1399
6.1206	2.1279
6.1134	2.1291
6.1062	2.1389
6.0990	2.1494
6.0918	2.1528
6.0847	2.1445
6.0776	2.1257
6.0704	2.1025
6.0633	2.0864
6.0563	2.0891
6.0492	2.1179
6.0421	2.1733
6.0351	2.2488
6.0281	2.3337
6.0211	2.4163
6.0141	2.4878
6.0071	2.5452
6.0002	2.5906
5.9932	2.6282
5.9863	2.6621
5.9794	2.6948
5.9725	2.7283
5.9657	2.7651
5.9588	2.8108
5.9520	2.8730
5.9451	2.9607
5.9383	3.0771
5.9315	3.2183
5.9247	3.3733
5.9180	3.5266
5.9112	3.6677
5.9045	3.7952
5.8978	3.9202
5.8911	4.0613
5.8844	4.2366
5.8777	4.4536
5.8711	4.7036
5.8644	4.9636
5.8578	5.2053
5.8512	5.4072
5.8446	5.5637
5.8380	5.6882
5.8314	5.8059
5.8249	5.9424
5.8184	6.1089
5.8118	6.2978
5.8053	6.4844
5.7988	6.6389
5.7923	6.7392
5.7859	6.7842
5.7794	6.7942
5.7730	6.8008
5.7666	6.8362
5.7602	6.9182
5.7538	7.0459
5.7474	7.2019
5.7410	7.3628
5.7347	7.5088
5.7283	7.6330
5.7220	7.7407
5.7157	7.8435
5.7094	7.9521
5.7031	8.0713
5.6969	8.1965
5.6906	8.3149
5.6844	8.4106
5.6782	8.4702
5.6719	8.4870
5.6657	8.4636
5.6596	8.4121
5.6534	8.3508
5.6472	8.2971
5.6411	8.2607
5.6349	8.2378
5.6288	8.2102
5.6227	8.1472
5.6166	8.0149
5.6106	7.7854
5.6045	7.4494
5.5984	7.0205
5.5924	6.5366
5.5864	6.0561
5.5804	5.6462
5.5744	5.3706
5.5684	5.2751
5.5624	5.3808
5.5564	5.6785
5.5505	6.1306
5.5445	6.6819
5.5386	7.2705
5.5327	7.8403
5.5268	8.3513
5.5209	8.7829
5.5151	9.1321
5.5092	9.4087
5.5033	9.6289
5.4975	9.8108
5.4917	9.9721
5.4859	10.1290
5.4801	10.2960
5.4743	10.4820
5.4685	10.6890
5.4628	10.9110
5.4570	11.1300
5.4513	11.3260
5.4455	11.4800
5.4398	11.5850
5.4341	11.6450
5.4284	11.6750
5.4228	11.6920
5.4171	11.7100
5.4114	11.7300
5.4058	11.7480
5.4002	11.7500
5.3945	11.7270
5.3889	11.6740
5.3833	11.5960
