Name:  Gray silty clay
Type:  Soils
Class:  Mollisol
Subclass:  Haplaquoll
Particle Size:  see additional information
Sample No.:  86P4603
Owner:  JHU
Wavelength range:  All
Origin:  Humboldt Co., Nv. via USDA Soil Conservation service.

Description:  Gray silty clay, (fine, montmorillonitic, mesic cumulic).





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4603a.txt

4.7561	15.6416
4.7517	15.6611
4.7474	15.6789
4.7431	15.6945
4.7387	15.7099
4.7344	15.7270
4.7301	15.7441
4.7258	15.7602
4.7215	15.7724
4.7172	15.7807
4.7129	15.7854
4.7086	15.7858
4.7043	15.7829
4.7000	15.7793
4.6958	15.7778
4.6915	15.7800
4.6873	15.7878
4.6831	15.8024
4.6788	15.8239
4.6746	15.8493
4.6704	15.8762
4.6662	15.9030
4.6620	15.9306
4.6578	15.9599
4.6536	15.9929
4.6495	16.0297
4.6453	16.0712
4.6411	16.1147
4.6370	16.1589
4.6328	16.2016
4.6287	16.2436
4.6246	16.2839
4.6205	16.3220
4.6163	16.3576
4.6122	16.3916
4.6081	16.4245
4.6040	16.4572
4.6000	16.4907
4.5959	16.5244
4.5918	16.5559
4.5877	16.5830
4.5837	16.6059
4.5796	16.6279
4.5756	16.6518
4.5716	16.6794
4.5675	16.7114
4.5635	16.7448
4.5595	16.7761
4.5555	16.8022
4.5515	16.8259
4.5475	16.8505
4.5435	16.8784
4.5395	16.9079
4.5356	16.9360
4.5316	16.9614
4.5276	16.9834
4.5237	17.0022
4.5197	17.0222
4.5158	17.0449
4.5119	17.0698
4.5080	17.0940
4.5040	17.1154
4.5001	17.1377
4.4962	17.1638
4.4923	17.1933
4.4884	17.2265
4.4846	17.2629
4.4807	17.3005
4.4768	17.3371
4.4730	17.3723
4.4691	17.4067
4.4652	17.4406
4.4614	17.4729
4.4576	17.5051
4.4537	17.5402
4.4499	17.5795
4.4461	17.6228
4.4423	17.6687
4.4385	17.7128
4.4347	17.7529
4.4309	17.7900
4.4271	17.8261
4.4233	17.8637
4.4196	17.9043
4.4158	17.9482
4.4120	17.9943
4.4083	18.0397
4.4045	18.0839
4.4008	18.1279
4.3971	18.1726
4.3934	18.2185
4.3896	18.2666
4.3859	18.3173
4.3822	18.3676
4.3785	18.4160
4.3748	18.4636
4.3711	18.5124
4.3674	18.5625
4.3638	18.6118
4.3601	18.6601
4.3564	18.7075
4.3528	18.7504
4.3491	18.7902
4.3455	18.8303
4.3418	18.8730
4.3382	18.9165
4.3346	18.9580
4.3310	18.9978
4.3273	19.0366
4.3237	19.0742
4.3201	19.1120
4.3165	19.1481
4.3129	19.1799
4.3094	19.2043
4.3058	19.2238
4.3022	19.2478
4.2986	19.2739
4.2951	19.2888
4.2915	19.2729
4.2880	19.2138
4.2844	19.1152
4.2809	19.0007
4.2774	18.9152
4.2738	18.9101
4.2703	19.0036
4.2668	19.1760
4.2633	19.3862
4.2598	19.5898
4.2563	19.7526
4.2528	19.8586
4.2493	19.9140
4.2458	19.9440
4.2424	19.9699
4.2389	20.0031
4.2354	20.0507
4.2320	20.1137
4.2285	20.1889
4.2251	20.2678
4.2216	20.3461
4.2182	20.4230
4.2148	20.4965
4.2113	20.5649
4.2079	20.6306
4.2045	20.6931
4.2011	20.7509
4.1977	20.8049
4.1943	20.8586
4.1909	20.9118
4.1875	20.9609
4.1841	21.0058
4.1808	21.0485
4.1774	21.0898
4.1740	21.1276
4.1707	21.1655
4.1673	21.2033
4.1640	21.2399
4.1606	21.2763
4.1573	21.3139
4.1540	21.3542
4.1506	21.3979
4.1473	21.4416
4.1440	21.4846
4.1407	21.5273
4.1374	21.5683
4.1341	21.6093
4.1308	21.6498
4.1275	21.6901
4.1242	21.7275
4.1209	21.7573
4.1177	21.7800
4.1144	21.8005
4.1111	21.8195
4.1079	21.8386
4.1046	21.8596
4.1014	21.8820
4.0981	21.9028
4.0949	21.9179
4.0917	21.9301
4.0884	21.9431
4.0852	21.9555
4.0820	21.9663
4.0788	21.9755
4.0756	21.9811
4.0724	21.9829
4.0692	21.9826
4.0660	21.9819
4.0628	21.9821
4.0596	21.9819
4.0565	21.9755
4.0533	21.9575
4.0501	21.9216
4.0470	21.8691
4.0438	21.8005
4.0406	21.7155
4.0375	21.6159
4.0344	21.5058
4.0312	21.3867
4.0281	21.2592
4.0250	21.1230
4.0218	20.9790
4.0187	20.8232
4.0156	20.6484
4.0125	20.4472
4.0094	20.2126
4.0063	19.9411
4.0032	19.6364
4.0001	19.3068
3.9970	18.9665
3.9940	18.6345
3.9909	18.3332
3.9878	18.0810
3.9847	17.8889
3.9817	17.7644
3.9786	17.7087
3.9756	17.7143
3.9725	17.7683
3.9695	17.8593
3.9665	17.9851
3.9634	18.1435
3.9604	18.3330
3.9574	18.5556
3.9544	18.8125
3.9513	19.0964
3.9483	19.3955
3.9453	19.6904
3.9423	19.9628
3.9393	20.1962
3.9363	20.3781
3.9333	20.5078
3.9304	20.5947
3.9274	20.6555
3.9244	20.7048
3.9214	20.7482
3.9185	20.7895
3.9155	20.8259
3.9126	20.8535
3.9096	20.8703
3.9067	20.8767
3.9037	20.8774
3.9008	20.8757
3.8979	20.8720
3.8949	20.8701
3.8920	20.8698
3.8891	20.8708
3.8862	20.8713
3.8833	20.8696
3.8804	20.8627
3.8775	20.8525
3.8746	20.8383
3.8717	20.8220
3.8688	20.8029
3.8659	20.7814
3.8630	20.7614
3.8601	20.7434
3.8573	20.7292
3.8544	20.7226
3.8515	20.7219
3.8487	20.7260
3.8458	20.7316
3.8430	20.7392
3.8401	20.7514
3.8373	20.7690
3.8344	20.7929
3.8316	20.8239
3.8288	20.8586
3.8259	20.8957
3.8231	20.9309
3.8203	20.9616
3.8175	20.9858
3.8147	21.0026
3.8119	21.0119
3.8091	21.0153
3.8063	21.0163
3.8035	21.0195
3.8007	21.0273
3.7979	21.0380
3.7951	21.0449
3.7924	21.0434
3.7896	21.0302
3.7868	21.0060
3.7841	20.9721
3.7813	20.9333
3.7785	20.8942
3.7758	20.8530
3.7730	20.8037
3.7703	20.7465
3.7676	20.6833
3.7648	20.6191
3.7621	20.5588
3.7594	20.5068
3.7566	20.4628
3.7539	20.4208
3.7512	20.3752
3.7485	20.3244
3.7458	20.2663
3.7431	20.2048
3.7404	20.1464
3.7377	20.0932
3.7350	20.0415
3.7323	19.9887
3.7296	19.9333
3.7269	19.8745
3.7242	19.8110
3.7216	19.7490
3.7189	19.6921
3.7162	19.6379
3.7136	19.5817
3.7109	19.5207
3.7083	19.4541
3.7056	19.3835
3.7030	19.3129
3.7003	19.2512
3.6977	19.1979
3.6950	19.1477
3.6924	19.0959
3.6898	19.0395
3.6872	18.9763
3.6845	18.9086
3.6819	18.8415
3.6793	18.7805
3.6767	18.7238
3.6741	18.6652
3.6715	18.6010
3.6689	18.5322
3.6663	18.4609
3.6637	18.3906
3.6611	18.3251
3.6585	18.2644
3.6560	18.2043
3.6534	18.1381
3.6508	18.0649
3.6482	17.9904
3.6457	17.9187
3.6431	17.8527
3.6406	17.7929
3.6380	17.7338
3.6355	17.6721
3.6329	17.6071
3.6304	17.5380
3.6278	17.4677
3.6253	17.3996
3.6227	17.3337
3.6202	17.2678
3.6177	17.1982
3.6152	17.1252
3.6127	17.0488
3.6101	16.9692
3.6076	16.8874
3.6051	16.8076
3.6026	16.7316
3.6001	16.6596
3.5976	16.5910
3.5951	16.5229
3.5926	16.4509
3.5901	16.3742
3.5876	16.2951
3.5852	16.2133
3.5827	16.1284
3.5802	16.0451
3.5777	15.9646
3.5753	15.8835
3.5728	15.7990
3.5704	15.7153
3.5679	15.6347
3.5654	15.5539
3.5630	15.4753
3.5605	15.4001
3.5581	15.3259
3.5557	15.2456
3.5532	15.1579
3.5508	15.0651
3.5484	14.9690
3.5459	14.8711
3.5435	14.7771
3.5411	14.6870
3.5387	14.5971
3.5363	14.5017
3.5338	14.4004
3.5314	14.2912
3.5290	14.1726
3.5266	14.0442
3.5242	13.9084
3.5218	13.7629
3.5195	13.6045
3.5171	13.4321
3.5147	13.2512
3.5123	13.0700
3.5099	12.8965
3.5075	12.7426
3.5052	12.6184
3.5028	12.5227
3.5004	12.4504
3.4981	12.3935
3.4957	12.3437
3.4934	12.2917
3.4910	12.2336
3.4887	12.1682
3.4863	12.0964
3.4840	12.0190
3.4816	11.9402
3.4793	11.8674
3.4770	11.8047
3.4746	11.7568
3.4723	11.7268
3.4700	11.7107
3.4677	11.6989
3.4653	11.6814
3.4630	11.6504
3.4607	11.6018
3.4584	11.5359
3.4561	11.4612
3.4538	11.3860
3.4515	11.3100
3.4492	11.2341
3.4469	11.1589
3.4446	11.0820
3.4423	11.0036
3.4400	10.9216
3.4378	10.8352
3.4355	10.7417
3.4332	10.6335
3.4309	10.5110
3.4287	10.3777
3.4264	10.2429
3.4241	10.1181
3.4219	10.0093
3.4196	9.9192
3.4174	9.8491
3.4151	9.7947
3.4129	9.7541
3.4106	9.7251
3.4084	9.7077
3.4061	9.7007
3.4039	9.6958
3.4017	9.6880
3.3994	9.6709
3.3972	9.6406
3.3950	9.6020
3.3928	9.5576
3.3906	9.5105
3.3883	9.4621
3.3861	9.4101
3.3839	9.3564
3.3817	9.2998
3.3795	9.2407
3.3773	9.1855
3.3751	9.1355
3.3729	9.0930
3.3707	9.0576
3.3685	9.0273
3.3663	9.0012
3.3641	8.9734
3.3620	8.9404
3.3598	8.9006
3.3576	8.8532
3.3554	8.8047
3.3533	8.7588
3.3511	8.7170
3.3489	8.6811
3.3468	8.6494
3.3446	8.6206
3.3425	8.5906
3.3403	8.5566
3.3382	8.5224
3.3360	8.4868
3.3339	8.4485
3.3317	8.4096
3.3296	8.3735
3.3274	8.3308
3.3253	8.2727
3.3232	8.1948
3.3210	8.1040
3.3189	8.0054
3.3168	7.9084
3.3147	7.8327
3.3126	7.7912
3.3104	7.7727
3.3083	7.7571
3.3062	7.7361
3.3041	7.7038
3.3020	7.6560
3.2999	7.5940
3.2978	7.5285
3.2957	7.4692
3.2936	7.4121
3.2915	7.3506
3.2894	7.2903
3.2874	7.2324
3.2853	7.1775
3.2832	7.1252
3.2811	7.0725
3.2790	7.0171
3.2770	6.9575
3.2749	6.8957
3.2728	6.8386
3.2708	6.7866
3.2687	6.7409
3.2666	6.6985
3.2646	6.6531
3.2625	6.5998
3.2605	6.5390
3.2584	6.4758
3.2564	6.4160
3.2543	6.3638
3.2523	6.3166
3.2503	6.2737
3.2482	6.2314
3.2462	6.1853
3.2442	6.1350
3.2421	6.0810
3.2401	6.0283
3.2381	5.9812
3.2361	5.9385
3.2340	5.8984
3.2320	5.8572
3.2300	5.8105
3.2280	5.7593
3.2260	5.7056
3.2240	5.6521
3.2220	5.6040
3.2200	5.5615
3.2180	5.5239
3.2160	5.4866
3.2140	5.4477
3.2120	5.4077
3.2100	5.3669
3.2080	5.3235
3.2060	5.2790
3.2040	5.2341
3.2021	5.1894
3.2001	5.1445
3.1981	5.1023
3.1961	5.0632
3.1942	5.0281
3.1922	4.9939
3.1902	4.9595
3.1883	4.9250
3.1863	4.8865
3.1844	4.8437
3.1824	4.7983
3.1805	4.7517
3.1785	4.7051
3.1766	4.6601
3.1746	4.6179
3.1727	4.5803
3.1707	4.5452
3.1688	4.5120
3.1669	4.4790
3.1649	4.4438
3.1630	4.4082
3.1611	4.3723
3.1591	4.3354
3.1572	4.2971
3.1553	4.2573
3.1534	4.2136
3.1515	4.1675
3.1495	4.1223
3.1476	4.0842
3.1457	4.0544
3.1438	4.0305
3.1419	4.0102
3.1400	3.9888
3.1381	3.9597
3.1362	3.9236
3.1343	3.8816
3.1324	3.8376
3.1305	3.7937
3.1286	3.7507
3.1268	3.7119
3.1249	3.6787
3.1230	3.6487
3.1211	3.6213
3.1192	3.5950
3.1174	3.5696
3.1155	3.5439
3.1136	3.5163
3.1117	3.4917
3.1099	3.4722
3.1080	3.4551
3.1061	3.4368
3.1043	3.4172
3.1024	3.3999
3.1006	3.3823
