Name:  Dark reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P473
Owner:  JHU
Wavelength range:  All
Origin:  Nacogdoches Co., Tx. via USDA Soil Conservation service.

Description:  from upland slope incoastal plains.  Dark reddish brown 
fine sandy loam (fine mixed, thermic rhodic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P473a.txt

3.6380	18.7165
3.6355	18.6845
3.6329	18.6477
3.6304	18.5764
3.6278	18.5041
3.6253	18.4377
3.6227	18.3918
3.6202	18.3332
3.6177	18.2580
3.6152	18.1977
3.6127	18.1213
3.6101	18.0502
3.6076	17.9780
3.6051	17.9287
3.6026	17.8864
3.6001	17.8064
3.5976	17.6933
3.5951	17.6420
3.5926	17.6132
3.5901	17.5405
3.5876	17.5034
3.5852	17.4502
3.5827	17.3828
3.5802	17.3164
3.5777	17.2204
3.5753	17.1355
3.5728	17.0974
3.5704	17.0222
3.5679	16.9355
3.5654	16.9082
3.5630	16.8549
3.5605	16.7627
3.5581	16.6809
3.5557	16.6171
3.5532	16.5466
3.5508	16.4799
3.5484	16.4460
3.5459	16.3642
3.5435	16.2541
3.5411	16.1652
3.5387	16.0456
3.5363	15.9323
3.5338	15.8864
3.5314	15.8086
3.5290	15.6889
3.5266	15.5671
3.5242	15.4255
3.5218	15.2912
3.5195	15.1316
3.5171	14.9470
3.5147	14.6997
3.5123	14.3752
3.5099	14.0924
3.5075	13.9231
3.5052	13.8974
3.5028	13.9553
3.5004	13.9983
3.4981	14.0234
3.4957	14.0402
3.4934	14.0532
3.4910	14.0556
3.4887	14.0378
3.4863	13.9951
3.4840	13.8779
3.4816	13.7570
3.4793	13.6925
3.4770	13.6699
3.4746	13.6075
3.4723	13.5722
3.4700	13.5493
3.4677	13.4865
3.4653	13.4333
3.4630	13.3475
3.4607	13.2761
3.4584	13.1909
3.4561	13.0924
3.4538	13.0590
3.4515	12.9873
3.4492	12.8882
3.4469	12.8403
3.4446	12.7566
3.4423	12.6455
3.4400	12.5666
3.4378	12.4528
3.4355	12.3066
3.4332	12.1157
3.4309	11.8906
3.4287	11.7341
3.4264	11.6487
3.4241	11.5302
3.4219	11.4941
3.4196	11.5207
3.4174	11.5156
3.4151	11.4792
3.4129	11.4514
3.4106	11.4768
3.4084	11.5102
3.4061	11.5261
3.4039	11.4997
3.4017	11.4743
3.3994	11.5459
3.3972	11.6216
3.3950	11.5924
3.3928	11.5378
3.3906	11.5747
3.3883	11.5984
3.3861	11.5803
3.3839	11.5735
3.3817	11.5383
3.3795	11.4934
3.3773	11.4443
3.3751	11.4699
3.3729	11.5227
3.3707	11.5359
3.3685	11.5119
3.3663	11.4997
3.3641	11.5102
3.3620	11.5144
3.3598	11.4946
3.3576	11.4719
3.3554	11.4609
3.3533	11.4243
3.3511	11.3852
3.3489	11.3965
3.3468	11.4277
3.3446	11.4189
3.3425	11.3869
3.3403	11.3672
3.3382	11.3247
3.3360	11.2632
3.3339	11.2409
3.3317	11.2204
3.3296	11.1811
3.3274	11.1220
3.3253	11.0744
3.3232	11.0210
3.3210	10.9482
3.3189	10.9033
3.3168	10.8925
3.3147	10.8657
3.3126	10.7666
3.3104	10.6860
3.3083	10.6711
3.3062	10.6406
3.3041	10.5893
3.3020	10.4836
3.2999	10.4106
3.2978	10.3620
3.2957	10.3152
3.2936	10.2705
3.2915	10.1941
3.2894	10.1377
3.2874	10.0788
3.2853	9.9885
3.2832	9.9674
3.2811	9.9253
3.2790	9.8415
3.2770	9.7766
3.2749	9.7336
3.2728	9.6897
3.2708	9.6335
3.2687	9.5547
3.2666	9.4941
3.2646	9.4687
3.2625	9.3972
3.2605	9.3075
3.2584	9.2881
3.2564	9.2529
3.2543	9.1740
3.2523	9.1350
3.2503	9.0857
3.2482	8.9902
3.2462	8.9724
3.2442	8.9607
3.2421	8.8701
3.2401	8.8157
3.2381	8.7812
3.2361	8.7165
3.2340	8.6999
3.2320	8.6750
3.2300	8.6294
3.2280	8.5852
3.2260	8.5146
3.2240	8.4782
3.2220	8.4780
3.2200	8.4382
3.2180	8.3867
3.2160	8.3645
3.2140	8.3174
3.2120	8.2975
3.2100	8.2844
3.2080	8.2302
3.2060	8.1907
3.2041	8.1452
3.2021	8.0928
3.2001	8.0774
3.1981	8.0608
3.1961	8.0141
3.1942	7.9797
3.1922	7.9187
3.1902	7.8960
3.1883	7.8633
3.1863	7.8403
3.1844	7.8152
3.1824	7.8032
3.1805	7.7920
3.1785	7.7505
3.1766	7.6894
3.1746	7.6745
3.1727	7.6335
3.1707	7.5881
3.1688	7.5481
3.1669	7.5259
3.1649	7.5129
3.1630	7.4839
3.1611	7.4525
3.1591	7.4719
3.1572	7.4265
3.1553	7.3569
3.1534	7.3493
3.1515	7.3408
3.1495	7.3020
3.1476	7.2971
3.1457	7.2722
3.1438	7.2160
3.1419	7.1802
3.1400	7.1794
3.1381	7.1709
3.1362	7.1902
3.1343	7.1474
3.1324	7.0683
3.1305	7.0505
3.1286	7.0537
3.1268	7.0478
3.1249	7.0459
3.1230	6.9990
3.1211	6.9819
3.1192	6.9414
3.1174	6.9267
3.1155	6.9167
3.1136	6.9025
3.1117	6.8965
3.1099	6.8801
3.1080	6.8767
3.1061	6.8847
3.1043	6.8662
3.1024	6.8520
3.1006	6.8425
3.0987	6.8203
3.0969	6.8066
3.0950	6.8098
3.0932	6.7905
3.0913	6.7522
3.0895	6.7388
3.0876	6.7654
