Name:  Light yellowish brown loam
Type:  Soils
Class:  Aridisol
Subclass:  Calciorthid
Particle Size:  see additional information
Sample No.:  84P3721
Owner:  JHU
Wavelength range:  All
Origin:  1.5 km NE of Minkher Gharbi, Syria via USDA Soil Conservation 
service.
Description:  The parent material is igneous-basaltic rock.  
Physiography: level to undulating upland plains.  Light yellowish brown 
loam, (typic xerollic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  84P3721a.txt

5.1686	13.527
5.1635	13.542
5.1584	13.556
5.1532	13.579
5.1481	13.614
5.143	13.664
5.1379	13.727
5.1328	13.795
5.1277	13.861
5.1227	13.918
5.1176	13.962
5.1126	13.991
5.1075	14.008
5.1025	14.017
5.0975	14.023
5.0925	14.029
5.0875	14.04
5.0825	14.056
5.0775	14.079
5.0726	14.109
5.0676	14.147
5.0627	14.189
5.0577	14.235
5.0528	14.278
5.0479	14.317
5.043	14.349
5.038	14.375
5.0332	14.397
5.0283	14.42
5.0234	14.447
5.0185	14.481
5.0137	14.522
5.0088	14.57
5.004	14.625
4.9992	14.687
4.9944	14.759
4.9896	14.843
4.9848	14.941
4.98	15.053
4.9752	15.177
4.9704	15.309
4.9657	15.442
4.9609	15.572
4.9562	15.694
4.9514	15.806
4.9467	15.909
4.942	16.004
4.9373	16.093
4.9326	16.182
4.9279	16.274
4.9232	16.373
4.9186	16.484
4.9139	16.609
4.9092	16.746
4.9046	16.893
4.9	17.045
4.8953	17.195
4.8907	17.338
4.8861	17.469
4.8815	17.586
4.8769	17.688
4.8723	17.777
4.8678	17.857
4.8632	17.93
4.8586	17.999
4.8541	18.065
4.8495	18.13
4.845	18.192
4.8405	18.251
4.836	18.308
4.8315	18.363
4.827	18.417
4.8225	18.471
4.818	18.523
4.8135	18.574
4.809	18.623
4.8046	18.668
4.8001	18.711
4.7957	18.751
4.7913	18.789
4.7868	18.827
4.7824	18.864
4.778	18.903
4.7736	18.941
4.7692	18.981
4.7648	19.021
4.7605	19.062
4.7561	19.104
4.7517	19.147
4.7474	19.189
4.7431	19.229
4.7387	19.266
4.7344	19.296
4.7301	19.319
4.7258	19.333
4.7215	19.336
4.7172	19.326
4.7129	19.304
4.7086	19.27
4.7043	19.227
4.7	19.181
4.6958	19.137
4.6915	19.101
4.6873	19.078
4.6831	19.072
4.6788	19.084
4.6746	19.113
4.6704	19.159
4.6662	19.219
4.662	19.29
4.6578	19.371
4.6536	19.461
4.6495	19.559
4.6453	19.665
4.6411	19.777
4.637	19.893
4.6328	20.012
4.6287	20.13
4.6246	20.245
4.6205	20.354
4.6163	20.456
4.6122	20.551
4.6081	20.638
4.604	20.718
4.6	20.791
4.5959	20.858
4.5918	20.919
4.5877	20.976
4.5837	21.031
4.5796	21.088
4.5756	21.146
4.5716	21.208
4.5675	21.273
4.5635	21.34
4.5595	21.405
4.5555	21.467
4.5515	21.523
4.5475	21.571
4.5435	21.612
4.5395	21.647
4.5356	21.676
4.5316	21.702
4.5276	21.726
4.5237	21.75
4.5197	21.774
4.5158	21.799
4.5119	21.825
4.508	21.853
4.504	21.882
4.5001	21.912
4.4962	21.944
4.4923	21.978
4.4884	22.015
4.4846	22.057
4.4807	22.101
4.4768	22.151
4.473	22.203
4.4691	22.261
4.4652	22.322
4.4614	22.388
4.4576	22.457
4.4537	22.53
4.4499	22.603
4.4461	22.674
4.4423	22.743
4.4385	22.807
4.4347	22.868
4.4309	22.928
4.4271	22.989
4.4233	23.053
4.4196	23.121
4.4158	23.194
4.412	23.268
4.4083	23.344
4.4045	23.418
4.4008	23.487
4.3971	23.551
4.3934	23.61
4.3896	23.664
4.3859	23.717
4.3822	23.771
4.3785	23.827
4.3748	23.886
4.3711	23.946
4.3674	24.005
4.3638	24.06
4.3601	24.109
4.3564	24.15
4.3528	24.184
4.3491	24.214
4.3455	24.242
4.3418	24.27
4.3382	24.298
4.3346	24.325
4.331	24.35
4.3273	24.369
4.3237	24.381
4.3201	24.385
4.3165	24.382
4.3129	24.372
4.3094	24.357
4.3058	24.339
4.3022	24.318
4.2986	24.291
4.2951	24.258
4.2915	24.218
4.288	24.172
4.2844	24.129
4.2809	24.098
4.2774	24.095
4.2738	24.13
4.2703	24.206
4.2668	24.317
4.2633	24.447
4.2598	24.572
4.2563	24.673
4.2528	24.733
4.2493	24.751
4.2458	24.735
4.2424	24.704
4.2389	24.678
4.2354	24.679
4.232	24.716
4.2285	24.797
4.2251	24.915
4.2216	25.064
4.2182	25.232
4.2148	25.406
4.2113	25.575
4.2079	25.729
4.2045	25.861
4.2011	25.969
4.1977	26.052
4.1943	26.113
4.1909	26.157
4.1875	26.19
4.1841	26.216
4.1808	26.239
4.1774	26.26
4.174	26.278
4.1707	26.294
4.1673	26.305
4.164	26.313
4.1606	26.319
4.1573	26.324
4.154	26.33
4.1506	26.338
4.1473	26.348
4.144	26.358
4.1407	26.368
4.1374	26.375
4.1341	26.377
4.1308	26.372
4.1275	26.362
4.1242	26.346
4.1209	26.324
4.1177	26.3
4.1144	26.274
4.1111	26.248
4.1079	26.223
4.1046	26.197
4.1014	26.169
4.0981	26.136
4.0949	26.096
4.0917	26.047
4.0884	25.99
4.0852	25.924
4.082	25.851
4.0788	25.771
4.0756	25.686
4.0724	25.594
4.0692	25.493
4.066	25.38
4.0628	25.25
4.0596	25.095
4.0565	24.908
4.0533	24.683
4.0501	24.415
4.047	24.103
4.0438	23.748
4.0406	23.358
4.0375	22.938
4.0344	22.497
4.0312	22.041
4.0281	21.573
4.025	21.092
4.0218	20.595
4.0187	20.074
4.0156	19.523
4.0125	18.937
4.0094	18.316
4.0063	17.666
4.0032	17.002
4.0001	16.343
3.997	15.713
3.994	15.137
3.9909	14.635
3.9878	14.221
3.9847	13.904
3.9817	13.683
3.9786	13.552
3.9756	13.501
3.9725	13.525
3.9695	13.617
3.9665	13.776
3.9634	14.004
3.9604	14.305
3.9574	14.678
3.9544	15.121
3.9513	15.619
3.9483	16.152
3.9453	16.692
3.9423	17.209
3.9393	17.675
3.9363	18.071
3.9333	18.392
3.9304	18.639
3.9274	18.829
3.9244	18.978
3.9214	19.103
3.9185	19.218
3.9155	19.328
3.9126	19.435
3.9096	19.538
3.9067	19.632
3.9037	19.715
3.9008	19.787
3.8979	19.846
3.8949	19.895
3.892	19.934
3.8891	19.967
3.8862	19.996
3.8833	20.02
3.8804	20.043
3.8775	20.063
3.8746	20.083
3.8717	20.104
3.8688	20.126
3.8659	20.153
3.863	20.184
3.8601	20.22
3.8573	20.264
3.8544	20.316
3.8515	20.377
3.8487	20.451
3.8458	20.541
3.843	20.649
3.8401	20.779
3.8373	20.929
3.8344	21.099
3.8316	21.282
3.8288	21.472
3.8259	21.662
3.8231	21.846
3.8203	22.021
3.8175	22.189
3.8147	22.351
3.8119	22.514
3.8091	22.683
3.8063	22.862
3.8035	23.05
3.8007	23.243
3.7979	23.433
3.7951	23.611
3.7924	23.767
3.7896	23.896
3.7868	23.997
3.7841	24.07
3.7813	24.12
3.7785	24.153
3.7758	24.175
3.773	24.188
3.7703	24.194
3.7676	24.194
3.7648	24.185
3.7621	24.168
3.7594	24.142
3.7566	24.106
3.7539	24.064
3.7512	24.019
3.7485	23.975
3.7458	23.934
3.7431	23.898
3.7404	23.864
3.7377	23.831
3.735	23.796
3.7323	23.755
3.7296	23.708
3.7269	23.653
3.7242	23.594
3.7216	23.532
3.7189	23.47
3.7162	23.41
3.7136	23.35
3.7109	23.292
3.7083	23.234
3.7056	23.175
3.703	23.115
3.7003	23.055
3.6977	22.995
3.695	22.935
3.6924	22.874
3.6898	22.812
3.6872	22.748
3.6845	22.681
3.6819	22.611
3.6793	22.54
3.6767	22.469
3.6741	22.399
3.6715	22.331
3.6689	22.266
3.6663	22.203
3.6637	22.142
3.6611	22.08
3.6585	22.017
3.656	21.949
3.6534	21.874
3.6508	21.792
3.6482	21.705
3.6457	21.615
3.6431	21.527
3.6406	21.445
3.638	21.369
3.6355	21.3
3.6329	21.235
3.6304	21.171
3.6278	21.105
3.6253	21.036
3.6227	20.961
3.6202	20.883
3.6177	20.802
3.6152	20.72
3.6127	20.639
3.6101	20.557
3.6076	20.475
3.6051	20.389
3.6026	20.3
3.6001	20.206
3.5976	20.107
3.5951	20.006
3.5926	19.903
3.5901	19.801
3.5876	19.697
3.5852	19.591
3.5827	19.481
3.5802	19.365
3.5777	19.246
3.5753	19.126
3.5728	19.009
3.5704	18.901
3.5679	18.803
3.5654	18.714
3.563	18.63
3.5605	18.545
3.5581	18.455
3.5557	18.356
3.5532	18.247
3.5508	18.127
3.5484	17.998
3.5459	17.86
3.5435	17.713
3.5411	17.554
3.5387	17.383
3.5363	17.198
3.5338	16.997
3.5314	16.779
3.529	16.544
3.5266	16.289
3.5242	16.017
3.5218	15.726
3.5195	15.421
3.5171	15.11
3.5147	14.802
3.5123	14.51
3.5099	14.247
3.5075	14.02
3.5052	13.833
3.5028	13.685
3.5004	13.564
3.4981	13.459
3.4957	13.356
3.4934	13.244
3.491	13.118
3.4887	12.979
3.4863	12.836
3.484	12.702
3.4816	12.591
3.4793	12.516
3.477	12.484
3.4746	12.496
3.4723	12.547
3.47	12.624
3.4677	12.715
3.4653	12.804
3.463	12.879
3.4607	12.933
3.4584	12.961
3.4561	12.965
3.4538	12.948
3.4515	12.917
3.4492	12.875
3.4469	12.829
3.4446	12.779
3.4423	12.723
3.44	12.661
3.4378	12.588
3.4355	12.504
3.4332	12.409
3.4309	12.305
3.4287	12.197
3.4264	12.091
3.4241	11.991
3.4219	11.903
3.4196	11.827
3.4174	11.765
3.4151	11.715
3.4129	11.676
3.4106	11.644
3.4084	11.619
3.4061	11.598
3.4039	11.581
3.4017	11.567
3.3994	11.554
3.3972	11.54
3.395	11.521
3.3928	11.497
3.3906	11.465
3.3883	11.426
3.3861	11.382
3.3839	11.335
3.3817	11.29
3.3795	11.246
3.3773	11.204
3.3751	11.164
3.3729	11.125
3.3707	11.084
3.3685	11.041
3.3663	10.993
3.3641	10.94
3.362	10.881
3.3598	10.816
3.3576	10.749
3.3554	10.684
3.3533	10.628
3.3511	10.589
3.3489	10.573
3.3468	10.585
3.3446	10.625
3.3425	10.689
3.3403	10.77
3.3382	10.856
3.336	10.934
3.3339	10.993
3.3317	11.027
3.3296	11.032
3.3274	11.012
3.3253	10.972
3.3232	10.921
3.321	10.866
3.3189	10.812
3.3168	10.759
3.3147	10.709
3.3126	10.657
3.3104	10.602
3.3083	10.541
3.3062	10.475
3.3041	10.405
3.302	10.334
3.2999	10.265
3.2978	10.201
3.2957	10.144
3.2936	10.093
3.2915	10.044
3.2894	9.995
3.2874	9.944
3.2853	9.888
3.2832	9.828
3.2811	9.766
3.279	9.702
3.277	9.637
3.2749	9.573
3.2728	9.508
3.2708	9.442
3.2687	9.375
3.2666	9.307
3.2646	9.239
3.2625	9.172
3.2605	9.107
3.2584	9.044
3.2564	8.982
3.2543	8.92
3.2523	8.858
3.2503	8.795
3.2482	8.731
3.2462	8.666
3.2442	8.601
3.2421	8.535
3.2401	8.469
3.2381	8.403
3.2361	8.337
3.234	8.271
3.232	8.207
3.23	8.143
3.228	8.082
3.226	8.025
3.224	7.971
3.222	7.92
3.22	7.872
3.218	7.825
3.216	7.776
3.214	7.723
3.212	7.668
3.21	7.61
3.208	7.551
3.206	7.493
3.204	7.434
3.2021	7.375
3.2001	7.315
3.1981	7.252
3.1961	7.189
3.1942	7.127
3.1922	7.068
3.1902	7.015
3.1883	6.967
3.1863	6.922
3.1844	6.878
3.1824	6.831
3.1805	6.78
3.1785	6.7253
3.1766	6.6692
3.1746	6.6148
3.1727	6.5635
3.1707	6.5169
3.1688	6.4727
3.1669	6.4297
3.1649	6.386
3.163	6.3399
3.1611	6.2918
3.1591	6.242
3.1572	6.1904
3.1553	6.1367
3.1534	6.0798
3.1515	6.02
3.1495	5.959
3.1476	5.8999
3.1457	5.8464
3.1438	5.8013
3.1419	5.7649
3.14	5.7349
3.1381	5.707
3.1362	5.6758
3.1343	5.6372
3.1324	5.5899
3.1305	5.5347
3.1286	5.4751
3.1268	5.4153
3.1249	5.3601
3.123	5.3118
3.1211	5.2715
3.1192	5.2383
3.1174	5.2102
3.1155	5.1843
3.1136	5.1582
3.1117	5.1299
3.1099	5.0974
3.108	5.0603
3.1061	5.0183
3.1043	4.9727
3.1024	4.9253
3.1006	4.8796
3.0987	4.8389
3.0969	4.8054
3.095	4.78
3.0932	4.761
3.0913	4.7454
3.0895	4.729
3.0876	4.7097
3.0858	4.686
3.084	4.6594
3.0821	4.6323
3.0803	4.6069
3.0785	4.5838
3.0766	4.562
3.0748	4.5388
3.073	4.5125
3.0712	4.4824
3.0694	4.4509
3.0675	4.4212
3.0657	4.398
3.0639	4.3836
3.0621	4.3777
3.0603	4.3765
3.0585	4.3748
3.0567	4.3679
3.0549	4.3543
3.0531	4.3335
3.0513	4.3098
3.0495	4.2874
3.0477	4.2693
3.0459	4.2568
3.0441	4.2493
3.0423	4.2444
3.0406	4.2402
3.0388	4.2356
3.037	4.2295
3.0352	4.2227
3.0334	4.2139
3.0317	4.2031
3.0299	4.1892
3.0281	4.1719
3.0264	4.1511
3.0246	4.1277
3.0228	4.103
3.0211	4.0781
3.0193	4.0535
3.0176	4.0291
3.0158	4.0047
3.014	3.9802
3.0123	3.9568
3.0105	3.9351
3.0088	3.9165
3.007	3.9028
3.0053	3.8941
3.0036	3.8889
3.0018	3.8853
3.0001	3.8787
2.9984	3.8662
2.9966	3.8455
2.9949	3.8164
2.9932	3.7813
2.9914	3.7454
2.9897	3.7131
2.988	3.6875
2.9863	3.6694
2.9845	3.6565
2.9828	3.6458
2.9811	3.6348
2.9794	3.6228
2.9777	3.6109
2.976	3.6016
2.9743	3.5972
2.9726	3.5977
2.9709	3.6008
2.9692	3.6026
2.9675	3.5994
2.9658	3.5881
2.9641	3.5679
2.9624	3.5415
2.9607	3.5122
2.959	3.4844
2.9573	3.4617
2.9556	3.4458
2.9539	3.4365
2.9523	3.4329
2.9506	3.4324
2.9489	3.4329
2.9472	3.4326
2.9455	3.4317
2.9439	3.4304
