Name:  Brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Haplustalf
Particle Size:  see additional information
Sample No.:  87P3671
Owner:  JHU
Wavelength range:  All
Origin:  Luna Co., NM. via USDA Soil Conservation service.

Description:  The parent material is eolian from acidic-ash material 
over volcanic ash from acidic-ash material over residuum. from a 6% north 
facing slope.  Brown fine sandy loam (loamy, mixed, mesic, shallow aridic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3671a.txt

5.8711	4.5095
5.8644	4.6774
5.8578	4.8368
5.8512	4.9764
5.8446	5.1005
5.8380	5.2169
5.8314	5.3303
5.8249	5.4462
5.8184	5.5720
5.8118	5.7076
5.8053	5.8419
5.7988	5.9646
5.7923	6.0769
5.7859	6.1756
5.7794	6.2624
5.7730	6.3476
5.7666	6.4433
5.7602	6.5537
5.7538	6.6745
5.7474	6.7950
5.7410	6.9138
5.7347	7.0200
5.7283	7.1118
5.7220	7.1999
5.7157	7.2875
5.7094	7.3752
5.7031	7.4566
5.6969	7.5182
5.6906	7.5538
5.6844	7.5504
5.6782	7.5038
5.6719	7.4227
5.6657	7.3114
5.6596	7.1767
5.6534	7.0288
5.6472	6.8782
5.6411	6.7399
5.6349	6.6238
5.6288	6.5370
5.6227	6.4778
5.6166	6.4386
5.6106	6.4101
5.6045	6.3893
5.5984	6.3721
5.5924	6.3598
5.5864	6.3598
5.5804	6.3802
5.5744	6.4176
5.5684	6.4720
5.5624	6.5415
5.5564	6.6288
5.5505	6.7341
5.5445	6.8518
5.5386	6.9819
5.5327	7.1232
5.5268	7.2735
5.5209	7.4288
5.5151	7.5798
5.5092	7.7263
5.5033	7.8708
5.4975	8.0127
5.4917	8.1531
5.4859	8.2859
5.4801	8.4122
5.4743	8.5333
5.4685	8.6433
5.4628	8.7364
5.4570	8.8065
5.4513	8.8481
5.4455	8.8493
5.4398	8.7977
5.4341	8.6996
5.4284	8.5635
5.4228	8.3926
5.4171	8.1926
5.4114	7.9608
5.4058	7.6999
5.4002	7.4155
5.3945	7.1234
5.3889	6.8436
5.3833	6.5941
5.3778	6.3790
5.3722	6.2025
5.3666	6.0642
5.3611	5.9639
5.3555	5.8998
5.3500	5.8675
5.3445	5.8668
5.3390	5.8945
5.3335	5.9371
5.3280	5.9862
5.3225	6.0403
5.3171	6.0964
5.3116	6.1527
5.3062	6.2190
5.3008	6.3030
5.2954	6.4037
5.2900	6.5240
5.2846	6.6647
5.2792	6.8247
5.2738	7.0023
5.2684	7.1944
5.2631	7.4103
5.2578	7.6498
5.2524	7.9093
5.2471	8.1966
5.2418	8.5119
5.2365	8.8429
5.2312	9.1761
5.2260	9.5033
5.2207	9.8169
5.2154	10.0999
5.2102	10.3447
5.2050	10.5466
5.1998	10.7024
5.1945	10.8120
5.1893	10.8811
5.1842	10.9247
5.1790	10.9546
5.1738	10.9749
5.1686	10.9937
5.1635	11.0053
5.1584	11.0111
5.1532	11.0168
5.1481	11.0199
5.1430	11.0221
5.1379	11.0306
5.1328	11.0538
5.1277	11.0904
5.1227	11.1297
5.1176	11.1651
5.1126	11.1916
5.1075	11.1969
5.1025	11.1751
5.0975	11.1283
5.0925	11.0595
5.0875	10.9740
5.0825	10.8792
5.0775	10.7914
5.0726	10.7275
5.0676	10.6874
5.0627	10.6653
5.0577	10.6600
5.0528	10.6639
5.0479	10.6679
5.0430	10.6727
5.0380	10.6825
5.0332	10.6959
5.0283	10.7071
5.0234	10.7143
5.0185	10.7246
5.0137	10.7452
5.0088	10.7816
5.0040	10.8407
4.9992	10.9269
4.9944	11.0390
4.9896	11.1833
4.9848	11.3673
4.9800	11.5934
4.9752	11.8642
4.9704	12.1758
4.9657	12.5035
4.9609	12.8225
4.9562	13.1139
4.9514	13.3665
4.9467	13.5799
4.9420	13.7623
4.9373	13.9326
4.9326	14.1142
4.9279	14.3245
4.9232	14.5820
4.9186	14.9021
4.9139	15.2935
4.9092	15.7555
4.9046	16.2728
4.9000	16.8226
4.8953	17.3734
4.8907	17.9030
4.8861	18.3942
4.8815	18.8356
4.8769	19.2271
4.8723	19.5781
4.8678	19.8953
4.8632	20.1806
4.8586	20.4361
4.8541	20.6686
4.8495	20.8845
4.8450	21.0801
4.8405	21.2568
4.8360	21.4228
4.8315	21.5776
4.8270	21.7166
4.8225	21.8458
4.8180	21.9671
4.8135	22.0793
4.8090	22.1793
4.8046	22.2747
4.8001	22.3684
4.7957	22.4547
4.7913	22.5371
4.7868	22.6159
4.7824	22.6932
4.7780	22.7681
4.7736	22.8437
4.7692	22.9261
4.7648	23.0143
4.7605	23.1009
4.7561	23.1828
4.7517	23.2589
4.7474	23.3259
4.7431	23.3837
4.7387	23.4363
4.7344	23.4854
4.7301	23.5285
4.7258	23.5607
4.7215	23.5784
4.7172	23.5866
4.7129	23.5842
4.7086	23.5637
4.7043	23.5235
4.7000	23.4644
4.6958	23.3902
4.6915	23.3177
4.6873	23.2646
4.6831	23.2497
4.6788	23.2845
4.6746	23.3643
4.6704	23.4857
4.6662	23.6345
4.6620	23.7897
4.6578	23.9479
4.6536	24.1010
4.6495	24.2433
4.6453	24.3742
4.6411	24.4996
4.6370	24.6312
4.6328	24.7669
4.6287	24.8948
4.6246	25.0167
4.6205	25.1308
4.6163	25.2399
4.6122	25.3437
4.6081	25.4366
4.6040	25.5248
4.6000	25.6115
4.5959	25.6916
4.5918	25.7651
4.5877	25.8381
4.5837	25.9153
4.5796	25.9921
4.5756	26.0539
4.5716	26.1058
4.5675	26.1558
4.5635	26.2000
4.5595	26.2359
4.5555	26.2653
4.5515	26.2859
4.5475	26.2931
4.5435	26.2818
4.5395	26.2610
4.5356	26.2280
4.5316	26.1793
4.5276	26.1185
4.5237	26.0425
4.5197	25.9473
4.5158	25.8332
4.5119	25.7076
4.5080	25.5854
4.5040	25.4732
4.5001	25.3820
4.4962	25.3188
4.4923	25.2794
4.4884	25.2509
4.4846	25.2258
4.4807	25.2088
4.4768	25.2031
4.4730	25.2090
4.4691	25.2360
4.4652	25.2945
4.4614	25.3845
4.4576	25.4899
4.4537	25.6078
4.4499	25.7361
4.4461	25.8563
4.4423	25.9612
4.4385	26.0604
4.4347	26.1569
4.4309	26.2524
4.4271	26.3525
4.4233	26.4596
4.4196	26.5718
4.4158	26.6768
4.4120	26.7757
4.4083	26.8804
4.4045	26.9958
4.4008	27.1191
4.3971	27.2515
4.3934	27.3903
4.3896	27.5339
4.3859	27.6717
4.3822	27.8035
4.3785	27.9399
4.3748	28.0761
4.3711	28.2085
4.3674	28.3339
4.3638	28.4555
4.3601	28.5771
4.3564	28.6868
4.3528	28.7867
4.3491	28.8824
4.3455	28.9682
4.3418	29.0536
4.3382	29.1346
4.3346	29.2077
4.3310	29.2804
4.3273	29.3383
4.3237	29.3764
4.3201	29.4073
4.3165	29.4319
4.3129	29.4441
4.3094	29.4434
4.3058	29.4424
4.3022	29.4451
4.2986	29.4469
4.2951	29.4522
4.2915	29.4584
4.2880	29.4601
4.2844	29.4554
4.2809	29.4544
4.2774	29.4638
4.2738	29.4881
4.2703	29.5419
4.2668	29.6321
4.2633	29.7345
4.2598	29.8387
4.2563	29.9384
4.2528	30.0207
4.2493	30.0705
4.2458	30.0920
4.2424	30.1011
4.2389	30.1095
4.2354	30.1233
4.2320	30.1535
4.2285	30.2040
4.2251	30.2671
4.2216	30.3406
4.2182	30.4201
4.2148	30.4897
4.2113	30.5452
4.2079	30.5921
4.2045	30.6260
4.2011	30.6542
4.1977	30.6791
4.1943	30.7107
4.1909	30.7524
4.1875	30.7952
4.1841	30.8455
4.1808	30.8971
4.1774	30.9347
4.1740	30.9620
4.1707	30.9892
4.1673	31.0235
4.1640	31.0555
4.1606	31.0871
4.1573	31.1287
4.1540	31.1663
4.1506	31.1878
4.1473	31.2067
4.1440	31.2331
4.1407	31.2591
4.1374	31.2765
4.1341	31.2924
4.1308	31.3134
4.1275	31.3381
4.1242	31.3647
4.1209	31.3991
4.1177	31.4355
4.1144	31.4668
4.1111	31.4958
4.1079	31.5180
4.1046	31.5340
4.1014	31.5558
4.0981	31.5754
4.0949	31.5873
4.0917	31.6034
4.0884	31.6230
4.0852	31.6401
4.0820	31.6503
4.0788	31.6651
4.0756	31.6812
4.0724	31.6850
4.0692	31.6838
4.0660	31.6890
4.0628	31.6957
4.0596	31.7029
4.0565	31.7054
4.0533	31.7121
4.0501	31.7173
4.0470	31.7137
4.0438	31.7049
4.0406	31.6905
4.0375	31.6690
4.0344	31.6455
4.0312	31.6142
4.0281	31.5900
4.0250	31.5790
4.0218	31.5726
4.0187	31.5646
4.0156	31.5531
4.0125	31.5350
4.0094	31.5135
4.0063	31.4853
4.0032	31.4694
4.0001	31.4591
3.9970	31.4500
3.9940	31.4462
3.9909	31.4405
3.9878	31.4362
3.9847	31.4352
3.9817	31.4395
