Name:  Brown to dark brown gravelly loam 
Type:  Soils
Class:  Alfisol
Subclass:  Haploxeralf
Particle Size:  see additional information
Sample No.:  87P313
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  Brown to dark brown gravelly loam (medial-skeletal, 
frigid ultic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P313a.txt

5.1176	12.5488
5.1126	12.5652
5.1075	12.5739
5.1025	12.5759
5.0975	12.5749
5.0925	12.5739
5.0875	12.5776
5.0825	12.5886
5.0775	12.5988
5.0726	12.6069
5.0676	12.6079
5.0627	12.6089
5.0577	12.6176
5.0528	12.6303
5.0479	12.6455
5.0430	12.6618
5.0380	12.6762
5.0332	12.6836
5.0283	12.6909
5.0234	12.7021
5.0185	12.7170
5.0137	12.7282
5.0088	12.7404
5.0040	12.7561
4.9992	12.7724
4.9944	12.7849
4.9896	12.8027
4.9848	12.8298
4.9800	12.8574
4.9752	12.8872
4.9704	12.9236
4.9657	12.9641
4.9609	12.9968
4.9562	13.0224
4.9514	13.0517
4.9467	13.0830
4.9420	13.1147
4.9373	13.1484
4.9326	13.1809
4.9279	13.2119
4.9232	13.2375
4.9186	13.2663
4.9139	13.3073
4.9092	13.3537
4.9046	13.4021
4.9000	13.4482
4.8953	13.4839
4.8907	13.5127
4.8861	13.5415
4.8815	13.5664
4.8769	13.5957
4.8723	13.6306
4.8678	13.6626
4.8632	13.6889
4.8586	13.7089
4.8541	13.7292
4.8495	13.7558
4.8450	13.7805
4.8405	13.8049
4.8360	13.8347
4.8315	13.8620
4.8270	13.8874
4.8225	13.9179
4.8180	13.9487
4.8135	13.9768
4.8090	14.0000
4.8046	14.0193
4.8001	14.0322
4.7957	14.0439
4.7913	14.0564
4.7868	14.0774
4.7824	14.1045
4.7780	14.1298
4.7736	14.1552
4.7692	14.1765
4.7648	14.1889
4.7605	14.2036
4.7561	14.2155
4.7517	14.2275
4.7474	14.2461
4.7431	14.2651
4.7387	14.2797
4.7344	14.2885
4.7301	14.2966
4.7258	14.3169
4.7215	14.3374
4.7172	14.3559
4.7129	14.3747
4.7086	14.3928
4.7043	14.4077
4.7000	14.4196
4.6958	14.4318
4.6915	14.4467
4.6873	14.4594
4.6831	14.4694
4.6788	14.4829
4.6746	14.5014
4.6704	14.5205
4.6662	14.5407
4.6620	14.5603
4.6578	14.5803
4.6536	14.5986
4.6495	14.6213
4.6453	14.6479
4.6411	14.6706
4.6370	14.6901
4.6328	14.7089
4.6287	14.7268
4.6246	14.7507
4.6205	14.7797
4.6163	14.8086
4.6122	14.8354
4.6081	14.8632
4.6040	14.8850
4.6000	14.9013
4.5959	14.9184
4.5918	14.9387
4.5877	14.9607
4.5837	14.9831
4.5796	15.0070
4.5756	15.0295
4.5716	15.0512
4.5675	15.0771
4.5635	15.1037
4.5595	15.1286
4.5555	15.1521
4.5515	15.1762
4.5475	15.1936
4.5435	15.2058
4.5395	15.2258
4.5356	15.2478
4.5316	15.2568
4.5276	15.2612
4.5237	15.2712
4.5197	15.2841
4.5158	15.2949
4.5119	15.3039
4.5080	15.3181
4.5040	15.3288
4.5001	15.3349
4.4962	15.3383
4.4923	15.3498
4.4884	15.3623
4.4846	15.3740
4.4807	15.3847
4.4768	15.3957
4.4730	15.4050
4.4691	15.4165
4.4652	15.4282
4.4614	15.4397
4.4576	15.4482
4.4537	15.4585
4.4499	15.4721
4.4461	15.4802
4.4423	15.4880
4.4385	15.4990
4.4347	15.5127
4.4309	15.5173
4.4271	15.5178
4.4233	15.5173
4.4196	15.5190
4.4158	15.5246
4.4120	15.5322
4.4083	15.5383
4.4045	15.5476
4.4008	15.5534
4.3971	15.5544
4.3934	15.5534
4.3896	15.5573
4.3859	15.5642
4.3822	15.5681
4.3785	15.5720
4.3748	15.5847
4.3711	15.5927
4.3674	15.5910
4.3638	15.5910
4.3601	15.5852
4.3564	15.5732
4.3528	15.5666
4.3491	15.5666
4.3455	15.5688
4.3418	15.5710
4.3382	15.5769
4.3346	15.5871
4.3310	15.5900
4.3273	15.5927
4.3237	15.5991
4.3201	15.6032
4.3165	15.6003
4.3129	15.6003
4.3094	15.5991
4.3058	15.5896
4.3022	15.5732
4.2986	15.5551
4.2951	15.5398
4.2915	15.5288
4.2880	15.5217
4.2844	15.5207
4.2809	15.5178
4.2774	15.5097
4.2738	15.4968
4.2703	15.4846
4.2668	15.4802
4.2633	15.4797
4.2598	15.4782
4.2563	15.4853
4.2528	15.4921
4.2493	15.4885
4.2458	15.4795
4.2424	15.4704
4.2389	15.4555
4.2354	15.4401
4.2320	15.4191
4.2285	15.4067
4.2251	15.3989
4.2216	15.3869
4.2182	15.3823
4.2148	15.3842
4.2113	15.3796
4.2079	15.3711
4.2045	15.3498
4.2011	15.3310
4.1977	15.3132
4.1943	15.2949
4.1909	15.2863
4.1875	15.2827
4.1841	15.2675
4.1808	15.2546
4.1774	15.2407
4.1740	15.2338
4.1707	15.2182
4.1673	15.1948
4.1640	15.1723
4.1606	15.1472
4.1573	15.1198
4.1540	15.0954
4.1506	15.0778
4.1473	15.0649
4.1440	15.0412
4.1407	15.0080
4.1374	14.9838
4.1341	14.9629
4.1308	14.9431
4.1275	14.9228
4.1242	14.8991
4.1209	14.8752
4.1177	14.8464
4.1144	14.8147
4.1111	14.7885
4.1079	14.7700
4.1046	14.7553
4.1014	14.7317
4.0981	14.7063
4.0949	14.6836
4.0917	14.6621
4.0884	14.6460
4.0852	14.6308
4.0820	14.6181
4.0788	14.5959
4.0756	14.5676
4.0724	14.5361
4.0692	14.5036
4.0660	14.4760
4.0628	14.4558
4.0596	14.4355
4.0565	14.4150
4.0533	14.3869
4.0501	14.3662
4.0470	14.3469
4.0438	14.3344
4.0406	14.3274
4.0375	14.3142
4.0344	14.2981
4.0312	14.2797
4.0281	14.2509
4.0250	14.2207
4.0218	14.1955
4.0187	14.1853
4.0156	14.1760
4.0125	14.1567
4.0094	14.1384
4.0063	14.1179
4.0032	14.0888
4.0001	14.0542
3.9970	14.0276
3.9940	14.0053
3.9909	13.9856
3.9878	13.9651
3.9847	13.9431
3.9817	13.9277
3.9786	13.9140
3.9756	13.8969
3.9725	13.8784
3.9695	13.8574
3.9665	13.8408
3.9634	13.8230
3.9604	13.8003
3.9574	13.7800
3.9544	13.7605
3.9513	13.7407
3.9483	13.7160
3.9453	13.6992
3.9423	13.6916
3.9393	13.6833
3.9363	13.6704
3.9333	13.6535
3.9304	13.6364
3.9274	13.6147
3.9244	13.5881
3.9214	13.5654
3.9185	13.5517
3.9155	13.5366
3.9126	13.5175
3.9096	13.5048
3.9067	13.4919
3.9037	13.4709
3.9008	13.4536
3.8979	13.4419
3.8949	13.4279
3.8920	13.4094
3.8891	13.3899
3.8862	13.3772
3.8833	13.3537
3.8804	13.3274
