Name:  Brown sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2410
Owner:  JHU
Wavelength range:  All
Origin:  Llano Co., Tx. via USDA Soil Conservation service.

Description:  The parent material is granitic rock from level or 
undulating plains.  Brown sandy loam (fine, mixed, thermic udic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2410a.txt

4.4768	17.3493
4.4730	17.3286
4.4691	17.3457
4.4652	17.4140
4.4614	17.5092
4.4576	17.6494
4.4537	17.8300
4.4499	17.9748
4.4461	18.1115
4.4423	18.2348
4.4385	18.3454
4.4347	18.4501
4.4309	18.5456
4.4271	18.6542
4.4233	18.8010
4.4196	18.9379
4.4158	19.0644
4.4120	19.2055
4.4083	19.3771
4.4045	19.5397
4.4008	19.7163
4.3971	19.8769
4.3934	20.0388
4.3896	20.2363
4.3859	20.4421
4.3822	20.6210
4.3785	20.7926
4.3748	21.0070
4.3711	21.2089
4.3674	21.3726
4.3638	21.5461
4.3601	21.7141
4.3564	21.8779
4.3528	22.0468
4.3491	22.1743
4.3455	22.3166
4.3418	22.4282
4.3382	22.5104
4.3346	22.6086
4.3310	22.6721
4.3273	22.7402
4.3237	22.8049
4.3201	22.8217
4.3165	22.8329
4.3129	22.8281
4.3094	22.7978
4.3058	22.7704
4.3022	22.7448
4.2986	22.7114
4.2951	22.6530
4.2915	22.6379
4.2880	22.6269
4.2844	22.5585
4.2809	22.2914
4.2774	21.9143
4.2738	21.8832
4.2703	22.2460
4.2668	22.6674
4.2633	23.0246
4.2598	23.3530
4.2563	23.5881
4.2528	23.6652
4.2493	23.6542
4.2458	23.6275
4.2424	23.5773
4.2389	23.5563
4.2354	23.5971
4.2320	23.6462
4.2285	23.6992
4.2251	23.8002
4.2216	23.9376
4.2182	24.0424
4.2148	24.1279
4.2113	24.2885
4.2079	24.4057
4.2045	24.4399
4.2011	24.4943
4.1977	24.5451
4.1943	24.5710
4.1909	24.6330
4.1875	24.7033
4.1841	24.7476
4.1808	24.8305
4.1774	24.8959
4.1740	24.9741
4.1707	25.0388
4.1673	25.0854
4.1640	25.1367
4.1606	25.2023
4.1573	25.2617
4.1540	25.3124
4.1506	25.3408
4.1473	25.3647
4.1440	25.4228
4.1407	25.4889
4.1374	25.5510
4.1341	25.6103
4.1308	25.6354
4.1275	25.6623
4.1242	25.7165
4.1209	25.7944
4.1177	25.8698
4.1144	25.9052
4.1111	25.9763
4.1079	26.0402
4.1046	26.0768
4.1014	26.1198
4.0981	26.1567
4.0949	26.2045
4.0917	26.2497
4.0884	26.3393
4.0852	26.3837
4.0820	26.4023
4.0788	26.3867
4.0756	26.4040
4.0724	26.4553
4.0692	26.4645
4.0660	26.4774
4.0628	26.4933
4.0596	26.4682
4.0565	26.4755
4.0533	26.4887
4.0501	26.4814
4.0470	26.4489
4.0438	26.4494
4.0406	26.4692
4.0375	26.4311
4.0344	26.3920
4.0312	26.3754
4.0281	26.3659
4.0250	26.3217
4.0218	26.3144
4.0187	26.3051
4.0156	26.3078
4.0125	26.3051
4.0094	26.2874
4.0063	26.2939
4.0032	26.2802
4.0001	26.2458
3.9970	26.2597
3.9940	26.2829
3.9909	26.2802
3.9878	26.3058
3.9847	26.2866
3.9817	26.2573
3.9786	26.2707
3.9756	26.2874
3.9725	26.3068
3.9695	26.3178
3.9665	26.3134
3.9634	26.3134
3.9604	26.3124
3.9574	26.3326
3.9544	26.3495
3.9513	26.3300
3.9483	26.3105
3.9453	26.3430
3.9423	26.3726
3.9393	26.3688
3.9363	26.3412
3.9333	26.3207
3.9304	26.3254
3.9274	26.3115
3.9244	26.3051
3.9214	26.2700
3.9185	26.1843
3.9155	26.1603
3.9126	26.1723
3.9096	26.0998
3.9067	26.0651
3.9037	26.0422
3.9008	25.9882
3.8979	25.9553
3.8949	25.9033
3.8920	25.8168
3.8891	25.7590
3.8862	25.7284
3.8833	25.6533
3.8804	25.5634
3.8775	25.5231
3.8746	25.4997
3.8717	25.4235
3.8688	25.3754
3.8659	25.3605
3.8630	25.3051
3.8601	25.2465
3.8573	25.2040
3.8544	25.1572
3.8515	25.1093
3.8487	25.0654
3.8458	25.0583
3.8430	25.0125
3.8401	24.9531
3.8373	24.9203
3.8344	24.8975
3.8316	24.8871
3.8288	24.8217
3.8259	24.7746
3.8231	24.7441
3.8203	24.6876
3.8175	24.6557
3.8147	24.5934
3.8119	24.5771
3.8091	24.5251
3.8063	24.4425
3.8035	24.3954
3.8007	24.3798
3.7979	24.3159
3.7951	24.2525
3.7924	24.1830
3.7896	24.1161
3.7868	24.0483
3.7841	23.9682
3.7813	23.8932
3.7785	23.8212
3.7758	23.7717
3.7730	23.6953
3.7703	23.6037
3.7676	23.5466
3.7648	23.4863
3.7621	23.4169
3.7594	23.3251
3.7566	23.2441
3.7539	23.1569
3.7512	23.0519
3.7485	22.9921
3.7458	22.9809
3.7431	22.9069
3.7404	22.8049
3.7377	22.7663
3.7350	22.7407
3.7323	22.6769
3.7296	22.6308
3.7269	22.5842
3.7242	22.5141
3.7216	22.4438
3.7189	22.3881
3.7162	22.3215
3.7136	22.2368
3.7109	22.2187
3.7083	22.2094
3.7056	22.1564
3.7030	22.1198
3.7003	22.0826
3.6977	22.0463
3.6950	22.0100
3.6924	21.9504
3.6898	21.8832
3.6872	21.8471
3.6845	21.8019
3.6819	21.7490
3.6793	21.6950
3.6767	21.6447
3.6741	21.5742
3.6715	21.5104
3.6689	21.4689
3.6663	21.4050
3.6637	21.3518
3.6611	21.3098
3.6585	21.2363
3.6560	21.1479
3.6534	21.0626
3.6508	21.0092
3.6482	20.9555
3.6457	20.8923
3.6431	20.8264
3.6406	20.7590
3.6380	20.6855
3.6355	20.6103
3.6329	20.5573
3.6304	20.4919
3.6278	20.4233
3.6253	20.3332
3.6227	20.2425
3.6202	20.1660
3.6177	20.1484
3.6152	20.0910
3.6127	19.9885
3.6101	19.8818
3.6076	19.8371
3.6051	19.7653
3.6026	19.6450
3.6001	19.5349
3.5976	19.4733
3.5951	19.4309
3.5926	19.3586
3.5901	19.2575
3.5876	19.1948
3.5852	19.1262
3.5827	19.0588
3.5802	18.9956
3.5777	18.9003
3.5753	18.8168
3.5728	18.7172
3.5704	18.6477
3.5679	18.6110
3.5654	18.5332
3.5630	18.4228
3.5605	18.3313
3.5581	18.2517
3.5557	18.1779
3.5532	18.0551
3.5508	17.9406
3.5484	17.8759
3.5459	17.8068
3.5435	17.7270
3.5411	17.6103
3.5387	17.4782
3.5363	17.4018
3.5338	17.3127
3.5314	17.1874
3.5290	17.0759
3.5266	16.9725
3.5242	16.8588
3.5218	16.7074
3.5195	16.5241
3.5171	16.3933
3.5147	16.1980
3.5123	15.9301
3.5099	15.7177
3.5075	15.5693
3.5052	15.5000
3.5028	15.4712
3.5004	15.4511
3.4981	15.4165
3.4957	15.3947
3.4934	15.3752
3.4910	15.3120
3.4887	15.2270
3.4863	15.1818
3.4840	15.1218
3.4816	15.0274
3.4793	14.9431
3.4770	14.8403
3.4746	14.7534
