Name:  Reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2376
Owner:  JHU
Wavelength range:  All
Origin:  Howard Co. Tx. via USDA Soil Conservation service.

Description:  The parent  material is eolian from level or undulating 
plains.  Reddish brown fine sandy loam (fine-loamy, mixed thermic aridic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2376a.txt

3.3972	11.2795
3.3950	11.2368
3.3928	11.1811
3.3906	11.1145
3.3883	11.0412
3.3861	10.9634
3.3839	10.8852
3.3817	10.8054
3.3795	10.7295
3.3773	10.6672
3.3751	10.6191
3.3729	10.5813
3.3707	10.5508
3.3685	10.5224
3.3663	10.4909
3.3641	10.4504
3.3620	10.4018
3.3598	10.3489
3.3576	10.2920
3.3554	10.2319
3.3533	10.1709
3.3511	10.1120
3.3489	10.0534
3.3468	9.9944
3.3446	9.9323
3.3425	9.8657
3.3403	9.7966
3.3382	9.7263
3.3360	9.6560
3.3339	9.5876
3.3317	9.5180
3.3296	9.4465
3.3274	9.3725
3.3253	9.2949
3.3232	9.2143
3.3210	9.1330
3.3189	9.0532
3.3168	8.9751
3.3147	8.8950
3.3126	8.8132
3.3104	8.7331
3.3083	8.6555
3.3062	8.5779
3.3041	8.5039
3.3020	8.4363
3.2999	8.3703
3.2978	8.3010
3.2957	8.2268
3.2936	8.1494
3.2915	8.0705
3.2894	7.9880
3.2874	7.9070
3.2853	7.8325
3.2832	7.7627
3.2811	7.6965
3.2790	7.6338
3.2770	7.5747
3.2749	7.5185
3.2728	7.4577
3.2708	7.3896
3.2687	7.3120
3.2666	7.2270
3.2646	7.1382
3.2625	7.0522
3.2605	6.9783
3.2584	6.9189
3.2564	6.8696
3.2543	6.8208
3.2523	6.7659
3.2503	6.7063
3.2482	6.6438
3.2462	6.5808
3.2442	6.5202
3.2421	6.4604
3.2401	6.3987
3.2381	6.3310
3.2361	6.2578
3.2340	6.1865
3.2320	6.1260
3.2300	6.0776
3.2280	6.0376
3.2260	5.9971
3.2240	5.9504
3.2220	5.8967
3.2200	5.8342
3.2180	5.7700
3.2160	5.7119
3.2140	5.6582
3.2120	5.6033
3.2100	5.5439
3.2080	5.4780
3.2060	5.4089
3.2040	5.3423
3.2021	5.2847
3.2001	5.2378
3.1981	5.1960
3.1961	5.1565
3.1942	5.1179
3.1922	5.0735
3.1902	5.0249
3.1883	4.9765
3.1863	4.9292
3.1844	4.8818
3.1824	4.8323
3.1805	4.7820
3.1785	4.7327
3.1766	4.6836
3.1746	4.6384
3.1727	4.6011
3.1707	4.5676
3.1688	4.5322
3.1669	4.4914
3.1649	4.4438
3.1630	4.3913
3.1611	4.3389
3.1591	4.2915
3.1572	4.2495
3.1553	4.2087
3.1534	4.1645
3.1515	4.1169
3.1495	4.0654
3.1476	4.0154
3.1457	3.9734
3.1438	3.9402
3.1419	3.9092
3.1400	3.8777
3.1381	3.8447
3.1362	3.8098
3.1343	3.7727
3.1324	3.7356
3.1305	3.7007
3.1286	3.6677
3.1268	3.6343
3.1249	3.6025
3.1230	3.5723
3.1211	3.5420
3.1192	3.5115
3.1174	3.4814
3.1155	3.4536
3.1136	3.4329
3.1117	3.4211
3.1099	3.4177
3.1080	3.4155
3.1061	3.4070
3.1043	3.3865
3.1024	3.3586
3.1006	3.3259
3.0987	3.2952
3.0969	3.2688
3.0950	3.2493
3.0932	3.2351
3.0913	3.2209
3.0895	3.2034
