Name:  Very dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  87P4453
Owner:  JHU
Wavelength range:  All
Origin:  Wayne Co., Utah, via USDA Soil Conservation service.

Description:  Very dark grayish brown loam, (loamy-skeletal, mixed, typic).  
Physiography: plateaus or tablelands.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4453a.txt

5.7157	4.1055
5.7094	4.2014
5.7031	4.3030
5.6969	4.4099
5.6906	4.5156
5.6844	4.6174
5.6782	4.7102
5.6719	4.7939
5.6657	4.8660
5.6596	4.9177
5.6534	4.9629
5.6472	5.0146
5.6411	5.0788
5.6349	5.1526
5.6288	5.2292
5.6227	5.3039
5.6166	5.3786
5.6106	5.4492
5.6045	5.5190
5.5984	5.5911
5.5924	5.6645
5.5864	5.7378
5.5804	5.8120
5.5744	5.8882
5.5684	5.9731
5.5624	6.0669
5.5564	6.1621
5.5505	6.2544
5.5445	6.3391
5.5386	6.4184
5.5327	6.5002
5.5268	6.5879
5.5209	6.6741
5.5151	6.7544
5.5092	6.8296
5.5033	6.9065
5.4975	6.9753
5.4917	7.0390
5.4859	7.1040
5.4801	7.1609
5.4743	7.2141
5.4685	7.2683
5.4628	7.3227
5.4570	7.3830
5.4513	7.4431
5.4455	7.5007
5.4398	7.5307
5.4341	7.5290
5.4284	7.5232
5.4228	7.5141
5.4171	7.4951
5.4114	7.4690
5.4058	7.4407
5.4002	7.4077
5.3945	7.3511
5.3889	7.2827
5.3833	7.2226
5.3778	7.1699
5.3722	7.1191
5.3666	7.0725
5.3611	7.0437
5.3555	7.0403
5.3500	7.0500
5.3445	7.0713
5.3390	7.1067
5.3335	7.1528
5.3280	7.2016
5.3225	7.2478
5.3171	7.2956
5.3116	7.3481
5.3062	7.3943
5.3008	7.4394
5.2954	7.4907
5.2900	7.5495
5.2846	7.6206
5.2792	7.7026
5.2738	7.7898
5.2684	7.8816
5.2631	7.9763
5.2578	8.0740
5.2524	8.1733
5.2471	8.2805
5.2418	8.3979
5.2365	8.5205
5.2312	8.6379
5.2260	8.7485
5.2207	8.8489
5.2154	8.9314
5.2102	9.0005
5.2050	9.0654
5.1998	9.1255
5.1945	9.1794
5.1893	9.2229
5.1842	9.2629
5.1790	9.3020
5.1738	9.3320
5.1686	9.3574
5.1635	9.3781
5.1584	9.4001
5.1532	9.4240
5.1481	9.4490
5.1430	9.4804
5.1379	9.5180
5.1328	9.5549
5.1277	9.5927
5.1227	9.6313
5.1176	9.6689
5.1126	9.7009
5.1075	9.7287
5.1025	9.7514
5.0975	9.7661
5.0925	9.7739
5.0875	9.7785
5.0825	9.7881
5.0775	9.7990
5.0726	9.8113
5.0676	9.8310
5.0627	9.8584
5.0577	9.8874
5.0528	9.9162
5.0479	9.9453
5.0430	9.9802
5.0380	10.0071
5.0332	10.0205
5.0283	10.0305
5.0234	10.0429
5.0185	10.0564
5.0137	10.0752
5.0088	10.1059
5.0040	10.1504
4.9992	10.1968
4.9944	10.2402
4.9896	10.2910
4.9848	10.3484
4.9800	10.4111
4.9752	10.4839
4.9704	10.5644
4.9657	10.6516
4.9609	10.7348
4.9562	10.8076
4.9514	10.8769
4.9467	10.9377
4.9420	10.9880
4.9373	11.0315
4.9326	11.0710
4.9279	11.1133
4.9232	11.1631
4.9186	11.2263
4.9139	11.3091
4.9092	11.4011
4.9046	11.5000
4.9000	11.5967
4.8953	11.6833
4.8907	11.7610
4.8861	11.8349
4.8815	11.9028
4.8769	11.9636
4.8723	12.0168
4.8678	12.0695
4.8632	12.1194
4.8586	12.1579
4.8541	12.1926
4.8495	12.2341
4.8450	12.2746
4.8405	12.3142
4.8360	12.3476
4.8315	12.3774
4.8270	12.4101
4.8225	12.4358
4.8180	12.4546
4.8135	12.4785
4.8090	12.4995
4.8046	12.5190
4.8001	12.5368
4.7957	12.5578
4.7913	12.5891
4.7868	12.6208
4.7824	12.6445
4.7780	12.6689
4.7736	12.6877
4.7692	12.7050
4.7648	12.7265
4.7605	12.7505
4.7561	12.7736
4.7517	12.7968
4.7474	12.8164
4.7431	12.8337
4.7387	12.8464
4.7344	12.8571
4.7301	12.8737
4.7258	12.8903
4.7215	12.9052
4.7172	12.9257
4.7129	12.9489
4.7086	12.9687
4.7043	12.9814
4.7000	12.9863
4.6958	12.9970
4.6915	13.0085
4.6873	13.0183
4.6831	13.0354
4.6788	13.0656
4.6746	13.1023
4.6704	13.1379
4.6662	13.1728
4.6620	13.2131
4.6578	13.2519
4.6536	13.2871
4.6495	13.3205
4.6453	13.3596
4.6411	13.3986
4.6370	13.4336
4.6328	13.4687
4.6287	13.5090
4.6246	13.5561
4.6205	13.6047
4.6163	13.6482
