Name:  Dark brown fine sandy loam 
Type:  Soils
Class:  Inceptisol
Subclass:  Haplumbrept
Particle Size:  see additional information
Sample No.:  86P4561
Owner:  JHU
Wavelength range:  All
Origin:  Haywood Co. NC. via USDA Soil Conservation service.

Description:  Dark brown fine sandy loam (sandy-skeletal, mixed, 
mesic Fluventic haplumbrept).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4561a.txt

7.3848	1.6577
7.3743	1.6484
7.3639	1.6340
7.3534	1.6228
7.3430	1.6125
7.3326	1.6035
7.3223	1.5957
7.3119	1.5906
7.3016	1.5825
7.2914	1.5767
7.2811	1.5762
7.2709	1.5779
7.2607	1.5723
7.2506	1.5627
7.2404	1.5571
7.2303	1.5564
7.2203	1.5583
7.2102	1.5666
7.2002	1.5781
7.1902	1.5850
7.1803	1.5825
7.1703	1.5781
7.1604	1.5715
7.1506	1.5698
7.1407	1.5784
7.1309	1.5908
7.1211	1.6028
7.1113	1.6160
7.1016	1.6216
7.0919	1.6216
7.0822	1.6174
7.0725	1.6099
7.0629	1.6030
7.0533	1.5998
7.0437	1.6028
7.0341	1.6155
7.0246	1.6299
7.0151	1.6475
7.0056	1.6672
6.9962	1.6811
6.9867	1.6887
6.9773	1.6943
6.9679	1.6997
6.9586	1.7102
6.9493	1.7275
6.9400	1.7500
6.9307	1.7722
6.9214	1.7900
6.9122	1.8000
6.9030	1.8064
6.8938	1.8059
6.8847	1.8005
6.8755	1.8008
6.8664	1.8091
6.8573	1.8249
6.8483	1.8457
6.8393	1.8706
6.8302	1.9006
6.8213	1.9258
6.8123	1.9438
6.8034	1.9617
6.7944	1.9917
6.7855	2.0339
6.7767	2.0859
6.7678	2.1448
6.7590	2.1997
6.7502	2.2414
6.7414	2.2681
6.7327	2.2800
6.7239	2.2871
6.7152	2.2881
6.7065	2.2873
6.6979	2.2927
6.6892	2.2974
6.6806	2.3005
6.6720	2.2974
6.6634	2.2754
6.6549	2.2434
6.6464	2.2080
6.6378	2.1780
6.6294	2.1633
6.6209	2.1609
6.6124	2.1604
6.6040	2.1536
6.5956	2.1279
6.5872	2.0989
6.5789	2.0757
6.5705	2.0586
6.5622	2.0530
6.5539	2.0569
6.5456	2.0581
6.5374	2.0561
6.5292	2.0452
6.5209	2.0259
6.5128	1.9980
6.5046	1.9680
6.4964	1.9456
6.4883	1.9355
6.4802	1.9348
6.4721	1.9434
6.4640	1.9539
6.4560	1.9543
6.4480	1.9421
6.4399	1.9138
6.4320	1.8784
6.4240	1.8540
6.4160	1.8430
6.4081	1.8452
6.4002	1.8579
6.3923	1.8716
6.3844	1.8777
6.3766	1.8655
6.3687	1.8425
6.3609	1.8203
6.3531	1.7998
6.3454	1.7869
6.3376	1.7871
6.3299	1.7930
6.3221	1.7976
6.3144	1.7974
