Name:  Dark brown interior moist clay loam
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  79P1530
Owner:  JHU
Wavelength range:  All
Origin:  Mrayia Dair El zor, Syria via USDA Soil Conservation service.

Description:  The parent material is alluvium from terracettes in lake plains; 
nonreclaimed salt-affected soil, barren land runoff.  Dark brown interior moist clay 
loam, surface crust of 0.5 cm formed by salt deposition in microdepressions (fine-
loamy, mixed, thermic typic salorthid).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  79P1530a.txt
	
5.4685	8.8408
5.4628	8.9975
5.4570	9.1555
5.4513	9.2951
5.4455	9.4004
5.4398	9.4631
5.4341	9.4895
5.4284	9.4939
5.4228	9.4939
5.4171	9.5010
5.4114	9.5180
5.4058	9.5381
5.4002	9.5493
5.3945	9.5405
5.3889	9.5061
5.3833	9.4475
5.3778	9.3716
5.3722	9.2895
5.3666	9.2138
5.3611	9.1582
5.3555	9.1325
5.3500	9.1435
5.3445	9.1911
5.3390	9.2690
5.3335	9.3647
5.3280	9.4641
5.3225	9.5556
5.3171	9.6321
5.3116	9.6941
5.3062	9.7470
5.3008	9.8000
5.2954	9.8623
5.2900	9.9404
5.2846	10.0370
5.2792	10.1520
5.2738	10.2810
5.2684	10.4200
5.2631	10.5640
5.2578	10.7110
5.2524	10.8590
5.2471	11.0070
5.2418	11.1550
5.2365	11.3000
5.2312	11.4410
5.2260	11.5750
5.2207	11.7030
5.2154	11.8260
5.2102	11.9440
5.2050	12.0570
5.1998	12.1640
5.1945	12.2610
5.1893	12.3450
5.1842	12.4130
5.1790	12.4650
5.1738	12.5000
5.1686	12.5230
5.1635	12.5360
5.1584	12.5450
5.1532	12.5560
5.1481	12.5720
5.1430	12.5990
5.1379	12.6370
5.1328	12.6850
5.1277	12.7380
5.1227	12.7870
5.1176	12.8270
5.1126	12.8540
5.1075	12.8670
5.1025	12.8690
5.0975	12.8630
5.0925	12.8580
5.0875	12.8560
5.0825	12.8610
5.0775	12.8760
5.0726	12.9010
5.0676	12.9340
5.0627	12.9720
5.0577	13.0110
5.0528	13.0470
5.0479	13.0730
5.0430	13.0890
5.0380	13.0930
5.0332	13.0880
5.0283	13.0820
5.0234	13.0790
5.0185	13.0860
5.0137	13.1070
5.0088	13.1400
5.0040	13.1840
4.9992	13.2370
4.9944	13.2970
4.9896	13.3630
4.9848	13.4400
4.9800	13.5280
4.9752	13.6290
4.9704	13.7430
4.9657	13.8660
4.9609	13.9920
4.9562	14.1140
4.9514	14.2260
4.9467	14.3250
4.9420	14.4100
4.9373	14.4860
4.9326	14.5580
4.9279	14.6360
4.9232	14.7260
4.9186	14.8330
4.9139	14.9600
4.9092	15.1030
4.9046	15.2590
4.9000	15.4190
4.8953	15.5780
4.8907	15.7290
4.8861	15.8670
4.8815	15.9920
4.8769	16.1040
4.8723	16.2050
4.8678	16.2960
4.8632	16.3810
4.8586	16.4600
4.8541	16.5320
4.8495	16.5970
4.8450	16.6540
4.8405	16.7040
4.8360	16.7460
4.8315	16.7780
4.8270	16.8010
4.8225	16.8120
4.8180	16.8120
4.8135	16.8000
4.8090	16.7780
4.8046	16.7500
4.8001	16.7200
4.7957	16.6910
4.7913	16.6700
4.7868	16.6590
4.7824	16.6630
4.7780	16.6840
4.7736	16.7210
4.7692	16.7710
4.7648	16.8300
4.7605	16.8910
4.7561	16.9510
4.7517	17.0050
4.7474	17.0520
4.7431	17.0880
4.7387	17.1120
4.7344	17.1220
4.7301	17.1130
4.7258	17.0850
4.7215	17.0380
4.7172	16.9750
4.7129	16.9000
4.7086	16.8190
4.7043	16.7390
4.7000	16.6650
4.6958	16.6030
4.6915	16.5550
4.6873	16.5250
4.6831	16.5140
4.6788	16.5220
4.6746	16.5490
4.6704	16.5960
4.6662	16.6610
4.6620	16.7440
4.6578	16.8430
4.6536	16.9580
4.6495	17.0860
4.6453	17.2260
4.6411	17.3740
4.6370	17.5250
4.6328	17.6770
4.6287	17.8220
4.6246	17.9570
4.6205	18.0820
4.6163	18.1950
4.6122	18.3010
4.6081	18.4010
4.6040	18.5000
4.6000	18.5990
4.5959	18.6970
4.5918	18.7910
4.5877	18.8770
4.5837	18.9520
4.5796	19.0150
4.5756	19.0640
4.5716	19.1040
4.5675	19.1350
4.5635	19.1610
4.5595	19.1820
4.5555	19.1970
4.5515	19.2040
4.5475	19.2040
4.5435	19.1980
4.5395	19.1890
4.5356	19.1800
4.5316	19.1740
4.5276	19.1720
4.5237	19.1730
4.5197	19.1760
4.5158	19.1780
4.5119	19.1780
4.5080	19.1770
4.5040	19.1780
4.5001	19.1850
4.4962	19.2020
4.4923	19.2320
4.4884	19.2780
4.4846	19.3390
4.4807	19.4120
4.4768	19.4930
4.4730	19.5760
4.4691	19.6590
4.4652	19.7380
4.4614	19.8130
4.4576	19.8850
4.4537	19.9550
4.4499	20.0250
4.4461	20.0950
4.4423	20.1630
4.4385	20.2300
4.4347	20.2950
4.4309	20.3570
4.4271	20.4150
4.4233	20.4700
4.4196	20.5210
4.4158	20.5700
4.4120	20.6170
4.4083	20.6640
4.4045	20.7140
4.4008	20.7670
4.3971	20.8230
4.3934	20.8820
4.3896	20.9400
4.3859	20.9950
4.3822	21.0480
4.3785	21.0960
4.3748	21.1430
4.3711	21.1880
4.3674	21.2330
4.3638	21.2780
4.3601	21.3180
4.3564	21.3550
4.3528	21.3870
4.3491	21.4140
4.3455	21.4390
4.3418	21.4630
4.3382	21.4880
4.3346	21.5110
4.3310	21.5320
4.3273	21.5480
4.3237	21.5570
4.3201	21.5600
4.3165	21.5590
4.3129	21.5530
4.3094	21.5450
4.3058	21.5350
4.3022	21.5210
4.2986	21.5000
4.2951	21.4730
4.2915	21.4390
4.2880	21.4000
4.2844	21.3640
4.2809	21.3390
4.2774	21.3390
4.2738	21.3720
4.2703	21.4440
4.2668	21.5510
4.2633	21.6790
4.2598	21.8090
4.2563	21.9200
4.2528	21.9990
4.2493	22.0390
4.2458	22.0490
4.2424	22.0420
4.2389	22.0380
4.2354	22.0560
4.2320	22.1070
4.2285	22.1950
4.2251	22.3150
4.2216	22.4590
4.2182	22.6150
4.2148	22.7730
4.2113	22.9230
4.2079	23.0590
4.2045	23.1800
4.2011	23.2830
4.1977	23.3700
4.1943	23.4420
4.1909	23.5020
4.1875	23.5520
4.1841	23.5960
4.1808	23.6360
4.1774	23.6760
4.1740	23.7150
4.1707	23.7530
4.1673	23.7900
4.1640	23.8250
4.1606	23.8600
4.1573	23.8930
4.1540	23.9260
4.1506	23.9590
4.1473	23.9910
4.1440	24.0210
4.1407	24.0490
4.1374	24.0750
4.1341	24.1000
4.1308	24.1220
4.1275	24.1420
4.1242	24.1590
4.1209	24.1690
4.1177	24.1740
4.1144	24.1730
4.1111	24.1680
4.1079	24.1630
4.1046	24.1570
4.1014	24.1530
4.0981	24.1480
4.0949	24.1400
4.0917	24.1270
4.0884	24.1040
4.0852	24.0710
4.0820	24.0260
4.0788	23.9680
4.0756	23.9010
4.0724	23.8240
4.0692	23.7370
4.0660	23.6390
4.0628	23.5280
4.0596	23.3960
4.0565	23.2360
4.0533	23.0400
4.0501	22.8020
4.0470	22.5190
4.0438	22.1920
4.0406	21.8290
4.0375	21.4390
4.0344	21.0350
4.0312	20.6230
4.0281	20.2090
4.0250	19.7890
4.0218	19.3570
4.0187	18.9020
4.0156	18.4160
4.0125	17.8950
4.0094	17.3400
4.0063	16.7620
4.0032	16.1750
4.0001	15.5970
3.9970	15.0470
3.9940	14.5450
3.9909	14.1060
3.9878	13.7440
3.9847	13.4650
3.9817	13.2720
3.9786	13.1610
3.9756	13.1240
3.9725	13.1530
3.9695	13.2430
3.9665	13.3890
3.9634	13.5910
3.9604	13.8510
3.9574	14.1700
3.9544	14.5460
3.9513	14.9700
3.9483	15.4260
3.9453	15.8910
3.9423	16.3370
3.9393	16.7390
3.9363	17.0780
3.9333	17.3470
3.9304	17.5510
3.9274	17.7030
3.9244	17.8230
3.9214	17.9310
3.9185	18.0390
3.9155	18.1550
3.9126	18.2770
3.9096	18.4030
3.9067	18.5250
3.9037	18.6400
3.9008	18.7430
3.8979	18.8300
3.8949	18.9000
3.8920	18.9510
3.8891	18.9850
3.8862	19.0080
3.8833	19.0250
3.8804	19.0440
3.8775	19.0690
3.8746	19.1020
3.8717	19.1430
3.8688	19.1910
3.8659	19.2420
3.8630	19.2960
3.8601	19.3520
3.8573	19.4120
3.8544	19.4760
3.8515	19.5500
3.8487	19.6350
3.8458	19.7360
3.8430	19.8560
3.8401	19.9990
3.8373	20.1660
3.8344	20.3520
3.8316	20.5520
3.8288	20.7580
3.8259	20.9610
3.8231	21.1550
3.8203	21.3400
3.8175	21.5180
3.8147	21.6980
3.8119	21.8890
3.8091	22.1000
3.8063	22.3360
3.8035	22.5970
3.8007	22.8730
3.7979	23.1510
3.7951	23.4160
3.7924	23.6540
3.7896	23.8560
3.7868	24.0180
3.7841	24.1420
3.7813	24.2360
3.7785	24.3080
3.7758	24.3660
3.7730	24.4160
3.7703	24.4610
3.7676	24.5050
3.7648	24.5460
3.7621	24.5830
3.7594	24.6140
3.7566	24.6410
3.7539	24.6600
3.7512	24.6740
3.7485	24.6810
3.7458	24.6800
3.7431	24.6690
3.7404	24.6480
3.7377	24.6150
3.7350	24.5740
3.7323	24.5280
3.7296	24.4800
3.7269	24.4350
3.7242	24.3930
3.7216	24.3530
3.7189	24.3120
3.7162	24.2670
3.7136	24.2150
3.7109	24.1570
3.7083	24.0950
3.7056	24.0340
3.7030	23.9760
3.7003	23.9230
3.6977	23.8740
3.6950	23.8280
3.6924	23.7810
3.6898	23.7310
3.6872	23.6760
3.6845	23.6170
3.6819	23.5550
3.6793	23.4920
3.6767	23.4300
3.6741	23.3690
3.6715	23.3090
3.6689	23.2510
3.6663	23.1950
3.6637	23.1390
3.6611	23.0840
3.6585	23.0290
3.6560	22.9740
3.6534	22.9160
3.6508	22.8540
3.6482	22.7840
3.6457	22.7060
3.6431	22.6200
3.6406	22.5280
3.6380	22.4360
3.6355	22.3450
3.6329	22.2600
3.6304	22.1790
3.6278	22.1030
3.6253	22.0280
3.6227	21.9520
3.6202	21.8740
3.6177	21.7930
3.6152	21.7080
3.6127	21.6190
3.6101	21.5250
3.6076	21.4280
3.6051	21.3280
3.6026	21.2270
3.6001	21.1260
3.5976	21.0280
3.5951	20.9320
3.5926	20.8360
3.5901	20.7380
3.5876	20.6330
3.5852	20.5180
3.5827	20.3910
3.5802	20.2550
3.5777	20.1130
3.5753	19.9730
3.5728	19.8400
3.5704	19.7190
3.5679	19.6090
3.5654	19.5070
3.5630	19.4060
3.5605	19.3000
3.5581	19.1880
3.5557	19.0670
3.5532	18.9400
3.5508	18.8090
3.5484	18.6780
3.5459	18.5440
3.5435	18.4070
3.5411	18.2610
3.5387	18.0980
3.5363	17.9110
3.5338	17.6930
3.5314	17.4400
3.5290	17.1490
3.5266	16.8270
3.5242	16.4820
3.5218	16.1260
3.5195	15.7730
3.5171	15.4360
3.5147	15.1240
3.5123	14.8420
3.5099	14.5900
3.5075	14.3660
3.5052	14.1660
3.5028	13.9850
3.5004	13.8180
3.4981	13.6610
3.4957	13.5110
3.4934	13.3650
3.4910	13.2200
3.4887	13.0770
3.4863	12.9380
3.4840	12.8090
3.4816	12.6980
3.4793	12.6170
3.4770	12.5750
3.4746	12.5810
3.4723	12.6320
3.4700	12.7230
3.4677	12.8380
3.4653	12.9610
3.4630	13.0730
3.4607	13.1620
3.4584	13.2210
3.4561	13.2480
3.4538	13.2470
3.4515	13.2240
3.4492	13.1890
3.4469	13.1470
3.4446	13.1020
3.4423	13.0550
3.4400	13.0050
3.4378	12.9480
3.4355	12.8810
3.4332	12.8050
3.4309	12.7190
3.4287	12.6270
3.4264	12.5330
3.4241	12.4410
3.4219	12.3530
3.4196	12.2740
3.4174	12.2040
3.4151	12.1440
3.4129	12.0940
3.4106	12.0500
3.4084	12.0110
3.4061	11.9730
3.4039	11.9330
3.4017	11.8890
3.3994	11.8410
3.3972	11.7900
3.3950	11.7360
3.3928	11.6800
3.3906	11.6210
3.3883	11.5600
3.3861	11.4980
3.3839	11.4360
3.3817	11.3760
3.3795	11.3200
3.3773	11.2670
3.3751	11.2150
3.3729	11.1600
3.3707	11.0960
3.3685	11.0210
3.3663	10.9310
3.3641	10.8290
3.3620	10.7170
3.3598	10.6000
3.3576	10.4880
3.3554	10.3880
3.3533	10.3110
3.3511	10.2640
3.3489	10.2540
3.3468	10.2820
3.3446	10.3450
3.3425	10.4320
3.3403	10.5330
3.3382	10.6340
3.3360	10.7200
3.3339	10.7850
3.3317	10.8220
3.3296	10.8300
3.3274	10.8140
3.3253	10.7780
3.3232	10.7300
3.3210	10.6740
3.3189	10.6160
3.3168	10.5570
3.3147	10.4970
3.3126	10.4360
3.3104	10.3710
3.3083	10.3020
3.3062	10.2310
3.3041	10.1610
3.3020	10.0960
3.2999	10.0390
3.2978	9.9902
3.2957	9.9465
3.2936	9.9026
3.2915	9.8520
3.2894	9.7907
3.2874	9.7182
3.2853	9.6369
3.2832	9.5522
3.2811	9.4699
3.2790	9.3945
3.2770	9.3279
3.2749	9.2673
3.2728	9.2085
3.2708	9.1462
3.2687	9.0759
3.2666	8.9961
3.2646	8.9084
3.2625	8.8169
3.2605	8.7275
3.2584	8.6440
3.2564	8.5688
3.2543	8.5024
3.2523	8.4421
3.2503	8.3843
3.2482	8.3252
3.2462	8.2617
3.2442	8.1931
3.2421	8.1191
3.2401	8.0415
3.2381	7.9631
3.2361	7.8869
3.2340	7.8157
3.2320	7.7510
3.2300	7.6921
3.2280	7.6384
3.2260	7.5862
3.2240	7.5332
3.2220	7.4768
3.2200	7.4165
3.2180	7.3520
3.2160	7.2846
3.2140	7.2156
3.2120	7.1460
3.2100	7.0762
3.2080	7.0061
3.2060	6.9358
3.2040	6.8655
3.2021	6.7956
3.2001	6.7275
3.1981	6.6614
3.1961	6.5972
3.1942	6.5349
3.1922	6.4741
3.1902	6.4150
3.1883	6.3576
3.1863	6.3032
3.1844	6.2512
3.1824	6.2016
3.1805	6.1528
3.1785	6.1028
3.1766	6.0500
3.1746	5.9929
3.1727	5.9316
3.1707	5.8674
