Name:  Dark grayish brown silty loam
Type:  Soils
Class:  Mollisol
Subclass:  Agialboll
Particle Size:  see additional information
Sample No.:  85P5339
Owner:  JHU
Wavelength range:  All
Origin:  Nez Perce Co., Id. via USDA Soil Conservation service.

Description: Parent material is loess from mixed material.  Dark 
grayish brown silty loam, (fine, montmorillonitic, mesic xeric).  
Physiography:  upland slope in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P5339a.txt

5.1738	13.0036
5.1686	13.0310
5.1635	13.0544
5.1584	13.0737
5.1532	13.0915
5.1481	13.1130
5.1430	13.1423
5.1379	13.1784
5.1328	13.2180
5.1277	13.2585
5.1227	13.2985
5.1176	13.3349
5.1126	13.3657
5.1075	13.3889
5.1025	13.4016
5.0975	13.4013
5.0925	13.3874
5.0875	13.3652
5.0825	13.3420
5.0775	13.3230
5.0726	13.3125
5.0676	13.3137
5.0627	13.3254
5.0577	13.3449
5.0528	13.3694
5.0479	13.3962
5.0430	13.4228
5.0380	13.4477
5.0332	13.4707
5.0283	13.4939
5.0234	13.5183
5.0185	13.5444
5.0137	13.5742
5.0088	13.6096
5.0040	13.6518
4.9992	13.7026
4.9944	13.7646
4.9896	13.8435
4.9848	13.9426
4.9800	14.0617
4.9752	14.1997
4.9704	14.3523
4.9657	14.5109
4.9609	14.6633
4.9562	14.8010
4.9514	14.9221
4.9467	15.0271
4.9420	15.1181
4.9373	15.2019
4.9326	15.2878
4.9279	15.3818
4.9232	15.4880
4.9186	15.6120
4.9139	15.7568
4.9092	15.9204
4.9046	16.0971
4.9000	16.2780
4.8953	16.4541
4.8907	16.6179
4.8861	16.7658
4.8815	16.8994
4.8769	17.0212
4.8723	17.1342
4.8678	17.2392
4.8632	17.3344
4.8586	17.4191
4.8541	17.4939
4.8495	17.5627
4.8450	17.6291
4.8405	17.6953
4.8360	17.7609
4.8315	17.8225
4.8270	17.8767
4.8225	17.9223
4.8180	17.9611
4.8135	17.9978
4.8090	18.0349
4.8046	18.0744
4.8001	18.1135
4.7957	18.1501
4.7913	18.1838
4.7868	18.2143
4.7824	18.2443
4.7780	18.2761
4.7736	18.3098
4.7692	18.3452
4.7648	18.3796
4.7605	18.4123
4.7561	18.4436
4.7517	18.4743
4.7474	18.5061
4.7431	18.5388
4.7387	18.5703
4.7344	18.5983
4.7301	18.6242
