Name:  Brown gravelly sandy loam
Type:  Soils
Class:  Aridisol
Subclass:  Haplargid
Particle Size:  see additional information
Sample No.:  89P1793
Owner:  JHU
Wavelength range:  All
Origin:  Inyo Co., Ca., (Wild Horse Mesa) via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from fan terrace.  Brown 
gravelly sandy loam, (fine-loamy, mixed, mesic Xerollic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1793a.txt

6.0421	3.2851
6.0351	3.3576
6.0281	3.4317
6.0211	3.4933
6.0141	3.5333
6.0071	3.5565
6.0002	3.5747
5.9932	3.5968
5.9863	3.6275
5.9794	3.6671
5.9725	3.7109
5.9657	3.7502
5.9588	3.7784
5.9520	3.8011
5.9451	3.8307
5.9383	3.8760
5.9315	3.9387
5.9247	4.0133
5.9180	4.0860
5.9112	4.1440
5.9045	4.1803
5.8978	4.2035
5.8911	4.2336
5.8844	4.2866
5.8777	4.3700
5.8711	4.4775
5.8644	4.5916
5.8578	4.6927
5.8512	4.7645
5.8446	4.8040
5.8380	4.8242
5.8314	4.8450
5.8249	4.8846
5.8184	4.9495
5.8118	5.0345
5.8053	5.1240
5.7988	5.1969
5.7923	5.2374
5.7859	5.2438
5.7794	5.2313
5.7730	5.2197
5.7666	5.2239
5.7602	5.2530
5.7538	5.3044
5.7474	5.3658
5.7410	5.4214
5.7347	5.4622
5.7283	5.4896
5.7220	5.5105
5.7157	5.5299
5.7094	5.5531
5.7031	5.5806
5.6969	5.6078
5.6906	5.6284
5.6844	5.6369
5.6782	5.6308
5.6719	5.6102
5.6657	5.5775
5.6596	5.5382
5.6534	5.5019
5.6472	5.4771
5.6411	5.4700
5.6349	5.4811
5.6288	5.5057
5.6227	5.5351
5.6166	5.5597
5.6106	5.5739
5.6045	5.5772
5.5984	5.5730
5.5924	5.5678
5.5864	5.5692
5.5804	5.5825
5.5744	5.6078
5.5684	5.6443
5.5624	5.6883
5.5564	5.7362
5.5505	5.7842
5.5445	5.8316
5.5386	5.8804
5.5327	5.9320
5.5268	5.9872
5.5209	6.0461
5.5151	6.1082
5.5092	6.1712
5.5033	6.2313
5.4975	6.2858
5.4917	6.3332
5.4859	6.3744
5.4801	6.4123
5.4743	6.4525
5.4685	6.4999
5.4628	6.5536
5.4570	6.6086
5.4513	6.6564
5.4455	6.6893
5.4398	6.7021
5.4341	6.6979
5.4284	6.6853
5.4228	6.6735
5.4171	6.6671
5.4114	6.6664
5.4058	6.6668
5.4002	6.6619
5.3945	6.6462
5.3889	6.6199
5.3833	6.5858
5.3778	6.5475
5.3722	6.5094
5.3666	6.4764
5.3611	6.4549
5.3555	6.4487
5.3500	6.4594
5.3445	6.4859
5.3390	6.5238
5.3335	6.5667
5.3280	6.6088
5.3225	6.6477
5.3171	6.6851
5.3116	6.7234
5.3062	6.7642
5.3008	6.8080
5.2954	6.8558
5.2900	6.9072
5.2846	6.9614
5.2792	7.0199
5.2738	7.0832
5.2684	7.1518
5.2631	7.2248
5.2578	7.3017
5.2524	7.3832
5.2471	7.4689
5.2418	7.5592
5.2365	7.6525
5.2312	7.7462
5.2260	7.8377
5.2207	7.9246
5.2154	8.0063
5.2102	8.0823
5.2050	8.1540
5.1998	8.2220
5.1945	8.2867
5.1893	8.3463
5.1842	8.4006
5.1790	8.4496
5.1738	8.4927
5.1686	8.5296
5.1635	8.5621
5.1584	8.5929
5.1532	8.6258
5.1481	8.6634
5.1430	8.7087
5.1379	8.7610
5.1328	8.8178
5.1277	8.8747
5.1227	8.9284
5.1176	8.9770
5.1126	9.0196
5.1075	9.0573
5.1025	9.0909
5.0975	9.1210
5.0925	9.1489
5.0875	9.1759
5.0825	9.2027
5.0775	9.2306
5.0726	9.2600
5.0676	9.2910
5.0627	9.3232
5.0577	9.3561
5.0528	9.3893
5.0479	9.4215
5.0430	9.4520
5.0380	9.4802
5.0332	9.5060
5.0283	9.5311
5.0234	9.5574
5.0185	9.5875
5.0137	9.6228
5.0088	9.6626
5.0040	9.7068
4.9992	9.7549
4.9944	9.8077
4.9896	9.8667
4.9848	9.9351
4.9800	10.0154
4.9752	10.1068
4.9704	10.2068
4.9657	10.3105
4.9609	10.4118
4.9562	10.5042
4.9514	10.5831
4.9467	10.6479
4.9420	10.7005
4.9373	10.7455
4.9326	10.7896
4.9279	10.8402
4.9232	10.9039
4.9186	10.9845
4.9139	11.0825
4.9092	11.1974
4.9046	11.3267
4.9000	11.4664
4.8953	11.6123
4.8907	11.7605
4.8861	11.9078
